t;vds;corrente;vg
0.000998;-0.00122374;0.00963678;-0.00424438
0.001996;-0.00153215;0.00348378;-0.000670026
0.002994;-0.00195225;0.0104635;0
0.003992;-0.00205901;-0.00470573;-0.000382872
0.00499;-0.00183957;0.00399765;-0.00047859
0.005988;-0.00198883;0.00963804;0
0.006986;-0.00224484;0.00175605;-0.000127624
0.007984;-0.00213315;0.00498492;-0.00063812
0.008982;-0.00178817;-0.0125189;0
0.00998;-0.00172293;0.00296182;-0.000191436
0.010978;-0.00195522;-0.0109571;0
0.011976;-0.0017249;0.00849701;-0.000542402
0.012974;-0.00148668;-0.00407857;-0.000574308
0.013972;-0.00125043;0.00266645;-0.00287154
0.01497;-0.00141847;0.00299419;-0.00287154
0.015968;-0.00170711;-0.0175483;-0.00252057
0.016966;-0.00150249;0.00239535;-0.000287154
0.017964;-0.00158849;-0.00506179;-0.00405206
0.018962;-0.00174467;-0.000732362;-0.00277582
0.01996;-0.00203726;0.00398551;-0.00516877
0.020958;-0.00209459;-0.0015416;-0.00386062
0.021956;-0.00198883;0.00625138;-0.00296726
0.022954;-0.00196115;-0.0023387;-0.0026801
0.023952;-0.00207285;0.0110178;-0.00255248
0.02495;-0.00217367;-0.0101681;-0.00124433
0.025948;-0.0018455;0.00674906;-0.00111671
0.026946;-0.00153511;0.0100548;-0.000701932
0.027944;-0.00158157;-0.00202715;0
0.028942;-0.00170612;0.00947619;0
0.02994;-0.00181387;-0.01419;-0.000127624
0.030938;-0.00152325;0.01016;-0.000574308
0.031936;-0.00150447;-0.000772824;-0.000127624
0.032934;-0.00161123;0.00128669;0
0.033932;-0.00199179;0.00541786;-0.00015953
0.03493;-0.00190283;-0.009986;-0.000414778
0.035928;-0.00169525;0.00926983;0
0.036926;-0.00204814;-0.000651435;0
0.037924;-0.0021371;0.011564;0
0.038922;-0.00213611;5.6647e-05;0
0.03992;-0.00207977;-0.0022335;-9.5718e-05
0.040918;-0.00163495;0.0124906;0
0.041916;-0.0019226;-0.00827043;-0.000893368
0.042914;-0.00178718;0.0166299;-6.3812e-05
0.043912;-0.001631;-0.00460458;-0.000287154
0.04491;-0.00128404;0.00880857;-0.00156339
0.045908;-0.00120002;0.010338;-0.00248867
0.046906;-0.00153907;-0.00687854;-0.00283963
0.047904;-0.00165769;0.0122802;-0.00440302
0.048902;-0.00158157;-0.00225373;-0.00287154
0.0499;-0.00151139;0.014368;-0.00216961
0.050898;-0.00185044;0.0117218;-0.00252057
0.051896;-0.00203825;-0.00477047;-0.00149958
0.052894;-0.00192161;0.0107062;-0.00063812
0.053892;-0.00202046;-0.0132553;-0.000223342
0.05489;-0.00184352;0.0146068;-0.000574308
0.055888;-0.00230218;-0.00359303;0
0.056886;-0.00190678;0.0118068;0
0.057884;-0.00160035;0.00347569;-0.00102099
0.058882;-0.00175258;-0.00205547;-0.00102099
0.05988;-0.00188899;0.0116126;-0.000606214
0.060878;-0.00184055;-0.00738431;-0.00220151
0.061876;-0.00160431;0.0070768;-0.00165911
0.062874;-0.00140463;-0.00661149;-0.0736393
0.063872;-0.00152622;0.00285662;-0.0698424
0.06487;-0.00187416;-0.00684617;-0.0507307
0.065868;-0.00200563;-0.0035202;-0.0384788
