t;vds;corrente;vg
0.000998;-0.00197894;-0.0075919;-0.00270353
0.001996;-0.00190777;-0.0095733;-0.00169102
0.002994;-0.00158651;-0.0138663;-0.00717886
0.003992;-0.00173775;0.00204333;-0.00303107
0.00499;-0.00180102;-0.00843632;-0.00382871
0.005988;-0.00188405;0.00396932;-0.00529639
0.006986;-0.00184253;0.000918488;-0.00618977
0.007984;-0.00153808;0.000323696;-0.00724267
0.008982;-0.00166164;0.00372656;-0.00612595
0.00998;-0.00205604;-0.00536931;-0.00392443
0.010978;-0.00197697;0.00443464;-0.0010529
0.011976;-0.0015964;0.00572942;-0.00047859
0.012974;-0.00174072;0.00152947;-0.00331822
0.013972;-0.00193545;-0.00239939;-0.000382872
0.01497;-0.00186527;0.00165894;-0.0021058
0.015968;-0.00173182;-0.00187744;-0.00031906
0.016966;-0.0017684;0.0129074;-0.00165911
0.017964;-0.0019483;0.00131502;-0.00290344
0.018962;-0.00185439;-0.00443059;-0.00660455
0.01996;-0.0018198;-0.00161443;-0.00698742
0.020958;-0.00167943;0.00444677;-0.00768935
0.021956;-0.00189196;0.00352829;-0.00781698
0.022954;-0.00202244;0.00634444;-0.0123796
0.023952;-0.00197005;-0.00247628;-0.00788079
0.02495;-0.00180299;0.012349;-0.0101461
0.025948;-0.00161222;0.00333811;-0.0133686
0.026946;-0.00170612;0.0143721;-0.0109119
0.027944;-0.00190184;0.000610971;-0.0084551
0.028942;-0.00177037;0.00284043;-0.0114543
0.02994;-0.00159739;0.0122519;-0.00829557
0.030938;-0.00144912;0.00860221;-0.00963563
0.031936;-0.00179904;0.0137409;-0.00867844
0.032934;-0.0018198;0.0104351;-0.00558355
0.033932;-0.0014936;0.00805598;-0.00347775
0.03493;-0.00172886;0.00737218;-0.00692361
0.035928;-0.00184747;0.00532885;-0.010529
0.036926;-0.00187812;0.015238;-0.009508
0.037924;-0.00177136;-0.00505775;-0.00526449
0.038922;-0.00149063;0.0021283;-0.00542402
0.03992;-0.00173578;0.00173582;-0.00443493
0.040918;-0.00209163;-0.00596006;-0.000829556
0.041916;-0.00187812;0.00925365;-0.00134005
0.042914;-0.00177037;0.00746524;-0.0015953
0.043912;-0.00146295;0.00371845;-0.00609405
0.04491;-0.00193743;-0.00781725;-0.0010529
0.045908;-0.00185736;0.00433752;-0.00165911
0.046906;-0.00175159;-0.0094762;-0.000574308
0.047904;-0.00172095;0.00613808;0
0.048902;-0.00178026;0.00572538;-9.5718e-05
0.0499;-0.00193743;-0.0120253;0
0.050898;-0.00172787;-8.09193e-06;-0.000350966
0.051896;-0.00168734;-0.00616236;-0.00331822
0.052894;-0.00164286;0.010945;-0.00392443
0.053892;-0.0017941;1.21385e-05;-0.00405206
0.05489;-0.00208372;-0.00626351;-0.0015953
0.055888;-0.00163495;0.00795482;-0.00484971
0.056886;-0.00142144;-0.00771205;-0.00523258
0.057884;-0.00170612;0.0111594;-0.00347775
0.058882;-0.00207384;-0.00871955;-0.00293535
0.05988;-0.00186131;0.00351211;-0.00245676
0.060878;-0.00148964;0.00944787;-0.00379681
0.061876;-0.00168536;-0.00129883;-0.00274391
0.062874;-0.0017852;0.0154241;-0.00315869
0.063872;-0.00193051;-0.00178437;-0.00290344
0.06487;-0.0016221;0.00819759;-0.0047859
0.065868;-0.00162012;0.00333812;-0.00236104
0.066866;-0.00174863;0.00848082;-0.00258438
0.067864;-0.00204319;0.00738026;-0.00491352
0.068862;-0.00177334;0.00204738;-0.00252057
0.06986;-0.00171996;0.001489;-0.00408396
0.070858;-0.00173083;-0.000113294;-0.00682789
0.071856;-0.00193841;0.00132715;-0.0107523
0.072854;-0.00206988;0.00569705;-0.00867844
0.073852;-0.00163594;0.00641322;-0.00625358
0.07485;-0.00149063;0.00678952;-0.00778507
0.075848;-0.00175456;-0.0106091;-0.00823176
0.076846;-0.00187021;0.00496064;-0.00545593
0.077844;-0.00188603;-0.0122721;-0.0114224
0.078842;-0.00169624;0.011653;-0.0107204
0.07984;-0.00166164;0.00764731;-0.00810413
0.080838;-0.00183858;-0.0182928;-0.00395634
0.081836;-0.00188207;0.00867505;-0.00507305
0.082834;-0.00162507;-0.0108114;-0.00338203
0.083832;-0.0016053;0.00767159;-0.00165911
0.08483;-0.00165472;-0.00449128;-0.00156339
0.085828;-0.00184945;-0.0118999;-0.00143577
0.086826;-0.0016221;0.0205263;-0.00201008
0.087824;-0.00164978;-0.008934;-0.000255248
0.088822;-0.00165769;0.0110299;-9.5718e-05
0.08982;-0.00204616;-0.00993341;-0.000542402
0.090818;-0.00190579;0.00753402;-0.000989086
0.091816;-0.00163001;0.00342713;-0.00015953
0.092814;-0.0014422;-0.00035202;-0.00111671
0.093812;-0.00169723;0.0104513;-0.00357347
0.09481;-0.00172985;-0.0138704;-0.000510496
0.095808;-0.00172984;0.0158368;-0.00118052
0.096806;-0.00153314;-0.00433349;-0.000542402
0.097804;-0.0014936;-0.0072872;-0.00239295
0.098802;-0.00180596;0.000360112;-0.00236104
0.0998;-0.00178421;0.00257743;-0.00118052
0.100798;-0.00158553;0.000691901;-0.000542402
0.101796;-0.00162111;-0.00549474;-0.00188245
0.102794;-0.00182375;-0.0015497;-0.000893368
0.103792;-0.00200563;-0.00552711;-0.00121243
0.10479;-0.00166559;0.0121588;-0.00188245
0.105788;-0.00144121;-0.00328552;-0.00242486
0.106786;-0.00184352;-0.00663172;-0.00765745
0.107784;-0.00191074;0.00445487;-0.00558355
0.108782;-0.00186922;-0.0127455;-0.000989086
0.10978;-0.00155983;0.000801148;-0.00232914
0.110778;-0.00143528;0.00581843;-0.00172292
0.111776;-0.0019483;-0.00623924;-0.00130815
0.112774;-0.00200761;0.00502943;-0.00303107
0.113772;-0.00188009;-0.00370632;-0.00185055
0.11477;-0.00165077;-4.04646e-06;-0.000542402
0.115768;-0.00153413;0.00658316;-0.000382872
0.116766;-0.00156477;-0.000279188;-0.000350966
0.117764;-0.00184846;0.00366991;-0.000446684
0.118762;-0.0020768;-0.00447105;-0.00124433
0.11976;-0.00167251;0.016553;-0.000382872
0.120758;-0.00169129;-0.0106658;0
0.121756;-0.00154006;0.0060693;-3.1906e-05
0.122754;-0.00150546;0.00795887;0
