t;vds;corrente;vg
0.002495;-0.00161518;0.00295221;0.579469
0.00499;-0.00179904;-0.00468145;0.58908
0.007485;-0.00161617;0.011475;0.58908
0.00998;-0.00172787;-0.00582653;0.589112
0.012475;-0.00156773;0.00768373;0.58908
0.01497;-0.00170217;0.00102369;0.589239
0.017465;-0.00149656;0.00442654;0.58908
0.01996;-0.00182968;0.00214853;0.589239
0.022455;-0.00191766;0.00190576;0.589144
0.02495;-0.00178718;0.00305084;0.589973
0.027445;-0.00153017;0.00428493;0.58908
0.02994;-0.00171699;0.00131097;0.58908
0.032435;-0.00174368;0.0088207;0.58908
0.03493;-0.00161913;0.00718604;0.58908
0.037425;-0.00174269;0.000817333;0.58908
0.03992;-0.00158553;0.00975132;0.589112
0.042415;-0.0017506;-0.00486758;0.58908
0.04491;-0.00170019;0.00686235;0.589941
0.047405;-0.00158157;0.000732362;0.589909
0.0499;-0.00174764;0.00532884;0.591696
0.052395;-0.00147086;0.00476237;0.594537
0.05489;-0.00174072;0.0010682;0.59693
0.057385;-0.00173083;0.00793864;0.594503
0.05988;-0.00187812;-0.00103178;0.591792
0.062375;-0.00186428;0.00490399;0.594123
0.06487;-0.00165274;0.00575774;0.595717
0.067365;-0.00167548;0.00182888;0.593771
0.06986;-0.00147679;0.00645368;0.590548
0.072355;-0.00179311;-0.000453174;0.59026
0.07485;-0.00153314;0.00340286;0.591185
0.077345;-0.00164187;-0.00373869;0.59093
0.07984;-0.00166856;0.0100427;0.592718
0.082335;-0.00171106;-0.00127455;0.592303
0.08483;-0.00169129;0.0103057;0.591218
0.087325;-0.00166658;-0.00139999;0.589558
0.08982;-0.0017684;0.00704038;0.589814
0.092315;-0.0016567;0.00537335;0.58991
0.09481;-0.0018109;0.00518318;0.58908
0.097305;-0.00143231;0.00396528;0.590037
0.0998;-0.00171008;0.003415;0.590515
0.102295;-0.00147482;0.00764326;0.590931
0.10479;-0.00184055;-0.0019705;0.58908
0.107285;-0.00163495;0.00965422;0.589239
0.10978;-0.0014165;0.0048433;0.589686
0.112275;-0.00182968;0.00333407;0.58908
0.11477;-0.00160332;0.00321268;0.589207
0.117265;-0.00195324;0.00222946;0.58908
0.11976;-0.00168437;0.00435776;0.589176
0.122255;-0.00179706;-0.000764732;0.589144
0.12475;-0.00164187;0.0028202;0.589431
0.127245;-0.00149459;0.00440227;0.592621
0.12974;-0.000318291;0.00360112;0.589303
0.132235;-0.000293579;0.0108357;0.589845
0.13473;-0.000451736;0.000368204;0.590801
0.137225;-0.000190777;0.0126727;0.591505
0.13972;-0.000357831;0.00127455;0.590963
0.142215;-0.000229328;0.0121507;0.589271
0.14471;-0.000328176;0.00450747;0.590261
0.147205;-0.000219443;0.0117704;0.589112
0.1497;-0.000311372;0.00461671;0.590164
0.152195;-0.000429002;0.00842822;0.590356
0.15469;-0.000353877;0.00104392;0.589846
0.157185;-0.000423071;0.00447105;0.590676
0.15968;-0.000176938;0.0053167;0.58908
0.162175;0.000198685;0.00494445;0.590069
0.16467;0.000657341;0.00876406;0.59326
0.167165;0.00123066;0.0107629;0.592015
0.16966;0.00153808;0.0109733;0.589367
0.172155;0.00225275;0.00914844;0.590738
0.17465;0.00232985;0.0218454;0.590101
0.177145;0.00308407;0.0101478;0.590229
0.17964;0.00337369;0.0176293;0.592016
0.182135;0.00425641;0.0119929;0.590037
0.18463;0.00444224;0.0183819;0.590452
0.187125;0.00513418;0.0151247;0.590963
0.18962;0.00565313;0.0219021;0.589112
0.192115;0.00594276;0.0183576;0.589335
0.19461;0.00647555;0.0208541;0.589208
0.197105;0.00671971;0.0210847;0.589367
0.1996;0.00751939;0.0245199;0.58908
0.202095;0.0077161;0.0156952;0.58908
0.20459;0.00832302;0.0266766;0.589718
0.207085;0.00876388;0.0222783;0.590356
0.20958;0.00903175;0.0261708;0.591249
0.212075;0.00990063;0.0282222;0.589176
0.21457;0.0102407;0.0306823;0.589335
0.217065;0.0111085;0.0328065;0.589239
0.21956;0.0111066;0.0295332;0.589463
0.222055;0.0116828;0.0378117;0.589144
0.22455;0.0119952;0.0293673;0.590133
0.227045;0.0129323;0.0331586;0.58908
0.22954;0.0133672;0.0422585;0.58908
0.232035;0.0138496;0.0320701;0.58908
0.23453;0.0141145;0.0241032;0.58908
0.237025;0.0145534;0.0459607;0.58908
0.23952;0.0150941;0.0344979;0.58908
0.242015;0.0154608;0.0445001;0.589271
0.24451;0.0162397;0.0354851;0.589367
0.247005;0.0167923;0.0483682;0.58908
0.2495;0.0171649;0.0359626;0.589144
0.251995;0.0174971;0.0337453;0.58908
0.25449;0.0178677;0.0523052;0.58908
0.256985;0.0185864;0.0420157;0.589176
0.25948;0.0189264;0.0423961;0.589112
0.261975;0.0197064;0.0519693;0.58908
0.26447;0.020244;0.0463896;0.589686
0.266965;0.0204833;0.0450382;0.590006
0.26946;0.0209489;0.0456209;0.589112
0.271955;0.0211782;0.0666571;0.590069
0.27445;0.0216072;0.0358129;0.589877
0.276945;0.0222802;0.0595115;0.590452
0.27944;0.0231354;0.0541179;0.589654
0.281935;0.0237472;0.0397094;0.58975
0.28443;0.0241594;0.0605756;0.590164
0.286925;0.0242572;0.0668635;0.589846
0.28942;0.0243274;0.0664709;0.590196
0.291915;0.0247763;0.0523254;0.589335
0.29441;0.0257686;0.0538266;0.590962
0.296905;0.0271763;0.0667704;0.589176
0.2994;0.0272544;0.0503266;0.589877
0.301895;0.0274937;0.0675836;0.589559
0.30439;0.0270142;0.0708125;0.589463
0.306885;0.0271753;0.0641241;0.589495
0.30938;0.0281954;0.0717997;0.58908
0.311875;0.0298085;0.0671993;0.58908
0.31437;0.0311352;0.0714478;0.589112
0.316865;0.0305953;0.0555745;0.58908
0.31936;0.0299005;0.0696674;0.589112
0.321855;0.0294883;0.0806165;0.58908
0.32435;0.0306785;0.0539924;0.589112
0.326845;0.0325912;0.0743448;0.58908
0.32934;0.034318;0.070242;0.590164
0.331835;0.03441;0.0794673;0.589814
0.33433;0.033292;0.0781119;0.589112
0.336825;0.0323795;0.0717836;0.58908
0.33932;0.0327484;0.0842215;0.58908
0.341815;0.0349488;0.0622872;0.589239
0.34431;0.0369663;0.0797547;0.58908
0.346805;0.0380258;0.0871349;0.589176
0.3493;0.0369514;0.0718929;0.590899
0.351795;0.0358394;0.0791639;0.589559
0.35429;0.0356337;0.0800701;0.58908
0.356785;0.0372292;0.0881261;0.58908
0.35928;0.0396429;0.0775615;0.589176
0.361775;0.0406442;0.0865158;0.58908
0.36427;0.040407;0.0886522;0.589271
0.366765;0.0392734;0.0834164;0.589941
0.36926;0.0389996;0.0945596;0.589622
0.371755;0.0400155;0.0920591;0.589208
0.37425;0.0416725;0.0873493;0.590005
0.376745;0.0433261;0.0928036;0.592686
0.37924;0.0438183;0.0859696;0.593292
0.381735;0.0429052;0.0920065;0.590037
0.38423;0.042319;0.0918245;0.591248
0.386725;0.0425364;0.0870256;0.590452
0.38922;0.044258;0.0976105;0.58908
0.391715;0.045569;0.0925082;0.59125
0.39421;0.0468126;0.0909018;0.589782
0.396705;0.0463261;0.0897486;0.58908
