t;vds;corrente;vg
0.000998;-0.000857015;0.00923999;-0.00322929
0.001996;-0.00124747;-3.64157e-05;-0.000287154
0.002994;-0.00177334;-0.00107629;-0.00188245
0.003992;-0.00172787;-0.00732766;-0.000989086
0.00499;-0.001287;0.0097918;-3.1906e-05
0.005988;-0.00130084;-0.000315604;-0.00255248
0.006986;-0.00184649;-0.00960162;-0.00146768
0.007984;-0.00216181;-0.00562827;-0.00118052
0.008982;-0.00185439;0.00727911;-0.000382872
0.00998;-0.00143528;0.0275424;0
0.010978;-0.00202738;-0.00473405;-0.0010848
0.011976;-0.00216873;0.0028202;0
0.012974;-0.00214006;-0.00862649;-0.000510496
0.013972;-0.00175752;0.00746118;-0.00015953
0.01497;-0.00141847;0.0104877;0
0.015968;-0.00147383;-0.0140201;0
0.016966;-0.00131567;0.0149345;-6.3812e-05
0.017964;-0.00126032;-0.0101519;0
0.018962;-0.00109129;0.0115438;0
0.01996;-0.00112885;0.0175322;-0.000925274
0.020958;-0.00150052;0.00349188;0
0.021956;-0.00168734;0.014716;-0.00102099
0.022954;-0.00193051;-0.0101721;-0.00149958
0.023952;-0.00184451;0.00734789;-0.000542402
0.02495;-0.00231305;-0.0116409;-0.000446684
0.025948;-0.00211041;0.00149709;-0.000606214
0.026946;-0.00201749;0.00416354;-0.000446684
0.027944;-0.00201947;0.0066479;-3.1906e-05
0.028942;-0.00209657;0.00952069;-0.00047859
0.02994;-0.00218356;-0.0099334;-0.000191436
0.030938;-0.0015193;0.0114305;-0.000670026
0.031936;-0.0012702;-0.00238725;-0.000350966
0.032934;-0.0012445;0.00538953;0
0.033932;-0.00140859;0.0118553;0
0.03493;-0.00128206;-0.00479474;-0.000350966
0.035928;-0.00123659;0.00591958;-0.00124433
0.036926;-0.0012188;-0.00835944;-3.1906e-05
0.037924;-0.00185341;-0.0026624;-0.000542402
0.038922;-0.00209361;-0.0029416;-0.000127624
0.03992;-0.00188207;0.00445487;-0.00079765
0.040918;-0.00178026;0.014101;-0.000510496
0.041916;-0.00235061;-0.00753806;-0.000255248
0.042914;-0.00224583;0.010601;-0.000574308
0.043912;-0.0020086;-0.00141212;0
0.04491;-0.00167054;0.0059034;0
0.045908;-0.00140463;0.0167796;0
0.046906;-0.00184154;-0.0145016;0
0.047904;-0.00153215;0.0216148;0
0.048902;-0.0013305;-0.00537335;0
0.0499;-0.000933127;0.00270286;0
0.050898;-0.00111402;0.00182888;-0.000733838
0.051896;-0.00138486;-0.00841204;-0.00063812
0.052894;-0.00162704;0.013312;-0.00255248
0.053892;-0.00146691;0.00146877;-0.00277582
0.05489;-0.00154796;0.00646987;-6.3812e-05
0.055888;-0.0021114;-0.00683807;-0.000382872
0.056886;-0.00234962;0.00404215;-0.00015953
0.057884;-0.00193743;0.00163062;-0.00169102
0.058882;-0.00175456;0.010423;-9.5718e-05
0.05988;-0.00192655;0.00541381;0
0.060878;-0.00211832;-0.0156183;0
0.061876;-0.0018366;0.0147646;0
0.062874;-0.00123363;-0.00498087;-0.00015953
0.063872;-0.00131864;0.009897;0
0.06487;-0.00155192;0.00953688;-3.1906e-05
0.065868;-0.00157169;-0.00407857;-6.3812e-05
0.066866;-0.00125241;0.010334;-3.1906e-05
0.067864;-0.0011417;-0.00264217;-0.00015953
0.068862;-0.00141452;0.00511035;-6.3812e-05
0.06986;-0.00175555;-0.00789412;0
0.070858;-0.00181288;0.00226183;0
0.071856;-0.00155587;0.00957735;-0.000191436
0.072854;-0.00204715;0.000481497;-0.00111671
0.073852;-0.00205011;0.0124299;-0.000350966
0.07485;-0.00191568;0.0034595;-0.000223342
0.075848;-0.00171601;0.00330979;0
0.076846;-0.00149755;0.0101964;-0.000127624
0.077844;-0.00213018;-0.00599242;-3.1906e-05
0.078842;-0.00161024;0.0183859;0
0.07984;-0.0014333;-0.00303465;-0.000223342
0.080838;-0.00132061;0.00072427;0
0.081836;-0.00135916;0.00187339;0
0.082834;-0.00141946;0.0042566;0
0.083832;-0.00148569;0.00701611;0
0.08483;-0.00142836;0.00111674;0
0.085828;-0.00143132;0.0131623;0
0.086826;-0.00174863;-0.00285662;-0.000287154
0.087824;-0.00205011;0.00483521;-0.00031906
0.088822;-0.00180892;-0.00529648;-0.00015953
0.08982;-0.00185835;0.00559589;0
0.090818;-0.00167746;0.0142264;0
0.091816;-0.00239806;-0.00401383;0
