t;vds;corrente;vg
0.000499;-0.00162309;0.00372487;-0.00770588
0.000998;-0.00186626;0.00209189;-0.00472208
0.001497;-0.00192754;0.00576583;-0.00513686
0.001996;-0.00182177;0.00871551;-0.00261629
0.002495;-0.00160727;-0.0169414;-0.00622167
0.002994;-0.00156279;-0.00366181;-0.0047859
0.003493;-0.00129096;0.0281534;-0.00848701
0.003992;-0.00156675;0.00750166;-0.00705123
0.004491;-0.00150744;-0.0158368;-0.00829557
0.00499;-0.0017427;-0.00840394;-0.00666836
0.005489;-0.0017506;0.0103704;-0.00574308
0.005988;-0.00211832;0.000890164;-0.00350966
0.006487;-0.00223298;-0.0180137;-0.00424349
0.006986;-0.00196411;0.00532075;-0.00411587
0.007485;-0.00177235;0.00826637;-0.00469018
0.007984;-0.00138981;-0.00148091;-0.00338203
0.008483;-0.00127712;0.00264217;-0.00395634
0.008982;-0.00141452;0.00814094;-0.00309488
0.009481;-0.00156675;0.00475024;-0.000989086
0.00998;-0.00161024;-0.00421614;-0.00114862
0.010479;-0.00193841;0.00142831;-0.00162721
0.010978;-0.00222409;-0.0114467;-0.00500924
0.011477;-0.00202244;-0.0106739;-0.0047859
0.011976;-0.00186823;0.0179125;-0.000574308
0.012475;-0.00161123;0.0171923;-0.00146768
0.012974;-0.00142539;0.00150114;-0.00258438
0.013473;-0.00139376;-0.00184507;-0.0026801
0.013972;-0.00127514;0.00375892;-0.00140386
0.014471;-0.00166955;-0.000392482;-0.00229723
0.01497;-0.00172886;-0.00196645;-0.00507305
0.015469;-0.00193545;0.00408667;-0.00912513
0.015968;-0.00213018;-0.00387626;-0.00871035
0.016467;-0.00172589;-0.00956925;-0.0100185
0.016966;-0.00174961;0.00927388;-0.0063493
0.017465;-0.00123857;0.0204292;-0.00494543
0.017964;-0.00139771;0.00259362;-0.00392443
0.018463;-0.00136608;-0.00400979;-0.00303107
0.018962;-0.00143132;0.00681784;-0.00379681
0.019461;-0.00152424;0.00621496;-0.00290344
0.01996;-0.0019572;-0.0146351;-0.00280773
0.020459;-0.00201057;-0.000271095;-0.00886988
0.020958;-0.00189393;0.00806002;-0.00788079
0.021457;-0.00178322;-0.00515486;-0.0109438
0.021956;-0.00146691;-0.000918488;-0.00245676
0.022455;-0.00148964;0.0120172;-0.00341394
0.022954;-0.00163693;0.0177587;-0.00137196
0.023453;-0.00182968;-0.00931838;-0.00114862
0.023952;-0.00144318;-0.00300632;-0.00118052
0.024451;-0.0017427;0.00821782;-0.000127624
0.02495;-0.00187713;-0.000878026;-0.00366918
0.025449;-0.00181881;-0.010601;-0.00379681
0.025948;-0.00174368;-0.0024965;-0.00277582
0.026447;-0.00158651;0.00805597;-0.00204198
0.026946;-0.00127514;0.0134334;-0.000925274
0.027445;-0.00136312;0.0186287;-0.00201008
0.027944;-0.0016478;-0.000942764;-0.00121243
0.028443;-0.00181288;-0.010945;-0.0037649
0.028942;-0.00161716;0.00490804;-0.00236104
0.029441;-0.00168734;0.0162333;-0.00717886
0.02994;-0.00160925;-0.00378724;-0.00874226
0.030439;-0.00171008;-0.0145784;-0.0118052
0.030938;-0.0016478;-0.00561208;-0.0129539
0.031437;-0.00147679;0.00575369;-0.0107842
0.031936;-0.00154599;0.00896232;-0.00985897
0.032435;-0.00177136;0.0131461;-0.00765745
0.032934;-0.00170316;0.0145744;-0.00938038
