t;vds;corrente;vg
0.000499;-0.0017427;0.0104456;-0.00282425
0.000998;-0.00169129;0.00570109;0
0.001497;-0.00163199;-0.00734789;0
0.001996;-0.0016992;-0.010334;0
0.002495;-0.00165175;0.00480688;0
0.002994;-0.00152128;-0.00231847;0
0.003493;-0.00164978;-0.00752188;0
0.003992;-0.00181387;0.0117744;0
0.004491;-0.00194336;0.00869528;0
0.00499;-0.00175357;-0.00498896;0
0.005489;-0.0016646;0.00200692;0
0.005988;-0.00167548;0.00661148;0
0.006487;-0.00196214;0.00382366;0
0.006986;-0.00220036;-0.0198223;0
0.007485;-0.00198685;-0.00498896;0
0.007984;-0.00172984;0.0218656;0.000191436
0.008483;-0.0016389;0.00517104;0
0.008982;-0.00147284;-0.00356875;0
0.009481;-0.00142045;0.00870741;0
0.00998;-0.00153808;0.0120738;0
0.010479;-0.00142243;0.00213639;0
0.010978;-0.00186131;-0.00410689;0
0.011477;-0.00215193;-0.00946;0
0.011976;-0.00202342;-0.018568;0
0.012475;-0.00167844;0.00784962;-6.3812e-05
0.012974;-0.00170019;0.028291;0
0.013473;-0.0013562;0.00606524;0
0.013972;-0.00152127;-0.00477047;0
0.014471;-0.00126328;0.000113294;0
0.01497;-0.00119211;0.00578201;0
0.015469;-0.00157564;0.00369418;0
0.015968;-0.00195621;-0.000594792;0
0.016467;-0.00206494;-0.00515486;0
0.016966;-0.00208669;-0.0123814;0
0.017465;-0.00193644;-0.00949237;0
0.017964;-0.00149854;0.0234153;0
0.018463;-0.00150052;0.00847678;0
0.018962;-0.00132556;-0.0057456;-0.000510496
0.019461;-0.00124845;0.00440227;0
0.01996;-0.00122275;0.0186651;0
0.020459;-0.00154302;0.00448724;0
0.020958;-0.00192062;-0.0220558;0
0.021457;-0.0020857;-0.00363349;0
0.021956;-0.00184846;0.000562422;-0.000287154
0.022455;-0.00179607;-0.00804788;0
0.022954;-0.00145307;0.000995366;-0.00015953
0.023453;-0.00118816;0.0139675;-0.000574308
0.023952;-0.00137201;0.00871146;-3.1906e-05
0.024451;-0.00137893;-0.0020757;-0.000542402
0.02495;-0.00126921;0.0104473;-0.00114862
0.025449;-0.00187911;0.00117744;0
0.025948;-0.00193743;-0.0162131;0
