t;vds;corrente;vg
0.000998;-0.00129788;0.0193389;-0.00777137
0.001996;-0.0018277;-0.000865887;-0.00679598
0.002994;-0.00264221;-0.011653;-0.00721076
0.003992;-0.0023862;-0.0120374;-0.00934847
0.00499;-0.00145505;0.00402597;-0.00880607
0.005988;-0.000833291;0.0220275;-0.00877416
0.006986;-0.00149656;-0.00930625;-0.0125391
0.007984;-0.00200464;-0.00379938;-0.0130177
0.008982;-0.00177729;-0.0263731;-0.00823176
0.00998;-0.00105669;0.014631;-0.0021377
0.010978;-0.000846141;0.0187339;-0.000382872
0.011976;-0.00129689;-0.0172934;-0.000542402
0.012974;-0.00198685;-0.00291731;-0.00252057
0.013972;-0.00203232;-0.0110825;-0.00248867
0.01497;-0.00162605;0.0216714;0
0.015968;-0.00136608;0.0327418;-0.00134005
0.016966;-0.00205901;-0.0128305;-0.00207389
0.017964;-0.00214105;-0.0132796;-0.00577499
0.018962;-0.00190382;-0.0225858;-0.00558355
0.01996;-0.00162111;0.0187784;-0.00698742
0.020958;-0.00150348;0.000829471;-0.00386062
0.021956;-0.00151732;0.0143235;-0.00567927
0.022954;-0.00158651;-0.00756234;-0.00606214
0.023952;-0.00164088;-0.00470978;-0.0074022
0.02495;-0.00150151;0.0210523;-0.00931657
0.025948;-0.00148371;-0.00540168;-0.0063493
0.026946;-0.00113577;0.0211454;-0.00143577
0.027944;-0.00135818;-0.0134415;-0.000255248
0.028942;-0.00174863;-0.00307916;-0.000382872
0.02994;-0.00172293;0.0280118;-0.000382872
0.030938;-0.00183759;0.00223755;-0.00031906
0.031936;-0.00175555;0.0209067;0
0.032934;-0.0020511;0.00875192;-0.00146768
0.033932;-0.0021796;-0.0156143;-0.000670026
0.03493;-0.00188504;0.0168969;-0.00047859
0.035928;-0.00158157;0.00586294;-0.00242486
0.036926;-0.00154203;0.00788199;-0.00354156
0.037924;-0.00188306;-0.0214084;-0.00516877
0.038922;-0.00188405;0.00333407;-0.00536021
0.03992;-0.0014422;-0.00516295;-0.00491352
0.040918;-0.00106855;0.0249408;-0.00500924
0.041916;-0.00123066;0.0216876;-0.000574308
0.042914;-0.00179014;-0.0238806;-0.00137196
0.043912;-0.00176642;0.0116085;-0.00229723
0.04491;-0.00143429;-0.0124663;-0.00698742
0.045908;-0.00112391;0.0293228;-0.00242486
0.046906;-0.00169327;0.000485545;-0.00338203
0.047904;-0.00204616;-0.0277245;-0.00140386
0.048902;-0.0021371;0.0126079;-0.00162721
0.0499;-0.00170513;-0.00693923;-0.000861462
0.050898;-0.00137498;0.0297679;-0.00299916
0.051896;-0.00197598;0.0140929;-0.00277582
0.052894;-0.00207087;-0.00854152;-0.00121243
0.053892;-0.00190481;4.04668e-06;-0.0241848
0.05489;-0.00152424;0.00439418;-0.0492311
0.055888;-0.00133841;0.0169738;-0.0337886
0.056886;-0.00192161;-0.0100467;-0.025461
0.057884;-0.00157663;0.0037832;-0.0159211
0.058882;-0.00155291;-0.00417568;-0.0159211
0.05988;-0.00140365;0.00955711;-0.0153149
0.060878;-0.00165077;0.0073398;-0.0123796
0.061876;-0.00165274;-0.00604906;-0.00564736
0.062874;-0.00149063;0.0124866;-0.003733
0.063872;-0.00162309;-0.00597624;-0.00449874
0.06487;-0.00181189;0.0188148;-0.00162721
0.065868;-0.00180299;0.00486758;-3.1906e-05
0.066866;-0.00194138;-0.00223351;-0.000925274
0.067864;-0.00150744;0.00711726;-0.000382872
0.068862;-0.00194039;-0.00801957;-0.00175483
0.06986;-0.00190876;0.0234679;-0.000414778
0.070858;-0.00195621;-0.00366586;-0.000287154
0.071856;-0.00168932;0.00981202;-0.00277582
0.072854;-0.00132358;0.00352424;-0.00252057
0.073852;-0.00185538;-0.0140443;-0.000893368
0.07485;-0.00179014;0.0209633;-0.000191436
0.075848;-0.00161123;-0.00418782;-0.00114862
0.076846;-0.00155291;0.00555543;-0.000861462
0.077844;-0.00166263;0.0190211;-0.000223342
0.078842;-0.00207779;-0.0150478;-0.00079765
0.07984;-0.00181288;-0.00677738;-0.000861462
0.080838;-0.00173973;-0.0045277;-0.00389253
0.081836;-0.00180299;0.00525197;-0.033278
0.082834;-0.00202837;-0.0026624;-0.0652479
0.083832;-0.00180398;0.0187055;-0.0820306
0.08483;-0.00164681;-0.0016185;-0.0956864
0.085828;-0.0015618;-0.00269477;-0.108545
0.086826;-0.00146098;0.0189726;-0.111735
0.087824;-0.00199278;-0.00634443;-0.118882
0.088822;-0.00156477;0.0091363;-0.126093
0.08982;-0.00122967;-0.00116935;-0.127369
0.090818;-0.00154104;0.0168443;-0.127369
0.091816;-0.00156971;0.0227275;-0.127369
0.092814;-0.00197598;0.00407453;-0.127369
0.093812;-0.00152819;0.00371036;-0.127369
0.09481;-0.00162803;-0.0138339;-0.127369
0.095808;-0.00174764;0.0116935;-0.127369
0.096806;-0.0021114;0.00774442;-0.127369
0.097804;-0.00203924;-0.000416759;-0.127369
0.098802;-0.00153709;0.00126241;-0.127369
0.0998;-0.00188108;-0.00199882;-0.127369
0.100798;-0.00185934;0.0105646;-0.127369
0.101796;-0.00184056;-0.00768777;-0.127369
0.102794;-0.00178322;0.0178599;-0.127369
0.103792;-0.00160925;0.0160351;-0.127369
0.10479;-0.00184747;-0.0182564;-0.127369
0.105788;-0.00172589;0.0243905;-0.127369
0.106786;-0.0016132;-0.0157033;-0.127369
0.107784;-0.00158355;0.0100953;-0.127369
0.108782;-0.00156971;0.00626351;-0.127369
0.10978;-0.00176246;0.000922534;-0.127369
0.110778;-0.00169129;0.00552711;-0.127369
0.111776;-0.00161617;-0.00406239;-0.127369
0.112774;-0.00157663;0.0067531;-0.127369
0.113772;-0.00203133;-0.0120698;-0.127369
0.11477;-0.00173775;0.0113212;-0.127369
0.115768;-0.00134335;0.00261789;-0.127369
0.116766;-0.00144121;0.00398551;-0.127369
0.117764;-0.00168734;0.0011653;-0.127369
0.118762;-0.0019829;-0.00973515;-0.127369
0.11976;-0.00172688;0.00866291;-0.127369
0.120758;-0.00124055;-0.00798719;-0.127369
0.121756;-0.00155983;-0.00990509;-0.127369
0.122754;-0.00163693;-0.00851724;-0.127369
0.123752;-0.00197301;-0.0152906;-0.127369
0.12475;-0.00167152;0.0147807;-0.127369
0.125748;-0.0014422;-0.00621091;-0.127369
0.126746;-0.00158256;0.0125998;-0.127369
0.127744;-0.00186724;0.00316818;-0.127369
0.128742;-0.00188207;-0.000546237;-0.127369
0.12974;-0.0016132;0.00842014;-0.127433
0.130738;-0.00172984;-0.0147039;-0.127497
0.131736;-0.00170414;0.006656;-0.127369
0.132734;-0.00181881;-0.00170345;-0.127369
0.133732;-0.00153314;0.00672478;-0.127369
0.13473;-0.00127218;0.00899064;-0.127369
0.135728;-0.00170316;-0.00519936;-0.127369
0.136726;-0.00162803;0.00773228;-0.127369
0.137724;-0.00152424;-0.00187339;-0.127369
0.138722;-0.00150151;-0.00226587;-0.127369
0.13972;-0.00164088;0.0103138;-0.127369
0.140718;-0.0016221;-0.0010156;-0.127497
0.141716;-0.00154302;0.00564849;-0.127369
0.142714;-0.0016221;-0.00106011;-0.127369
0.143712;-0.00141353;0.00123814;-0.127369
0.14471;-0.00189986;-0.00235084;-0.127369
0.145708;-0.00186724;0.00538955;-0.127497
0.146706;-0.00152029;-0.00226183;-0.127369
0.147704;-0.00130677;0.00837158;-0.127369
0.148702;-0.00171897;-0.00517913;-0.127369
0.1497;-0.00202244;-0.00543809;-0.127369
0.150698;-0.00188701;0.0103178;-0.127369
0.151696;-0.00136213;0.00475429;-0.127369
0.152694;-0.00150744;0.00222946;-0.127369
0.153692;-0.00152424;0.00973919;-0.127369
0.15469;-0.00195917;-0.00507393;-0.127369
0.155688;-0.00169129;0.00689472;-0.127369
0.156686;-0.00131468;0.00121791;-0.127752
0.157684;-0.00142539;0.00853748;-0.127369
0.158682;-0.00190085;0.00689876;-0.127465
0.15968;-0.00189789;-0.00661148;-0.127369
0.160678;-0.0016567;0.0057456;-0.127369
0.161676;-0.00170612;-0.00180865;-0.129571
0.162674;-0.00184649;0.0029861;-0.128869
0.163672;-0.00168932;-0.000740455;-0.129379
0.16467;-0.0017249;0.00733171;-0.128805
0.165668;-0.00144912;0.00305893;-0.127369
0.166666;-0.0018109;-0.00445487;-0.127369
0.167664;-0.00168437;0.00854962;-0.127369
0.168662;-0.00161222;-0.00262193;-0.127369
0.16966;-0.00160925;0.00589936;-0.127369
0.170658;-0.0016053;0.0173824;-0.127369
0.171656;-0.00194533;0.00214044;-0.127624
0.172654;-0.00167548;-0.000752598;-0.127369
0.173652;-0.00158651;0.0121831;-0.127369
0.17465;-0.0017595;-0.0080236;-0.127369
0.175648;-0.00174764;0.00124623;-0.127369
0.176646;-0.00187515;-0.00979987;-0.127369
0.177644;-0.00147086;-0.0106617;-0.127369
0.178642;-0.00157465;0.00383984;-0.127369
0.17964;-0.00154302;0.00120172;-0.127369
0.180638;-0.001974;-0.0030913;-0.127369
0.181636;-0.00198784;-0.00199073;-0.127369
0.182634;-0.00133742;0.00502133;-0.127369
0.183632;-0.00163297;0.00506989;-0.127369
0.18463;-0.00193841;0.00515485;-0.127369
0.185628;-0.00215786;-0.0143964;-0.127369
0.186626;-0.00184945;-0.015242;-0.127369
0.187624;-0.000979586;-0.0122964;-0.127369
0.188622;-0.00145603;0.00288494;-0.127369
0.18962;-0.00189492;-0.000384386;-0.127369
0.190618;-0.00221222;-0.00222946;-0.127369
0.191616;-0.00165274;0.00961376;-0.127369
0.192614;-0.00127712;0.00673287;-0.127369
0.193612;-0.00126526;0.0122559;-0.127369
0.19461;-0.00186527;-0.00333001;-0.127369
0.195608;-0.00209855;-0.0212911;-0.127369
0.196606;-0.00153017;-0.0035728;-0.127369
0.197604;-0.00140365;0.00741262;-0.127592
0.198602;-0.00162507;0.0103542;-0.127369
0.1996;-0.00168339;0.00560399;-0.127369
0.200598;-0.00192458;-0.0168362;-0.127369
0.201596;-0.00200464;0.00459648;-0.127369
0.202594;-0.00167054;0.0088814;-0.127369
0.203592;-0.00168437;0.00696755;-0.127369
0.20459;-0.00167152;0.00532479;-0.127369
0.205588;-0.00175851;-0.0133444;-0.127369
0.206586;-0.00191864;0.00519128;-0.127369
0.207584;-0.00181189;0.00625138;-0.127369
0.208582;-0.00147383;0.000254911;-0.127369
0.20958;-0.00149557;-0.00367395;-0.127369
0.210578;-0.0016478;-0.0139068;-0.127369
0.211576;-0.00204319;0.0172125;-0.127369
0.212574;-0.00193248;0.0200327;-0.127369
0.213572;-0.00115554;0.00186531;-0.127369
0.21457;-0.00155488;0.00426065;-0.127305
0.215568;-0.00177828;-0.00506989;-0.127369
0.216566;-0.00176345;0.00512249;-0.12721
0.217564;-0.00179311;0.0121143;-0.127369
0.218562;-0.00131369;0.00324101;-0.127369
0.21956;-0.00143824;0.00072427;-0.127369
0.220558;-0.001888;0.00412713;-0.127369
0.221556;-0.000943012;0.00506989;-0.127369
0.222554;-0.000179904;0.0117906;-0.127369
0.223552;-0.000170019;0.0210402;-0.127369
0.22455;-0.000466564;-0.0245766;-0.127369
0.225548;-0.000510057;-0.00863053;-0.127369
0.226546;-0.000480402;0.00381556;-0.127465
0.227544;-1.87811e-05;0.0274413;-0.127369
0.228542;-0.00039737;0.00975133;-0.127369
0.22954;-0.000649433;-0.0156992;-0.127369
0.230538;-0.000478425;0.0207084;-0.127369
0.231536;-0.000117629;-0.00453578;-0.127369
0.232534;-7.71015e-05;0.0386129;-0.127369
0.233532;-0.000501161;0.0260818;-0.127369
0.23453;-0.000687984;0.00279997;-0.127369
0.235528;-0.000515988;0.00683403;-0.127369
0.236526;-0.000192754;0.00290517;-0.127369
0.237524;-3.55853e-05;0.0393533;-0.127369
0.238522;-0.000430978;0.0172449;-0.127369
0.23952;-0.000434932;0.0151206;-0.127369
0.240518;-0.00033905;0.0167472;-0.127369
0.241516;-0.000347946;0.0201217;-0.127369
0.242514;-0.00029951;0.0271702;-0.127369
0.243512;-0.00045569;-0.0103502;-0.127369
0.24451;-0.000248109;0.0120091;-0.127369
0.245508;-0.000354865;-0.0109449;-0.127369
0.246506;-0.000493253;0.000473406;-0.127369
0.247504;-0.000416151;0.00679356;-0.127369
0.248502;-0.000343992;0.0105646;-0.127369
0.2495;-2.2735e-05;0.0156223;-0.127369
0.250498;-0.000465575;-0.00733979;-0.127369
0.251496;-0.000386497;-0.00347973;-0.127369
0.252494;-0.000227351;0.0243338;-0.127369
0.253492;4.9424e-06;0.00248841;-0.127369
0.25449;-2.07581e-05;0.028728;-0.127369
0.255488;-0.000494241;0.00451556;-0.127369
0.256486;-0.000469529;0.0121224;-0.127369
0.257484;-0.000179904;0.00182484;-0.127369
0.258482;-4.54701e-05;0.0236662;-0.127369
0.25948;-0.000246132;0.0122559;-0.127369
0.260478;-0.000358819;-0.010156;-0.127369
0.261476;4.64586e-05;0.00753807;-0.127369
0.262474;0.000800671;-0.00211616;-0.127369
0.263472;0.00129788;0.0265511;-0.127369
0.26447;0.00145406;0.0329077;-0.127369
0.265468;0.00150348;0.00571727;-0.127369
0.266466;0.00217664;0.0312852;-0.127369
0.267464;0.00265506;0.0115357;-0.127369
0.268462;0.00301092;0.0304921;-0.127369
0.26946;0.00312558;0.00256125;-0.127369
0.270458;0.00356842;0.0296627;-0.127369
0.271456;0.00411407;0.034947;-0.127369
0.272454;0.00455888;0.0297759;-0.127369
0.273452;0.0047635;0.037225;-0.127369
0.27445;0.00506498;0.0142022;-0.127369
0.275448;0.00567686;0.0356955;-0.127369
0.276446;0.0060337;0.0137004;-0.127369
0.277444;0.00626995;0.0436382;-0.127369
0.278442;0.00634309;0.0282384;-0.127369
0.27944;0.00689862;0.0329279;-0.127369
0.280438;0.00745118;0.0343684;-0.127369
0.281436;0.00785053;0.0337736;-0.127369
0.282434;0.00801363;0.0421411;-0.127369
0.283432;0.00831314;0.0467862;-0.127369
0.28443;0.00878366;0.0475428;-0.127369
0.285428;0.00940934;0.0578606;-0.127369
0.286426;0.00941232;0.0337776;-0.127369
0.287424;0.0100963;0.0626554;-0.127369
0.288422;0.0106064;0.0320499;-0.127369
0.28942;0.0109435;0.0617329;-0.127369
0.290418;0.01124;0.0659854;-0.127369
0.291416;0.0112252;0.0412105;-0.127369
0.292414;0.0119626;0.0796089;-0.127369
0.293412;0.0124192;0.0411862;-0.127369
0.29441;0.0128443;0.0635456;-0.127369
0.295408;0.0130212;0.0637802;-0.127369
0.296406;0.0132743;0.0561531;-0.127369
0.297404;0.0137725;0.0725969;-0.127369
0.298402;0.0143359;0.0582976;-0.127369
0.2994;0.0147817;0.0821864;-0.127369
0.300398;0.0147234;0.0585889;-0.127369
0.301396;0.0153777;0.0797628;-0.127369
0.302394;0.0158295;0.0666247;-0.127369
0.303392;0.0162644;0.0747535;-0.127369
0.30439;0.0166074;0.0824575;-0.127369
0.305388;0.01656;0.0753725;-0.127369
0.306386;0.0174694;0.0864834;-0.127369
0.307384;0.0179834;0.081462;-0.127369
0.308382;0.0183066;0.0825222;-0.127369
0.30938;0.0182018;0.0967405;-0.127369
0.310378;0.0183768;0.0853262;-0.127369
0.311376;0.019132;0.0937747;-0.127369
0.312374;0.0197429;0.085739;-0.127369
0.313372;0.01999;0.0846222;-0.127369
0.31437;0.0202252;0.0868556;-0.127369
0.315368;0.020853;0.0961903;-0.127369
0.316366;0.0211851;0.109361;-0.127178
0.317364;0.0214174;0.0825709;-0.127369
0.318362;0.021797;0.106314;-0.127497
0.31936;0.0221409;0.0816645;-0.127561
0.320358;0.0227429;0.115754;-0.127369
0.321356;0.0228833;0.105614;-0.127369
0.322354;0.0231077;0.099318;-0.127369
0.323352;0.0233924;0.108244;-0.127369
0.32435;0.0241446;0.104226;-0.127369
0.325348;0.0247229;0.119743;-0.127369
0.326346;0.0247771;0.0993745;-0.127369
0.327344;0.0250392;0.0877296;-0.127369
0.328342;0.025655;0.125242;-0.127369
0.32934;0.0261047;0.111084;-0.127369
0.330338;0.0264496;0.119889;-0.127529
0.331336;0.0265416;0.113492;-0.127369
0.332334;0.026684;0.117607;-0.127369
0.333332;0.0277032;0.123547;-0.127369
0.33433;0.0280994;0.144073;-0.127369
0.335328;0.0285018;0.122843;-0.127369
0.336326;0.0282112;0.119144;-0.127369
0.337324;0.0287707;0.133848;-0.127369
0.338322;0.0294993;0.128313;-0.127369
0.33932;0.0298402;0.132841;-0.127369
0.340318;0.0298551;0.138671;-0.127369
0.341316;0.0301327;0.122013;-0.127369
0.342314;0.0306963;0.157381;-0.127369
0.343312;0.0314496;0.136345;-0.127369
0.34431;0.0318666;0.130482;-0.127369
0.345308;0.0318123;0.12559;-0.127369
0.346306;0.0322452;0.141572;-0.127369
0.347304;0.0328798;0.147476;-0.127369
0.348302;0.0332358;0.147965;-0.127369
0.3493;0.0334335;0.144279;-0.127369
0.350298;0.0336637;0.136276;-0.127369
0.351296;0.0342053;0.152853;-0.127369
0.352294;0.0347867;0.158587;-0.127369
0.353292;0.03501;0.155042;-0.127369
0.35429;0.0350575;0.15747;-0.127369
0.355288;0.0358096;0.147241;-0.127369
0.356286;0.0362346;0.151684;-0.127369
0.357284;0.0367704;0.158546;-0.127369
0.358282;0.0370373;0.166696;-0.127369
0.35928;0.0372944;0.163665;-0.127369
0.360278;0.0378153;0.157587;-0.127369
0.361276;0.0381632;0.154099;-0.127369
0.362274;0.0385458;0.156297;-0.127369
0.363272;0.0389324;0.174533;-0.127369
0.36427;0.0395195;0.163009;-0.127369
0.365268;0.0396934;0.169046;-0.127369
0.366266;0.0400442;0.172979;-0.127369
0.367264;0.040399;0.16481;-0.127369
0.368262;0.0409062;0.174881;-0.127369
0.36926;0.0414142;0.196435;-0.127369
0.370258;0.0414291;0.184895;-0.127369
0.371256;0.0414678;0.176463;-0.127369
0.372254;0.0417981;0.188925;-0.127369
0.373252;0.0425443;0.181504;-0.127369
0.37425;0.0431226;0.175795;-0.127369
0.375248;0.043515;0.186133;-0.127369
0.376246;0.0435722;0.188913;-0.127369
0.377244;0.0441859;0.196981;-0.127369
0.378242;0.0451091;0.181812;-0.127369
0.37924;0.0454363;0.200145;-0.127369
0.380238;0.0452457;0.199364;-0.127369
0.381236;0.045742;0.188885;-0.127369
0.382234;0.0463835;0.197499;-0.127369
0.383232;0.0468551;0.200085;-0.127369
0.38423;0.0469055;0.171073;-0.127369
0.385228;0.0468107;0.205393;-0.12721
0.386226;0.0463579;0.203475;-0.127369
0.387224;0.0462759;0.198393;-0.127369
0.388222;0.0458991;0.191988;-0.127369
0.38922;0.0451043;0.17603;-0.127369
0.390218;0.0447484;0.179352;-0.127369
0.391216;0.0446703;0.214485;-0.127369
0.392214;0.0446377;0.194537;-0.127369
0.393212;0.0441939;0.187165;-0.127369
0.39421;0.043844;0.149422;-0.127369
0.395208;0.0436661;0.17569;-0.127369
0.396206;0.0433667;0.22299;-0.127369
0.397204;0.0428943;0.206672;-0.127369
0.398202;0.0420203;0.16129;-0.127369
0.3992;0.0415318;0.157114;-0.127369
0.400198;0.0412502;0.165032;-0.127369
0.401196;0.0409369;0.195039;-0.127369
0.402194;0.0403754;0.199356;-0.127369
0.403192;0.0397043;0.158397;-0.127369
0.40419;0.0394543;0.132295;-0.127305
0.405188;0.0390787;0.153416;-0.127369
0.406186;0.039052;0.181581;-0.127369
0.407184;0.0386971;0.179235;-0.127369
0.408182;0.038434;0.172898;-0.127369
0.40918;0.0381949;0.138234;-0.127369
0.410178;0.0378054;0.149507;-0.127369
0.411176;0.0374416;0.162018;-0.127369
0.412174;0.0374071;0.180873;-0.127369
0.413172;0.0370869;0.154395;-0.127369
0.41417;0.0363641;0.13121;-0.127369
0.415168;0.0353778;0.141852;-0.127369
0.416166;0.0348242;0.158368;-0.127369
0.417164;0.0346354;0.173914;-0.127369
0.418162;0.0343368;0.157219;-0.127369
0.41916;0.0336419;0.137773;-0.127369
0.420158;0.0329519;0.133553;-0.127369
0.421156;0.0325851;0.13961;-0.127369
0.422154;0.0327108;0.161949;-0.127369
0.423152;0.0326573;0.140966;-0.127369
0.42415;0.0323055;0.136939;-0.127369
0.425148;0.0316581;0.115851;-0.127369
0.426146;0.0315869;0.140407;-0.127369
0.427144;0.0316156;0.142361;-0.127369
0.428142;0.0315148;0.140185;-0.127369
0.42914;0.0308425;0.132792;-0.127369
0.430138;0.0299084;0.123312;-0.127369
0.431136;0.029692;0.139642;-0.127337
0.432134;0.0294261;0.122875;-0.127241
0.433132;0.0289179;0.135544;-0.127369
0.43413;0.0279967;0.123057;-0.127369
0.435128;0.0274749;0.112719;-0.127369
0.436126;0.0272564;0.13573;-0.127369
0.437124;0.0270468;0.131344;-0.127369
0.438122;0.0265268;0.129094;-0.127369
0.43912;0.02625;0.114633;-0.127369
0.440118;0.0259268;0.111865;-0.127369
0.441116;0.0258725;0.143187;-0.127369
0.442114;0.0253022;0.126152;-0.127369
0.443112;0.0251756;0.116741;-0.127369
0.44411;0.0248029;0.0879846;-0.127497
0.445108;0.0246595;0.103473;-0.127943
0.446106;0.0239805;0.103963;-0.127369
0.447104;0.0235417;0.117943;-0.127688
0.448102;0.0231709;0.114257;-0.127369
0.4491;0.0228576;0.0782777;-0.127369
0.450098;0.0225047;0.0895787;-0.127369
0.451096;0.0217179;0.0975944;-0.127369
0.452094;0.0212197;0.116049;-0.127369
0.453092;0.020849;0.132914;-0.127369
0.45409;0.0206137;0.0837887;-0.127369
0.455088;0.0203192;0.0722085;-0.127369
0.456086;0.0199277;0.0619554;-0.127369
0.457084;0.0198082;0.101912;-0.127369
0.458082;0.0196184;0.106015;-0.127369
0.45908;0.0190677;0.0979099;-0.127369
0.460078;0.0184934;0.0951058;-0.127369
0.461076;0.0182532;0.0775494;-0.127369
0.462074;0.0182562;0.0712293;-0.127369
0.463072;0.0178826;0.0720992;-0.127369
0.46407;0.0169613;0.0666369;-0.127433
0.465068;0.0163534;0.0886158;-0.127369
0.466066;0.0160411;0.058071;-0.127369
0.467064;0.0159689;0.0821337;-0.127369
0.468062;0.0155547;0.077165;-0.127369
0.46906;0.0146809;0.0771853;-0.127369
0.470058;0.0140443;0.0591676;-0.127369
0.471056;0.014067;0.065779;-0.127369
0.472054;0.0141896;0.0741789;-0.127369
0.473052;0.0137102;0.0610895;-0.127369
0.47405;0.0131487;0.072783;-0.127369
0.475048;0.0126407;0.039851;-0.127369
0.476046;0.0127573;0.0584433;-0.127369
0.477044;0.0125922;0.0572415;-0.127369
0.478042;0.0121978;0.0588924;-0.127369
0.47904;0.0116156;0.0775374;-0.127369
0.480038;0.0109632;0.0311112;-0.127369
0.481036;0.0105599;0.0329198;-0.127369
0.482034;0.0100281;0.0419631;-0.127369
0.483032;0.00957541;0.0353435;-0.127369
0.48403;0.00914543;0.0685102;-0.127369
0.485028;0.00867194;0.0364805;-0.127369
0.486026;0.00817277;0.056408;-0.127369
0.487024;0.0076133;0.0277367;-0.127369
0.488022;0.00769435;0.0425134;-0.127369
0.48902;0.00744525;0.0449452;-0.127369
0.490018;0.00707259;0.0365129;-0.126954
0.491016;0.00673948;0.061397;-0.127369
0.492014;0.00627983;0.00967445;-0.127369
0.493012;0.00646764;0.0397781;-0.127369
0.49401;0.00631245;0.0242327;-0.127369
0.495008;0.00573814;0.0387302;-0.127369
0.496006;0.004978;0.0345626;-0.127369
0.497004;0.00452428;0.0138137;-0.127369
0.498002;0.00447684;0.0387949;-0.127369
0.499;0.00389561;0.0223957;-0.127369
0.499998;0.00322542;0.0213194;-0.127369
0.500996;0.00240794;0.0133362;-0.127369
0.501994;0.00223792;0.0239535;-0.127369
0.502992;0.00193545;0.0358008;-0.127369
0.50399;0.00153116;0.00876813;-0.127369
0.504988;0.00112885;0.022424;-0.127369
0.505986;0.00087283;0.00739644;-0.127369
0.506984;0.000835268;-0.00774847;-0.127369
0.507982;0.000916324;0.0158854;-0.127369
0.50898;0.00013048;0.00683807;-0.127369
0.509978;4.05277e-05;0.020235;-0.127018
0.510976;-0.000270844;-0.0090473;-0.126859
0.511974;-0.000521919;0.00305084;-0.127337
