t;vds;corrente;vg
0.000998;-0.00187614;-0.00437551;-0.003248
0.001996;-0.00194138;0.00230633;-0.00172292
0.002994;-0.00219443;-0.00757853;0
0.003992;-0.0013819;0.0230188;-0.00047859
0.00499;-0.000969702;0.014805;-0.00079765
0.005988;-0.00147679;-0.000526006;0
0.006986;-0.00209163;-0.00413117;-0.00031906
0.007984;-0.00221914;-0.0167432;-0.00191436
0.008982;-0.00126526;0.0178275;-6.3812e-05
0.00998;-0.000708742;0.00519532;0
0.010978;-0.00137498;0.00599242;-0.000287154
0.011976;-0.00216478;0.0010601;-0.000510496
0.012974;-0.00226066;-0.00649415;-0.000510496
0.013972;-0.00143132;0.0118594;-0.000382872
0.01497;-0.0011585;0.00689473;-0.000989086
0.015968;-0.00160628;0.013923;-0.000574308
0.016966;-0.00253941;-0.0116085;-0.00137196
0.017964;-0.00243266;-0.00398551;-0.00111671
0.018962;-0.00137004;0.0255477;-0.000446684
0.01996;-0.00152819;0.00777679;-0.000510496
0.020958;-0.00135323;0.00491613;-0.000382872
0.021956;-0.000708742;-0.00724269;-0.000765744
0.022954;-0.000571343;0.00493231;-0.00162721
0.023952;-4.44816e-05;0.020761;-0.00102099
0.02495;-3.75622e-05;0.0018653;-9.5718e-05
0.025948;-0.000334107;0.0179085;-0.000127624
0.026946;-0.000381554;-0.0103461;-0.00140386
0.027944;-0.000446794;0.00443868;-0.00130815
0.028942;-0.000415163;0.014805;0
0.02994;-8.99516e-05;0.0101155;-0.000191436
0.030938;-0.000129491;0.00966636;-0.00111671
0.031936;-0.000415163;-0.0126686;-0.000223342
0.032934;-0.000460633;0.0056404;-0.00143577
0.033932;-0.000446794;0.0109814;-0.00111671
0.03493;-0.000229328;0.0223835;-6.3812e-05
0.035928;-0.000160134;0.00484734;0
0.036926;-0.000230316;-0.000287281;-0.000510496
0.037924;-0.00046261;0.00480688;-0.000127624
0.038922;-0.00050808;0.000161848;0
0.03992;-8.89631e-06;0.0273806;-0.000191436
0.040918;-0.000161122;0.00282021;-9.5718e-05
0.041916;-0.000231305;0.00511439;-0.00118052
0.042914;-0.000760143;0.00125837;-0.00149958
0.043912;-0.000517965;0.00928197;-0.00229723
0.04491;-0.00020857;0.0161484;-0.00229723
0.045908;-0.000131468;0.00959758;-0.00175483
0.046906;-0.000501161;0.00802765;-0.00220151
0.047904;-0.000949932;0.00184911;-0.00239295
0.048902;-0.000627687;0.00626755;0
0.0499;-0.000105768;0.00984035;-0.00127624
0.050898;-0.000287648;0.00266643;-9.5718e-05
0.051896;-0.000688972;0.00502942;-0.00127624
0.052894;-0.000656352;-0.000271095;-6.3812e-05
0.053892;-0.000349923;0.0126524;0
0.05489;9.88477e-06;0.0140322;-0.00102099
0.055888;-0.000194731;-0.00654675;-0.00255248
0.056886;-4.64586e-05;0.0141941;-0.000542402
0.057884;0.000570354;-0.0017601;0
0.058882;0.00122374;0.0153715;-0.000574308
0.05988;0.00171106;0.0145906;-0.000223342
0.060878;0.00159245;0.0187986;0
0.061876;0.00193545;0.00698778;0
0.062874;0.00237631;0.0155819;-0.00031906
0.063872;0.00287154;0.0158328;-0.0015953
0.06487;0.00326694;0.0174027;-0.000446684
0.065868;0.00352295;0.0222703;-3.1906e-05
0.066866;0.00411802;0.0231645;-0.000542402
0.067864;0.0044284;0.0262113;-0.0021377
0.068862;0.00475065;0.021987;-0.000414778
0.06986;0.00482973;0.0144571;-0.0010848
0.070858;0.00546334;0.0362539;-0.000733838
0.071856;0.00601294;0.0326932;-0.00232914
0.072854;0.00623238;0.0345141;-0.000925274
0.073852;0.00663667;0.0328834;-0.000414778
0.07485;0.0069174;0.0332314;-0.000255248
0.075848;0.00750061;0.0329806;-0.00031906
0.076846;0.0078614;0.0353314;-0.000223342
0.077844;0.00803044;0.0374435;-3.1906e-05
0.078842;0.00827755;0.0376134;-6.3812e-05
0.07984;0.00878366;0.0445162;-0.00015953
0.080838;0.00940835;0.0357117;-0.000446684
0.081836;0.00969601;0.0351412;-0.000893368
0.082834;0.00981857;0.039147;-0.00252057
0.083832;0.0102901;0.0443342;-0.00271201
0.08483;0.0109899;0.0495052;-0.00153149
0.085828;0.0114357;0.0623762;-0.00354156
0.086826;0.011408;0.0406481;-0.00542402
0.087824;0.0118875;0.0532115;-0.00733839
0.088822;0.0123876;0.0574479;-0.00733839
0.08982;0.0129085;0.0536931;-0.00456255
0.090818;0.0131517;0.0619513;-0.00172292
0.091816;0.0133494;0.0597016;-0.00574308
0.092814;0.0136697;0.0515081;-0.00315869
0.093812;0.0145791;0.0669929;-0.00287154
0.09481;0.014931;0.0626554;-0.00175483
0.095808;0.0150822;0.0643265;-0.00095718
0.096806;0.0152473;0.0620565;-0.00453065
0.097804;0.0158918;0.0667906;-0.000350966
0.098802;0.0163395;0.0687773;-0.000606214
0.0998;0.0166371;0.0695056;-0.000670026
0.100798;0.0167271;0.0649577;-0.00015953
0.101796;0.0171046;0.0645045;-0.00114862
0.102794;0.0177402;0.0751339;-0.00325441
0.103792;0.0182246;0.0785448;-0.00031906
0.10479;0.0183946;0.0778124;-0.00047859
0.105788;0.0184588;0.0785772;-0.00201008
0.106786;0.019221;0.0747696;-0.0015953
0.107784;0.0197933;0.0776668;-0.00510496
0.108782;0.020165;0.0815834;-0.00835938
0.10978;0.0202885;0.0832181;-0.0113267
