t;vds;corrente;vg
0.000998;-0.00197103;-0.0143383;0.265732
0.001996;-0.00169228;0.00931029;0.271776
0.002994;-0.00144516;0.000619069;0.271106
0.003992;-0.00164088;0.0119808;0.270691
0.00499;-0.00197993;-0.00222541;0.272541
0.005988;-0.00172391;-0.000327742;0.27152
0.006986;-0.00164681;-0.000534098;0.270691
0.007984;-0.0014244;0.00550283;0.270818
0.008982;-0.00172391;0.0099496;0.270691
0.00998;-0.00200761;-0.00489186;0.270659
0.010978;-0.00135719;0.00822997;0.270659
0.011976;-0.000285671;0.00656698;0.270723
0.012974;-0.00039737;0.00426065;0.270659
0.013972;-0.000426036;0.00820973;0.270659
0.01497;-0.000375623;-0.00388031;0.270691
0.015968;-0.000176938;0.00843227;0.270691
0.016966;-0.000238224;0.0123247;0.270659
0.017964;-0.000353877;0.00174796;0.270723
0.018962;-0.000666237;-0.00201501;0.271648
0.01996;-0.000262936;0.00360921;0.271138
0.020958;-0.000147284;0.0141536;0.270755
0.021956;-0.000457667;-0.00265431;0.270659
0.022954;-0.000613848;0.0090392;0.270755
0.023952;-0.000232293;-0.00136357;0.270819
0.02495;-0.000239213;0.00578202;0.271138
0.025948;-0.00027381;0.00962591;0.270659
0.026946;-0.000823406;-0.0148495;0.270659
0.027944;-0.000743339;0.0175888;0.27101
0.028942;-0.000341026;-0.00407453;0.270946
0.02994;3.45968e-05;0.0188714;0.270659
0.030938;-0.000176938;-0.000242772;0.270787
0.031936;-0.000530815;-0.0127253;0.270755
0.032934;-0.000366727;0.0172287;0.270818
0.033932;-0.000321257;0.00855365;0.270659
0.03493;-0.000133445;0.0183009;0.271361
0.035928;-0.000497207;-0.00160634;0.272031
0.036926;-0.000450748;-0.000962996;0.270882
0.037924;-0.000304452;-0.00139594;0.270723
0.038922;-0.000185835;0.00473001;0.270659
0.03992;-0.000427024;0.0200084;0.270659
0.040918;-0.000407255;-0.000724273;0.270659
0.041916;-0.000414174;0.0159299;0.270659
0.042914;-0.000280729;-0.00223351;0.270659
0.043912;-0.000392428;0.00839585;0.270659
0.04491;-0.000430978;0.00892996;0.270659
0.045908;-0.000391439;-0.00494041;0.270659
0.046906;2.37235e-05;0.009897;0.270659
0.047904;-0.000393416;-0.00140403;0.270659
0.048902;-0.000571343;0.0111189;0.270659
0.0499;-0.000467552;0.0110906;0.270691
0.050898;6.32627e-05;-0.0022416;0.270659
0.051896;0.000697868;0.00326124;0.270659
0.052894;0.000903473;-0.0089259;0.270691
0.053892;0.00111105;0.0251431;0.270659
0.05489;0.00168536;0.00765945;0.270659
0.055888;0.0021282;0.00862649;0.270659
0.056886;0.00251865;0.015331;0.270659
0.057884;0.00259674;-0.00325315;0.270659
0.058882;0.00325606;0.026802;0.270659
0.05988;0.00380961;7.28316e-05;0.270659
0.060878;0.00432066;0.0194177;0.270659
0.061876;0.0043345;0.0195795;0.270659
0.062874;0.00476152;0.00317627;0.270659
0.063872;0.00515395;0.0239818;0.270659
0.06487;0.00571145;0.00424447;0.270659
0.065868;0.00595857;0.0310586;0.270659
0.066866;0.00595759;0.00125837;0.270882
0.067864;0.006437;0.021724;0.270659
0.068862;0.00714574;0.0156102;0.271042
0.06986;0.00748578;0.0174148;0.270755
0.070858;0.00750555;0.0360071;0.270659
0.071856;0.00752235;0.00252483;0.270659
0.072854;0.00862549;0.0265754;0.270659
0.073852;0.00943604;0.0274534;0.270946
0.07485;0.00949929;0.0336522;0.270659
0.075848;0.00913356;0.0270933;0.270723
0.076846;0.00967328;0.00340286;0.270659
0.077844;0.0106865;0.0263367;0.270659
0.078842;0.011669;0.031884;0.270659
0.07984;0.0115059;0.0408383;0.270659
0.080838;0.0112924;0.011038;0.270818
0.081836;0.0116977;0.0194055;0.271169
0.082834;0.0126515;0.027506;0.271233
0.083832;0.0132594;0.0359019;0.270659
0.08483;0.0135837;0.0466567;0.27085
0.085828;0.0136143;0.0285095;0.27085
0.086826;0.0138377;0.0234194;0.270787
0.087824;0.014583;0.0441521;0.271425
0.088822;0.0151781;0.0230916;0.271201
0.08982;0.0156684;0.054652;0.270691
0.090818;0.0154984;0.0208784;0.270659
0.091816;0.0157949;0.0442047;0.270659
0.092814;0.0162476;0.0405752;0.270659
0.093812;0.0168555;0.0402354;0.270659
