t;vds;corrente;vg
0.00998;0.0138868;0.04159;0.0158312
0.01996;0.0237338;0.0414516;0.0392066
0.02994;0.0332583;0.0408441;0.0584741
0.03992;0.0427569;0.0412037;0.078669
0.0499;0.0524288;0.0421868;0.0973932
0.05988;0.0622596;0.0427543;0.114919
0.06986;0.0721684;0.0423547;0.134986
0.07984;0.0818936;0.043162;0.153679
0.08982;0.0915556;0.0416432;0.172372
0.0998;0.101108;0.0424426;0.190153
0.10978;0.110985;0.0425305;0.210475
0.11976;0.120649;0.042075;0.23019
0.12974;0.126899;0.043106;0.249282
0.13972;0.12711;0.0427304;0.266712
0.1497;0.12711;0.0426185;0.285056
0.15968;0.12711;0.0426504;0.303955
0.16966;0.12711;0.043146;0.32399
0.17964;0.12711;0.0434177;0.342971
0.18962;0.12711;0.0426824;0.361742
0.1996;0.12711;0.0430181;0.381827
0.20958;0.12711;0.0434977;0.401797
0.21956;0.12711;0.0438733;0.421175
0.22954;0.12711;0.0438094;0.438733
0.23952;0.12711;0.0438733;0.456386
0.2495;0.12711;0.0438494;0.47743
0.25948;0.12711;0.0435456;0.496059
0.26946;0.12711;0.0436256;0.514
0.27944;0.12711;0.0437375;0.533826
0.28942;0.12711;0.0436815;0.553331
0.2994;0.12711;0.0437055;0.574362
0.30938;0.12711;0.0438494;0.5923
0.31936;0.12711;0.0437774;0.611631
0.32934;0.12711;0.0436176;0.629542
0.33932;0.12711;0.0438653;0.650215
0.3493;0.12711;0.0438254;0.668305
0.35928;0.12711;0.0438654;0.685907
0.36926;0.12711;0.0438733;0.70334
0.37924;0.12711;0.0438334;0.724681
0.38922;0.12711;0.043162;0.74436
0.3992;0.12711;0.043146;0.749321
0.40918;0.12711;0.0438574;0.72912
0.41916;0.12711;0.0436096;0.708402
0.42914;0.12711;0.0437455;0.690426
0.43912;0.12711;0.0437774;0.672456
0.4491;0.12711;0.0438254;0.65423
0.45908;0.12711;0.0438653;0.635004
0.46906;0.12711;0.0437614;0.615594
0.47904;0.12711;0.0425545;0.5977
0.48902;0.12711;0.04313;0.579793
0.499;0.12711;0.0438733;0.558715
0.50898;0.12711;0.0438094;0.538491
0.51896;0.12711;0.0427463;0.518872
0.52894;0.12711;0.0436495;0.501696
0.53892;0.12711;0.0435456;0.482653
0.5489;0.12711;0.0432339;0.461644
0.55888;0.12711;0.0431859;0.442425
0.56886;0.12711;0.0432419;0.424899
0.57884;0.12711;0.0435776;0.407467
0.58882;0.12711;0.0429621;0.387399
0.5988;0.12711;0.0425944;0.367045
0.60878;0.12711;0.0431301;0.347714
0.61876;0.12711;0.0424107;0.328863
0.62874;0.12711;0.0423547;0.308829
0.63872;0.12711;0.0432179;0.289832
0.6487;0.12711;0.0420909;0.271345
0.65868;0.12711;0.0421389;0.254666
0.66866;0.122635;0.0423227;0.235702
0.67864;0.113053;0.0414036;0.215028
0.68862;0.103357;0.0423627;0.194467
0.6986;0.0936415;0.0415954;0.176925
0.70858;0.084035;0.0417953;0.158345
0.71856;0.0743059;0.0417472;0.139459
0.72854;0.0644747;0.0421549;0.119361
0.73852;0.054566;0.0411238;0.10217
0.7485;0.0448784;0.0403325;0.0832704
0.75848;0.0353239;0.0405243;0.0638263
0.76846;0.0257994;0.0398849;0.0425938
0.77844;0.0159585;0.0402526;0.0236934
0.78842;0.00611157;0.0409;0.00525629
0.7984;-0.00356224;0.040964;-0.0121582
0.80838;-0.0134013;0.0401327;-0.0318574
0.81836;-0.0233497;0.0409639;-0.0513646
0.82834;-0.0330155;0.0404044;-0.0707927
0.83832;-0.0424923;0.0405243;-0.0889099
0.8483;-0.0520905;0.0402206;-0.108544
0.85828;-0.0619412;0.0402046;-0.129042
0.86826;-0.0715853;0.0400528;-0.147736
0.87824;-0.0813944;0.0400208;-0.166077
0.88822;-0.0912312;0.0408041;-0.184865
0.8982;-0.0949326;0.0400368;-0.192534
0.90818;-0.0855275;0.0407082;-0.174593
0.91816;-0.0757387;0.0402925;-0.155453
0.92814;-0.0659552;0.0399968;-0.137206
0.93812;-0.0562875;0.0399169;-0.118802
0.9481;-0.0465023;0.0399968;-0.0984317
0.95808;-0.0370176;0.0399568;-0.0790846
0.96806;-0.027489;0.040916;-0.0602636
0.97804;-0.0175744;0.0402606;-0.0401175
0.98802;-0.00768174;0.0404444;-0.0211531
0.998;0.00200003;0.0399728;-0.00226868
1.00798;0.0118529;0.0401167;0.0153695
1.01796;0.0217416;0.0409319;0.0343019
1.02794;0.0313975;0.0421069;0.0542882
1.03792;0.0408683;0.0407961;0.0737962
1.0479;0.0504963;0.0414835;0.0945814
1.05788;0.0602896;0.0411957;0.111276
1.06786;0.0701902;0.042075;0.130433
1.07784;0.0799397;0.0407242;0.150133
1.08782;0.0895911;0.0407002;0.168378
1.0978;0.0991837;0.0407801;0.185744
1.10778;0.109039;0.042035;0.206097
1.11776;0.118693;0.0416673;0.225684
1.12774;0.126366;0.0408121;0.245879
1.13772;0.12711;0.0410199;0.26243
1.1477;0.12711;0.0408201;0.280742
1.15768;0.12711;0.042027;0.300297
1.16766;0.12711;0.0422588;0.320011
1.17764;0.12711;0.0427064;0.339184
1.18762;0.12711;0.0424985;0.358595
1.1976;0.12711;0.0433538;0.378231
1.20758;0.12711;0.0429302;0.398298
1.21756;0.12711;0.0418832;0.417086
1.22754;0.12711;0.0426025;0.43506
1.23752;0.12711;0.0425465;0.452633
1.2475;0.12711;0.0419791;0.472683
1.25748;0.12711;0.0417552;0.493278
1.26746;0.12711;0.0420909;0.510708
1.27744;0.12711;0.043146;0.528714
1.28742;0.12711;0.0436655;0.549706
1.2974;0.12711;0.043106;0.570976
1.30738;0.12711;0.0429142;0.589251
1.31736;0.12711;0.0434497;0.608279
1.32734;0.12711;0.0437535;0.62609
1.33732;0.12711;0.0437135;0.646154
1.3473;0.12711;0.0438733;0.664149
1.35728;0.12711;0.0436176;0.682743
1.36726;0.12711;0.0433698;0.69989
