t;vds;corrente;vg
0.000499;-0.0416076;0.00313925;-0.00491189
0.000998;-0.0399517;0.00302151;-0.00284141
0.001497;-0.039824;0.00358692;-0.00349773
0.001996;-0.0397322;0.00418824;-0.00355376
0.002495;-0.0381122;0.00445749;-0.00367382
0.002994;-0.0378329;0.00447843;-0.0036338
0.003493;-0.0378329;0.00447843;-0.00371384
0.003992;-0.0374738;0.00447843;-0.00296947
0.004491;-0.0359614;0.00361084;-0.00300149
0.00499;-0.0358417;0.00298561;-0.00374586
0.005489;-0.0358058;0.00260868;-0.0036338
0.005988;-0.0343214;0.00178598;-0.00340169
0.006487;-0.0338505;0.00134323;-0.00308953
0.006986;-0.0338505;0.000173513;-0.00396997
0.007485;-0.0332041;-0.000466689;-0.00325761
0.007984;-0.0319392;-0.00152272;-0.00378588
0.008483;-0.0318594;-0.00264756;-0.00202501
0.008982;-0.0314844;-0.0029886;-0.00284941
0.009481;-0.0301396;-0.00299159;-0.00381789
0.00998;-0.0298683;-0.00298561;-0.0024172
0.010479;-0.0297207;-0.0029886;-0.00334566
0.010978;-0.0282003;-0.00299757;-0.00345771
0.011477;-0.027877;-0.00349119;-0.00346572
0.011976;-0.0278571;-0.00369162;-0.00348173
0.012475;-0.0267438;-0.00326382;-0.00380989
0.012974;-0.0258859;-0.00295569;-0.0036418
0.013473;-0.0258859;-0.00158853;-0.0032176
0.013972;-0.0256783;-0.0014928;-0.00320959
0.014471;-0.0240141;-0.00134622;-0.00368983
0.01497;-0.0238944;-0.00041284;-0.00344971
0.015469;-0.0231642;0.000176504;-0.00263331
0.015968;-0.0219831;0.00139408;-0.00332965
0.016467;-0.0219033;0.00188471;-0.00356176
0.016966;-0.0215082;0.00299159;-0.00334566
0.017465;-0.0199878;0.00304843;-0.00339368
0.017964;-0.019912;0.00319801;-0.00326562
0.018463;-0.0198761;0.00357496;-0.00297748
0.018962;-0.0184955;0.00427201;-0.00230514
0.019461;-0.0179208;0.00447843;-0.00312155
0.01996;-0.0178849;0.00447843;-0.00324161
0.020459;-0.0168515;0.00447843;-0.00204101
0.020958;-0.0159377;0.00416131;-0.00313756
0.021457;-0.0159297;0.00308732;-0.0032176
0.021956;-0.0156265;0.00288689;-0.00287343
0.022455;-0.0141221;0.00219284;-0.00391394
0.022954;-0.0139385;0.00150477;-0.00356977
0.023453;-0.0139385;0.000706018;-0.0032336
0.023952;-0.0127213;-0.000128639;-0.00344171
0.024451;-0.0119472;-0.00145391;-0.00264931
0.02495;-0.0119472;-0.00207617;-0.00316957
0.025449;-0.01077;-0.00298561;-0.00298548
0.025948;-0.009956;-0.0029886;-0.00290544
0.026447;-0.009956;-0.00303347;-0.00331364
0.026946;-0.00937344;-0.00300056;-0.00398597
0.027445;-0.00796486;-0.00304544;-0.00381789
0.027944;-0.00796486;-0.00350914;-0.00312955
0.028443;-0.00782918;-0.00339545;-0.00260929
0.028942;-0.00657216;-0.00322793;-0.00329763
0.029441;-0.0059736;-0.00298561;-0.0032256
0.02994;-0.00579405;-0.00225866;-0.00312155
0.030439;-0.00447325;-0.00152272;-0.00359378
0.030938;-0.00398243;-0.00147186;-0.00263331
0.031437;-0.00396647;-0.000852607;-0.00198499
0.031936;-0.00305266;0;-0.00277738
0.032435;-0.0019992;0.000906456;-0.00182491
0.032934;-0.00199121;0.00157358;-0.00205702
0.033433;-0.00130885;0.0025279;-0.00265732
0.033932;-3.19232e-05;0.00299458;-0.00228113
0.034431;0;0.00331169;-0.00310554
0.03493;0.000231443;0.00347922;-0.00280939
0.035429;0.00153631;0.00408054;-0.00335366
0.035928;0.00199121;0.00441262;-0.00392995
0.036427;0.00199121;0.00447843;-0.00354576
0.036926;0.00224261;0.00447843;-0.00325761
0.037425;0.00369911;0.0044545;-0.00318558
0.037924;0.00398243;0.00357494;-0.00272135
0.038423;0.00409815;0.00303347;-0.0030335
0.038922;0.00561448;0.0022437;-0.00375386
0.039421;0.0059736;0.00154964;-0.00399398
0.03992;0.00607337;0.00128339;-0.00387392
0.040419;0.00735033;0.000113681;-0.00350574
0.040918;0.00792096;-0.000819699;-0.0038259
0.041417;0.00796486;-0.00155563;-0.00397797
0.041916;0.00796486;-0.00281509;-0.00397797
0.042415;0.00859931;-0.00298561;-0.00390593
0.042914;0.00992807;-0.00306638;-0.00396196
0.043413;0.009956;-0.00300954;-0.00388993
0.043912;0.0100837;-0.00308134;-0.00397797
0.044411;0.011612;-0.00311724;-0.00379388
0.04491;0.0119472;-0.00361085;-0.00391394
0.045409;0.0122266;-0.00339546;-0.00378588
0.045908;0.0138148;-0.00311125;-0.00387392
0.046407;0.0139385;-0.00281808;-0.00399398
0.046906;0.0142338;-0.00156759;-0.00395396
0.047405;0.0156025;-0.00148981;-0.00390593
0.047904;0.0159297;-0.00136117;-0.00392995
0.048403;0.016233;-0.000215395;-0.00389793
0.048902;0.0177413;0.000448739;-0.00386592
0.049401;0.0179208;0.00148383;-0.00399398
0.0499;0.0180565;0.00221677;-0.00395396
0.050399;0.0196367;0.00298561;-0.00399398
0.050898;0.019912;0.00303048;-0.00380989
0.051397;0.019912;0.0032369;-0.00279339
0.051896;0.0203031;0.00360188;-0.00375386
0.052395;0.0217516;0.00431688;-0.00366582
0.052894;0.0219033;0.00447843;-0.00325761
0.053393;0.0219751;0.00448143;-0.00378588
0.053892;0.0233916;0.00447843;-0.00339368
0.054391;0.0238944;0.00411643;-0.00381789
0.05489;0.0238944;0.00300655;-0.00324161
0.055389;0.0246688;0.00285398;-0.00327362
0.055888;0.0258859;0.00194453;-0.00376987
0.056387;0.0258859;0.00147186;-0.00385791
0.056886;0.0258859;0.000424807;-0.00385791
0.057385;0.0273024;-0.000275227;-0.0038419
0.057884;0.0278531;-0.00143297;-0.00316157
0.058383;0.027877;-0.00233045;-0.00280139
0.058882;0.0284597;-0.00298561;-0.002009
0.059381;0.0298124;-0.00300954;-0.00228113
0.05988;0.0298683;-0.0029886;-0.00215307
0.060379;0.0301077;-0.00306937;-0.00163281
0.060878;0.0314644;-0.00296766;-0.00184892
0.061377;0.0318594;-0.00316809;-0.00188094
0.061876;0.0320589;-0.00322793;-0.00258528
0.062375;0.0337109;-0.00319501;-0.00231315
0.062874;0.0338505;-0.00298561;-0.00164082
0.063373;0.0339144;-0.00211505;-0.00290544
0.063872;0.0352391;-0.0014928;-0.00216107
0.064371;0.0358417;-0.00122057;-0.0014087
0.06487;0.0358417;-0.000466689;-0.00260129
0.065369;0.0364282;5.68404e-05;-0.00293746
0.065868;0.0376892;0.00102014;-0.00319358
0.066367;0.0378329;0.0017082;-0.00271335
0.066866;0.0378967;0.0028091;-0.00355376
0.067365;0.039002;0.00298561;-0.00320159
0.067864;0.039824;0.00343434;-0.00351374
0.068363;0.039844;0.00377838;-0.00304151
0.068862;0.0413243;0.00424508;-0.00325761
0.069361;0.0418151;0.00447843;-0.00284941
0.06986;0.0418271;0.00447843;-0.00317758
0.070359;0.04318;0.00447843;-0.00257728
0.070858;0.0438066;0.00447843;-0.00251325
0.071357;0.0438066;0.00336553;-0.00324161
0.071856;0.0441577;0.00296766;-0.0030175
0.072355;0.04567;0.00248901;-0.00291345
0.072854;0.0457977;0.00157058;-0.00332965
0.073353;0.0461488;0.00112185;-0.00384991
0.073852;0.0476212;5.9832e-05;-0.00255327
0.074351;0.0477888;-0.00101415;-0.00329763
0.07485;0.0478088;-0.00173812;-0.00356977
0.075349;0.0492452;-0.0029168;-0.00352975
0.075848;0.0497799;-0.00298561;-0.00373785
0.076347;0.0497799;-0.00300056;-0.00329763
0.076846;0.0500395;-0.00299458;-0.00263331
0.077345;0.0515882;-0.00298561;-0.0024092
0.077844;0.0517717;-0.00325186;-0.00188094
0.078343;0.0524501;-0.00385018;-0.00192096
0.078842;0.0537629;-0.00330571;-0.00177688
0.079341;0.0537629;-0.00301851;-0.00206503
0.07984;0.054114;-0.00257876;-0.00245722
0.080339;0.0555186;-0.0014928;-0.00264931
0.080838;0.0557541;-0.0014599;-0.00214507
0.081337;0.0559336;-0.00106501;-0.00209704
0.081836;0.057398;-4.78656e-05;-0.00247323
0.082335;0.0577452;0.000717984;-0.00243321
0.082834;0.057813;0.00150776;-0.00307352
0.083333;0.0590821;0.00245909;-0.00329763
0.083832;0.0597366;0.00298561;-0.00210505
0.084331;0.0597366;0.00308433;-0.00256127
0.08483;0.0607341;0.00355102;-0.00299348
0.085329;0.0616718;0.00410746;-0.00309754
0.085828;0.0617277;0.00447544;-0.00208904
0.086327;0.0623781;0.00447843;-0.00213706
0.086826;0.0635433;0.00447843;-0.00245722
0.087325;0.0637189;0.00448741;-0.002009
0.087824;0.0637268;0.00397881;-0.00131265
0.088323;0.0648002;0.00299757;-0.0010085
0.088822;0.06571;0.00289885;-0.00191295
0.089321;0.06571;0.00190564;-0.00183291
0.08982;0.0657818;0.00146588;-0.00274536
0.090319;0.0675096;0.000272236;-0.00297748
0.090818;0.0677011;-0.000379933;-0.00288143
0.091317;0.0677929;-0.00148084;-0.00290544
0.091816;0.0694009;-0.00236935;-0.00360178
0.092315;0.0696922;-0.00298561;-0.00345771
0.092814;0.0697401;-0.0030933;-0.00295346
0.093313;0.0712404;-0.00302749;-0.00345771
0.093812;0.0716834;-0.0030245;-0.00293746
0.094311;0.0716834;-0.0029886;-0.00284141
0.09481;0.0716913;-0.00320399;-0.00247323
0.095309;0.0726809;-0.00325185;-0.00309754
0.095808;0.0736745;-0.00317407;-0.00315356
0.096307;0.0736745;-0.00296167;-0.00214507
0.096806;0.0741054;-0.00168127;-0.00190495
0.097305;0.075586;-0.0014928;-0.000888445
0.097804;0.0756658;-0.00132827;-0.00145673
0.098303;0.0760927;-0.000353008;-0.00126463
0.098802;0.0775491;7.77816e-05;-0.0018009
0.099301;0.0776569;0.00126245;-0.00134467
0.0998;0.078032;0.00189668;-0.00138469
0.100299;0.0794206;0.00288988;-0.000576288
0.100798;0.079648;0.00305441;-0.0026253
0.101297;0.0800869;0.003557;-0.00274536
0.101796;0.0815952;0.00367966;-0.00271335
0.102295;0.0816391;0.00429893;-0.00304951
