t;vds;corrente;vg
0.000499;0.0458017;-8.99648e-05;-0.20276
0.000998;0.0457977;0.00136716;-0.203693
0.001497;0.0458336;0.00193557;-0.203781
0.001996;0.0476013;0.00270141;-0.203693
0.002495;0.0477888;0.0029168;-0.203693
0.002994;0.0477888;0.00315314;-0.203693
0.003493;0.0488382;0.00372453;-0.203693
0.003992;0.0497121;0.00415832;-0.203757
0.004491;0.0497799;0.00420021;-0.203773
0.00499;0.0499437;0.00428098;-0.203693
0.005489;0.0515802;0.00411943;-0.203693
0.005988;0.0517717;0.00296168;-0.203693
0.006487;0.0520949;0.00272236;-0.203693
0.006986;0.0535354;0.00242619;-0.203693
0.007485;0.0537629;0.00210309;-0.203693
0.007984;0.0540582;0.00102612;-0.203693
0.008483;0.0556503;0.000107698;-0.203693
0.008982;0.0557541;-0.000382924;-0.203693
0.009481;0.055766;-0.00125348;-0.203693
0.00998;0.0568793;-0.00220182;-0.203693
0.010479;0.0577452;-0.0028809;-0.203693
0.010978;0.0577532;-0.00308134;-0.203693
0.011477;0.0588586;-0.00313518;-0.203525
0.011976;0.0597366;-0.00303646;-0.203693
0.012475;0.0597366;-0.00322194;-0.203653
0.012974;0.0605226;-0.00326382;-0.203693
0.013473;0.0617277;-0.00336853;-0.203693
0.013972;0.0617277;-0.00292578;-0.203693
0.014471;0.062019;-0.00252192;-0.203693
0.01497;0.0636231;-0.00204326;-0.203693
0.015469;0.0637189;-0.0016364;-0.203693
0.015968;0.0637189;-0.0012445;-0.203693
0.016467;0.0649199;-6.28236e-05;-0.203693
0.016966;0.06571;0.000170521;-0.203693
0.017465;0.06571;0.00111587;-0.203693
0.017964;0.0658057;0.00171418;-0.203693
0.018463;0.0671385;0.00246807;-0.203693
0.018962;0.0677011;0.00296167;-0.203693
0.019461;0.067753;0.0029886;-0.203693
0.01996;0.0691974;0.0032369;-0.203693
0.020459;0.0696922;0.00372753;-0.203693
0.020958;0.0696922;0.00393395;-0.203693
0.021457;0.0711247;0.00427201;-0.203693
0.021956;0.0716514;0.00410149;-0.203693
0.022455;0.0716834;0.00357794;-0.203693
0.022954;0.0716874;0.00294074;-0.203693
0.023453;0.0728086;0.00274629;-0.203693
0.023952;0.0736665;0.0022437;-0.203693
0.024451;0.0736745;0.0013881;-0.203693
0.02495;0.0739059;0.00056242;-0.203693
0.025449;0.0755221;-5.9832e-05;-0.203693
0.025948;0.0756658;-0.000996205;-0.203693
0.026447;0.0759291;-0.00195351;-0.203693
0.026946;0.0774853;-0.00265354;-0.203693
0.027445;0.0776569;-0.00301552;-0.203693
0.027944;0.0778604;-0.00301851;-0.203693
0.028443;0.0793448;-0.0030933;-0.203693
0.028942;0.079648;-0.0031651;-0.203693
0.029441;0.0799034;-0.00323391;-0.203693
0.02994;0.0814755;-0.00319801;-0.203693
0.030439;0.0816391;-0.00314117;-0.203693
0.030938;0.0819344;-0.00308732;-0.203693
0.031437;0.0835385;-0.00239926;-0.203693
0.031936;0.0836302;-0.00183384;-0.203693
0.032435;0.0836462;-0.00124151;-0.203693
0.032934;0.0844645;-0.00065516;-0.203693
0.033433;0.0856141;-2.09412e-05;-0.203693
0.033932;0.085622;0.000714993;-0.203693
0.034431;0.0864241;0.00143896;-0.203693
0.03493;0.0876051;0.00226763;-0.203749
0.035429;0.0876131;0.00266252;-0.203693
0.035928;0.088064;0.0030574;-0.203757
0.036427;0.0895524;0.00303048;-0.20379
0.036926;0.0896042;0.0034523;-0.203693
0.037425;0.0896042;0.00417328;-0.203693
0.037924;0.0902067;0.00439167;-0.203693
0.038423;0.0915035;0.0041643;-0.203693
0.038922;0.0915953;0.00369162;-0.203693
0.039421;0.0916951;0.0031292;-0.203693
0.03992;0.0930358;0.00297065;-0.203693
0.040419;0.0935866;0.00235739;-0.203765
0.040918;0.0935866;0.0019595;-0.203693
0.041417;0.0940375;0.00085859;-0.203693
0.041916;0.0955058;-7.77816e-05;-0.203693
0.042415;0.0955776;-0.000709009;-0.203693
0.042914;0.0957373;-0.0014928;-0.203749
0.043413;0.0972934;-0.00228259;-0.203693
0.043912;0.0975688;-0.00297065;-0.203693
0.044411;0.0975927;-0.00306638;-0.203693
0.04491;0.0992885;-0.00317408;-0.203693
0.045409;0.0995599;-0.00305142;-0.203693
0.045908;0.0995599;-0.00332066;-0.203693
0.046407;0.100171;-0.00340742;-0.203693
0.046906;0.101504;-0.00335956;-0.203693
0.047405;0.101552;-0.00294373;-0.203693
0.047904;0.101564;-0.00239328;-0.203693
0.048403;0.10316;-0.00188171;-0.203693
0.048902;0.103543;-0.00137913;-0.203693
0.049401;0.104194;-0.00109792;-0.203749
0.0499;0.105507;-0.000320101;-0.203693
0.050399;0.105535;0.000212404;-0.203693
0.050898;0.106185;0.000993213;-0.203693
0.051397;0.107482;0.00209711;-0.203693
0.051896;0.107526;0.00275226;-0.203693
0.052395;0.107526;0.00288688;-0.203693
0.052894;0.108064;0.00297962;-0.203693
