t;vds;corrente;vg
0.000499;-0.0895963;0.00276106;0.191158
0.000998;-0.0876889;0.00383223;0.195794
0.001497;-0.0876131;0.00404763;0.195786
0.001996;-0.0865198;0.00421516;0.195706
0.002495;-0.085622;0.00426901;0.195738
0.002994;-0.085614;0.00398779;0.195706
0.003493;-0.0845362;0.00329075;0.195706
0.003992;-0.0836342;0.00275526;0.195706
0.004491;-0.0836302;0.00226763;0.195746
0.00499;-0.083327;0.00171118;0.195786
0.005489;-0.0819544;0.000990221;0.195794
0.005988;-0.0816391;-6.58152e-05;0.196418
0.006487;-0.0815434;-0.000909448;0.196138
0.006986;-0.0801189;-0.00175008;0.196186
0.007485;-0.079648;-0.002492;0.195746
0.007984;-0.079648;-0.00306339;0.196251
0.008483;-0.0791173;-0.00293774;0.195938
0.008982;-0.0776569;-0.00309031;0.196419
0.009481;-0.0776569;-0.00306339;0.196635
0.00998;-0.0776569;-0.00354803;0.196603
0.010479;-0.07638;-0.00341041;0.196002
0.010978;-0.0756658;-0.00328776;0.196699
0.011477;-0.0756299;-0.0028809;0.197163
0.011976;-0.0746283;-0.00208215;0.19613
0.012475;-0.0736745;-0.00190564;0.195994
0.012974;-0.0736745;-0.00119066;0.195962
0.013473;-0.0729802;-0.000789784;0.195922
0.013972;-0.0716953;-0.00016753;0.19573
0.014471;-0.0716834;0.000403865;0.195738
0.01497;-0.0716036;0.00145391;0.196106
0.015469;-0.0702828;0.00181889;0.196194
0.015968;-0.0696922;0.00261465;0.196179
0.016467;-0.0695885;0.0030245;0.196835
0.016966;-0.068579;0.00326981;0.195722
0.017465;-0.067749;0.00348221;0.195706
0.017964;-0.0677011;0.00392497;0.19577
0.018463;-0.0668991;0.00426602;0.195706
0.018962;-0.0658018;0.00432586;0.195706
0.019461;-0.06571;0.00421516;0.19573
0.01996;-0.0655185;0.00342538;0.195706
0.020459;-0.0640501;0.00289886;0.19577
0.020958;-0.0637189;0.00236336;0.195746
0.021457;-0.0636231;0.00199838;0.195762
0.021956;-0.0625218;0.00133724;0.195762
0.022455;-0.0617277;0.000218387;0.19573
0.022954;-0.0617277;-0.000266252;0.19625
0.023453;-0.0614444;-0.00157059;0.195978
0.023952;-0.0599082;-0.00225268;0.19589
0.024451;-0.0597366;-0.00283304;0.195922
0.02495;-0.0594692;-0.00304544;0.196355
0.025449;-0.0580565;-0.00316211;0.195874
0.025948;-0.0577452;-0.00311425;0.196154
0.026447;-0.0573342;-0.00319801;0.196234
0.026946;-0.0558299;-0.00351811;0.195906
0.027445;-0.0557541;-0.00320998;0.195786
0.027944;-0.0557541;-0.00280612;0.19573
0.028443;-0.0556783;-0.0028091;0.19573
0.028942;-0.0538866;-0.00198342;0.19597
0.029441;-0.0537629;-0.00155862;0.195738
0.02994;-0.0537629;-0.00141502;0.195722
0.030439;-0.0532402;-0.000421815;0.195706
0.030938;-0.0518037;0.00014958;0.195706
0.031437;-0.0517717;0.00111886;0.195706
0.031936;-0.0504942;0.00157059;0.195882
0.032435;-0.0497799;0.00225567;0.195746
0.032934;-0.0497799;0.00290483;0.19597
0.033433;-0.0491136;0.0030245;0.195754
0.033932;-0.0478207;0.00320998;0.195722
0.034431;-0.0477888;0.003916;0.195706
0.03493;-0.0468551;0.00414336;0.195706
0.035429;-0.0457977;0.00435577;0.195706
0.035928;-0.0457897;0.00429893;0.195706
0.036427;-0.0448919;0.00335357;0.195706
0.036926;-0.0438664;0.00323092;0.19573
0.037425;-0.0438066;0.00273432;0.19593
0.037924;-0.0437906;0.00218386;0.195738
0.038423;-0.0419628;0.00187573;0.195834
0.038922;-0.0418151;0.000750891;0.195882
0.039421;-0.0416475;-0.000173513;0.195746
0.03992;-0.0400794;-0.00100518;0.195826
0.040419;-0.039824;-0.00186975;0.196098
0.040918;-0.039812;-0.00260568;0.195706
0.041417;-0.0384195;-0.00295868;0.195938
0.041916;-0.0378329;-0.00303946;0.196123
0.042415;-0.0378329;-0.00301552;0.196611
0.042914;-0.0377491;-0.00315613;0.195882
0.043413;-0.0362806;-0.0033087;0.196026
0.043912;-0.0358417;-0.00325185;0.195818
0.044411;-0.0358257;-0.00289587;0.196915
0.04491;-0.0349359;-0.00297364;0.196242
0.045409;-0.0338505;-0.00207018;0.196122
0.045908;-0.0338505;-0.00185179;0.196619
0.046407;-0.0333757;-0.00147485;0.196875
0.046906;-0.0321707;-0.00104706;0.196531
0.047405;-0.0318594;-2.09412e-05;0.197588
0.047904;-0.0318315;0.000556437;0.196827
0.048403;-0.0302793;0.00144494;0.197315
0.048902;-0.0298683;0.0022437;0.196466
0.049401;-0.0298244;0.00279116;0.196507
0.0499;-0.0286911;0.00311724;0.197011
0.050399;-0.027877;0.00303946;0.197059
0.050898;-0.027877;0.00347624;0.196586
0.051397;-0.0272625;0.00408054;0.196507
0.051896;-0.0259417;0.00436176;0.196563
0.052395;-0.0258859;0.00447843;0.196251
0.052894;-0.0258739;0.00406857;0.197443
0.053393;-0.0245648;0.00331469;0.196675
0.053892;-0.0238944;0.00286295;0.196883
0.054391;-0.0237867;0.00252192;0.196387
0.05489;-0.0223861;0.00186376;0.19613
0.055389;-0.0219033;0.00109193;0.196715
0.055888;-0.0217596;0.000128639;0.196018
0.056387;-0.020343;-0.000613278;0.196411
0.056886;-0.019912;-0.00140306;0.196811
0.057385;-0.019912;-0.00215694;0.196066
0.057884;-0.0190781;-0.00289586;0.196138
0.058383;-0.0179248;-0.00304843;0.19597
0.058882;-0.0179208;-0.00301253;0.196106
0.059381;-0.0176136;-0.00310527;0.195706
0.05988;-0.0160295;-0.00318604;0.195754
0.060379;-0.0159297;-0.00324887;0.195754
0.060878;-0.0159257;-0.00321297;0.19617
0.061377;-0.014565;-0.0032369;0.196306
0.061876;-0.0139385;-0.00240824;0.19613
0.062375;-0.0139385;-0.00190864;0.196082
0.062874;-0.0135993;-0.00161845;0.195898
0.063373;-0.012019;-0.000957313;0.195802
0.063872;-0.0119472;-0.000332067;0.195794
0.064371;-0.0113048;0.000185479;0.195898
