t;vds;corrente;vg
0.02495;0.201515;-0.0026112;0.569546
0.0499;0.201112;-0.00110991;0.575109
0.07485;0.201112;-0.00343355;0.569584
0.0998;0.201112;-0.00142931;0.566048
0.12475;0.201112;-0.00227573;0.5592
0.1497;0.201112;-0.00158901;0.555004
0.17465;0.201112;-0.0027149;0.550489
0.1996;0.201112;-0.00116581;0.543415
0.22455;0.201112;-0.00376892;0.540084
0.2495;0.201112;-0.00157304;0.535025
0.27445;0.201112;-0.00320199;0.528178
0.2994;0.201112;-0.00141334;0.522924
0.32435;0.201112;-0.00334573;0.519179
0.3493;0.201112;-0.000854395;0.512379
0.37425;0.201112;-0.00280274;0.511035
0.3992;0.201112;-0.00128558;0.503332
0.42415;0.201112;-0.0027149;0.499878
0.4491;0.201112;-0.00112588;0.494467
0.47405;0.201112;-0.00339363;0.487902
0.499;0.201112;-0.00119775;0.483647
0.52395;0.201112;-0.00253923;0.479246
0.5489;0.201112;-0.00182856;0.473192
0.57385;0.201112;-0.0025552;0.469416
0.5988;0.201112;-0.00194035;0.463271
0.62375;0.201112;-0.00243543;0.456609
0.6487;0.201112;-0.00206811;0.452929
0.67365;0.201112;-0.00325789;0.447296
0.6986;0.201112;-0.0019164;0.44366
0.72355;0.201112;-0.00302631;0.438714
0.7485;0.201112;-0.00178065;0.431497
0.77345;0.201112;-0.00244341;0.427909
0.7984;0.201112;-0.0017567;0.423331
0.82335;0.201112;-0.00214796;0.419636
0.8483;0.201112;-0.00155707;0.415122
0.87325;0.201112;-0.0015411;0.407981
0.8982;0.201112;-0.0013814;0.405357
0.92315;0.201112;-0.00176468;0.399404
0.9481;0.201112;-0.0014373;0.394231
0.97305;0.201112;-0.00209207;0.390662
0.998;0.201112;-0.00108596;0.384069
1.02295;0.201112;-0.00237953;0.379009
1.0479;0.201112;-0.00149319;0.374206
1.07285;0.201112;-0.00236356;0.367434
1.0978;0.201112;-0.00174871;0.364907
1.12275;0.201112;-0.00156506;0.359433
1.1477;0.201112;-0.00185252;0.354101
1.17265;0.201112;-0.0018605;0.350996
1.1976;0.201112;-0.00183655;0.344243
1.22255;0.201112;-0.00179662;0.337838
1.2475;0.201112;-0.00212401;0.335469
1.27245;0.201112;-0.00206013;0.328652
1.2974;0.201112;-0.0017008;0.326619
1.32235;0.201112;-0.00182856;0.319559
1.3473;0.201112;-0.00206811;0.314903
1.37225;0.201112;-0.00137342;0.311285
1.3972;0.201112;-0.00202819;0.304609
1.42215;0.201112;-0.00210005;0.301489
1.4471;0.201112;-0.00248334;0.295535
1.47205;0.201112;-0.00217192;0.289819
1.497;0.201112;-0.00202819;0.287371
1.52195;0.201112;-0.00210006;0.280008
1.5469;0.201112;-0.0020761;0.276022
1.57185;0.201112;-0.0023955;0.271444
1.5968;0.201112;-0.00292252;0.264449
1.62175;0.201112;-0.00220386;0.261888
1.6467;0.201112;-0.00222782;0.255902
1.67165;0.201112;-0.00229968;0.252524
1.6966;0.201112;-0.00261909;0.24761
1.72155;0.201112;-0.00221185;0.243176
1.7465;0.201112;-0.00252326;0.236934
1.77145;0.201112;-0.00194834;0.231636
1.7964;0.201112;-0.00230767;0.227234
1.82135;0.201112;-0.00203617;0.223648
1.8463;0.201112;-0.00265901;0.217165
1.87125;0.201112;-0.00210005;0.213948
1.8962;0.201112;-0.00280274;0.207673
1.92115;0.201112;-0.00161297;0.201335
1.9461;0.201112;-0.00286662;0.196581
1.97105;0.201112;-0.00162894;0.191747
1.996;0.201112;-0.00248334;0.18771
2.02095;0.201112;-0.00114185;0.182684
2.0459;0.201112;-0.00257118;0.17617
2.07085;0.201112;-0.00129357;0.172104
2.0958;0.201112;-0.00215595;0.167735
2.12075;0.201112;-0.00154909;0.163765
2.1457;0.201112;-0.00285864;0.159587
2.17065;0.201112;-0.00205214;0.152065
2.1956;0.201112;-0.00254722;0.150144
2.22055;0.201112;-0.00125364;0.143773
2.2455;0.201112;-0.00213998;0.139276
2.27045;0.201112;-0.00087835;0.135578
2.2954;0.201112;-0.00241147;0.128247
2.32035;0.201112;-0.0011179;0.124037
2.3453;0.201112;-0.00236356;0.118771
2.37025;0.201112;-0.00103006;0.111824
2.3952;0.201112;-0.00199625;0.11128
2.42015;0.201104;-0.00108596;0.103837
2.4451;0.201112;-0.00257916;0.099963
2.47005;0.201112;-0.00118178;0.0957052
2.495;0.201112;-0.00253923;0.0892214
2.51995;0.201112;-0.00084641;0.0842755
2.5449;0.201112;-0.00238752;0.0798737
2.56985;0.201112;-0.000407235;0.0755201
2.5948;0.201112;-0.00311416;0.0718866
2.61975;0.201112;-0.000774545;0.0651319
2.6447;0.201112;-0.00234759;0.0621547
2.66965;0.201112;-0.00097417;0.055912
2.6946;0.201112;-0.00209207;0.0500536
2.71955;0.201112;-0.00129357;0.0477005
2.7445;0.201112;-0.00260311;0.0410893
2.76945;0.201112;-0.0009582;0.0364955
2.7944;0.201112;-0.0025073;0.0319497
2.81935;0.201112;-0.00154909;0.0260913
2.8443;0.201112;-0.0020761;0.0230018
2.86925;0.201112;-0.00060686;0.0159748
2.8942;0.201112;-0.00271491;0.00984418
2.91915;0.201112;-0.00094223;0.0072511
2.9441;0.201112;-0.00256319;0.000496211
2.96905;0.201112;-0.00062283;-0.00198485
2.994;0.201112;-0.00225976;-0.00798742
3.01895;0.201112;-0.000918275;-0.0122772
3.0439;0.201112;-0.00212401;-0.0176235
3.06885;0.201112;-0.000566935;-0.0239303
3.0938;0.201112;-0.00251528;-0.0283961
3.11875;0.201112;-0.00117379;-0.0319497
3.1437;0.201112;-0.00210006;-0.0385283
3.16865;0.201112;-0.00144528;-0.0415218
3.1936;0.201112;-0.00247535;-0.0479727
3.21855;0.201112;-0.00062283;-0.0546154
3.2435;0.201112;-0.00222782;-0.0581849
3.26845;0.201112;-0.00041522;-0.0638994
3.2934;0.201112;-0.00235558;-0.0689574
3.31835;0.201112;-0.000822455;-0.0718866
3.3433;0.201112;-0.00211603;-0.0789774
3.36825;0.201112;-0.00065477;-0.0844195
3.3932;0.201112;-0.00262707;-0.0878609
3.41815;0.201112;-0.00177267;-0.0926639
3.4431;0.201112;-0.00323393;-0.0966496
3.46805;0.201108;-0.00099014;-0.103532
3.493;0.201112;-0.00285864;-0.106606
3.51795;0.201112;-0.00103006;-0.111824
3.5429;0.201112;-0.00297841;-0.117843
3.56785;0.201112;-0.000343355;-0.119939
3.5928;0.201112;-0.00331379;-0.127254
3.61775;0.201112;-0.00167685;-0.133209
3.6427;0.201112;-0.00300236;-0.137691
3.66765;0.201112;-0.00112588;-0.143773
3.6926;0.201112;-0.00261908;-0.147487
3.71755;0.201092;-0.000790515;-0.15176
3.7425;0.201112;-0.00217991;-0.157154
3.76745;0.201112;-0.00094223;-0.160804
3.7924;0.201112;-0.00242745;-0.167623
3.81735;0.201112;-0.00123767;-0.173177
3.8423;0.201104;-0.00315408;-0.175722
3.86725;0.201112;-0.0011179;-0.18222
3.8922;0.201112;-0.00332177;-0.184077
3.91715;0.201112;-0.00081447;-0.191186
3.9421;0.201112;-0.00276281;-0.194708
3.96705;0.201112;-0.0007985;-0.199302
3.992;0.201112;-0.00244341;-0.192691
4.01695;0.201112;-0.0001597;-0.188639
4.0419;0.201112;-0.00243543;-0.183709
4.06685;0.201112;-0.00055895;-0.178283
4.0918;0.201112;-0.00224379;-0.175722
4.11675;0.201112;-0.000966185;-0.170232
