t;vds;corrente;vg
0;-0.0021203;0.0196402;0
2e-05;-0.00198487;0.0162091;-0.0526623
4e-05;-0.00185143;0.0205102;-0.00565041
6e-05;-0.00201354;0.0180986;-0.000128054
8e-05;-0.00208669;0.018572;-0.0661561
0.0001;-0.00198883;0.0168281;-0.368717
0.00012;-0.00209855;0.0180177;-0.398011
0.00014;-0.00202441;0.0168524;-0.399148
0.00016;-0.00210349;0.0157033;-0.399372
0.00018;-0.00208471;0.0173946;-0.399372
0.0002;-0.00100232;0.0236864;-0.399372
0.00022;-0.000672168;0.0252523;-0.399372
0.00024;-0.000585182;0.0285742;-0.399372
0.00026;0.000844164;0.0368002;-0.399372
0.00028;0.00271734;0.047126;-0.399372
0.0003;0.00452923;0.0581317;-0.399372
0.00032;0.00640141;0.0683242;-0.399372
0.00034;0.00839222;0.0763396;-0.39934
0.00036;0.0102041;0.0863337;-0.39934
0.00038;0.012014;0.0978047;-0.399372
0.0004;0.014069;0.109296;-0.399372
0.00042;0.0158651;0.121815;-0.399356
0.00044;0.0174981;0.128584;-0.399372
0.00046;0.0195501;0.14623;-0.399372
0.00048;0.0218148;0.149414;-0.39926
0.0005;0.0232075;0.162362;-0.399244
0.00052;0.0255324;0.170616;-0.39926
0.00054;0.0268699;0.183123;-0.399132
0.00056;0.0287352;0.196386;-0.399132
0.00058;0.0309781;0.205753;-0.399324
0.0006;0.0325299;0.213809;-0.39918
0.00062;0.0342735;0.223723;-0.399324
0.00064;0.0365599;0.232288;-0.399324
0.00066;0.0381257;0.238293;-0.399372
0.00068;0.0401885;0.245058;-0.39934
0.0007;0.0421627;0.248335;-0.399292
0.00072;0.0437866;0.250387;-0.399372
0.00074;0.04555;0.253871;-0.39918
0.00076;0.0444588;0.251439;-0.39934
0.00078;0.0425462;0.24785;-0.399276
0.0008;0.0407224;0.247765;-0.399196
0.00082;0.0388345;0.240802;-0.399372
0.00084;0.0368959;0.233834;-0.399372
0.00086;0.0349793;0.226247;-0.399372
0.00088;0.0330182;0.222153;-0.399372
0.0009;0.0312093;0.204786;-0.399276
0.00092;0.0295023;0.200687;-0.399372
0.00094;0.0275173;0.190022;-0.399276
0.00096;0.025749;0.180404;-0.399356
0.00098;0.0238155;0.168921;-0.399372
0.001;0.0222033;0.160788;-0.399308
0.00102;0.0202026;0.145963;-0.399372
0.00104;0.0182978;0.134099;-0.399372
0.00106;0.0163949;0.128807;-0.39926
0.00108;0.0146937;0.118145;-0.399244
0.0011;0.0127425;0.110575;-0.399292
0.00112;0.0107448;0.0919984;-0.399276
0.00114;0.00895564;0.0824413;-0.399372
0.00116;0.00699352;0.0724836;-0.399372
0.00118;0.00517075;0.0614375;-0.399356
0.0012;0.00332921;0.0533208;-0.399324
0.00122;0.00178619;0.037573;-0.399196
0.00124;-0.000550584;0.0268708;-0.398731
0.00126;-0.00236247;0.0211333;-0.399324
0.00128;-0.00405475;0.0055352;-0.39918
0.0013;-0.00584688;-0.00392077;-0.399228
0.00132;-0.00791281;-0.0156466;-0.399052
0.00134;-0.00983834;-0.0243338;-0.399372
0.00136;-0.0116819;-0.0391631;-0.399212
0.00138;-0.0135768;-0.0505006;-0.399372
0.0014;-0.0153965;-0.0596126;-0.399372
0.00142;-0.0172094;-0.0703391;-0.399372
0.00144;-0.0191241;-0.0815309;-0.399372
0.00146;-0.0210961;-0.0934227;-0.399372
0.00148;-0.0229258;-0.103635;-0.399372
0.0015;-0.0246843;-0.111796;-0.399372
0.00152;-0.0265872;-0.125173;-0.399372
0.00154;-0.028663;-0.130765;-0.399372
0.00156;-0.0303434;-0.147043;-0.39926
0.00158;-0.0322373;-0.154019;-0.399372
0.0016;-0.034233;-0.167128;-0.399372
0.00162;-0.0360141;-0.179664;-0.399372
0.00164;-0.0378638;-0.18861;-0.399372
0.00166;-0.0399621;-0.194367;-0.399372
0.00168;-0.0417051;-0.208023;-0.399372
0.0017;-0.0434022;-0.217463;-0.399372
0.00172;-0.0454841;-0.223067;-0.399372
0.00174;-0.0470408;-0.23069;-0.399372
0.00176;-0.0464259;-0.228287;-0.399372
0.00178;-0.04445;-0.218442;-0.399372
0.0018;-0.0425937;-0.215594;-0.399372
0.00182;-0.0407055;-0.199911;-0.399372
0.00184;-0.0389838;-0.192631;-0.399372
0.00186;-0.0369623;-0.180525;-0.399372
0.00188;-0.0351345;-0.170333;-0.399372
0.0019;-0.0332406;-0.163058;-0.399372
0.00192;-0.0312875;-0.154986;-0.399372
0.00194;-0.0296099;-0.146735;-0.399372
0.00196;-0.0277387;-0.130211;-0.399372
0.00198;-0.025829;-0.119092;-0.399372
0.002;-0.0237809;-0.10809;-0.399372
0.00202;-0.0222379;-0.0994677;-0.399372
0.00204;-0.0200346;-0.0871065;-0.399372
0.00206;-0.0182345;-0.0764368;-0.399372
0.00208;-0.0164572;-0.0671224;-0.399372
0.0021;-0.0144051;-0.0560155;-0.399372
0.00212;-0.0126476;-0.04467;-0.399372
0.00214;-0.0107418;-0.0314025;-0.399372
0.00216;-0.00887953;-0.0242529;-0.399372
0.00218;-0.00708149;-0.0113455;-0.399372
0.0022;-0.00507586;0.00020231;-0.399372
0.00222;-0.00324124;0.0109935;-0.399372
0.00224;-0.00125933;0.020494;-0.399292
0.00226;0.000585182;0.0296546;-0.399372
0.00228;0.00232195;0.0422099;-0.399372
0.0023;0.00421884;0.0541907;-0.39934
0.00232;0.00620174;0.0696189;-0.399372
0.00234;0.00786239;0.0786904;-0.399372
0.00236;0.00976223;0.0860303;-0.399372
0.00238;0.0116937;0.0973556;-0.399372
0.0024;0.0134749;0.110057;-0.399372
0.00242;0.0154173;0.121471;-0.399372
0.00244;0.0172727;0.132112;-0.399372
0.00246;0.0191103;0.142305;-0.399276
0.00248;0.0211445;0.154666;-0.399372
0.0025;0.0229437;0.16205;-0.399372
0.00252;0.0246854;0.175362;-0.399372
0.00254;0.0266632;0.185389;-0.399372
0.00256;0.0284514;0.199676;-0.399276
0.00258;0.0303425;0.204147;-0.399372
0.0026;0.0320386;0.217499;-0.399372
0.00262;0.0344803;0.220283;-0.399356
0.00264;0.0356188;0.231362;-0.39934
0.00266;0.0377679;0.238171;-0.399356
0.00268;0.0398425;0.245212;-0.399308
0.0027;0.0414135;0.247518;-0.399212
0.00272;0.0433815;0.252038;-0.399244
0.00274;0.0452864;0.253907;-0.399372
0.00276;0.0446842;0.253041;-0.399084
0.00278;0.0430078;0.251694;-0.399372
0.0028;0.0410871;0.247308;-0.399003
0.00282;0.0390698;0.24278;-0.399116
0.00284;0.037332;0.2396;-0.399372
0.00286;0.0353234;0.229063;-0.399372
0.00288;0.0334116;0.220522;-0.399308
0.0029;0.0316769;0.214845;-0.399372
0.00292;0.029864;0.199194;-0.399372
0.00294;0.0279246;0.195962;-0.399372
0.00296;0.0261009;0.182876;-0.399244
0.00298;0.0240922;0.171947;-0.39934
0.003;0.0222487;0.16241;-0.399372
0.00302;0.0205298;0.150041;-0.399356
0.00304;0.0186447;0.139772;-0.399228
0.00306;0.0168496;0.130498;-0.399372
0.00308;0.0149903;0.117526;-0.399372
0.0031;0.0130034;0.111202;-0.399372
0.00312;0.0111738;0.0954619;-0.399372
0.00314;0.0092156;0.085035;-0.399372
0.00316;0.00724261;0.0705334;-0.399372
0.00318;0.00571442;0.0622912;-0.399164
0.0032;0.00394998;0.056226;-0.398651
0.00322;0.00201947;0.0435816;-0.399356
0.00324;8.69861e-05;0.0281696;-0.39926
0.00326;-0.00184846;0.0204738;-0.398587
0.00328;-0.00369495;0.00848081;-0.399292
0.0033;-0.00560766;-0.000271096;-0.39918
0.00332;-0.00756091;-0.0140727;-0.399372
0.00334;-0.00933423;-0.0265471;-0.399372
0.00336;-0.0112904;-0.0394382;-0.399372
0.00338;-0.0131211;-0.0456411;-0.399372
0.0034;-0.0149873;-0.0572618;-0.399372
0.00342;-0.016906;-0.0733292;-0.399228
0.00344;-0.018708;-0.0831292;-0.399372
0.00346;-0.0206771;-0.0912256;-0.399372
0.00348;-0.0224296;-0.102009;-0.399372
0.0035;-0.0243364;-0.114309;-0.399356
0.00352;-0.0262392;-0.122535;-0.39934
0.00354;-0.0281904;-0.133387;-0.399372
0.00356;-0.0300062;-0.143947;-0.399372
0.00358;-0.0318014;-0.158081;-0.399372
0.0036;-0.0336192;-0.168637;-0.399372
0.00362;-0.0355328;-0.17605;-0.399132
0.00364;-0.0375781;-0.185632;-0.399372
0.00366;-0.0393889;-0.195286;-0.399372
0.00368;-0.0411644;-0.205381;-0.399372
0.0037;-0.0431096;-0.216144;-0.399372
0.00372;-0.0449026;-0.222116;-0.399372
0.00374;-0.0467996;-0.21879;-0.399244
0.00376;-0.0465921;-0.226166;-0.399372
0.00378;-0.0450095;-0.222072;-0.399372
0.0038;-0.0426381;-0.209864;-0.399292
0.00382;-0.0410072;-0.211555;-0.399356
0.00384;-0.0396508;-0.190754;-0.398844
0.00386;-0.0364521;-0.181739;-0.39926
0.00388;-0.0358057;-0.178587;-0.39934
0.0039;-0.0338258;-0.165716;-0.39934
0.00392;-0.0307773;-0.151716;-0.398571
0.00394;-0.0303681;-0.145044;-0.399372
0.00396;-0.0280917;-0.131821;-0.398571
0.00398;-0.0254148;-0.124506;-0.399372
0.004;-0.0246329;-0.109664;-0.399372
0.00402;-0.0224682;-0.100123;-0.399356
0.00404;-0.0199604;-0.0880574;-0.398907
0.00406;-0.0189066;-0.078294;-0.399372
0.00408;-0.0164938;-0.0673368;-0.399164
0.0041;-0.0147017;-0.0567196;-0.398987
0.00412;-0.0132466;-0.0429747;-0.39934
0.00414;-0.0109682;-0.0314349;-0.399356
0.00416;-0.00903077;-0.0224038;-0.399372
0.00418;-0.00757079;-0.011471;-0.399276
0.0042;-0.00518854;0.00048959;-0.398843
0.00422;-0.00349824;0.00956115;-0.399324
0.00424;-0.00187219;0.0193003;-0.39894
0.00426;0.00031236;0.0313297;-0.399324
0.00428;0.00190678;0.0436544;-0.399308
0.0043;0.00395393;0.0569583;-0.399052
0.00432;0.00575;0.0639461;-0.399036
0.00434;0.0076044;0.0809239;-0.399019
0.00436;0.00953686;0.0850025;-0.398555
0.00438;0.0113003;0.102587;-0.399372
0.0044;0.0132377;0.109373;-0.399372
0.00442;0.0151158;0.122798;-0.39918
0.00444;0.0169811;0.130288;-0.39926
0.00446;0.0188582;0.144486;-0.39934
0.00448;0.0208184;0.152817;-0.399164
0.0045;0.0225907;0.163535;-0.399372
0.00452;0.0243384;0.172939;-0.39926
0.00454;0.0263638;0.186947;-0.398972
0.00456;0.0280955;0.197527;-0.399308
0.00458;0.0299192;0.205446;-0.399164
0.0046;0.0318191;0.218123;-0.399308
0.00462;0.0336963;0.222432;-0.399356
0.00464;0.03569;0.230913;-0.399372
0.00466;0.0376819;0.241599;-0.3991
0.00468;0.039377;0.242958;-0.399292
0.0047;0.0410466;0.246798;-0.399372
0.00472;0.0433083;0.25135;-0.3991
0.00474;0.04489;0.251844;-0.399228
0.00476;0.0451824;0.250788;-0.399356
0.00478;0.0434508;0.249315;-0.399292
0.0048;0.0413915;0.248845;-0.399148
0.00482;0.0395887;0.244621;-0.39934
0.00484;0.0378527;0.240927;-0.398796
0.00486;0.0357287;0.232297;-0.39934
0.00488;0.0339217;0.222294;-0.399292
0.0049;0.0321098;0.215497;-0.399356
0.00492;0.0300726;0.207319;-0.399372
0.00494;0.0283813;0.199393;-0.39918
0.00496;0.0266079;0.186372;-0.398827
0.00498;0.024538;0.175892;-0.398283
0.005;0.0228852;0.167424;-0.399196
0.00502;0.0209152;0.153035;-0.399372
0.00504;0.0189738;0.143393;-0.399372
0.00506;0.0172717;0.133751;-0.399372
0.00508;0.0153382;0.122171;-0.399356
0.0051;0.0133909;0.113225;-0.399308
0.00512;0.0117955;0.103049;-0.398955
0.00514;0.0094479;0.0892511;-0.398571
0.00516;0.00766964;0.0781483;-0.398523
0.00518;0.00595067;0.0593294;-0.3987
0.0052;0.00431868;0.0508607;-0.399308
0.00522;0.002146;0.0446862;-0.398876
0.00524;0.000459644;0.0299864;-0.398956
0.00526;-0.00133346;0.0208703;-0.399164
0.00528;-0.00338753;0.012349;-0.399372
0.0053;-0.00520337;-0.00427683;-0.399372
0.00532;-0.00710126;-0.00941145;-0.399308
0.00534;-0.00895862;-0.0268182;-0.39934
0.00536;-0.0108891;-0.0324343;-0.399372
0.00538;-0.0127504;-0.0436706;-0.399196
0.0054;-0.0145999;-0.0551942;-0.399372
0.00542;-0.0164345;-0.0617652;-0.399068
0.00544;-0.0182958;-0.0769749;-0.399372
0.00546;-0.0201759;-0.0872441;-0.399372
0.00548;-0.0222348;-0.0953892;-0.399308
0.0055;-0.0238718;-0.111343;-0.399372
0.00552;-0.0257953;-0.122535;-0.399052
0.00554;-0.0277456;-0.132125;-0.399228
0.00556;-0.0297186;-0.143357;-0.399372
0.00558;-0.0313882;-0.153052;-0.399372
0.0056;-0.03329;-0.163725;-0.399372
0.00562;-0.0352769;-0.17514;-0.399372
0.00564;-0.0370237;-0.18441;-0.399372
0.00566;-0.0389323;-0.196002;-0.399372
0.00568;-0.0407876;-0.20528;-0.399372
0.0057;-0.042741;-0.212312;-0.399372
0.00572;-0.0447069;-0.221343;-0.39934
0.00574;-0.0464488;-0.230318;-0.399372
0.00576;-0.046868;-0.232588;-0.39934
0.00578;-0.0452447;-0.223508;-0.399372
0.0058;-0.0432689;-0.218216;-0.399372
0.00582;-0.0413332;-0.209767;-0.399372
0.00584;-0.0395768;-0.195092;-0.399372
0.00586;-0.0378103;-0.187129;-0.399308
0.00588;-0.0358295;-0.178134;-0.399372
0.0059;-0.0339236;-0.169244;-0.399372
0.00592;-0.0319932;-0.157308;-0.399372
0.00594;-0.0301852;-0.146792;-0.399372
0.00596;-0.0284731;-0.136458;-0.399372
0.00598;-0.0264073;-0.126683;-0.399372
0.006;-0.024538;-0.111655;-0.399372
0.00602;-0.0226876;-0.101948;-0.39934
0.00604;-0.020849;-0.0890608;-0.399372
0.00606;-0.0189986;-0.0797505;-0.39934
0.00608;-0.0171205;-0.0687611;-0.399372
0.0061;-0.0151712;-0.0600901;-0.399115
0.00612;-0.0135422;-0.0459284;-0.399196
0.00614;-0.0114792;-0.0378441;-0.39934
0.00616;-0.00965252;-0.023828;-0.399356
0.00618;-0.0076301;-0.0115397;-0.399276
0.0062;-0.00580042;-0.00686235;-0.399372
0.00622;-0.00384124;0.0010682;-0.399196
0.00624;-0.00210448;0.0171761;-0.399244
0.00626;-0.000101813;0.0299904;-0.399212
0.00628;0.00183462;0.0401585;-0.399244
0.0063;0.00342608;0.0542554;-0.399372
0.00632;0.00540206;0.0642455;-0.399324
0.00634;0.00710818;0.0736367;-0.399324
0.00636;0.00908513;0.0822916;-0.399372
0.00638;0.0109108;0.0946851;-0.398748
0.0064;0.0127968;0.10576;-0.399372
0.00642;0.0147016;0.120289;-0.399372
0.00644;0.0164424;0.128706;-0.399212
0.00646;0.018449;0.140873;-0.399372
0.00648;0.020252;0.150567;-0.399244
0.0065;0.0221538;0.162483;-0.399356
0.00652;0.0240033;0.172708;-0.399372
0.00654;0.0257983;0.184656;-0.399372
0.00656;0.0277199;0.198624;-0.399356
0.00658;0.0294389;0.202185;-0.399372
0.0066;0.0313299;0.212709;-0.398795
0.00662;0.0333543;0.222752;-0.399164
0.00664;0.0351099;0.23158;-0.39918
0.00666;0.0369553;0.239296;-0.399324
0.00668;0.0389136;0.244249;-0.399244
