t;vds;corrente;vg
0;-0.00211931;0.0186165;0
2e-05;-0.00212623;0.0158004;0
4e-05;-0.00190579;0.0149264;0
6e-05;-0.00183067;0.0199073;0
8e-05;-0.00065141;0.0213801;0
0.0001;-0.000679088;0.0225009;0
0.00012;-0.000191765;0.0276922;0
0.00014;0.00147581;0.0338869;0
0.00016;0.00342213;0.0407816;0
0.00018;0.0052528;0.0462319;0
0.0002;0.00715266;0.0503913;0
0.00022;0.00899914;0.0680368;0
0.00024;0.0109415;0.0743853;0
0.00026;0.0129214;0.0777194;0
0.00028;0.0148163;0.0901736;0
0.0003;0.0168032;0.0947862;0
0.00032;0.0184866;0.106674;0
0.00034;0.0204902;0.10828;0
0.00036;0.0223377;0.122284;0
0.00038;0.0242879;0.127775;0
0.0004;0.0261641;0.134908;-9.60408e-05
0.00042;0.0277338;0.139477;0
0.00044;0.0298778;0.157009;0
0.00046;0.0319388;0.161472;0
0.00048;0.0333415;0.171822;0
0.0005;0.0357779;0.17516;0
0.00052;0.0375375;0.182852;0
0.00054;0.0393593;0.193845;0
0.00056;0.041453;0.204143;0
0.00058;0.0431155;0.204616;0
0.0006;0.0448918;0.218017;0
0.00062;0.0465429;0.219616;0
0.00064;0.0445102;0.215626;0
0.00066;0.0426975;0.20636;0
0.00068;0.041023;0.19824;0
0.0007;0.0387296;0.190884;0
0.00072;0.0370709;0.182702;0
0.00074;0.0351929;0.174173;0
0.00076;0.033036;0.169924;0
0.00078;0.0313734;0.15921;0
0.0008;0.029432;0.152412;0
0.00082;0.0274659;0.144813;0
0.00084;0.0257914;0.135022;0
0.00086;0.0238491;0.126857;0
0.00088;0.0218385;0.118849;0
0.0009;0.0198892;0.112242;0
0.00092;0.0180516;0.10459;0
0.00094;0.0162793;0.0943088;0
0.00096;0.0143705;0.0902383;0
0.00098;0.0123283;0.0762992;0
0.001;0.0105105;0.0697524;0
0.00102;0.00851576;0.0664022;0
0.00104;0.00672663;0.0494526;0
0.00106;0.00494044;0.044403;0
0.00108;0.00291998;0.0374111;0
0.0011;0.00101715;0.0298205;0
0.00112;-0.000767063;0.0207003;0
0.00114;-0.00265408;0.0147807;0
0.00116;-0.00473681;0.00622305;0
0.00118;-0.00653387;-0.00310344;0
0.0012;-0.00849501;-0.0103461;0
0.00122;-0.0105224;-0.0161038;0
0.00124;-0.0124697;-0.0244431;0
0.00126;-0.0144091;-0.0334782;0
0.00128;-0.0161547;-0.042396;0
0.0013;-0.0179982;-0.0441157;-4.80204e-05
0.00132;-0.0200612;-0.054393;0
0.00134;-0.0218483;-0.0629345;0
0.00136;-0.023847;-0.0681056;0
0.00138;-0.0257706;-0.077076;0
0.0014;-0.0276606;-0.0827811;0
0.00142;-0.0294636;-0.0919175;0
0.00144;-0.0314554;-0.100763;0
0.00146;-0.0333692;-0.106472;0
0.00148;-0.035183;-0.115062;0
0.0015;-0.0370741;-0.12328;0
0.00152;-0.0391922;-0.12453;0
0.00154;-0.0410478;-0.138315;0
0.00156;-0.0428101;-0.141613;0
0.00158;-0.0446941;-0.151028;0
0.0016;-0.046779;-0.148326;0
0.00162;-0.048042;-0.168051;0
0.00164;-0.0464576;-0.149329;0
0.00166;-0.0448652;-0.156236;0
0.00168;-0.0428388;-0.13666;0
0.0017;-0.0404309;-0.140715;0
0.00172;-0.0397498;-0.127904;0
0.00174;-0.036466;-0.117595;0
0.00176;-0.0351247;-0.116798;-3.20136e-05
0.00178;-0.0341767;-0.107423;0
0.0018;-0.0309226;-0.0938193;-8.0034e-05
0.00182;-0.0293628;-0.094673;-0.000656279
0.00184;-0.0280877;-0.0812679;0
0.00186;-0.0249561;-0.0748992;0
0.00188;-0.0240131;-0.0689634;0
0.0019;-0.0222062;-0.0600739;0
0.00192;-0.0192249;-0.0544658;0
0.00194;-0.0183086;-0.0456492;0
0.00196;-0.0161893;-0.0376094;0
0.00198;-0.0137913;-0.029165;0
0.002;-0.0127722;-0.0226466;0
0.00202;-0.0102624;-0.0184304;0
0.00204;-0.00820637;-0.00492422;0
0.00206;-0.00681658;-0.00134738;0
0.00208;-0.0044541;0.0059034;0
0.0021;-0.00258291;0.0144247;0
0.00212;-0.000818463;0.0248234;0
0.00214;0.00108338;0.0313054;0
0.00216;0.00289823;0.0381677;0
0.00218;0.00477931;0.0435209;0
0.0022;0.00676715;0.0527948;0
0.00222;0.00871643;0.059297;0
0.00224;0.0105234;0.072261;0
0.00226;0.0125043;0.0744055;0
0.00228;0.0143517;0.0865118;0
0.0023;0.0163435;0.0906956;0
0.00232;0.0182088;0.100115;0
0.00234;0.0200434;0.106719;0
0.00236;0.0220124;0.117611;0
0.00238;0.024014;0.122224;0
0.0024;0.0256995;0.131817;0
0.00242;0.027705;0.141629;0
0.00244;0.0294824;0.145938;0
0.00246;0.0314327;0.156369;0
0.00248;0.033291;0.168075;0
0.0025;0.035267;0.175658;0
0.00252;0.0371798;0.182346;0
0.00254;0.0390421;0.193004;0
0.00256;0.0410388;0.19936;0
0.00258;0.0426104;0.205268;0
0.0026;0.0450252;0.211353;0
0.00262;0.0464547;0.217831;0
0.00264;0.0449945;0.21018;0
0.00266;0.0434073;0.204119;0
0.00268;0.0413066;0.194946;0
0.0027;0.039223;0.191106;0
0.00272;0.0378014;0.180768;0
0.00274;0.0353995;0.177325;0
0.00276;0.0334937;0.169083;0
0.00278;0.0317214;0.159161;0
0.0028;0.0297385;0.148245;0
0.00282;0.0280877;0.145821;0
0.00284;0.0262946;0.135483;0
0.00286;0.024202;0.129042;0
0.00288;0.0224286;0.118376;0
0.0029;0.0205475;0.114588;0
0.00292;0.0185518;0.107544;0
0.00294;0.016565;0.0974567;0
0.00296;0.0147758;0.0845129;0
0.00298;0.0128532;0.07935;0
0.003;0.0108189;0.0722287;0
0.00302;0.00886766;0.068049;0
0.00304;0.00709434;0.0515486;0
0.00306;0.00522611;0.0465839;0
0.00308;0.0033213;0.0372736;0
0.0031;0.00130183;0.0342672;0
0.00312;-0.000469529;0.0288858;0
0.00314;-0.00233579;0.0173298;0
0.00316;-0.00426036;0.0104068;0
0.00318;-0.00619087;0.00562826;0
0.0032;-0.00817475;-0.0084525;0
0.00322;-0.00990754;-0.0112848;0
0.00324;-0.0119754;-0.0223471;0
0.00326;-0.0139731;-0.027413;0
0.00328;-0.0157287;-0.0343886;0
0.0033;-0.0176908;-0.0458474;0
0.00332;-0.0195857;-0.053685;0
0.00334;-0.021532;-0.0589895;0
0.00336;-0.0233844;-0.0655525;0
0.00338;-0.0253338;-0.0737744;0
0.0034;-0.0271852;-0.0841124;0
0.00342;-0.0290514;-0.0908453;0
0.00344;-0.0309484;-0.0957857;-6.40272e-05
0.00346;-0.032957;-0.102927;0
0.00348;-0.0347728;-0.105638;0
0.0035;-0.0367349;-0.118173;0
0.00352;-0.0386773;-0.123539;0
0.00354;-0.0405325;-0.130858;0
0.00356;-0.0423406;-0.13878;0
0.00358;-0.0444171;-0.148682;0
0.0036;-0.0462461;-0.153974;0
0.00362;-0.0478987;-0.159404;0
0.00364;-0.0469343;-0.153019;0
0.00366;-0.045129;-0.147399;0
0.00368;-0.0432482;-0.138473;0
0.0037;-0.0412353;-0.136405;0
0.00372;-0.0393357;-0.123324;0
0.00374;-0.0371551;-0.117259;0
0.00376;-0.0357118;-0.113342;-3.20136e-05
0.00378;-0.0337694;-0.106536;0
0.0038;-0.0318063;-0.0940417;0
0.00382;-0.0295487;-0.0905054;0
0.00384;-0.0278623;-0.0861031;0
0.00386;-0.0259516;-0.074883;0
0.00388;-0.0241397;-0.065338;0
0.0039;-0.0221716;-0.0614173;0
0.00392;-0.0202302;-0.0514879;0
0.00394;-0.0184055;-0.0456411;0
0.00396;-0.0163376;-0.0415463;0
0.00398;-0.0146483;-0.0306661;0
0.004;-0.0126001;-0.0219142;0
0.00402;-0.0105837;-0.01769;0
0.00404;-0.00872829;-0.0111999;0
0.00406;-0.00691641;0.00206761;0
0.00408;-0.00480007;0.00678952;0
0.0041;-0.003004;0.0143842;0
0.00412;-0.00112588;0.0264014;0
0.00414;0.000739385;0.0262031;0
0.00416;0.00267286;0.0399198;0
0.00418;0.00445707;0.050185;0
0.0042;0.00634112;0.0535757;0
0.00422;0.00828249;0.057808;0
0.00424;0.0101754;0.0699061;0
0.00426;0.0121524;0.0760483;0
0.00428;0.0140661;0.0853465;0
0.0043;0.0158572;0.0928441;0
0.00432;0.0177056;0.098355;0
0.00434;0.0195926;0.11539;0
0.00436;0.0215024;0.118234;0
0.00438;0.0234497;0.126132;0
0.0044;0.0254929;0.132112;0
0.00442;0.0274412;0.137223;0
0.00444;0.0291829;0.143227;0
0.00446;0.030891;0.159801;0
0.00448;0.0329323;0.163127;0
0.0045;0.0348529;0.175002;0
0.00452;0.0369306;0.178102;0
0.00454;0.0388345;0.18424;0
0.00456;0.0406087;0.192684;0
0.00458;0.0425383;0.206745;0
0.0046;0.0445617;0.205883;0
0.00462;0.0461088;0.216095;0
0.00464;0.0455372;0.21419;0
0.00466;0.0437926;0.207623;0
0.00468;0.0415408;0.198438;0
0.0047;0.0401195;0.192458;0
0.00472;0.037751;0.185069;0
0.00474;0.0357386;0.178611;0
0.00476;0.0343081;0.166307;0
0.00478;0.0320494;0.160865;0
0.0048;0.0301892;0.151874;0
0.00482;0.0283704;0.141686;0
0.00484;0.0264349;0.13308;0
0.00486;0.0244709;0.13274;0
0.00488;0.0228427;0.122624;0
0.0049;0.0207027;0.118044;0
0.00492;0.0187643;0.105557;0
0.00494;0.0170335;0.0993179;0
0.00496;0.0150051;0.0848366;0
0.00498;0.0132149;0.0812234;0
0.005;0.0112449;0.0701449;0
0.00502;0.00929369;0.0648889;0
0.00504;0.00750753;0.0572901;0
0.00506;0.00560371;0.0475671;0
0.00508;0.00348934;0.0410811;0
0.0051;0.00187317;0.0308724;0
0.00512;-0.000184846;0.0268788;0
0.00514;-0.00207483;0.0176131;0
0.00516;-0.00384816;0.0123206;0
0.00518;-0.0060426;0.00436585;0
0.0052;-0.00780902;-0.00486758;0
0.00522;-0.00965548;-0.0137287;0
0.00524;-0.0117362;-0.0212587;0
0.00526;-0.0134374;-0.0294442;0
0.00528;-0.0154925;-0.0344048;0
0.0053;-0.0173013;-0.0427319;0
0.00532;-0.0192141;-0.0475549;0
0.00534;-0.0212256;-0.0581277;0
0.00536;-0.0230612;-0.0617612;0
0.00538;-0.0249769;-0.0738876;0
0.0054;-0.0268482;-0.0802968;0
0.00542;-0.0287945;-0.0878915;0
0.00544;-0.0307408;-0.0946001;0
0.00546;-0.0326308;-0.104343;0
0.00548;-0.0345296;-0.109947;0
0.0055;-0.0362919;-0.114022;0
0.00552;-0.0383975;-0.119031;0
0.00554;-0.0402705;-0.134504;0
0.00556;-0.0421597;-0.136737;0
0.00558;-0.0441246;-0.14521;0
0.0056;-0.0461444;-0.151372;-0.000224095
0.00562;-0.0477385;-0.157021;0
0.00564;-0.0473178;-0.155803;0
0.00566;-0.0454314;-0.145995;0
0.00568;-0.0437352;-0.141322;0
0.0057;-0.0416773;-0.135985;-1.60068e-05
0.00572;-0.0395332;-0.127658;0
0.00574;-0.0378549;-0.117578;0
0.00576;-0.0360982;-0.114503;0
0.00578;-0.0341579;-0.107957;0
0.0058;-0.0320743;-0.0980555;0
0.00582;-0.0302337;-0.0920105;0
0.00584;-0.0284593;-0.081717;0
0.00586;-0.0264923;-0.0718686;0
0.00588;-0.0243898;-0.0685102;0
0.0059;-0.022737;-0.0645207;0
0.00592;-0.0207047;-0.0562907;0
0.00594;-0.0186941;-0.0526208;0
0.00596;-0.0167844;-0.0439862;0
0.00598;-0.0149201;-0.0322441;0
0.006;-0.0130361;-0.0251795;0
0.00602;-0.0111204;-0.0229743;0
0.00604;-0.00920177;-0.0124582;0
0.00606;-0.00728512;-0.00799124;0
0.00608;-0.00542282;0.00892995;0
0.0061;-0.00336282;0.00871955;0
0.00612;-0.00156773;0.0220922;0
0.00614;0.000430978;0.0290436;0
0.00616;0.00232392;0.0368325;0
0.00618;0.00418326;0.0436989;0
0.0062;0.00599712;0.0453821;0
0.00622;0.00788711;0.0629264;0
0.00624;0.00979288;0.0662929;0
0.00626;0.0117748;0.0763761;0
0.00628;0.013557;0.0788158;0
0.0063;0.0155873;0.0903152;0
0.00632;0.0174368;0.0988244;0
0.00634;0.0193198;0.106184;0
0.00636;0.0212107;0.114439;0
0.00638;0.0231176;0.12415;0
0.0064;0.0251489;0.129652;0
0.00642;0.0269351;0.135313;0
0.00644;0.028754;0.144385;0
0.00646;0.0306934;0.151373;0
0.00648;0.0325635;0.162066;0
0.0065;0.0344278;0.168209;0
0.00652;0.0364076;0.173873;0
0.00654;0.0384825;0.186955;0
0.00656;0.0401697;0.191503;0
0.00658;0.0419778;0.201124;0
0.0066;0.0441296;0.205753;0
0.00662;0.0458458;0.21584;0
0.00664;0.0459078;0.212842;0
0.00666;0.0440092;0.207849;0
0.00668;0.0422367;0.202379;0
0.0067;0.0401165;0.193384;0
0.00672;0.0383066;0.184693;0
0.00674;0.0362446;0.180566;0
0.00676;0.0347362;0.168387;0
0.00678;0.0321978;0.166946;0
0.0068;0.0309059;0.151567;0
0.00682;0.0286382;0.144223;0
0.00684;0.026518;0.142422;0
0.00686;0.0251933;0.124328;0
0.00688;0.0230148;0.130106;0
0.0069;0.0213255;0.105727;0
0.00692;0.0187455;0.101984;0
0.00694;0.0179438;0.105492;0
0.00696;0.0156565;0.0864712;0
0.00698;0.0126506;0.0781927;0
0.007;0.0124272;0.0801349;0
0.00702;0.0100133;0.0641929;0
0.00704;0.00670883;0.0619513;0
0.00706;0.00671872;0.050978;0
0.00708;0.00425838;0.0417851;-4.80204e-05
0.0071;0.00124055;0.0377712;0
0.00712;0.00121188;0.0284205;0
0.00714;-0.00182375;0.0181189;0
0.00716;-0.00390154;0.0133079;0
0.00718;-0.00494933;0.00514677;0
0.0072;-0.0074067;-0.00722651;0
0.00722;-0.00965054;-0.00967445;0
0.00724;-0.0106074;-0.0157559;0
0.00726;-0.0134611;-0.028384;0
0.00728;-0.0150901;-0.0323493;0
0.0073;-0.0166559;-0.0408665;0
0.00732;-0.0191043;-0.0479676;0
0.00734;-0.0207294;-0.0561127;0
0.00736;-0.0225413;-0.0614051;0
0.00738;-0.0246665;-0.0703593;0
0.0074;-0.0263905;-0.0777963;0
0.00742;-0.0282557;-0.0863337;0
0.00744;-0.0303305;-0.091873;0
0.00746;-0.0321888;-0.0969389;0
