t;vds;corrente;vg
0;-0.00190184;0.0195431;0.390213
2e-05;-0.00204616;0.0164397;0.391382
4e-05;-0.00195225;0.0156264;0.391382
6e-05;-0.00205604;0.0181917;0.391382
8e-05;-0.00164187;0.0212506;0.391382
0.0001;-0.000704788;0.0207691;0.391382
0.00012;-0.000702811;0.0210726;0.391382
0.00014;-0.000657341;0.0205182;0.391382
0.00016;0.000200662;0.0232171;0.391382
0.00018;0.00217367;0.0233304;0.391382
0.0002;0.00398457;0.0312245;0.391382
0.00022;0.00578559;0.0356955;0.391382
0.00024;0.00783867;0.0408787;0.391382
0.00026;0.00981264;0.0481942;0.391382
0.00028;0.0118281;0.0490642;0.391382
0.0003;0.0137498;0.0510468;0.391382
0.00032;0.0156575;0.0568653;0.391382
0.00034;0.0174595;0.0610086;0.391382
0.00036;0.0195729;0.064549;0.391382
0.00038;0.0218385;0.070501;0.391382
0.0004;0.0234892;0.0738229;0.391382
0.00042;0.0254445;0.0755992;0.391382
0.00044;0.027284;0.0824979;0.391382
0.00046;0.0291681;0.0877419;0.391382
0.00048;0.0310185;0.0923139;0.391382
0.0005;0.0332842;0.0964412;0.391382
0.00052;0.0351019;0.0957978;0.391382
0.00054;0.0369078;0.102292;0.391382
0.00056;0.0390272;0.105424;0.391382
0.00058;0.0407413;0.110736;0.391382
0.0006;0.0430326;0.112404;0.391382
0.00062;0.0444745;0.117222;0.391382
0.00064;0.0472296;0.126784;0.391382
0.00066;0.0469024;0.115992;0.391382
0.00068;0.0444778;0.116668;0.391382
0.0007;0.0440754;0.124388;0.391382
0.00072;0.0409241;0.11015;0.391382
0.00074;0.0384538;0.104962;0.391382
0.00076;0.0386278;0.108345;0.391382
0.00078;0.034742;0.101637;0.391382
0.0008;0.0329322;0.0935643;0.391382
0.00082;0.0323817;0.0958585;0.391382
0.00084;0.0288675;0.0841488;0.391382
0.00086;0.027464;0.0879967;0.391382
0.00088;0.0264161;0.0771569;0.391382
0.0009;0.023251;0.075757;0.391382
0.00092;0.0219532;0.0718119;0.391382
0.00094;0.0205307;0.0680854;0.391382
0.00096;0.0173943;0.0630843;0.391382
0.00098;0.0162941;0.0575369;0.391382
0.001;0.0143883;0.0520786;0.391382
0.00102;0.0117214;0.0529324;0.391382
0.00104;0.0104621;0.0464665;0.391382
0.00106;0.00808776;0.0432053;0.391382
0.00108;0.0059645;0.0396568;0.391382
0.0011;0.00453022;0.0324464;0.391382
0.00112;0.0023862;0.0319892;0.391382
0.00114;0.000427024;0.025398;0.391382
0.00116;-0.00128799;0.0211009;0.391382
0.00118;-0.00333218;0.0172773;0.391382
0.0012;-0.00531606;0.0100346;0.391382
0.00122;-0.0071497;0.00851724;0.391382
0.00124;-0.00923736;0.00338262;0.391382
0.00126;-0.011237;-0.00625138;0.391382
0.00128;-0.0130282;-0.00996173;0.391382
0.0013;-0.0150209;-0.011827;0.391382
0.00132;-0.0169693;-0.0215783;0.391382
0.00134;-0.018881;-0.0207125;0.391382
0.00136;-0.0208411;-0.0290314;0.391382
0.00138;-0.0229229;-0.0319528;0.391382
0.0014;-0.0247882;-0.0359788;0.391382
0.00142;-0.0266228;-0.0415908;0.391382
0.00144;-0.0286116;-0.0489994;0.391382
0.00146;-0.0306083;-0.0521272;0.391382
0.00148;-0.0323401;-0.0578363;0.391382
0.0015;-0.0343912;-0.0629993;0.391382
0.00152;-0.0361408;-0.0726738;0.391382
0.00154;-0.0383372;-0.0734749;0.391382
0.00156;-0.0403665;-0.0775616;0.391382
0.00158;-0.041783;-0.0859049;0.391382
0.0016;-0.0437195;-0.0905418;0.391382
0.00162;-0.0460475;-0.0953609;0.391382
0.00164;-0.0478215;-0.0978047;0.391382
0.00166;-0.0484088;-0.104562;0.391382
0.00168;-0.0465645;-0.095818;0.391382
0.0017;-0.0447357;-0.0899631;0.391382
0.00172;-0.042744;-0.0858725;0.391382
0.00174;-0.0407758;-0.0790303;0.391382
0.00176;-0.0389937;-0.0804626;0.391382
0.00178;-0.0369948;-0.0699588;0.391382
0.0018;-0.0350634;-0.064901;0.391382
0.00182;-0.0330696;-0.0636669;0.391382
0.00184;-0.0310313;-0.0548219;0.391382
0.00186;-0.0292798;-0.0531549;0.391382
0.00188;-0.0272989;-0.0485948;0.391382
0.0019;-0.0252625;-0.0409556;0.391382
0.00192;-0.0235129;-0.0349591;0.391382
0.00194;-0.0215449;-0.0319811;0.391382
0.00196;-0.0196569;-0.0266523;0.391382
0.00198;-0.0176908;-0.017957;0.391382
0.002;-0.0157287;-0.0188755;0.391382
0.00202;-0.0138822;-0.00872764;0.391382
0.00204;-0.0118459;-0.00659125;0.391382
0.00206;-0.00981957;-0.00493636;0.391382
0.00208;-0.00801857;0.00579011;0.391382
0.0021;-0.00605545;0.0100669;0.391382
0.00212;-0.00399545;0.0133484;0.391382
0.00214;-0.00214402;0.019705;0.391382
0.00216;-0.000137399;0.0248598;0.391382
0.00218;0.00171996;0.0269679;0.391382
0.0022;0.00364651;0.0319649;0.391382
0.00222;0.00553451;0.0338424;0.391382
0.00224;0.00752137;0.0425822;0.391382
0.00226;0.00939353;0.0471624;0.391382
0.00228;0.0112904;0.0542757;0.391382
0.0023;0.0133662;0.0545063;0.391382
0.00232;0.0152572;0.0590704;0.391382
0.00234;0.0172015;0.064108;0.391382
0.00236;0.0190895;0.0686802;0.391382
0.00238;0.0210487;0.0749235;0.391382
0.0024;0.022909;0.0806246;0.391382
0.00242;0.0249483;0.0798152;0.391382
0.00244;0.0268462;0.0859492;0.391382
0.00246;0.028659;0.0879279;0.391382
0.00248;0.0306716;0.0966111;0.391382
0.0025;0.0326041;0.0977562;0.391382
0.00252;0.0346304;0.102539;0.391382
0.00254;0.0366646;0.109296;0.391382
0.00256;0.038532;0.110263;0.391382
0.00258;0.0402686;0.115948;0.391382
0.0026;0.0426066;0.118279;0.391382
0.00262;0.0441208;0.121957;0.391382
0.00264;0.0463184;0.127124;0.391382
0.00266;0.0473009;0.130559;0.391382
0.00268;0.0453;0.12137;0.391382
0.0027;0.0434637;0.122131;0.391382
0.00272;0.0418235;0.117854;0.391382
0.00274;0.0393831;0.113702;0.391382
0.00276;0.0378251;0.109183;0.391382
0.00278;0.0357306;0.100095;0.391382
0.0028;0.0336489;0.10283;0.391382
0.00282;0.0319654;0.0960891;0.391382
0.00284;0.0298373;0.09108;0.391382
0.00286;0.0277526;0.0878794;0.391382
0.00288;0.0261038;0.0804101;0.391382
0.0029;0.0240626;0.0816564;0.391382
0.00292;0.0223604;0.0746969;0.391382
0.00294;0.0203271;0.0704928;0.391382
0.00296;0.0181861;0.0669807;0.391382
0.00298;0.0163653;0.0576219;0.391382
0.003;0.0145099;0.0570555;0.391382
0.00302;0.0124568;0.0556675;0.391382
0.00304;0.0105244;0.0485422;0.391382
0.00306;0.00864922;0.0417931;0.391382
0.00308;0.00666633;0.0415989;0.391382
0.0031;0.00470122;0.0345181;0.391382
0.00312;0.00286166;0.0271742;0.391382
0.00314;0.000895565;0.0255557;0.391382
0.00316;-0.000893588;0.0152946;0.391382
0.00318;-0.00291207;0.0146715;0.391382
0.0032;-0.00474472;0.00799528;0.391382
0.00322;-0.00687193;0.00657103;0.391382
0.00324;-0.00870754;0.00112889;0.391382
0.00326;-0.0107922;-0.00311962;0.391382
0.00328;-0.012613;-0.00714558;0.391382
0.0033;-0.0144684;-0.0166541;0.391382
0.00332;-0.0164157;-0.0205385;0.391382
0.00334;-0.0184885;-0.0222703;0.391382
0.00336;-0.0204111;-0.027676;0.391382
0.00338;-0.0222872;-0.0345505;0.391382
0.0034;-0.024372;-0.0378805;0.391382
0.00342;-0.0262006;-0.042566;0.391382
0.00344;-0.0282231;-0.0470249;0.391382
0.00346;-0.0300893;-0.0531428;0.391382
0.00348;-0.0318765;-0.0554815;0.391382
0.0035;-0.0339444;-0.0681218;0.391382
