t;vds;corrente;vg
0;0.018694;0.119085;0.00793935
2e-05;0.0186844;0.115121;0.0293085
4e-05;0.0190505;0.115856;0.0493332
6e-05;0.0187043;0.115516;0.0685411
8e-05;0.018666;0.111652;0.0875896
0.0001;0.0189165;0.105179;0.106686
0.00012;0.0186541;0.107125;0.126534
0.00014;0.0188519;0.101339;0.146862
0.00016;0.0190106;0.097926;0.166246
0.00018;0.0188232;0.0989729;0.183999
0.0002;0.0189006;0.0923715;0.204568
0.00022;0.0189923;0.0920679;0.224576
0.00024;0.0189516;0.0842117;0.245017
0.00026;0.0190817;0.0866053;0.263216
0.00028;0.0189564;0.0811068;0.282777
0.0003;0.0191;0.0797722;0.302866
0.00032;0.0191239;0.0767152;0.321625
0.00034;0.0192013;0.0713965;0.341632
0.00036;0.0193952;0.0681637;0.360311
0.00038;0.0191487;0.0680838;0.381443
0.0004;0.019104;0.0653106;0.401482
0.00042;0.0191263;0.0680279;0.42053
0.00044;0.0191678;0.067001;0.439932
0.00046;0.0193266;0.0649269;0.46026
0.00048;0.019155;0.0658101;0.480395
0.0005;0.0191606;0.0733386;0.502053
0.00052;0.019266;0.0672447;0.521214
0.00054;0.0191574;0.0703735;0.542151
0.00056;0.0191287;0.0647273;0.563118
0.00058;0.0191255;0.0745493;0.58268
0.0006;0.0190378;0.075996;0.601038
0.00062;0.0189229;0.0803875;0.620744
0.00064;0.0190785;0.0766113;0.640017
0.00066;0.0190226;0.0825214;0.660805
0.00068;0.0191431;0.0794204;0.68032
0.0007;0.0191359;0.0822936;0.700425
0.00072;0.0189867;0.0869529;0.720159
0.00074;0.0189891;0.0902417;0.740286
0.00076;0.0188966;0.0906412;0.759577
0.00078;0.0190593;0.0961597;0.778443
0.0008;0.0189309;0.0926473;0.779439
0.00082;0.0189556;0.0898261;0.760532
0.00084;0.0190673;0.090909;0.740968
0.00086;0.0189748;0.0915483;0.720755
0.00088;0.0189428;0.0888351;0.701144
0.0009;0.0190481;0.0896902;0.681199
0.00092;0.0189835;0.085886;0.661849
0.00094;0.0189157;0.0858661;0.64264
0.00096;0.0188567;0.0861377;0.622747
0.00098;0.0191104;0.0860658;0.603424
0.001;0.0189963;0.0796523;0.583926
0.00102;0.0190697;0.0794684;0.563922
0.00104;0.0190825;0.079932;0.543542
0.00106;0.019084;0.0781058;0.52294
0.00108;0.0192125;0.0730669;0.502678
