t;vds;corrente;vg
0;0.832518;0;0.201351
2e-08;0.8255;0;0.202954
4e-08;0.822653;0;0.202938
6e-08;0.824766;0;0.202942
8e-08;0.823692;0;0.202906
1e-07;0.819557;0;0.202942
1.2e-07;0.823387;0;0.20293
1.4e-07;0.818574;0;0.202954
1.6e-07;0.82017;0;0.202954
1.8e-07;0.824183;0;0.202962
2e-07;0.820137;0;0.20295
2.2e-07;0.822008;0;0.202962
2.4e-07;0.81974;0;0.20295
2.6e-07;0.818544;0;0.202958
2.8e-07;0.824398;0;0.202962
3e-07;0.819832;0;0.202958
3.2e-07;0.818851;0;0.202966
3.4e-07;0.824551;0;0.202958
3.6e-07;0.821823;0;0.20297
3.8e-07;0.817105;0;0.202962
4e-07;0.823111;0;0.202966
4.2e-07;0.819616;0;0.202962
4.4e-07;0.821304;0;0.202962
4.6e-07;0.821303;0;0.202962
4.8e-07;0.8179;0;0.202966
5e-07;0.819495;0;0.202966
5.2e-07;0.824337;0;0.202962
5.4e-07;0.821148;0;0.202974
5.6e-07;0.816615;0;0.202966
5.8e-07;0.823938;0;0.202962
6e-07;0.823203;0;0.20297
6.2e-07;0.818515;0;0.202962
6.4e-07;0.823417;0;0.202962
6.6e-07;0.822868;0;0.202962
6.8e-07;0.822559;0;0.20297
7e-07;0.820966;0;0.202962
7.2e-07;0.818115;0;0.202962
7.4e-07;0.823539;0;0.202962
7.6e-07;0.821946;0;0.202974
7.8e-07;0.818484;0;0.202958
8e-07;0.821487;0;0.202962
8.2e-07;0.822007;0;0.202974
8.4e-07;0.823174;0;0.202978
8.6e-07;0.826175;0;0.202954
8.8e-07;0.821669;0;0.202966
9e-07;0.822654;0;0.20297
9.2e-07;0.825378;0;0.20295
9.4e-07;0.820842;0;0.202966
9.6e-07;0.814347;0;0.202962
9.8e-07;0.824674;0;0.202962
1e-06;0.815417;0;-0.161083
1.02e-06;0.814133;0;-0.201117
1.04e-06;0.819955;0;-0.200982
1.06e-06;0.822621;0;-0.200982
1.08e-06;0.82354;0;-0.201006
1.1e-06;0.821609;0;-0.20097
1.12e-06;0.822038;0;-0.201018
1.14e-06;0.821947;0;-0.201046
1.16e-06;0.8198;0;-0.200986
1.18e-06;0.818944;0;-0.201118
1.2e-06;0.823509;0;-0.201082
1.22e-06;0.821884;0;-0.201165
1.24e-06;0.81925;0;-0.201146
1.26e-06;0.823509;0;-0.201138
1.28e-06;0.819401;0;-0.201201
1.3e-06;0.820231;0;-0.201361
1.32e-06;0.821456;0;-0.20115
1.34e-06;0.820169;0;-0.201118
1.36e-06;0.823693;0;-0.201173
1.38e-06;0.822497;0;-0.201205
1.4e-06;0.822499;0;-0.201154
1.42e-06;0.826114;0;-0.201317
1.44e-06;0.828262;0;-0.201297
1.46e-06;0.823173;0;-0.201034
1.48e-06;0.827769;0;-0.201161
1.5e-06;0.825135;0;-0.201413
1.52e-06;0.822008;0;-0.201233
1.54e-06;0.824;0;-0.201409
1.56e-06;0.822805;0;-0.201205
1.58e-06;0.825409;0;-0.201169
1.6e-06;0.824489;0;-0.201253
1.62e-06;0.823265;0;-0.201237
1.64e-06;0.827432;0;-0.201229
1.66e-06;0.827556;0;-0.201285
1.68e-06;0.823358;0;-0.201122
1.7e-06;0.824919;0;-0.201197
1.72e-06;0.821731;0;-0.201309
1.74e-06;0.821181;0;-0.201349
1.76e-06;0.823724;0;-0.201373
1.78e-06;0.821455;0;-0.201441
1.8e-06;0.819648;0;-0.201329
1.82e-06;0.821364;0;-0.201513
1.84e-06;0.821027;0;-0.201533
1.86e-06;0.822866;0;-0.201185
1.88e-06;0.822344;0;-0.201437
1.9e-06;0.821978;0;-0.201245
1.92e-06;0.824276;0;-0.201189
1.94e-06;0.822528;0;-0.201345
1.96e-06;0.820169;0;-0.201345
1.98e-06;0.826359;0;-0.201105
2e-06;0.831853;0;0.122448
2.02e-06;0.827217;0;0.202918
2.04e-06;0.822773;0;0.20293
2.06e-06;0.822713;0;0.202922
2.08e-06;0.826727;0;0.202922
2.1e-06;0.821148;0;0.20295
2.12e-06;0.819803;0;0.202966
2.14e-06;0.825103;0;0.202962
2.16e-06;0.821915;0;0.202954
2.18e-06;0.820813;0;0.202962
2.2e-06;0.820536;0;0.202962
2.22e-06;0.824156;0;0.202962
2.24e-06;0.826145;0;0.202962
2.26e-06;0.822221;0;0.202958
2.28e-06;0.820691;0;0.202962
2.3e-06;0.826665;0;0.202966
2.32e-06;0.822315;0;0.202962
2.34e-06;0.821089;0;0.202962
2.36e-06;0.823846;0;0.202966
2.38e-06;0.821948;0;0.202966
2.4e-06;0.825654;0;0.202962
2.42e-06;0.822896;0;0.202966
2.44e-06;0.823972;0;0.202962
2.46e-06;0.828106;0;0.20297
2.48e-06;0.823876;0;0.202962
2.5e-06;0.820353;0;0.202962
2.52e-06;0.823877;0;0.202962
2.54e-06;0.821762;0;0.202954
2.56e-06;0.823632;0;0.202966
2.58e-06;0.8198;0;0.202958
2.6e-06;0.816523;0;0.202958
2.62e-06;0.82449;0;0.202962
2.64e-06;0.822619;0;0.202958
2.66e-06;0.820323;0;0.202962
2.68e-06;0.820721;0;0.202962
2.7e-06;0.819156;0;0.20295
2.72e-06;0.823509;0;0.202958
2.74e-06;0.821394;0;0.20297
2.76e-06;0.817902;0;0.202966
2.78e-06;0.821886;0;0.202966
2.8e-06;0.818972;0;0.202966
2.82e-06;0.821089;0;0.202962
2.84e-06;0.821732;0;0.202966
2.86e-06;0.820936;0;0.202962
2.88e-06;0.824949;0;0.202966
2.9e-06;0.822221;0;0.202962
2.92e-06;0.8202;0;0.202962
2.94e-06;0.823693;0;0.202962
2.96e-06;0.821853;0;0.202966
2.98e-06;0.823846;0;0.202978
3e-06;0.814133;0;-0.0802187
3.02e-06;0.813427;0;-0.201121
3.04e-06;0.82308;0;-0.200978
3.06e-06;0.821577;0;-0.20097
3.08e-06;0.814531;0;-0.200974
3.1e-06;0.821181;0;-0.200994
3.12e-06;0.818636;0;-0.20099
3.14e-06;0.822191;0;-0.20099
3.16e-06;0.819218;0;-0.201062
3.18e-06;0.813305;0;-0.201038
3.2e-06;0.823295;0;-0.201022
3.22e-06;0.820627;0;-0.20103
3.24e-06;0.817503;0;-0.201106
3.26e-06;0.819158;0;-0.201285
3.28e-06;0.819096;0;-0.201066
3.3e-06;0.823816;0;-0.201034
3.32e-06;0.819984;0;-0.201221
3.34e-06;0.820139;0;-0.201158
3.36e-06;0.824735;0;-0.201202
3.38e-06;0.819279;0;-0.201142
3.4e-06;0.822131;0;-0.201158
3.42e-06;0.818391;0;-0.201054
3.44e-06;0.818362;0;-0.201218
3.46e-06;0.823234;0;-0.201122
3.48e-06;0.821271;0;-0.201313
3.5e-06;0.821763;0;-0.20115
3.52e-06;0.819035;0;-0.201381
3.54e-06;0.818607;0;-0.201341
3.56e-06;0.82305;0;-0.201246
3.58e-06;0.82029;0;-0.201369
3.6e-06;0.819311;0;-0.201225
3.62e-06;0.823877;0;-0.201206
3.64e-06;0.821884;0;-0.201533
3.66e-06;0.822774;0;-0.201353
3.68e-06;0.821823;0;-0.201405
3.7e-06;0.821027;0;-0.201525
3.72e-06;0.825164;0;-0.201237
3.74e-06;0.821455;0;-0.201185
3.76e-06;0.825838;0;-0.201121
3.78e-06;0.82265;0;-0.201185
3.8e-06;0.820537;0;-0.201082
3.82e-06;0.825532;0;-0.201421
3.84e-06;0.819463;0;-0.201709
3.86e-06;0.823723;0;-0.201122
3.88e-06;0.820965;0;-0.201397
3.9e-06;0.819098;0;-0.201166
3.92e-06;0.825501;0;-0.201369
3.94e-06;0.822099;0;-0.201425
3.96e-06;0.820292;0;-0.201465
3.98e-06;0.821333;0;-0.201313
4e-06;0.830533;0;0.0414031
4.02e-06;0.832551;0;0.202962
4.04e-06;0.822344;0;0.202938
4.06e-06;0.82069;0;0.20295
4.08e-06;0.824643;0;0.202942
4.1e-06;0.822345;0;0.202954
4.12e-06;0.819281;0;0.202962
4.14e-06;0.820168;0;0.20295
4.16e-06;0.817534;0;0.202942
4.18e-06;0.822039;0;0.202962
4.2e-06;0.816981;0;0.202962
4.22e-06;0.823785;0;0.202962
4.24e-06;0.820107;0;0.202966
4.26e-06;0.814562;0;0.20297
4.28e-06;0.825195;0;0.202962
4.3e-06;0.821793;0;0.202958
4.32e-06;0.822651;0;0.202962
4.34e-06;0.819616;0;0.202962
4.36e-06;0.820384;0;0.202962
4.38e-06;0.82639;0;0.202962
4.4e-06;0.822436;0;0.202962
4.42e-06;0.824674;0;0.202962
4.44e-06;0.824153;0;0.202962
4.46e-06;0.821211;0;0.202966
4.48e-06;0.827431;0;0.202962
4.5e-06;0.823019;0;0.202962
4.52e-06;0.827064;0;0.202962
4.54e-06;0.825409;0;0.202962
4.56e-06;0.821365;0;0.202942
4.58e-06;0.825011;0;0.202966
4.6e-06;0.823143;0;0.202962
4.62e-06;0.825931;0;0.202958
4.64e-06;0.822772;0;0.202962
4.66e-06;0.820323;0;0.202962
4.68e-06;0.826267;0;0.202962
4.7e-06;0.824829;0;0.202962
4.72e-06;0.824674;0;0.202958
4.74e-06;0.823356;0;0.202962
4.76e-06;0.821518;0;0.202962
4.78e-06;0.824551;0;0.202962
4.8e-06;0.820935;0;0.202962
4.82e-06;0.826513;0;0.202962
4.84e-06;0.827554;0;0.202962
4.86e-06;0.821242;0;0.202966
4.88e-06;0.825225;0;0.202974
4.9e-06;0.825014;0;0.20297
4.92e-06;0.823785;0;0.202962
4.94e-06;0.820873;0;0.202966
4.96e-06;0.821488;0;0.202962
4.98e-06;0.826604;0;0.202962
5e-06;0.820444;0;0.000670096
5.02e-06;0.816584;0;-0.201373
5.04e-06;0.822681;0;-0.200974
5.06e-06;0.823481;0;-0.20097
5.08e-06;0.824459;0;-0.200974
5.1e-06;0.82302;0;-0.20099
5.12e-06;0.825838;0;-0.200974
5.14e-06;0.823662;0;-0.201018
5.16e-06;0.820445;0;-0.201022
5.18e-06;0.825532;0;-0.201046
5.2e-06;0.822068;0;-0.201086
5.22e-06;0.824582;0;-0.20103
5.24e-06;0.823202;0;-0.201209
5.26e-06;0.825322;0;-0.201138
5.28e-06;0.826236;0;-0.201078
5.3e-06;0.820076;0;-0.201173
5.32e-06;0.820108;0;-0.201022
5.34e-06;0.824122;0;-0.201141
5.36e-06;0.821456;0;-0.201321
5.38e-06;0.824122;0;-0.201102
5.4e-06;0.821547;0;-0.201369
5.42e-06;0.819189;0;-0.201453
5.44e-06;0.823785;0;-0.201189
5.46e-06;0.819034;0;-0.201293
5.48e-06;0.824061;0;-0.20105
5.5e-06;0.823723;0;-0.201086
5.52e-06;0.818974;0;-0.201417
5.54e-06;0.823847;0;-0.201054
5.56e-06;0.820046;0;-0.201317
5.58e-06;0.822192;0;-0.201086
5.6e-06;0.819617;0;-0.201141
5.62e-06;0.821427;0;-0.201169
5.64e-06;0.824704;0;-0.201202
5.66e-06;0.820873;0;-0.201389
5.68e-06;0.818147;0;-0.201241
5.7e-06;0.824275;0;-0.201225
5.72e-06;0.821701;0;-0.201181
5.74e-06;0.820782;0;-0.201417
5.76e-06;0.819463;0;-0.20158
5.78e-06;0.819465;0;-0.201178
5.8e-06;0.821426;0;-0.201465
5.82e-06;0.820383;0;-0.201293
5.84e-06;0.822498;0;-0.201233
5.86e-06;0.81882;0;-0.201257
5.88e-06;0.818209;0;-0.201489
5.9e-06;0.824766;0;-0.201253
5.92e-06;0.822926;0;-0.201225
5.94e-06;0.822713;0;-0.201174
5.96e-06;0.827768;0;-0.201109
5.98e-06;0.822499;0;-0.201381
6e-06;0.827526;0;-0.0396406
6.02e-06;0.828201;0;0.202998
6.04e-06;0.82391;0;0.202938
6.06e-06;0.827677;0;0.202962
6.08e-06;0.823571;0;0.202938
6.1e-06;0.825715;0;0.202954
6.12e-06;0.825592;0;0.202914
6.14e-06;0.822652;0;0.202922
6.16e-06;0.825839;0;0.202962
6.18e-06;0.822314;0;0.202962
6.2e-06;0.821793;0;0.202962
6.22e-06;0.82544;0;0.202962
6.24e-06;0.822192;0;0.202954
6.26e-06;0.825654;0;0.202962
6.28e-06;0.820414;0;0.202954
6.3e-06;0.820876;0;0.202966
6.32e-06;0.825685;0;0.202962
6.34e-06;0.822405;0;0.20297
6.36e-06;0.817687;0;0.202966
6.38e-06;0.823141;0;0.202962
6.4e-06;0.821486;0;0.20295
6.42e-06;0.819679;0;0.202962
6.44e-06;0.819739;0;0.202978
6.46e-06;0.821734;0;0.202962
6.48e-06;0.823418;0;0.202962
6.5e-06;0.82115;0;0.202962
6.52e-06;0.822529;0;0.202962
6.54e-06;0.823723;0;0.202958
6.56e-06;0.818176;0;0.202934
6.58e-06;0.825348;0;0.202962
6.6e-06;0.819555;0;0.202962
6.62e-06;0.81306;0;0.202974
6.64e-06;0.824337;0;0.20297
6.66e-06;0.821609;0;0.202982
6.68e-06;0.819005;0;0.202962
6.7e-06;0.823907;0;0.202974
6.72e-06;0.82259;0;0.202962
6.74e-06;0.822559;0;0.202962
6.76e-06;0.819495;0;0.202966
6.78e-06;0.821703;0;0.202954
6.8e-06;0.82305;0;0.202966
6.82e-06;0.821332;0;0.20295
6.84e-06;0.817748;0;0.202962
6.86e-06;0.823571;0;0.202966
6.88e-06;0.819616;0;0.202962
6.9e-06;0.823601;0;0.202966
6.92e-06;0.820904;0;0.20299
6.94e-06;0.819773;0;0.202962
6.96e-06;0.824429;0;0.202958
6.98e-06;0.822253;0;0.202966
7e-06;0.818025;0;0.0818739
7.02e-06;0.818791;0;-0.201772
7.04e-06;0.816551;0;-0.20097
7.06e-06;0.820322;0;-0.200978
7.08e-06;0.818943;0;-0.201002
7.1e-06;0.819036;0;-0.20097
7.12e-06;0.821334;0;-0.200982
7.14e-06;0.81836;0;-0.200978
7.16e-06;0.81591;0;-0.201014
7.18e-06;0.824644;0;-0.201002
7.2e-06;0.823847;0;-0.201022
7.22e-06;0.820844;0;-0.201038
7.24e-06;0.831998;0;-0.200978
7.26e-06;0.825537;0;-0.201118
7.28e-06;0.824153;0;-0.20105
7.3e-06;0.826819;0;-0.20103
7.32e-06;0.823083;0;-0.201078
7.34e-06;0.825532;0;-0.201066
7.36e-06;0.828756;0;-0.20117
7.38e-06;0.823666;0;-0.201393
7.4e-06;0.824551;0;-0.201218
7.42e-06;0.824372;0;-0.201269
7.44e-06;0.821855;0;-0.201365
7.46e-06;0.825378;0;-0.201022
7.48e-06;0.823544;0;-0.201209
7.5e-06;0.825195;0;-0.201066
7.52e-06;0.822007;0;-0.201345
7.54e-06;0.824987;0;-0.20103
7.56e-06;0.82829;0;-0.201054
7.58e-06;0.824584;0;-0.201189
7.6e-06;0.823452;0;-0.201461
7.62e-06;0.832396;0;-0.201213
7.64e-06;0.822619;0;-0.201217
7.66e-06;0.818791;0;-0.201217
7.68e-06;0.828841;0;-0.201273
7.7e-06;0.822348;0;-0.201265
7.72e-06;0.823356;0;-0.201177
7.74e-06;0.826021;0;-0.201086
