t;vds;corrente;vg
0;0.000973301;0.0119216;0.713714
2e-05;0.000951407;0.0119935;0.787084
4e-05;0.000955387;0.0120813;0.790703
6e-05;0.000947426;0.0124806;0.790703
8e-05;0.000927522;0.0119216;0.790575
0.0001;0.000897666;0.012281;0.790751
0.00012;0.00096932;0.0123289;0.790751
0.00014;0.000945436;0.0119536;0.790671
0.00016;0.000961359;0.0124087;0.790382
0.00018;0.000951407;0.011227;0.790479
0.0002;0.000959368;0.0136544;0.790719
0.00022;0.000939464;0.0129837;0.790431
0.00024;0.000945436;0.00965394;0.790751
0.00026;0.000959368;0.0160579;0.788957
0.00028;0.00096932;0.0111151;0.7892
0.0003;0.000989224;0.010157;0.790383
0.00032;0.00097131;0.0163373;0.788284
0.00034;0.000979272;0.00977365;0.788912
0.00036;0.000935484;0.0128639;0.788846
0.00038;0.00097131;0.016002;0.788783
0.0004;0.000927522;0.00899111;0.789583
0.00042;0.000885724;0.0147723;0.789229
0.00044;0.000909609;0.0116022;0.788157
0.00046;0.000965339;0.0112349;0.790158
0.00048;0.000907618;0.0148761;0.788894
0.0005;0.000829994;0.0101969;0.789343
0.00052;0.000975291;0.0120255;0.790751
0.00054;0.000977282;0.0135506;0.788861
0.00056;0.000949416;0.0101091;0.790399
0.00058;0.000955387;0.0135905;0.790639
0.0006;0.000935484;0.0121373;0.790303
0.00062;0.00091757;0.0111072;0.790703
0.00064;0.000957378;0.0140617;0.790655
0.00066;0.000851888;0.0114106;0.790543
0.00068;0.00091359;0.0129996;0.790607
0.0007;0.000875772;0.0135586;0.790366
0.00072;0.000963349;0.0111551;0.790751
0.00074;0.000959368;0.0137902;0.790751
0.00076;0.000973301;0.0124886;0.790751
0.00078;0.000989224;0.0119775;0.790655
0.0008;0.000943445;0.0122331;0.790671
0.00082;0.000881744;0.0120814;0.790703
0.00084;0.000818051;0.0123848;0.790751
0.00086;0.000903638;0.0122331;0.790655
0.00088;0.000973301;0.0118817;0.790687
0.0009;0.000885724;0.0119855;0.790751
0.00092;0.000931503;0.0121053;0.790687
0.00094;0.000909609;0.0119855;0.790751
0.00096;0.000945436;0.0118258;0.790575
0.00098;0.000947426;0.0119616;0.790479
0.001;0.000887715;0.0120813;-0.103308
0.00102;0.000989224;0.0123289;-0.199686
0.00104;0.000947426;0.0116741;-0.199686
0.00106;0.000977282;0.0119616;-0.199686
0.00108;0.00096733;0.0120414;-0.199686
0.0011;0.000885724;0.0119536;-0.199686
0.00112;0.000925532;0.0118897;-0.199686
0.00114;0.000818051;0.0119137;-0.199686
0.00116;0.000973301;0.0120334;-0.199686
0.00118;0.000955387;0.0118737;-0.199686
0.0012;0.000881744;0.0120175;-0.199686
0.00122;0.000855869;0.0118817;-0.199686
0.00124;0.000845917;0.0117779;-0.199686
0.00126;0.00086582;0.0117939;-0.199686
0.00128;0.000963349;0.011754;-0.199686
0.0013;0.000899657;0.0118737;-0.199686
0.00132;0.000887715;0.0121133;-0.199686
0.00134;0.000931503;0.0119536;-0.199686
0.00136;0.000977282;0.0119216;-0.199686
0.00138;0.000937474;0.011754;-0.199686
0.0014;0.00086582;0.0119775;-0.199686
0.00142;0.000877763;0.0119536;-0.199686
0.00144;0.000875772;0.0119775;-0.199686
0.00146;0.000933493;0.0119536;-0.199686
0.00148;0.000869801;0.0119536;-0.199686
0.0015;0.000885724;0.0119775;-0.199686
0.00152;0.000831984;0.0118418;-0.199686
0.00154;0.000907618;0.0120015;-0.199686
0.00156;0.00091359;0.0121452;-0.199686
0.00158;0.000893686;0.0119296;-0.199686
0.0016;0.00086184;0.0118019;-0.199686
0.00162;0.00097131;0.0119935;-0.199686
0.00164;0.000919561;0.0119696;-0.199686
0.00166;0.00091558;0.0119536;-0.199686
0.00168;0.00091757;0.0122171;-0.199686
0.0017;0.000957378;0.0119536;-0.199686
0.00172;0.000935484;0.0118897;-0.199686
0.00174;0.000873782;0.0115783;-0.199686
0.00176;0.000925532;0.0120734;-0.199686
0.00178;0.000961359;0.0123449;-0.199686
0.0018;0.000953397;0.011762;-0.199686
0.00182;0.000903638;0.0119376;-0.199686
0.00184;0.000985243;0.0120095;-0.199686
0.00186;0.00091359;0.0118498;-0.199686
0.00188;0.000949416;0.0119296;-0.199686
0.0019;0.000903638;0.0122171;-0.199686
0.00192;0.000881744;0.0120414;-0.199686
0.00194;0.000965339;0.0119536;-0.199686
0.00196;0.000899657;0.0120654;-0.199686
0.00198;0.000907618;0.0119536;-0.199686
0.002;0.000955387;0.0120654;0.595166
0.00202;0.00097131;0.0119376;0.790719
0.00204;0.00086383;0.0122091;0.790527
0.00206;0.000939464;0.0118578;0.790639
0.00208;0.000889705;0.0119855;0.790527
0.0021;0.000899657;0.0120334;0.790735
0.00212;0.000937474;0.0119536;0.790751
0.00214;0.000975291;0.0119536;0.790751
0.00216;0.000883734;0.0121532;0.790655
0.00218;0.000925532;0.0120494;0.790463
0.0022;0.000957378;0.0120973;0.790751
0.00222;0.000943445;0.0133191;0.79011
0.00224;0.000945436;0.0118498;0.790559
0.00226;0.000977282;0.0122809;0.790639
0.00228;0.000959368;0.0124806;0.789342
0.0023;0.000965339;0.0135505;0.788734
0.00232;0.000955387;0.0132951;0.788591
0.00234;0.00091757;0.0113467;0.790079
0.00236;0.000977282;0.0128639;0.790126
0.00238;0.000895676;0.0120414;0.790751
0.0024;0.000955387;0.0127681;0.790607
0.00242;0.000927522;0.0133191;0.790175
0.00244;0.000933493;0.0124167;0.790575
0.00246;0.000919561;0.0126483;0.790735
0.00248;0.000951407;0.0124407;0.790719
0.0025;0.000961359;0.0120734;0.790751
0.00252;0.000949416;0.0126164;0.790751
0.00254;0.000911599;0.0123768;0.790591
0.00256;0.000959368;0.0120654;0.790703
