t;vds;corrente;vg
0;0.0188503;0.08979;0.0114288
2e-05;0.0189747;0.0892707;0.0326379
4e-05;0.0190091;0.0860139;0.0522944
6e-05;0.0188311;0.0850868;0.0724308
8e-05;0.0189923;0.0803595;0.090663
0.0001;0.019033;0.0791208;0.108991
0.00012;0.0188806;0.0775424;0.128775
0.00014;0.019163;0.0791488;0.149744
0.00016;0.0190059;0.0754285;0.168135
0.00018;0.0192093;0.0701538;0.187937
0.0002;0.0192899;0.0686073;0.208458
0.00022;0.019096;0.0667492;0.228066
0.00024;0.0191152;0.0617542;0.247722
0.00026;0.0198204;0.0562756;0.265617
0.00028;0.019053;0.0560599;0.286267
0.0003;0.0192659;0.0557082;0.305827
0.00032;0.0194008;0.0550729;0.326218
0.00034;0.0192357;0.049946;0.344177
0.00036;0.0191471;0.0565834;0.364137
0.00038;0.0194574;0.0584375;0.384948
0.0004;0.0189859;0.0583376;0.405309
0.00042;0.0192946;0.0589929;0.423989
0.00044;0.0191415;0.0574824;0.443102
0.00046;0.0191854;0.0633406;0.463796
0.00048;0.0192404;0.0614345;0.484686
0.0005;0.0191223;0.0670969;0.504823
0.00052;0.0192309;0.0687552;0.525359
0.00054;0.0192077;0.0677602;0.545974
0.00056;0.0191886;0.0699221;0.565775
0.00058;0.0190585;0.0725713;0.585867
0.0006;0.0191;0.0718721;0.606164
0.00062;0.0190721;0.0726233;0.624152
0.00064;0.0190226;0.0740898;0.644368
0.00066;0.019155;0.0775824;0.663734
0.00068;0.0191558;0.0776542;0.683201
0.0007;0.0190266;0.078825;0.702492
0.00072;0.0190856;0.0796523;0.724062
0.00074;0.0189867;0.082929;0.743758
0.00076;0.0188328;0.0840479;0.762858
0.00078;0.0189054;0.0861657;0.781594
0.0008;0.0191319;0.0832447;0.775312
0.00082;0.0188519;0.08591;0.757476
0.00084;0.0189891;0.0845194;0.737286
0.00086;0.0187993;0.0861937;0.716914
0.00088;0.0189851;0.0826933;0.697094
0.0009;0.0190705;0.0835444;0.677707
0.00092;0.0190282;0.0771069;0.658745
0.00094;0.0189756;0.081906;0.638831
0.00096;0.0191447;0.0760758;0.618887
0.00098;0.0191032;0.0762876;0.599663
0.001;0.0191375;0.0762476;0.580327
0.00102;0.0189931;0.0755243;0.559728
0.00104;0.019021;0.0724834;0.539332
0.00106;0.019108;0.0706933;0.518396
0.00108;0.0191247;0.0704695;0.498949
0.0011;0.0191702;0.0672127;0.478395
0.00112;0.0192029;0.0675524;0.458675
0.00114;0.0190641;0.0681917;0.438892
0.00116;0.0194805;0.0601158;0.418227
0.00118;0.0193265;0.0637442;0.399369
0.0012;0.0191622;0.0585933;0.378319
0.00122;0.0191048;0.0537542;0.358646
0.00124;0.0193082;0.0567712;0.339151
0.00126;0.0194351;0.0505374;0.319897
0.00128;0.019463;0.0507252;0.30032
0.0013;0.0194638;0.0477362;0.280184
0.00132;0.0192604;0.0537381;0.261408
0.00134;0.019735;0.048;0.242408
0.00136;0.0185352;0.0572028;0.222048
0.00138;0.0197382;0.0591408;0.201847
0.0014;0.019396;0.0572307;0.181612
0.00142;0.0185583;0.060963;0.162244
0.00144;0.0199017;0.0671449;0.143933
0.00146;0.0193561;0.0688551;0.123925
0.00148;0.0182831;0.0718321;0.104221
0.0015;0.0199759;0.0732068;0.085556
0.00152;0.0189508;0.0720199;0.0659003
0.00154;0.0186429;0.0776903;0.0470117
0.00156;0.0198244;0.0778021;0.0267314
0.00158;0.0188144;0.0818741;0.00537829
0.0016;0.0188017;0.0853066;-0.0128854
0.00162;0.0195124;0.0845633;-0.0326539
0.00164;0.0187059;0.0859819;-0.0541032
0.00166;0.0190178;0.0888471;-0.0735032
