t;vds;corrente;vg
0;0.00456702;0;0.000576288
2e-08;0.0101062;0;-0.000424212
4e-08;0.0104108;0;-0.000136068
6e-08;0.0102174;0;-0.000712357
8e-08;0.0104627;0;-0.000616308
1e-07;0.0102248;0;-0.00192096
1.2e-07;0.0102036;0;-0.00245722
1.4e-07;0.0104197;0;-0.00154477
1.6e-07;0.0103628;0;-0.000496248
1.8e-07;0.0101398;0;-0.00114457
2e-07;0.0103658;0;-0.000936469
2.2e-07;0.0104028;0;-0.00111256
2.4e-07;0.0103969;0;-0.0006003
2.6e-07;0.0102743;0;-0.000808405
2.8e-07;0.0103148;0;-0.00032016
3e-07;0.0104686;0;-0.0002001
3.2e-07;0.010432;0;-0.000664332
3.4e-07;0.0103569;0;-0.000888445
3.6e-07;0.0101625;0;-0.000968485
3.8e-07;0.0104088;0;-0.000296148
4e-07;0.0104033;0;-0.000920461
4.2e-07;0.0104409;0;-0.000496248
4.4e-07;0.0104058;0;-0.000648324
4.6e-07;0.0103737;0;-0.00148074
4.8e-07;0.010348;0;-0.00136068
5e-07;0.0103544;0;-0.00311354
5.2e-07;0.0101521;0;-0.00209704
5.4e-07;0.0104859;0;-0.00265732
5.6e-07;0.0103727;0;-0.00348173
5.8e-07;0.010303;0;-0.00312955
6e-07;0.0102446;0;-0.00190495
6.2e-07;0.0102194;0;-0.00236918
6.4e-07;0.01034;0;-0.00173686
6.6e-07;0.0102708;0;-0.000432216
6.8e-07;0.0102946;0;-0.00036018
7e-07;0.0103989;0;-0.000760381
7.2e-07;0.0101442;0;-0.00210505
7.4e-07;0.0102149;0;-0.00274536
7.6e-07;0.0104206;0;-0.00179289
7.8e-07;0.0101442;0;-0.000760381
8e-07;0.0102634;0;-0.00104852
8.2e-07;0.0101848;0;-0.00104852
8.4e-07;0.0103143;0;-0.000704353
8.6e-07;0.0103855;0;-0.00168084
8.8e-07;0.0102723;0;-0.00109655
9e-07;0.0104439;0;-0.00325761
9.2e-07;0.0103722;0;-0.00175287
9.4e-07;0.0103494;0;-0.00216107
9.6e-07;0.0104063;0;-0.00165682
9.8e-07;0.0132486;0;0.0498329
1e-06;0.0286516;0;0.397009
1.02e-06;0.0258424;0;0.399402
1.04e-06;0.0255759;0;0.399394
1.06e-06;0.0256649;0;0.399402
1.08e-06;0.0252951;0;0.39941
1.1e-06;0.0253786;0;0.399394
1.12e-06;0.0255175;0;0.39941
1.14e-06;0.0254251;0;0.399402
1.16e-06;0.0253198;0;0.399402
