t;vds;corrente;vg
0;0.000154766;0.0142922;0.00976414
2e-05;0.000101316;0.0138241;0.030573
4e-05;0.000142002;0.0139567;0.0500535
6e-05;6.94051e-05;0.014261;0.070382
8e-05;0.000107698;0.0142819;0.088342
0.0001;0.000110889;0.0146553;0.108238
0.00012;7.81805e-05;0.0144703;0.128279
0.00014;0.000142799;0.0142717;0.148127
0.00016;9.25403e-05;0.0145041;0.166694
0.00018;0.000104507;0.0145055;0.185792
0.0002;0.000131631;0.0145105;0.205576
0.00022;7.57872e-05;0.0145057;0.225249
0.00024;0.000135619;0.0144931;0.246105
0.00026;0.000144395;0.0144348;0.264001
0.00028;0.000122058;0.0145281;0.28401
0.0003;0.000175508;0.0145129;0.304098
0.00032;0.000101316;0.0145627;0.323657
0.00034;0.000134024;0.0145146;0.342816
0.00036;0.000138013;0.0145991;0.36268
0.00038;0.000177901;0.0144229;0.383171
0.0004;0.000127642;0.0144988;0.402939
0.00042;8.85515e-05;0.0146693;0.422388
0.00044;0.000149979;0.014356;0.441709
0.00046;0.00012844;0.0145736;0.461364
0.00048;0.000147586;0.0146195;0.481932
0.0005;0.000138811;0.0144241;0.503526
0.00052;8.61582e-05;0.0145007;0.52259
0.00054;0.000170721;0.0145538;0.543975
0.00056;0.000168328;0.0145053;0.564542
0.00058;0.000177103;0.0143955;0.584217
0.0006;0.000104507;0.0146457;0.603699
0.00062;7.17984e-05;0.014535;0.622505
0.00064;0.000151575;0.0144829;0.642433
0.00066;0.000110889;0.0145303;0.662773
0.00068;9.49336e-05;0.0143803;0.681616
0.0007;0.000119664;0.0145236;0.702012
0.00072;0.00012844;0.014436;0.721167
0.00074;0.000181092;0.0145536;0.741566
0.00076;0.00014599;0.0145529;0.761114
0.00078;0.000115675;0.014276;0.780298
0.0008;0.000165934;0.0144953;0.778127
0.00082;0.000176305;0.0144272;0.759572
0.00084;0.000172317;0.0144788;0.740504
0.00086;0.000146788;0.0146441;0.720132
0.00088;0.000169126;0.0144717;0.700216
0.0009;0.000244115;0.0143753;0.680782
0.00092;0.000185879;0.0144469;0.662073
0.00094;0.000195452;0.014231;0.642016
0.00096;0.000126844;0.0145484;0.62121
0.00098;0.000123653;0.0144291;0.602239
0.001;0.000183485;0.0145272;0.582918
0.00102;0.000130035;0.0143998;0.562866
0.00104;0.000176305;0.0143743;0.542742
0.00106;0.000138013;0.0145117;0.521036
0.00108;0.000201834;0.0144848;0.502502
0.0011;8.53604e-05;0.0143253;0.481261
0.00112;0.000173912;0.0143208;0.461219
0.00114;0.000208216;0.0141163;0.44038
0.00116;0.000140406;0.0142369;0.420885
0.00118;0.000122058;0.0146293;0.401307
0.0012;0.000223373;0.0145343;0.382194
0.00122;0.000132428;0.0142881;0.361144
0.00124;0.000173912;0.0145398;0.341488
0.00126;9.41358e-05;0.0143174;0.321898
0.00128;0.000168328;0.0143553;0.302033
0.0013;0.000154766;0.0146924;0.282633
0.00132;8.93492e-05;0.0141591;0.263168
0.00134;0.000129237;0.0141912;0.245017
0.00136;8.77537e-05;0.0146531;0.224689
0.00138;0.000149181;0.014237;0.203976
0.0014;0.000122058;0.0143719;0.184573
0.00142;0.000107698;0.0144269;0.165382
0.00144;0.000191463;0.013841;0.146622
0.00146;8.77537e-05;0.0146165;0.12663
0.00148;0.000137215;0.0142691;0.10643
0.0015;9.97201e-05;0.014215;0.0875407
0.00152;0.000173912;0.0146582;0.0685894
