t;vds;corrente;vg
0.00998;0.0475307;0.340079;0.0106299
0.01996;0.0473357;0.334747;0.0337744
0.02994;0.0473655;0.331138;0.0541992
0.03992;0.0475526;0.330403;0.0735833
0.0499;0.0474532;0.321261;0.0923117
0.05988;0.0476821;0.318825;0.111376
0.06986;0.04768;0.315991;0.131304
0.07984;0.0475925;0.306967;0.151696
0.08982;0.0476342;0.302815;0.169815
0.0998;0.0476641;0.296994;0.19005
0.10978;0.047686;0.291141;0.20977
0.11976;0.0479288;0.285592;0.230691
0.12974;0.0478951;0.278261;0.249595
0.13972;0.0479647;0.274277;0.268403
0.1497;0.0478612;0.266659;0.287755
0.15968;0.0480224;0.259257;0.308435
0.16966;0.048337;0.251575;0.328234
0.17964;0.0482833;0.241506;0.345825
0.18962;0.048333;0.233154;0.36553
0.1996;0.0486376;0.225217;0.387141
0.20958;0.0486257;0.217352;0.407294
0.21956;0.0486934;0.206037;0.425863
0.22954;0.0488546;0.199433;0.446014
0.23952;0.0488745;0.191113;0.465253
0.2495;0.0489521;0.178489;0.486447
0.25948;0.0488626;0.174576;0.506104
0.26946;0.0492885;0.169074;0.526623
0.27944;0.0490377;0.164834;0.5474
0.28942;0.049191;0.162758;0.567985
0.2994;0.049002;0.163046;0.586443
0.30938;0.0490058;0.166008;0.606372
0.31936;0.0491172;0.166823;0.625624
0.32934;0.0491292;0.169346;0.647314
0.33932;0.0490596;0.173602;0.666747
0.3493;0.0491332;0.174967;0.685394
0.35928;0.0489799;0.179631;0.704461
0.36926;0.0488964;0.185132;0.725614
0.37924;0.0486476;0.192662;0.744718
0.38922;0.0488944;0.195593;0.764697
0.3992;0.0487749;0.204384;0.783338
0.40918;0.0487013;0.205318;0.775663
0.41916;0.0487252;0.194339;0.757956
0.42914;0.0489202;0.191712;0.738551
0.43912;0.0488227;0.190131;0.718643
0.4491;0.0489481;0.18213;0.697895
0.45908;0.0490516;0.181187;0.678395
0.46906;0.0489999;0.179192;0.65865
0.47904;0.0490775;0.167925;0.638863
0.48902;0.0491551;0.16913;0.619304
0.499;0.0493143;0.159476;0.599311
0.50898;0.049175;0.15958;0.580711
0.51896;0.0490854;0.159732;0.560529
0.52894;0.0491849;0.160602;0.53946
0.53892;0.049181;0.16204;0.51886
0.5489;0.0490516;0.16291;0.499525
0.55888;0.0491192;0.173634;0.479371
0.56886;0.048753;0.181946;0.458035
0.57884;0.048755;0.189787;0.438475
0.58882;0.0489103;0.194091;0.419668
0.5988;0.0484724;0.203633;0.399322
0.60878;0.0489381;0.213519;0.378479
0.61876;0.0485461;0.222358;0.359047
0.62874;0.0482016;0.233857;0.339263
0.63872;0.0485022;0.237953;0.320601
0.6487;0.0481559;0.242489;0.300433
0.65868;0.0482075;0.252765;0.280984
0.66866;0.048337;0.255863;0.261984
0.67864;0.0480423;0.266563;0.242424
0.68862;0.0481656;0.271131;0.222992
0.6986;0.0482114;0.275003;0.203031
0.70858;0.0478334;0.283092;0.183629
0.71856;0.0478593;0.290431;0.163093
0.72854;0.0477896;0.29479;0.144494
0.73852;0.0479528;0.302687;0.123893
0.7485;0.0477955;0.303222;0.104653
0.75848;0.0475905;0.311032;0.0851718
0.76846;0.047688;0.316709;0.0661244
0.77844;0.0475984;0.320965;0.0472039
0.78842;0.0475645;0.327257;0.0272117
0.7984;0.0474431;0.328511;0.00742719
0.80838;0.0475108;0.335003;-0.0115569
0.81836;0.047278;0.338452;-0.0315494
0.82834;0.047471;0.341111;-0.0529347
0.83832;0.0474113;0.34456;-0.0727029
0.8483;0.0471266;0.351899;-0.0931281
0.85828;0.0470211;0.355237;-0.11144
0.86826;0.0469854;0.359133;-0.131912
0.87824;0.0470331;0.363046;-0.151104
0.88822;0.0471287;0.369202;-0.170856
0.8982;0.0470411;0.364723;-0.190706
0.90818;0.0469933;0.369035;-0.186318
0.91816;0.047274;0.365705;-0.168247
0.92814;0.0469495;0.36295;-0.148303
0.93812;0.0468978;0.3637;-0.128071
0.9481;0.0471545;0.355292;-0.108671
0.95808;0.0472222;0.358622;-0.0900217
0.96806;0.047282;0.353895;-0.07003
0.97804;0.0473336;0.34769;-0.0490127
0.98802;0.0473257;0.346932;-0.0294047
0.998;0.0471625;0.344257;-0.00849963
1.00798;0.0472401;0.343379;0.00926792
1.01796;0.0472521;0.33549;0.0307491
1.02794;0.0475387;0.327154;0.0500054
1.03792;0.0473914;0.326579;0.070574
1.0479;0.0475725;0.324527;0.0885341
1.05788;0.0476024;0.318857;0.10827
1.06786;0.0476104;0.312533;0.128263
1.07784;0.0473715;0.308836;0.147967
1.08782;0.0476562;0.304596;0.166758
1.0978;0.0476502;0.298671;0.185568
1.10778;0.0478313;0.292323;0.206121
1.11776;0.0479149;0.285352;0.225969
1.12774;0.0479189;0.282102;0.246378
1.13772;0.0479906;0.276648;0.264497
1.1477;0.048118;0.264639;0.284874
1.15768;0.0481757;0.259856;0.303858
1.16766;0.0483131;0.252047;0.323689
1.17764;0.0483748;0.245092;0.342544
1.18762;0.0486297;0.237091;0.362536
1.1976;0.0486058;0.224897;0.382259
1.20758;0.0484326;0.222302;0.403163
1.21756;0.0486077;0.208736;0.422388
1.22754;0.0488705;0.202739;0.441133
