t;vds;corrente;vg
0.02495;-0.0951004;0.19055;-0.200596
0.0499;-0.0952244;0.191873;-0.199467
0.07485;-0.0952844;0.191649;-0.200043
0.0998;-0.0953285;0.191817;-0.200043
0.12475;-0.0953524;0.192041;-0.199755
0.1497;-0.0952204;0.191769;-0.199787
0.17465;-0.0953484;0.191481;-0.199947
0.1996;-0.0953284;0.191641;-0.199835
0.22455;-0.0953564;0.191633;-0.200043
0.2495;-0.0953244;0.191369;-0.199771
0.27445;-0.0953564;0.191729;-0.20025
0.2994;-0.0954564;0.191665;-0.199867
0.32435;-0.0953644;0.191985;-0.199899
0.3493;-0.0953484;0.191729;-0.199595
0.37425;-0.0953364;0.191577;-0.199931
0.3992;-0.0953724;0.191681;-0.200091
0.42415;-0.0953604;0.191625;-0.199595
0.4491;-0.0953004;0.191577;-0.199931
0.47405;-0.0953364;0.191841;-0.199963
0.499;-0.0953325;0.191689;-0.199483
0.52395;-0.0953124;0.191601;-0.199579
0.5489;-0.0953444;0.191777;-0.199292
0.57385;-0.0953444;0.191921;-0.199244
0.5988;-0.0953804;0.191897;-0.199963
0.62375;-0.0953564;0.191681;-0.199771
0.6487;-0.0953284;0.191569;-0.200138
0.67365;-0.0953684;0.191689;-0.199755
0.6986;-0.0953724;0.191833;-0.199467
0.72355;-0.0953845;0.191649;-0.199883
0.7485;-0.0953604;0.191433;-0.200027
0.77345;-0.0953724;0.191153;-0.200106
0.7984;-0.0953684;0.191041;-0.200298
0.82335;-0.0954084;0.191281;-0.199707
0.8483;-0.0953684;0.191201;-0.199659
0.87325;-0.0953764;0.191441;-0.199499
0.8982;-0.0953964;0.191169;-0.20033
0.92315;-0.0953445;0.191217;-0.199851
0.9481;-0.0953204;0.191449;-0.19942
0.97305;-0.0953684;0.191185;-0.199899
0.998;-0.0953604;0.191385;-0.199515
1.02295;-0.0953044;0.191449;-0.199819
1.0479;-0.0954124;0.191433;-0.199979
1.07285;-0.0952924;0.191353;-0.199819
1.0978;-0.0954324;0.191297;-0.199707
1.12275;-0.0953244;0.191217;-0.200218
1.1477;-0.0953924;0.191353;-0.200154
1.17265;-0.0953924;0.191697;-0.200442
1.1976;-0.0953924;0.191433;-0.199707
1.22255;-0.0953924;0.191497;-0.199883
1.2475;-0.0954004;0.191441;-0.199899
1.27245;-0.0953244;0.191505;-0.199819
1.2974;-0.0953924;0.191521;-0.199803
1.32235;-0.0952924;0.191361;-0.199931
1.3473;-0.0953725;0.191353;-0.200154
1.37225;-0.0953804;0.191233;-0.199979
1.3972;-0.0953604;0.191321;-0.199707
1.42215;-0.0954004;0.191009;-0.200106
1.4471;-0.0954044;0.191361;-0.199867
1.47205;-0.0953764;0.191273;-0.199963
1.497;-0.0953564;0.191393;-0.199851
1.52195;-0.0954524;0.191753;-0.199467
1.5469;-0.0954004;0.191057;-0.200154
