t;vds;corrente;vg
0.002495;-0.00186131;-0.00188607;-0.00957763
0.00499;-0.0016389;-0.0023468;-0.00782792
0.007485;-0.0019226;0.00110057;-0.00614511
0.00998;-0.00156872;-0.0059115;-0.00381942
0.012475;-0.00187911;-0.011475;-0.00226896
0.01497;-0.00163396;-0.00444273;-0.00521861
0.017465;-0.00211931;0.00714963;-0.0068258
0.01996;-0.00177334;0.000606931;-0.00839515
0.022455;-0.00174764;0.00044508;-0.00869767
0.02495;-0.00174961;0.00033988;-0.00599384
0.027445;-0.00161419;0.00362135;-0.0068258
0.02994;-0.00187812;0.00675714;-0.00652327
0.032435;-0.00169624;-0.0042121;-0.00563459
0.03493;-0.00226758;0.00583867;-0.00841406
0.037425;-0.00188306;-0.00105202;-0.0068447
0.03992;-0.00169723;-0.00108034;-0.00699597
0.042415;-0.00212326;0.00799124;-0.00650436
0.04491;-0.00106262;0.0137652;-0.00533206
0.047405;-0.00214006;0.014364;-0.0063531
0.0499;-0.00084021;0.0102369;-0.00727959
0.052395;-0.00230316;0.015153;-0.00867877
0.05489;-0.00111896;-0.00322078;-0.00756321
0.057385;-0.00249888;0.00434562;-0.0063531
0.05988;-0.0011842;-0.00231847;0.0366626
0.062375;-0.00224484;0.00150114;0.113504
0.06487;-0.00154796;-0.00929008;0.0424295
0.067365;-0.00203627;0.0142871;0.0122523
0.06986;-0.00160431;-0.000198264;0.00138029
0.072355;-0.00170711;0.00630802;-9.454e-05
0.07485;-0.00164286;-0.000526006;-0.00200425
0.077345;-0.00190579;0.00443059;-0.00688252
0.07984;-0.001631;-0.00149709;-0.00822498
0.082335;-0.00179508;0.0120819;-0.00814935
0.08483;-0.00142342;-0.00764326;0.048915
0.087325;-0.00160431;-0.00389649;0.272351
0.08982;-0.00145999;0.00817332;0.376551
0.092315;-0.00191963;-0.00101155;0.416014
0.09481;-0.00159541;0.00620687;0.432012
0.097305;-0.00182078;0.00180461;0.434527
0.0998;-0.00150151;-0.00405429;0.436927
0.102295;-0.00191271;0.0156993;0.441804
0.10479;-0.00167152;-0.00324101;0.443165
0.107285;-0.00183858;0.00284853;0.443391
0.10978;-0.00158256;0.00339881;0.44341
0.112275;-0.00165077;0.00699183;0.442465
0.11477;-0.00179014;-0.000546238;0.443391
0.117265;-0.00172886;0.00329361;0.443354
0.11976;-0.0016221;0.000695944;0.443391
0.122255;-0.00188998;0.00644155;0.443372
0.12475;-0.00163199;-0.0017601;0.442787
0.127245;-0.0018277;0.00581843;0.442333
0.12974;-0.00148569;0.00258552;0.441577
0.132235;-0.00180793;0.00354447;0.443051
0.13473;-0.00160431;0.00447914;0.442711
0.137225;-0.00180398;0.00328147;0.443354
0.13972;-0.00168339;0.00801147;0.442919
0.142215;-0.00197499;-0.00306702;0.442371
0.14471;-0.00100034;0.00571728;0.443127
0.147205;-0.000325211;0.0116247;0.443202
0.1497;-0.000494241;0.00193813;0.443014
0.152195;-0.000433944;0.0106051;0.443297
0.15469;-0.000405278;-0.00600457;0.443448
0.157185;-0.000158157;0.0120658;0.443127
0.15968;-0.000328176;-0.00695542;0.443051
0.162175;-0.000396382;0.00933862;0.443448
0.16467;-0.000161122;0.00922938;0.443146
0.167165;-0.000209558;0.0167634;0.443183
0.16966;0.000310383;0.0108398;0.44222
0.172155;0.000660307;0.00679357;0.442938
0.17465;0.00138388;0.0070242;0.443165
0.177145;0.00176642;0.00796292;0.442239
0.17964;0.00240893;0.00337453;0.442635
0.182135;0.00278653;0.020409;0.443335
0.18463;0.00349132;0.0120455;0.443391
0.187125;0.00397172;0.00644155;0.442371
0.18962;0.00423268;0.0171599;0.442238
0.192115;0.00483961;0.0119848;0.442541
0.19461;0.0051668;0.0107224;0.443335
0.197105;0.00577373;0.0217928;0.442409
0.1996;0.00635298;0.0199923;0.442843
0.202095;0.00655661;0.0233951;0.442673
0.20459;0.0071665;0.0215015;0.443316
0.207085;0.00753817;0.0287806;0.443373
0.20958;0.00819749;0.031884;0.443448
0.212075;0.00839617;0.0254344;0.44307
0.21457;0.00890819;0.0232211;0.443429
0.217065;0.00972468;0.032317;0.442919
0.21956;0.01013;0.0244431;0.443278
0.222055;0.0106351;0.0187056;0.443448
0.22455;0.0109108;0.0288817;0.443316
0.227045;0.0117758;0.0325516;0.44324
0.22954;0.012016;0.0282425;0.443391
0.232035;0.0127079;0.041607;0.443391
0.23453;0.0129758;0.031795;0.443372
0.237025;0.0137063;0.033106;0.44341
0.23952;0.0138446;0.0313499;0.443278
0.242015;0.0144041;0.0435533;0.443335
0.24451;0.0150081;0.0248558;0.443391
0.247005;0.015448;0.0545185;0.443448
0.2495;0.0159966;0.0412065;0.443146
0.251995;0.0163297;0.0403406;0.443221
0.25449;0.0169811;0.0430434;0.443391
0.256985;0.0172697;0.0402394;0.442938
0.25948;0.0177146;0.047211;0.443448
0.261975;0.0183254;0.0444313;0.443391
0.26447;0.0185814;0.0416354;0.443183
0.266965;0.0193643;0.0551214;0.44203
0.26946;0.0196302;0.0425296;0.443051
