t;vds;corrente;vg
0.00998;0.0188806;0.220159;0.0103776
0.01996;0.0196568;0.214769;0.0368318
0.02994;0.0173226;0.211429;0.0548235
0.03992;0.0194071;0.214235;0.075312
0.0499;0.0189859;0.209363;0.0942645
0.05988;0.0175363;0.20795;0.112192
0.06986;0.0200509;0.205568;0.134761
0.07984;0.0181403;0.200913;0.152753
0.08982;0.0184865;0.196743;0.17156
0.0998;0.0197007;0.197326;0.192259
0.10978;0.0179528;0.194687;0.212635
0.11976;0.0192755;0.195201;0.231395
0.12974;0.0193226;0.187424;0.25118
0.13972;0.0184873;0.182957;0.270468
0.1497;0.0194925;0.180447;0.289324
0.15968;0.0189851;0.179498;0.310163
0.16966;0.0187155;0.17344;0.328571
0.17964;0.0193752;0.169783;0.349332
0.18962;0.0189461;0.169062;0.367196
0.1996;0.0193569;0.158922;0.389543
0.20958;0.0193625;0.160602;0.407775
0.21956;0.0191415;0.151619;0.427095
0.22954;0.0195571;0.15074;0.44779
0.23952;0.0194734;0.145146;0.467703
0.2495;0.0191455;0.146569;0.487712
0.25948;0.0195731;0.143219;0.508905
0.26946;0.0194008;0.14314;0.528559
0.27944;0.019392;0.146707;0.549096
0.28942;0.0195611;0.148407;0.569555
0.2994;0.0192596;0.147399;0.589563
0.30938;0.0194175;0.144543;0.60866
0.31936;0.019455;0.153121;0.628935
0.32934;0.019404;0.154475;0.648579
0.33932;0.019301;0.156659;0.66843
0.3493;0.0193529;0.163073;0.687714
0.35928;0.0193138;0.163666;0.70838
0.36926;0.0191646;0.16504;0.72755
0.37924;0.0192085;0.1684;0.74659
0.38922;0.0192053;0.17175;0.765768
0.3992;0.0192787;0.171206;0.783259
0.40918;0.0191902;0.170139;0.772318
0.41916;0.0191232;0.171888;0.753762
0.42914;0.0192667;0.168716;0.734998
0.43912;0.0192005;0.16666;0.713499
0.4491;0.0192971;0.164466;0.695205
0.45908;0.019226;0.158665;0.675388
0.46906;0.0192667;0.160563;0.655738
0.47904;0.0192348;0.147033;0.63518
0.48902;0.0193928;0.146678;0.61653
0.499;0.0193425;0.146974;0.596287
0.50898;0.0193625;0.139681;0.577142
0.51896;0.0194271;0.145857;0.556428
0.52894;0.0194854;0.141825;0.536339
0.53892;0.0194303;0.142043;0.515324
0.5489;0.0194502;0.142082;0.49565
0.55888;0.0193418;0.142912;0.475353
0.56886;0.0193944;0.14561;0.454834
0.57884;0.0194183;0.148526;0.434329
0.58882;0.019159;0.148951;0.41512
0.5988;0.019254;0.152706;0.396536
0.60878;0.0192356;0.164615;0.375405
0.61876;0.0191742;0.165129;0.356246
0.62874;0.0190075;0.168261;0.335839
0.63872;0.0191526;0.17338;0.31716
0.6487;0.0191143;0.174823;0.29691
0.65868;0.0191016;0.177017;0.278455
0.66866;0.0189859;0.182275;0.258687
0.67864;0.0189819;0.187394;0.239463
0.68862;0.0188982;0.191367;0.219726
0.6986;0.0189875;0.193432;0.199078
0.70858;0.0188878;0.19446;0.179083
0.71856;0.0189085;0.197553;0.160996
0.72854;0.0188806;0.201921;0.141452
0.73852;0.018828;0.198799;0.120388
0.7485;0.0187059;0.203285;0.101916
0.75848;0.0188862;0.2054;0.0819226
0.76846;0.018816;0.211567;0.0631631
0.77844;0.0187977;0.21215;0.0441305
0.78842;0.0187035;0.21134;0.0241862
0.7984;0.0187426;0.215421;0.00428982
0.80838;0.018737;0.216301;-0.0150944
0.81836;0.0188016;0.220511;-0.0351189
0.82834;0.0185687;0.219839;-0.0566962
0.83832;0.018658;0.223159;-0.0771847
0.8483;0.0186812;0.219196;-0.0957052
0.85828;0.0186453;0.221074;-0.114257
0.86826;0.0185184;0.226252;-0.136346
0.87824;0.0186237;0.222665;-0.155202
0.88822;0.0186557;0.225956;-0.175242
0.8982;0.0185862;0.232083;-0.192435
0.90818;0.0186637;0.227458;-0.184605
0.91816;0.0185264;0.228931;-0.167495
0.92814;0.0185432;0.228318;-0.146814
0.93812;0.0186285;0.224563;-0.126934
0.9481;0.0186899;0.219908;-0.106574
0.95808;0.0186461;0.225353;-0.0876528
0.96806;0.0184841;0.223544;-0.0680452
0.97804;0.0188064;0.223791;-0.0469156
0.98802;0.018461;0.217684;-0.028188
0.998;0.0186812;0.219839;-0.00731514
1.00798;0.0189452;0.22646;0.0119571
1.01796;0.0182584;0.216083;0.0320457
1.02794;0.0190737;0.211043;0.0519423
1.03792;0.0188551;0.213188;0.0716625
1.0479;0.0185695;0.207535;0.0895425
1.05788;0.018978;0.205331;0.109791
1.06786;0.0186748;0.206339;0.13004
1.07784;0.0187769;0.204175;0.149664
1.08782;0.0188718;0.197415;0.168103
1.0978;0.018619;0.196061;0.188129
1.10778;0.0189564;0.198996;0.208201
1.11776;0.0190873;0.19615;0.227618
1.12774;0.0191048;0.189262;0.249195
1.13772;0.0189891;0.186969;0.265553
1.1477;0.0188112;0.183925;0.286491
1.15768;0.0189995;0.18095;0.305571
1.16766;0.0192412;0.176968;0.327002
1.17764;0.0190761;0.172946;0.345089
1.18762;0.0191103;0.16666;0.36473
1.1976;0.0192125;0.163132;0.384323
1.20758;0.0192883;0.159189;0.405101
1.21756;0.0192747;0.156155;0.424197
1.22754;0.0193992;0.147854;0.443774
1.23752;0.0193465;0.148051;0.463796
1.2475;0.0193936;0.14734;0.484573
1.25748;0.0194853;0.142359;0.504823
1.26746;0.0194152;0.141282;0.524975
1.27744;0.0194486;0.142813;0.545015
1.28742;0.0193266;0.146905;0.565679
1.2974;0.0191838;0.150147;0.58537
1.30738;0.0195427;0.150384;0.606148
1.31736;0.0194016;0.15407;0.623528
1.32734;0.0194375;0.152469;0.644817
1.33732;0.0192428;0.156116;0.664391
1.3473;0.0192221;0.158695;0.683185
1.35728;0.0193832;0.160078;0.702877
1.36726;0.0193026;0.164812;0.722431
1.37724;0.0191718;0.17009;0.743262
1.38722;0.0190329;0.168904;0.762554
1.3972;0.0191175;0.172086;0.781833
1.40718;0.0191726;0.173242;0.775568
1.41716;0.0191487;0.169348;0.75874
1.42714;0.0191295;0.169161;0.738103
1.43712;0.0191176;0.164555;0.718771
1.4471;0.0191167;0.161215;0.699367
1.45708;0.0192747;0.158794;0.679147
1.46706;0.0192213;0.157964;0.660105
1.47704;0.0193689;0.151194;0.639647
1.48702;0.0194311;0.147014;0.620313
1.497;0.0194718;0.148506;0.600543
1.50698;0.019546;0.146796;0.582102
1.51696;0.0194758;0.137487;0.562162
1.52694;0.0194143;0.137892;0.541141
1.53692;0.0195412;0.139197;0.519212
1.5469;0.0194056;0.143772;0.500822
1.55688;0.0193681;0.138347;0.480268
1.56686;0.0194702;0.143159;0.459267
1.57684;0.0193752;0.147093;0.43878
1.58682;0.0194359;0.151046;0.4197
1.5968;0.0193521;0.155947;0.400491
1.60678;0.0192269;0.162134;0.380385
1.61676;0.019159;0.163182;0.360392
1.62674;0.0191463;0.167441;0.340655
1.63672;0.0190306;0.17594;0.320985
1.6467;0.0190378;0.182591;0.301521
1.65668;0.0191543;0.17597;0.2818
1.66666;0.0189436;0.181138;0.262768
1.67664;0.0190992;0.186791;0.244073
1.68662;0.0190138;0.188264;0.223824
1.6966;0.0190122;0.191426;0.203656
1.70658;0.0190162;0.191653;0.183661
1.71656;0.018808;0.199016;0.164806
1.72654;0.0188264;0.20124;0.145118
1.73652;0.019013;0.206547;0.125222
