t;vds;corrente;vg
0.00998;0.0135624;0.0399802;0.0153355
0.01996;0.0234173;0.0401727;0.0382481
0.02994;0.0330513;0.0400288;0.0582344
0.03992;0.0425102;0.0413236;0.078653
0.0499;0.0522159;0.0402286;0.0978725
0.05988;0.0620208;0.0410039;0.115638
0.06986;0.0719057;0.0417312;0.135673
0.07984;0.081653;0.0427943;0.154319
0.08982;0.0912451;0.0427304;0.17258
0.0998;0.100849;0.043154;0.19076
0.10978;0.110748;0.043106;0.210012
0.11976;0.120374;0.0428583;0.230365
0.12974;0.126866;0.0415394;0.249554
0.13972;0.12711;0.0430261;0.266345
0.1497;0.12711;0.0429462;0.285567
0.15968;0.12711;0.0433858;0.304323
0.16966;0.12711;0.0428103;0.324725
0.17964;0.12711;0.0424986;0.343418
0.18962;0.12711;0.0423787;0.361886
0.1996;0.12711;0.043138;0.381859
0.20958;0.12711;0.0432819;0.402052
0.21956;0.12711;0.043194;0.42084
0.22954;0.12711;0.0437055;0.438269
0.23952;0.12711;0.0434577;0.456562
0.2495;0.12711;0.0430661;0.477206
0.25948;0.12711;0.0436496;0.49673
0.26946;0.12711;0.0429302;0.514623
0.27944;0.12711;0.0428423;0.533698
0.28942;0.12711;0.0438733;0.553682
0.2994;0.12711;0.0437295;0.574186
0.30938;0.12711;0.0438254;0.593035
0.31936;0.12711;0.0438733;0.611917
0.32934;0.12711;0.0438574;0.629318
0.33932;0.12711;0.0438574;0.649719
0.3493;0.12711;0.0438733;0.667921
0.35928;0.12711;0.0438733;0.686147
0.36926;0.12711;0.0438733;0.70334
0.37924;0.12711;0.0437694;0.724473
0.38922;0.12711;0.0438653;0.744648
0.3992;0.12711;0.0436415;0.750278
0.40918;0.12711;0.0433458;0.730687
0.41916;0.12711;0.0434897;0.708642
0.42914;0.12711;0.0429382;0.690969
0.43912;0.12711;0.0433298;0.673
0.4491;0.12711;0.0435936;0.655874
0.45908;0.12711;0.0437535;0.636475
0.46906;0.12711;0.0434657;0.616985
0.47904;0.12711;0.0436096;0.598945
0.48902;0.12711;0.0437455;0.580688
0.499;0.12711;0.042059;0.559689
0.50898;0.12711;0.0434577;0.539306
0.51896;0.12711;0.0436335;0.518568
0.52894;0.12711;0.0434658;0.502064
0.53892;0.12711;0.0425705;0.482876
0.5489;0.12711;0.0418192;0.463114
0.55888;0.12711;0.0430741;0.443272
0.56886;0.12711;0.0430022;0.425841
0.57884;0.12711;0.0435856;0.408107
0.58882;0.12711;0.0433858;0.38879
0.5988;0.12711;0.0429382;0.36746
0.60878;0.12711;0.0432978;0.349583
0.61876;0.12711;0.0438254;0.33046
0.62874;0.12711;0.043146;0.311449
0.63872;0.12711;0.0428343;0.291143
0.6487;0.12711;0.0418032;0.27184
0.65868;0.12711;0.043178;0.255513
0.66866;0.122848;0.0426184;0.236581
0.67864;0.113264;0.0424026;0.215859
0.68862;0.103536;0.042027;0.195889
0.6986;0.0938027;0.0420669;0.177165
0.70858;0.0841942;0.0412037;0.159591
0.71856;0.0745088;0.0425945;0.14077
0.72854;0.0645602;0.0412836;0.120607
0.73852;0.0547052;0.0410838;0.102873
0.7485;0.0450814;0.042051;0.084261
0.75848;0.035511;0.0419551;0.064689
0.76846;0.0260601;0.0404763;0.044447
0.77844;0.0162033;0.0417712;0.0245082
0.78842;0.00626679;0.042059;0.00623085
0.7984;-0.00331149;0.0404844;-0.0107522
0.80838;-0.0132699;0.0408121;-0.0301479
0.81836;-0.0232024;0.0403325;-0.0502302
0.82834;-0.032906;0.0398849;-0.0701537
0.83832;-0.0423251;0.0400128;-0.088814
0.8483;-0.0519651;0.0402286;-0.106931
0.85828;-0.06177;0.0399728;-0.127636
0.86826;-0.0714759;0.0401247;-0.146506
0.87824;-0.0811795;0.0399249;-0.165566
0.88822;-0.0911714;0.0398849;-0.184434
0.8982;-0.0951277;0.0398849;-0.193429
0.90818;-0.0858918;0.0398849;-0.175264
0.91816;-0.0760393;0.0399329;-0.155229
0.92814;-0.0662498;0.0398849;-0.138053
0.93812;-0.0564526;0.0399169;-0.118211
0.9481;-0.0468327;0.0401646;-0.0986234
0.95808;-0.037304;0.0401087;-0.0794361
0.96806;-0.0277597;0.0402765;-0.0612062
0.97804;-0.017849;0.0404844;-0.0399577
0.98802;-0.00784692;0.0401407;-0.0200346
0.998;0.00167963;0.0400927;-0.00220477
1.00798;0.0115843;0.0416354;0.0151618
1.01796;0.0214372;0.0402206;0.0337906
1.02794;0.0310572;0.0402525;0.0536172
1.03792;0.040532;0.0402286;0.0737643
1.0479;0.0502216;0.0406123;0.094182
1.05788;0.0599593;0.0407002;0.111276
1.06786;0.0698539;0.0399728;0.130704
1.07784;0.0797028;0.0402046;0.149941
1.08782;0.0894041;0.0403325;0.168106
1.0978;0.0989069;0.0403485;0.185904
1.10778;0.108774;0.0402446;0.206545
1.11776;0.118484;0.0403005;0.226132
1.12774;0.126261;0.0417233;0.246342
1.13772;0.12711;0.0411878;0.263117
1.1477;0.12711;0.0415395;0.280886
1.15768;0.12711;0.0418512;0.299993
1.16766;0.12711;0.0423388;0.32065
1.17764;0.12711;0.043146;0.339376
1.18762;0.12711;0.0415714;0.358196
1.1976;0.12711;0.0416113;0.377799
1.20758;0.12711;0.0425466;0.398138
1.21756;0.12711;0.0414915;0.416943
1.22754;0.12711;0.0423467;0.435059
1.23752;0.12711;0.0425865;0.452856
1.2475;0.12711;0.0433938;0.47254
1.25748;0.12711;0.0429622;0.492862
1.26746;0.12711;0.043154;0.510931
1.27744;0.12711;0.0436655;0.528906
1.28742;0.12711;0.0437535;0.549338
1.2974;0.12711;0.0433218;0.570369
1.30738;0.12711;0.0438494;0.58933
1.31736;0.12711;0.0438733;0.608039
1.32734;0.12711;0.0437055;0.626011
1.33732;0.12711;0.0437455;0.645835
1.3473;0.12711;0.0437055;0.663733
1.35728;0.12711;0.0437614;0.682023
1.36726;0.12711;0.0438174;0.699858
1.37724;0.12711;0.0438094;0.719792
1.38722;0.12711;0.0436096;0.741755
1.3972;0.12711;0.0438733;0.752687
1.40718;0.12711;0.0437135;0.735066
1.41716;0.12711;0.0438733;0.714091
1.42714;0.12711;0.0438733;0.694594
1.43712;0.12711;0.0437854;0.677088
1.4471;0.12711;0.0437135;0.659433
1.45708;0.12711;0.0436176;0.640087
1.46706;0.12711;0.0436655;0.620502
1.47704;0.12711;0.0437694;0.60262
1.48702;0.12711;0.0438494;0.582971
1.497;0.12711;0.0438014;0.564546
1.50698;0.12711;0.0436735;0.543458
1.51696;0.12711;0.0437614;0.523634
1.52694;0.12711;0.0438414;0.50558
1.53692;0.12711;0.0438733;0.487031
1.5469;0.12711;0.0438654;0.466053
1.55688;0.12711;0.0436576;0.446977
1.56686;0.12711;0.0436895;0.429835
1.57684;0.12711;0.0436096;0.411127
1.58682;0.12711;0.0427224;0.392146
1.5968;0.12711;0.0430341;0.371456
1.60678;0.12711;0.0423547;0.352411
1.61676;0.12711;0.043098;0.333926
1.62674;0.12711;0.0429142;0.314452
1.63672;0.12711;0.0427544;0.294371
1.6467;0.12711;0.0422988;0.275579
1.65668;0.12711;0.0428982;0.258133
1.66666;0.124392;0.0424506;0.240016
1.67664;0.115271;0.0428023;0.22046
1.68662;0.105536;0.0418352;0.199148
1.6966;0.0957047;0.04086;0.181287
1.70658;0.0862083;0.0409239;0.162946
1.71656;0.0764432;0.0411957;0.144685
1.72654;0.0665741;0.0419391;0.124489
1.73652;0.0567392;0.040908;0.105573
1.7465;0.0470177;0.0426265;0.0880633
1.75648;0.0374095;0.0417073;0.0685875
1.76646;0.0278811;0.0415235;0.0477701
1.77644;0.0181058;0.0414835;0.0289336
1.78642;0.00825488;0.0410039;0.00881907
1.7964;-0.00143286;0.0404764;-0.00778062
1.80638;-0.011242;0.0425385;-0.0261696
1.81636;-0.0211625;0.0412917;-0.0463959
1.82634;-0.0309716;0.0405963;-0.0662234
1.83632;-0.0403966;0.0413875;-0.0853151
1.8463;-0.0499828;0.0412837;-0.104311
1.85628;-0.059802;0.0403245;-0.123818
1.86626;-0.0695175;0.0407641;-0.143758
1.87624;-0.0791873;0.0423787;-0.160485
1.88622;-0.0891414;0.0405723;-0.180392
1.8962;-0.0956827;0.0412277;-0.193796
1.90618;-0.087745;0.0407161;-0.1775
1.91616;-0.0779193;0.0407961;-0.158744
1.92614;-0.0681881;0.0415954;-0.141984
1.93612;-0.0584289;0.0423068;-0.121166
1.9461;-0.0487689;0.0418352;-0.101994
1.95608;-0.0391609;0.0403165;-0.0827113
1.96606;-0.0296682;0.0422668;-0.064657
1.97604;-0.019863;0.0418672;-0.0442873
1.98602;-0.00987681;0.0421868;-0.0239969
1.996;-0.000143286;0.0435457;-0.00501665
2.00598;0.00960816;0.0418831;0.0114552
2.01596;0.0194949;0.0410998;0.0309947
2.02594;0.0292543;0.040884;0.0495592
2.03592;0.038735;0.0415634;0.0701057
2.0459;0.0483211;0.0434418;0.0901081
2.05588;0.0580725;0.0430101;0.108401
