t;vds;corrente;vg
0;-0.00197104;0.0174067;0
2e-05;-0.00177532;0.0155738;0.225712
4e-05;-0.00179706;0.0143114;0.38674
6e-05;-0.00191667;0.0144894;0.391382
8e-05;-0.00197499;0.0156749;0.391382
0.0001;-0.0019651;0.0163223;0.391382
0.00012;-0.00191074;0.0146917;0.391382
0.00014;-0.00135916;0.0185801;0.391382
0.00016;-0.000522907;0.0188391;0.391382
0.00018;-0.000494241;0.0206841;0.391382
0.0002;9.8857e-07;0.0184061;0.391382
0.00022;0.00178817;0.0294644;0.391382
0.00024;0.00363663;0.0398186;0.391382
0.00026;0.00556911;0.0527098;0.391382
0.00028;0.00740077;0.0566589;0.391382
0.0003;0.00932039;0.0628091;0.391382
0.00032;0.0111866;0.0697038;0.391382
0.00034;0.0131221;0.0839344;0.391382
0.00036;0.0151287;0.0921522;0.391382
0.00038;0.0170384;0.099229;0.391382
0.0004;0.018964;0.109082;0.391382
0.00042;0.0208461;0.113294;0.391382
0.00044;0.0227361;0.125918;0.391382
0.00046;0.0246755;0.130911;0.391382
0.00048;0.0265368;0.140083;0.391382
0.0005;0.0283071;0.150183;0.391382
0.00052;0.0302583;0.153201;0.391382
0.00054;0.0321483;0.164276;0.391382
0.00056;0.0339009;0.175852;0.391382
0.00058;0.0360023;0.185308;0.391382
0.0006;0.0378697;0.192437;0.391382
0.00062;0.0396123;0.197968;0.391382
0.00064;0.041629;0.205919;0.391382
0.00066;0.0434585;0.215982;0.391382
0.00068;0.0454139;0.220611;0.391382
0.0007;0.0461126;0.223605;0.391382
0.00072;0.0445043;0.214368;0.391382
0.00074;0.0427469;0.214513;0.391382
0.00076;0.0408025;0.20579;0.391382
0.00078;0.0388681;0.195933;0.391382
0.0008;0.0370185;0.187019;0.391382
0.00082;0.0347341;0.179121;0.391382
0.00084;0.0329598;0.175395;0.391382
0.00086;0.0312805;0.170029;0.391382
0.00088;0.0291512;0.157968;0.391382
0.0009;0.0273344;0.148649;0.391382
0.00092;0.0254267;0.144393;0.391382
0.00094;0.0235338;0.133614;0.391382
0.00096;0.0217624;0.12578;0.391382
0.00098;0.0197914;0.118376;0.391382
0.001;0.0178173;0.108305;0.391382
0.00102;0.0159313;0.0985897;0.391382
0.00104;0.0141817;0.0932607;0.391382
0.00106;0.0122433;0.0799367;0.391382
0.00108;0.0102021;0.0736732;0.391382
0.0011;0.00823801;0.0662322;0.391382
0.00112;0.00649235;0.049311;0.391382
0.00114;0.00462116;0.0466283;0.391382
0.00116;0.002746;0.0336239;0.391382
0.00118;0.000933127;0.0309008;0.391382
0.0012;-0.000880738;0.0136397;0.391382
0.00122;-0.00281322;0.00990913;0.391382
0.00124;-0.00474669;-0.00120577;0.391382
0.00126;-0.0068235;-0.00412308;0.391382
0.00128;-0.00857903;-0.0227194;0.391382
0.0013;-0.0105145;-0.0252928;0.391382
0.00132;-0.0123214;-0.0355823;0.391382
0.00134;-0.0142598;-0.0440388;0.391382
0.00136;-0.0160875;-0.0572173;0.391382
0.00138;-0.0179755;-0.0636346;0.391382
0.0014;-0.0200888;-0.0741223;0.391382
0.00142;-0.0219047;-0.086099;0.391382
0.00144;-0.0237462;-0.0970198;0.391382
0.00146;-0.0256293;-0.10531;0.391382
0.00148;-0.0274945;-0.117562;0.391382
0.0015;-0.0294676;-0.123288;0.391382
0.00152;-0.031319;-0.132618;0.391382
0.00154;-0.0333128;-0.140237;0.391382
0.00156;-0.0351138;-0.15206;0.391382
0.00158;-0.0369415;-0.163126;0.391382
0.0016;-0.038791;-0.17166;0.391382
0.00162;-0.0407136;-0.181618;0.391382
0.00164;-0.0426065;-0.190535;0.391382
0.00166;-0.0445487;-0.19605;0.391382
0.00168;-0.0463361;-0.205782;0.391382
0.0017;-0.0474343;-0.21139;0.391382
0.00172;-0.0456548;-0.20409;0.391382
0.00174;-0.0440784;-0.196346;0.391382
0.00176;-0.0421368;-0.185988;0.391382
0.00178;-0.0402025;-0.18063;0.391382
0.0018;-0.0381543;-0.171005;0.391382
0.00182;-0.0364354;-0.16394;0.391382
0.00184;-0.0345137;-0.150535;0.391382
0.00186;-0.0324725;-0.143757;0.391382
0.00188;-0.0305914;-0.133213;0.391382
0.0019;-0.0289238;-0.123174;0.391382
0.00192;-0.026859;-0.115911;0.391382
0.00194;-0.0250005;-0.100722;0.391382
0.00196;-0.0232628;-0.0953163;0.391382
0.00198;-0.021273;-0.0881221;0.391382
0.002;-0.0193939;-0.0744784;0.391382
0.00202;-0.0175435;-0.0657224;0.391382
0.00204;-0.0155172;-0.05377;0.391382
0.00206;-0.0136865;-0.047559;0.391382
0.00208;-0.0119527;-0.03451;0.391382
0.0021;-0.00989369;-0.025054;0.391382
0.00212;-0.0081105;-0.0182686;0.391382
0.00214;-0.00631443;-0.00648605;0.391382
0.00216;-0.00426036;0.000226587;0.391382
0.00218;-0.00238916;0.0100548;0.391382
0.0022;-0.000349923;0.0259199;0.391382
0.00222;0.00139673;0.031265;0.391382
0.00224;0.00325507;0.044585;0.391382
0.00226;0.00520634;0.0498654;0.391382
0.00228;0.00704887;0.0609802;0.391382
0.0023;0.00893588;0.0732322;0.391382
0.00232;0.0108426;0.0762425;0.391382
0.00234;0.0125784;0.0885592;0.391382
0.00236;0.0145593;0.10069;0.391382
0.00238;0.0166134;0.105149;0.391382
0.0024;0.0182315;0.116559;0.391382
0.00242;0.0202569;0.124267;0.391382
0.00244;0.0221251;0.13554;0.391382
0.00246;0.0239617;0.144304;0.391382
0.00248;0.0258873;0.154897;0.391382
0.0025;0.0277486;0.163333;0.391382
0.00252;0.0295328;0.171162;0.391382
0.00254;0.0314405;0.179603;0.391382
0.00256;0.0334383;0.188399;0.391382
0.00258;0.0352472;0.199494;0.391382
0.0026;0.0371352;0.209565;0.391382
0.00262;0.0390509;0.211867;0.391382
0.00264;0.0409696;0.219697;0.391382
0.00266;0.0429159;0.225021;0.391382
0.00268;0.0448602;0.231912;0.391382
0.0027;0.0461592;0.240004;0.391382
0.00272;0.0447089;0.233005;0.391382
0.00274;0.0426757;0.226822;0.391382
0.00276;0.0407876;0.220255;0.391382
0.00278;0.0390431;0.213546;0.391382
0.0028;0.0370512;0.206275;0.391382
0.00282;0.0349923;0.194954;0.391382
0.00284;0.0331398;0.188654;0.391382
0.00286;0.0312992;0.180748;0.391382
0.00288;0.0293411;0.17272;0.391382
0.0029;0.0276755;0.162382;0.391382
0.00292;0.0257618;0.155544;0.391382
0.00294;0.0236791;0.139909;0.391382
0.00296;0.0220381;0.137915;0.391382
0.00298;0.0200968;0.125137;0.391382
0.003;0.0181683;0.11876;0.391382
0.00302;0.0163939;0.107495;0.391382
0.00304;0.0145089;0.0978775;0.391382
0.00306;0.0123777;0.0883285;0.391382
0.00308;0.010643;0.0807176;0.391382
0.0031;0.00870457;0.0658843;0.391382
0.00312;0.00680274;0.0554976;0.391382
0.00314;0.00500568;0.0501323;0.391382
0.00316;0.00307319;0.0437475;0.391382
0.00318;0.00134928;0.0346961;0.391382
0.0032;-0.000433943;0.0180946;0.391382
0.00322;-0.00238027;0.00783747;0.391382
0.00324;-0.0045401;0.00120577;0.391382
0.00326;-0.00634705;-0.00646986;0.391382
0.00328;-0.00821133;-0.0167108;0.391382
0.0033;-0.00995104;-0.0284609;0.391382
0.00332;-0.0119982;-0.0430758;0.391382
0.00334;-0.0139514;-0.0499301;0.391382
0.00336;-0.0156822;-0.0557364;0.391382
0.00338;-0.0176196;-0.0674056;0.391382
0.0034;-0.0195807;-0.0777599;0.391382
0.00342;-0.0213719;-0.0866898;0.391382
0.00344;-0.0232866;-0.103498;0.391382
0.00346;-0.0252379;-0.108899;0.391382
0.00348;-0.0270804;-0.120285;0.391382
0.0035;-0.0289556;-0.12557;0.391382
0.00352;-0.0307843;-0.140549;0.391382
0.00354;-0.0327523;-0.146473;0.391382
0.00356;-0.0345771;-0.159525;0.391382
0.00358;-0.0364333;-0.168739;0.391382
0.0036;-0.038445;-0.176613;0.391382
0.00362;-0.0403625;-0.18833;0.391382
0.00364;-0.0420718;-0.195674;0.391382
0.00366;-0.0440327;-0.202545;0.391382
0.00368;-0.0457431;-0.21228;0.391382
0.0037;-0.0474145;-0.219968;0.391382
0.00372;-0.0461916;-0.2137;0.391382
0.00374;-0.0443116;-0.201683;0.391382
0.00376;-0.0423218;-0.19862;0.391382
0.00378;-0.040328;-0.190272;0.391382
0.0038;-0.03861;-0.175002;0.391382
0.00382;-0.0366043;-0.170418;0.391382
0.00384;-0.0348389;-0.159489;0.391382
0.00386;-0.032944;-0.150725;0.391382
0.00388;-0.0310659;-0.144502;0.391382
0.0039;-0.0291819;-0.134593;0.391382
0.00392;-0.0272197;-0.115992;0.391382
0.00394;-0.0254009;-0.108475;0.391382
0.00396;-0.0234299;-0.100617;0.391382
0.00398;-0.0215479;-0.0884418;0.391382
0.004;-0.0196935;-0.0785569;0.391382
