t;vds;corrente;vg
0;-0.00208273;0.014012;0
2e-05;-0.00221815;0.0129397;0
4e-05;-0.00207285;0.0107871;0
6e-05;-0.00205703;0.0153513;0
8e-05;-0.00196313;0.0154443;0
0.0001;-0.00201255;0.0176293;0
0.00012;-0.000500172;0.0209309;0
0.00014;-0.000603963;0.0177183;0
0.00016;-0.000604952;0.0166299;0
0.00018;-0.00015618;0.0194339;0
0.0002;0.00147679;0.0221853;0
0.00022;0.00350615;0.0266644;0
0.00024;0.00546038;0.0293875;0
0.00026;0.00730489;0.037488;0
0.00028;0.00926701;0.0441157;0
0.0003;0.0112489;0.0448116;0
0.00032;0.0131053;0.0478099;0
0.00034;0.0151722;0.0547329;0
0.00036;0.0170691;0.0591231;0
0.00038;0.0190124;0.0634323;0
0.0004;0.0210774;0.0664952;0
0.00042;0.022912;0.0707599;0
0.00044;0.0247624;0.0751177;0
0.00046;0.0266929;0.0835459;0
0.00048;0.0286689;0.0894938;0
0.0005;0.030548;0.0931353;0
0.00052;0.0324924;0.097392;0
0.00054;0.0343794;0.099229;0
0.00056;0.0363454;0.105517;0
0.00058;0.0383017;0.109927;0
0.0006;0.0402774;0.11717;0
0.00062;0.0422803;0.118825;0
0.00064;0.0441601;0.125457;0
0.00066;0.046166;0.129928;0
0.00068;0.0474195;0.138283;0
0.0007;0.0459118;0.130433;0
0.00072;0.0439756;0.122636;0
0.00074;0.0420696;0.125125;0
0.00076;0.0400226;0.111097;0
0.00078;0.0380534;0.113569;0
0.0008;0.0361468;0.10387;0
0.00082;0.034067;0.0971089;0
0.00084;0.032261;0.0950128;0
0.00086;0.0303087;0.0903556;0
0.00088;0.0285849;0.0838129;0
0.0009;0.0263875;0.0753079;0
0.00092;0.0244965;0.075405;0
0.00094;0.0226718;0.0709744;0
0.00096;0.0206849;0.0633958;0
0.00098;0.0186872;0.0616236;0
0.001;0.0167646;0.055882;0
0.00102;0.0148588;0.0493312;0
0.00104;0.0129807;0.049048;0
0.00106;0.0108654;0.0446781;0
0.00108;0.0089576;0.0407816;0
0.0011;0.0070637;0.0327459;0
0.00112;0.00526762;0.0356227;0
0.00114;0.00330153;0.0238968;0
0.00116;0.00132457;0.0216795;0
0.00118;-0.000713684;0.0201258;0
0.0012;-0.00257895;0.0127415;0
0.00122;-0.00445015;0.0128386;0
0.00124;-0.00646962;0.00617449;0
0.00126;-0.00848315;0.00262598;0
0.00128;-0.0103622;-0.0028809;0
0.0013;-0.0122937;-0.00400169;0
0.00132;-0.0142766;-0.00919699;0
0.00134;-0.0162506;-0.00909584;0
0.00136;-0.0181702;-0.0173824;0
0.00138;-0.020241;-0.0201055;0
0.0014;-0.0221202;-0.0243136;0
0.00142;-0.0240338;-0.0254101;0
0.00144;-0.0259485;-0.0292338;0
0.00146;-0.0278869;-0.0348377;0
0.00148;-0.0299568;-0.0370025;0
0.0015;-0.0317786;-0.0417001;0
0.00152;-0.0337655;-0.0463127;0
0.00154;-0.0356237;-0.0496914;0
0.00156;-0.0375939;-0.0533006;0
0.00158;-0.039634;-0.0514312;0
0.0016;-0.0415756;-0.0534381;0
0.00162;-0.0434446;-0.0602843;0
0.00164;-0.0455958;-0.0609398;0
0.00166;-0.0473472;-0.0619959;0
0.00168;-0.048898;-0.0727426;0
0.0017;-0.0475945;-0.065253;0
0.00172;-0.0456814;-0.0651964;0
0.00174;-0.0436909;-0.0592202;0
0.00176;-0.0418284;-0.0532965;0
0.00178;-0.0398832;-0.0567236;0
0.0018;-0.0377796;-0.0523781;0
0.00182;-0.0358918;-0.0456209;0
0.00184;-0.0340067;-0.0437637;0
0.00186;-0.0318548;-0.0391389;0
0.00188;-0.0301428;-0.0322077;0
0.0019;-0.0281005;-0.034073;0
0.00192;-0.0261078;-0.0322644;0
0.00194;-0.0242059;-0.0281453;0
0.00196;-0.022307;-0.0204859;0
0.00198;-0.020418;-0.0194055;0
0.002;-0.0183165;-0.0175807;0
0.00202;-0.0163969;-0.0102814;0
0.00204;-0.0144199;-0.00983226;0
0.00206;-0.0124064;-0.00403002;0
0.00208;-0.0105184;-0.00436585;0
0.0021;-0.0086156;0.00482307;0
0.00212;-0.00671674;0.00634039;0
0.00214;-0.00455592;0.0102004;0
0.00216;-0.00266396;0.0103906;0
0.00218;-0.000702811;0.0191304;0
0.0022;0.00104581;0.0207165;0
0.00222;0.00322245;0.0274494;0
0.00224;0.00503236;0.0320661;0
0.00226;0.00688281;0.0309736;0
0.00228;0.00891017;0.0390944;0
0.0023;0.0109563;0.0439133;0
0.00232;0.0127524;0.0458717;0
0.00234;0.014757;0.0518116;0
0.00236;0.0167794;0.0561005;0
0.00238;0.0186052;0.0630438;0
0.0024;0.0205881;0.0640513;0
0.00242;0.0224336;0.0694489;0
0.00244;0.0242613;0.0719899;0
0.00246;0.0262767;0.0773187;0
0.00248;0.0281341;0.0804748;0
0.0025;0.0301813;0.0879117;0
0.00252;0.0320277;0.0971856;0
0.00254;0.03398;0.0965868;0
0.00256;0.0360181;0.100249;0
0.00258;0.0379102;0.104291;0
0.0026;0.0398228;0.110425;0
0.00262;0.0418464;0.113257;0
0.00264;0.0436848;0.117692;0
0.00266;0.0457451;0.123344;0
0.00268;0.0472573;0.128762;0
0.0027;0.0463629;0.127763;0
0.00272;0.0442848;0.120965;0
0.00274;0.0425205;0.114977;0
0.00276;0.0404762;0.114556;0
0.00278;0.0386316;0.11318;0
0.0028;0.0366429;0.103328;0
0.00282;0.034571;0.0999491;0
0.00284;0.0325328;0.093714;0
0.00286;0.0308336;0.0860545;0
0.00288;0.0287637;0.0845372;0
0.0029;0.0267739;0.0800662;0
0.00292;0.0249096;0.0760726;0
0.00294;0.0231255;0.0699952;0
0.00296;0.0211356;0.06639;0
0.00298;0.019131;0.0631085;0
0.003;0.0173102;0.0597502;0
0.00302;0.0152513;0.0576907;0
0.00304;0.0135105;0.0488659;0
0.00306;0.0113883;0.0461914;0
0.00308;0.00932137;0.0401382;0
