t;vds;corrente;vg
0;-0.00201453;0.0167796;-0.000208088
2e-05;-0.00199674;0.0156143;-0.0561679
4e-05;-0.00213611;0.0132149;-0.364827
6e-05;-0.00176543;0.0180298;-0.396667
8e-05;-0.00181288;0.0156264;-0.398043
0.0001;-0.00173676;0.0121103;-0.398074
0.00012;-0.00194929;0.0156669;-0.397771
0.00014;-0.000686007;0.0205263;-0.398315
0.00016;-0.000619779;0.0208177;-0.397579
0.00018;-0.000433944;0.0211899;-0.397787
0.0002;0.000828349;0.0293916;-0.399212
0.00022;0.00262146;0.0433671;-0.398972
0.00024;0.00458359;0.0526572;-0.399052
0.00026;0.00650521;0.0585485;-0.398283
0.00028;0.00828941;0.0680611;-0.399164
0.0003;0.0101685;0.0735437;-0.399356
0.00032;0.0120772;0.0867262;-0.399324
0.00034;0.0142173;0.0946163;-0.399228
0.00036;0.0160282;0.106431;-0.398876
0.00038;0.0177482;0.117235;-0.398587
0.0004;0.0196994;0.117388;-0.39862
0.00042;0.0216279;0.135956;-0.399132
0.00044;0.023418;0.138433;-0.398731
0.00046;0.0254089;0.154779;-0.398603
0.00048;0.0273216;0.150151;-0.399164
0.0005;0.0290712;0.16971;-0.399276
0.00052;0.0309276;0.180687;-0.399132
0.00054;0.0329698;0.189904;-0.399036
0.00056;0.0347808;0.194744;-0.399244
0.00058;0.0368317;0.193785;-0.399228
0.0006;0.0385379;0.208569;-0.399308
0.00062;0.0405839;0.217305;-0.399084
0.00064;0.0423376;0.22753;-0.399276
0.00066;0.044256;0.231956;-0.39926
0.00068;0.0458884;0.239976;-0.399132
0.0007;0.0450628;0.235485;-0.398763
0.00072;0.0434528;0.227113;-0.399276
0.00074;0.041442;0.221675;-0.398459
0.00076;0.0396273;0.210665;-0.398347
0.00078;0.0377767;0.211034;-0.398139
0.0008;0.0358839;0.200202;-0.398475
0.00082;0.0338674;0.185215;-0.39926
0.00084;0.0318776;0.181407;-0.398987
0.00086;0.0300697;0.170495;-0.398923
0.00088;0.0280837;0.164785;-0.398427
0.0009;0.0263252;0.154775;-0.399083
0.00092;0.0245064;0.143074;-0.398427
0.00094;0.0225957;0.132076;-0.39894
0.00096;0.0205989;0.128321;-0.398747
0.00098;0.0188384;0.119962;-0.399244
0.001;0.0169504;0.110882;-0.399148
0.00102;0.0148954;0.101665;-0.39926
0.00104;0.0131606;0.0916747;-0.399196
0.00106;0.011156;0.0794269;-0.398684
0.00108;0.00932533;0.071031;-0.398988
0.0011;0.00752532;0.0634241;-0.398299
0.00112;0.0054238;0.0581317;-0.39918
0.00114;0.00366035;0.0454024;-0.39934
0.00116;0.00171403;0.0346192;-0.399324
0.00118;-0.000217466;0.0277893;-0.39934
0.0012;-0.00195917;0.017779;-0.399196
0.00122;-0.00379577;0.00591958;-0.399372
0.00124;-0.00563435;-0.00184102;-0.399372
0.00126;-0.00774575;-0.00833516;-0.399372
0.00128;-0.00960604;-0.0165692;-0.399372
0.0013;-0.0115247;-0.0291731;-0.399372
0.00132;-0.0134987;-0.0404215;-0.399276
0.00134;-0.0151158;-0.0476197;-0.399372
0.00136;-0.0170621;-0.059908;-0.399212
0.00138;-0.0190371;-0.0698778;-0.399356
0.0014;-0.0208995;-0.0740575;-0.399372
0.00142;-0.0228398;-0.0876973;-0.399244
0.00144;-0.0247466;-0.0900319;-0.399356
0.00146;-0.0265704;-0.0983186;-0.399276
0.00148;-0.0286729;-0.113508;-0.399372
0.0015;-0.0304106;-0.120565;-0.39934
0.00152;-0.0322511;-0.128204;-0.399372
0.00154;-0.0342074;-0.133577;-0.399292
0.00156;-0.0360132;-0.144951;-0.39934
0.00158;-0.0379734;-0.154338;-0.399372
0.0016;-0.0399048;-0.160994;-0.399356
0.00162;-0.0418178;-0.170187;-0.399004
0.00164;-0.0435612;-0.176807;-0.399356
0.00166;-0.0454663;-0.193404;-0.39902
0.00168;-0.0473037;-0.199546;-0.399372
0.0017;-0.0467791;-0.200473;-0.39918
0.00172;-0.0450756;-0.184228;-0.399148
0.00174;-0.0430495;-0.18237;-0.399292
0.00176;-0.0411573;-0.170802;-0.399308
0.00178;-0.0391914;-0.163924;-0.399372
0.0018;-0.037236;-0.153654;-0.399372
0.00182;-0.0354322;-0.142754;-0.399372
0.00184;-0.0335273;-0.137324;-0.399292
0.00186;-0.03167;-0.126476;-0.39934
0.00188;-0.0299352;-0.118902;-0.399292
0.0019;-0.0279216;-0.107572;-0.399372
0.00192;-0.025916;-0.101179;-0.399324
0.00194;-0.0242208;-0.091525;-0.399292
0.00196;-0.0222151;-0.0793945;-0.39934
0.00198;-0.0201858;-0.0737379;-0.399356
0.002;-0.0184767;-0.0686478;-0.399292
0.00202;-0.0165303;-0.0517387;-0.399132
0.00204;-0.0147837;-0.0436261;-0.399372
0.00206;-0.0127929;-0.0335308;-0.399084
0.00208;-0.0107873;-0.0274898;-0.399004
0.0021;-0.00880637;-0.0159703;-0.399116
0.00212;-0.00709138;-0.00881666;-0.399276
0.00214;-0.00516878;0.00311558;-0.399276
0.00216;-0.00329264;0.0132958;-0.399196
0.00218;-0.00140661;0.0192477;-0.399244
0.0022;0.000505114;0.0302008;-0.398763
0.00222;0.00236346;0.042833;-0.398459
0.00224;0.00417338;0.0503549;-0.398988
0.00226;0.00614441;0.0612675;-0.398043
0.00228;0.00807788;0.0687368;-0.399212
0.0023;0.00980473;0.0787714;-0.39934
0.00232;0.0117283;0.0825545;-0.398971
0.00234;0.0136697;0.0968498;-0.399228
0.00236;0.0157109;0.104408;-0.398923
0.00238;0.0173537;0.114528;-0.399244
0.0024;0.0192931;0.123522;-0.399052
0.00242;0.0212088;0.132699;-0.398699
0.00244;0.0231403;0.141305;-0.398988
0.00246;0.0250046;0.149369;-0.398795
0.00248;0.0268056;0.161281;-0.3991
0.0025;0.0287796;0.167492;-0.399212
0.00252;0.0306687;0.17813;-0.39918
0.00254;0.0325171;0.188217;-0.398715
0.00256;0.0343902;0.196625;-0.399035
0.00258;0.036369;0.20214;-0.398747
0.0026;0.0382325;0.211143;-0.398763
0.00262;0.0401292;0.220117;-0.399051
0.00264;0.041961;0.227154;-0.397626
0.00266;0.0439339;0.232301;-0.399036
0.00268;0.0457579;0.235602;-0.3991
0.0027;0.0453899;0.235954;-0.399019
0.00272;0.0435931;0.234101;-0.398987
0.00274;0.0417751;0.226502;-0.397707
0.00276;0.0398575;0.220647;-0.398988
0.00278;0.0379309;0.209719;-0.398811
0.0028;0.0361467;0.203269;-0.3991
0.00282;0.0341529;0.195626;-0.39902
0.00284;0.0323124;0.18127;-0.398363
0.00286;0.0304343;0.177806;-0.398539
0.00288;0.028567;0.169002;-0.399084
0.0029;0.0267324;0.160962;-0.398475
0.00292;0.0248899;0.151538;-0.398763
0.00294;0.0229752;0.140488;-0.398987
0.00296;0.0210912;0.12911;-0.398267
0.00298;0.0191518;0.115616;-0.398555
0.003;0.0173745;0.113399;-0.399116
0.00302;0.0155072;0.102931;-0.399164
0.00304;0.0134275;0.0968822;-0.399004
0.00306;0.0115632;0.0827932;-0.399276
0.00308;0.00966142;0.0727304;-0.39926
0.0031;0.00771807;0.0653501;-0.39934
0.00312;0.00582908;0.0547896;-0.39918
0.00314;0.00402115;0.0444758;-0.399212
0.00316;0.00218553;0.0435007;-0.399372
0.00318;0.000318291;0.0257338;-0.3991
0.0032;-0.001545;0.0218413;-0.399083
0.00322;-0.00345277;0.00672073;-0.399164
0.00324;-0.00551079;0.00332598;-0.399372
0.00326;-0.0073207;-0.0097311;-0.399276
0.00328;-0.00924823;-0.0172246;-0.39926
0.0033;-0.0110245;-0.0237916;-0.399372
0.00332;-0.0131013;-0.0419469;-0.399372
0.00334;-0.0146918;-0.0492827;-0.399276
0.00336;-0.0167142;-0.0546722;-0.399228
0.00338;-0.0186457;-0.0632866;-0.399228
0.0034;-0.0204991;-0.0773107;-0.399356
0.00342;-0.0223891;-0.0841933;-0.399372
0.00344;-0.0242899;-0.0895949;-0.399372
0.00346;-0.0262738;-0.10355;-0.399356
0.00348;-0.0281163;-0.111048;-0.39918
0.0035;-0.0299084;-0.123239;-0.399372
0.00352;-0.0319367;-0.128859;-0.399164
0.00354;-0.0338742;-0.14207;-0.39918
0.00356;-0.0357018;-0.147593;-0.399372
0.00358;-0.0374368;-0.158109;-0.399244
0.0036;-0.0395451;-0.16271;-0.39926
0.00362;-0.0412159;-0.174161;-0.39886
0.00364;-0.0432016;-0.184106;-0.399116
0.00366;-0.0450382;-0.189682;-0.398651
0.00368;-0.0469657;-0.197811;-0.399244
0.0037;-0.0470964;-0.201497;-0.399228
0.00372;-0.0453623;-0.193416;-0.399164
0.00374;-0.043432;-0.182334;-0.39934
0.00376;-0.0415339;-0.175443;-0.399372
0.00378;-0.0396767;-0.163673;-0.399244
0.0038;-0.0376531;-0.156373;-0.399052
0.00382;-0.0358324;-0.145809;-0.39926
0.00384;-0.0338673;-0.13961;-0.39886
0.00386;-0.0319566;-0.126403;-0.39926
0.00388;-0.0302455;-0.121151;-0.399372
0.0039;-0.0282557;-0.113743;-0.399372
0.00392;-0.0264992;-0.107847;-0.39934
0.00394;-0.0245025;-0.0960324;-0.399372
0.00396;-0.022652;-0.0915937;-0.399308
0.00398;-0.0206167;-0.0796373;-0.399324
0.004;-0.0188157;-0.067786;-0.399292
0.00402;-0.0167508;-0.0546439;-0.398875
0.00404;-0.015101;-0.043529;-0.398619
0.00406;-0.0131754;-0.0424931;-0.399052
0.00408;-0.0112894;-0.0247142;-0.398764
0.0041;-0.0093451;-0.0170547;-0.398876
0.00412;-0.00744822;-0.0120496;-0.398892
0.00414;-0.00562743;-0.00390458;-0.399356
0.00416;-0.00362279;0.00557566;-0.398908
0.00418;-0.00171897;0.0150721;-0.399212
0.0042;7.11705e-05;0.0254546;-0.399196
0.00422;0.00198586;0.0344534;-0.39902
0.00424;0.00373449;0.0486191;-0.399052
0.00426;0.00578757;0.0544739;-0.39894
0.00428;0.00758265;0.0692547;-0.399308
0.0043;0.00947558;0.0791841;-0.399356
0.00432;0.0114061;0.0810655;-0.398875
0.00434;0.0133534;0.0928562;-0.398844
0.00436;0.0153926;0.10383;-0.398795
0.00438;0.0170404;0.114212;-0.398988
0.0044;0.0189343;0.122903;-0.399052
0.00442;0.0208826;0.133573;-0.399164
0.00444;0.0227667;0.14154;-0.399228
0.00446;0.0247526;0.147403;-0.399372
0.00448;0.0263983;0.163418;-0.398907
0.0045;0.0281697;0.168431;-0.398779
0.00452;0.0303107;0.175362;-0.39934
0.00454;0.0321819;0.183467;-0.399308
0.00456;0.0339197;0.190637;-0.398843
0.00458;0.0358254;0.199105;-0.39918
0.0046;0.0378766;0.209953;-0.399164
0.00462;0.0397348;0.219761;-0.399148
0.00464;0.0416705;0.219207;-0.398315
0.00466;0.0435386;0.227853;-0.398427
0.00468;0.045403;0.236832;-0.398587
0.0047;0.0458495;0.237229;-0.399164
0.00472;0.0442048;0.230152;-0.399276
0.00474;0.0420824;0.226413;-0.399372
0.00476;0.0402203;0.225669;-0.398571
0.00478;0.0384953;0.211519;-0.398955
0.0048;0.0362861;0.209342;-0.399228
0.00482;0.0345799;0.189747;-0.39934
0.00484;0.0327088;0.191349;-0.398876
0.00486;0.030883;0.181747;-0.398715
0.00488;0.0286391;0.166942;-0.399356
0.0049;0.0269587;0.160574;-0.399372
0.00492;0.0252348;0.155799;-0.398555
0.00494;0.0233132;0.142438;-0.399372
0.00496;0.0213956;0.136442;-0.399356
0.00498;0.0196173;0.124061;-0.398635
0.005;0.0176513;0.115078;-0.399116
0.00502;0.015783;0.106965;-0.399276
0.00504;0.0139059;0.0963399;-0.399372
0.00506;0.0120347;0.0862609;-0.399068
0.00508;0.0100192;0.0782008;-0.399356
0.0051;0.00800078;0.0674825;-0.399052
