t;vds;corrente;vg
0;0.0510565;0.189197;0.0120051
2e-05;0.0509544;0.188823;0.0326059
4e-05;0.0509544;0.188369;0.0518462
6e-05;0.0509544;0.187387;0.0714384
8e-05;0.0509544;0.183074;0.0902788
0.0001;0.0509544;0.181025;0.109935
0.00012;0.0509544;0.176538;0.129447
0.00014;0.0509544;0.169142;0.149616
0.00016;0.0509544;0.163305;0.167959
0.00018;0.0509544;0.151632;0.187265
0.0002;0.0509544;0.138894;0.208169
0.00022;0.0509544;0.131376;0.22757
0.00024;0.0509544;0.118321;0.247658
0.00026;0.0509544;0.115545;0.265649
0.00028;0.0509544;0.111344;0.286459
0.0003;0.0509544;0.112727;0.304882
0.00032;0.0509544;0.120962;0.325434
0.00034;0.0509544;0.129034;0.343585
0.00036;0.0509544;0.139133;0.363929
0.00038;0.0509544;0.150337;0.385012
0.0004;0.0509544;0.162459;0.405293
0.00042;0.0509544;0.172496;0.423685
0.00044;0.0509544;0.178527;0.443278
0.00046;0.0509544;0.183917;0.463508
0.00048;0.0509544;0.186439;0.483484
0.0005;0.0509544;0.188058;0.504791
0.00052;0.0509544;0.189936;0.524031
0.00054;0.0509544;0.189864;0.545175
0.00056;0.0509544;0.189954;0.565903
0.00058;0.0509544;0.189051;0.585466
0.0006;0.0509544;0.190696;0.604419
0.00062;0.0509544;0.19008;0.622873
0.00064;0.0509544;0.190839;0.644817
0.00066;0.0509544;0.190648;0.66423
0.00068;0.0509544;0.191031;0.684145
0.0007;0.0509544;0.190947;0.70286
0.00072;0.0509544;0.19078;0.723534
0.00074;0.0509544;0.1906;0.743342
0.00076;0.0509544;0.191031;0.762105
0.00078;0.0509544;0.190839;0.781914
0.0008;0.0509544;0.191031;0.776367
0.00082;0.0509544;0.191031;0.758436
0.00084;0.0509544;0.190205;0.738086
0.00086;0.0509544;0.190792;0.718467
0.00088;0.0509544;0.190762;0.698743
0.0009;0.0509544;0.190774;0.679452
0.00092;0.0509544;0.190887;0.660521
0.00094;0.0509544;0.190313;0.640192
0.00096;0.0509544;0.189882;0.620457
0.00098;0.0509544;0.190648;0.600047
0.001;0.0509544;0.189356;0.581366
0.00102;0.0509544;0.190699;0.559888
0.00104;0.0509544;0.189559;0.540164
0.00106;0.0509544;0.188536;0.519516
0.00108;0.0509544;0.188051;0.500358
0.0011;0.0509544;0.188733;0.479388
0.00112;0.0509544;0.186475;0.458851
0.00114;0.0509544;0.182493;0.438844
0.00116;0.0509544;0.177133;0.419652
0.00118;0.0509544;0.169402;0.40001
0.0012;0.0509544;0.161143;0.379616
0.00122;0.0509544;0.149487;0.359575
0.00124;0.0509544;0.137297;0.339583
0.00126;0.0509544;0.125683;0.320825
0.00128;0.0509544;0.116645;0.301233
0.0013;0.0509544;0.110037;0.28068
0.00132;0.0509544;0.110976;0.261664
0.00134;0.0509544;0.117046;0.243192
0.00136;0.0509544;0.124346;0.22296
0.00138;0.0509544;0.133381;0.203368
0.0014;0.0509544;0.144743;0.183197
0.00142;0.0509544;0.151124;0.162885
0.00144;0.0509544;0.161277;0.14499
0.00146;0.0509544;0.169938;0.124758
0.00148;0.0509544;0.17712;0.104765
0.0015;0.0509544;0.181901;0.0860842
0.00152;0.0509544;0.184521;0.0666207
0.00154;0.0509544;0.186514;0.0474599
0.00156;0.0509544;0.188362;0.0275318
0.00158;0.0509544;0.189365;0.00696299
0.0016;0.0509544;0.189119;-0.0111727
0.00162;0.0509544;0.189341;-0.0318696
0.00164;0.0509544;0.18987;-0.051334
0.00166;0.0509544;0.189643;-0.0716785
0.00168;0.0509544;0.190325;-0.0921677
0.0017;0.0509544;0.190208;-0.111744
0.00172;0.0509544;0.190274;-0.131192
0.00174;0.0509544;0.190409;-0.151392
0.00176;0.0509544;0.190887;-0.171368
0.00178;0.0509544;0.190935;-0.190818
0.0018;0.0509544;0.190887;-0.189119
0.00182;0.0509544;0.190935;-0.170584
0.00184;0.0509544;0.19054;-0.150768
0.00186;0.0509544;0.190053;-0.131384
0.00188;0.0509544;0.190456;-0.110768
0.0019;0.0509544;0.190887;-0.0909981
0.00192;0.0509544;0.190361;-0.0724309
0.00194;0.0509544;0.190421;-0.0518941
0.00196;0.0509544;0.190232;-0.0313575
0.00198;0.0509544;0.189005;-0.0114448
0.002;0.0509544;0.189819;0.00742713
0.00202;0.0509544;0.188386;0.028124
0.00204;0.0509544;0.187645;0.0484368
0.00206;0.0509544;0.186259;0.0676608
0.00208;0.0509544;0.185458;0.0860369
0.0021;0.0509544;0.182323;0.105245
0.00212;0.0509544;0.177857;0.124997
0.00214;0.0509544;0.17068;0.145022
0.00216;0.0509544;0.162342;0.163973
0.00218;0.0509544;0.156933;0.183151
0.0022;0.0509544;0.143824;0.203255
0.00222;0.0509544;0.133386;0.223984
0.00224;0.0509544;0.126323;0.243576
0.00226;0.0509544;0.114004;0.262448
0.00228;0.0509544;0.117468;0.281272
0.0023;0.0509544;0.109337;0.301425
0.00232;0.0509544;0.115207;0.320825
0.00234;0.0509544;0.12647;0.340976
0.00236;0.0509544;0.133365;0.360119
0.00238;0.0509544;0.146744;0.38045
0.0024;0.0509544;0.159608;0.400586
0.00242;0.0509544;0.169944;0.42005
0.00244;0.0509544;0.178602;0.439148
0.00246;0.0509544;0.182511;0.45906
0.00248;0.0509544;0.186442;0.480843
0.0025;0.0509544;0.188033;0.501605
0.00252;0.0509544;0.189197;0.519709
0.00254;0.0509544;0.19031;0.541527
0.00256;0.0509544;0.189374;0.561758
0.00258;0.0509544;0.190325;0.582408
0.0026;0.0509544;0.190504;0.600911
0.00262;0.0509544;0.190831;0.620905
0.00264;0.0509544;0.190884;0.640577
0.00266;0.0509544;0.19089;0.661476
0.00268;0.0509544;0.190645;0.679391
0.0027;0.0509544;0.189739;0.699688
0.00272;0.0509544;0.190648;0.719599
0.00274;0.0509544;0.190762;0.739629
0.00276;0.0509544;0.190744;0.758167
0.00278;0.0509544;0.190505;0.776859
0.0028;0.0509544;0.190935;0.780702
0.00282;0.0509544;0.191079;0.762195
0.00284;0.0509544;0.191079;0.742971
0.00286;0.0509544;0.191079;0.722659
0.00288;0.0509544;0.190648;0.702249
0.0029;0.0509544;0.190645;0.683394
0.00292;0.0509544;0.190887;0.663864
0.00294;0.0509544;0.191031;0.644399
0.00296;0.0509544;0.190169;0.623564
0.00298;0.0509544;0.190175;0.605377
0.003;0.0509544;0.190409;0.58527
0.00302;0.0509544;0.189984;0.564978
0.00304;0.0509544;0.189873;0.543846
0.00306;0.0509544;0.190283;0.522476
0.00308;0.0509544;0.189158;0.504358
0.0031;0.0509544;0.186969;0.483134
0.00312;0.0509544;0.186038;0.46306
0.00314;0.0509544;0.183759;0.442188
0.00316;0.0509544;0.175801;0.421941
0.00318;0.0509544;0.172367;0.40475
0.0032;0.0509544;0.158605;0.383636
0.00322;0.0509544;0.149616;0.362713
0.00324;0.0509544;0.13867;0.344273
0.00326;0.0509544;0.121674;0.323609
0.00328;0.0509544;0.121815;0.303922
0.0033;0.0509544;0.11351;0.285867
0.00332;0.0509544;0.111751;0.264449
0.00334;0.0509544;0.120657;0.247818
0.00336;0.0509544;0.120349;0.227698
0.00338;0.0509544;0.129925;0.207001
0.0034;0.0509544;0.142508;0.188847
0.00342;0.0509544;0.155964;0.168231
0.00344;0.0509544;0.162599;0.148991
0.00346;0.0509544;0.167485;0.129079
0.00348;0.0509544;0.176038;0.109215
0.0035;0.0509544;0.182134;0.0899097
0.00352;0.0509544;0.184593;0.0713584
0.00354;0.0509544;0.187405;0.051318
0.00356;0.0509544;0.188482;0.0323339
0.00358;0.0509544;0.188877;0.011861
0.0036;0.0509544;0.189855;-0.00750716
0.00362;0.0509544;0.190017;-0.0273397
0.00364;0.0509544;0.190433;-0.0476684
0.00366;0.0509544;0.189966;-0.0684611
0.00368;0.0509544;0.190385;-0.0885501
0.0037;0.0509544;0.190983;-0.106798
0.00372;0.0509544;0.190741;-0.12647
0.00374;0.0509544;0.190648;-0.14683
0.00376;0.0509544;0.189643;-0.16703
0.00378;0.0509544;0.189787;-0.185312
0.0038;0.0509544;0.190504;-0.192417
0.00382;0.0509544;0.190887;-0.174457
0.00384;0.0509544;0.190457;-0.154177
0.00386;0.0509544;0.190504;-0.134634
0.00388;0.0509544;0.189499;-0.113713
0.0039;0.0509544;0.190648;-0.0948556
0.00392;0.0509544;0.189176;-0.0759042
0.00394;0.0509544;0.190857;-0.0564563
0.00396;0.0509544;0.189724;-0.0344467
0.00398;0.0509544;0.189628;-0.0148863
0.004;0.0509544;0.190265;0.00456193
0.00402;0.0509544;0.188629;0.0238982
0.00404;0.0509544;0.188946;0.0447712
0.00406;0.0509544;0.187292;0.0640433
0.00408;0.0509544;0.185344;0.0826749
0.0041;0.0509544;0.183247;0.102508
0.00412;0.0509544;0.1787;0.121556
0.00414;0.0509544;0.172786;0.142012
0.00416;0.0509544;0.165809;0.161316
0.00418;0.0509544;0.154905;0.179164
0.0042;0.0509544;0.150268;0.19895
0.00422;0.0509544;0.13341;0.219422
0.00424;0.0509544;0.124911;0.240247
0.00426;0.0509544;0.121638;0.258495
0.00428;0.0509544;0.116448;0.27823
0.0043;0.0509544;0.112101;0.297294
0.00432;0.0509544;0.115655;0.318328
0.00434;0.0509544;0.121142;0.336495
0.00436;0.0509544;0.130278;0.356775
