t;vds;corrente;vg
0.0002495;-0.00199674;-0.00362808;-0.00345863
0.000499;-0.00189492;-0.00472192;-0.00160718
0.0007485;-0.00184649;0.00395314;-0.00219333
0.000998;-0.00186724;0.00884498;-0.0030631
0.0012475;-0.00169723;0.0101357;-0.00357362
0.001497;-0.00161913;-0.000461267;-0.00225005
0.0017465;-0.00160431;-0.00700801;-0.00223115
0.001996;-0.00170217;-0.0127657;-0.00223115
0.0022455;-0.00174665;-0.00238321;-0.00183408
0.002495;-0.00167054;0.0124542;-0.00190971
0.0027445;-0.00155686;0.0222622;-0.00158827
0.002994;-0.00166461;0.0199518;-0.00223115
0.0032435;-0.00186724;0.00245604;-0.00155046
0.003493;-0.0017506;-0.00394505;-0.00183408
0.0037425;-0.00186823;-0.0162293;-0.00111557
0.003992;-0.00179014;-0.0138825;-0.00207988
0.0042415;-0.0019483;0.00408262;-0.000434884
0.004491;-0.0019137;0.0144854;-0.000831952
0.0047405;-0.00176741;0.0166663;-0.000397068
0.00499;-0.00171601;0.0119282;-0.00260931
0.0052395;-0.00187812;0.00719414;-0.000831952
0.005489;-0.0018277;-0.0117016;-0.00196643
0.0057385;-0.00188009;-0.0104634;-0.00179626
0.005988;-0.00178125;-0.00970683;-0.00124793
0.0062375;-0.00179706;0.00135952;-0.00266603
0.006487;-0.00160431;0.0205344;-0.00260931
0.0067365;-0.00174467;0.0157437;-0.00432994
0.006986;-0.00166461;-0.0010601;-0.00463247
0.0072355;-0.00163001;0.00048959;-0.00625855
0.007485;-0.00170414;-0.00328552;-0.00359252
0.0077345;-0.00150744;-0.00400574;-0.0042543
0.007984;-0.00146493;0.0118108;-0.00521861
0.0082335;-0.00169327;0.0163426;-0.00521861
0.008483;-0.00168536;0.00907157;-0.00474591
0.0087325;-0.00162012;0.00641322;-0.0058993
0.008982;-0.00148767;-0.00765945;-0.00510517
0.0092315;-0.00144813;-0.00666004;-0.00450011
0.009481;-0.00158454;-0.000918487;-0.0058993
0.0097305;-0.00173874;0.00730744;-0.00389505
0.00998;-0.00169228;0.0068664;-0.0042543
0.0102295;-0.00181288;0.00699183;-0.00561568
0.010479;-0.00174961;-0.0048433;-0.00338454
0.0107285;-0.00190678;-0.00742881;-0.00398959
0.010978;-0.00187317;-0.00262598;-0.00223115
0.0112275;-0.00177828;0.00301847;-0.00372488
0.011477;-0.00181387;0.00615831;-0.00455683
0.0117265;-0.00178322;-0.000263003;-0.00484045
0.011976;-0.00164582;-0.00786985;-0.00476482
0.0122255;-0.00171106;-0.00567277;-0.00582367
0.012475;-0.00163495;-0.00176414;-0.00525643
0.0127245;-0.00164385;0.0095207;-0.00417867
0.012974;-0.00160134;0.0152946;-0.00325218
0.0132235;-0.00152819;0.0228286;-0.00467028
0.013473;-0.00180003;0.0116814;-0.00315764
0.0137225;-0.00166658;0.00432944;-0.00550223
0.013972;-0.00185934;-0.00269072;-0.00578585
0.0142215;-0.001802;-0.00408666;-0.00561568
0.014471;-0.0019908;0.00263408;-0.00315764
0.0147205;-0.00201749;0.00872359;-0.0044812
0.01497;-0.00203133;0.00438608;-0.00451902
0.0152195;-0.00186922;0.00570919;-0.00366816
0.015469;-0.0020511;-0.00487162;-0.00380051
0.0157185;-0.00213315;-0.00825424;-0.00310092
0.015968;-0.00204221;-0.00528434;-0.00432994
0.0162175;-0.00194138;-0.00195432;-0.00361143
0.016467;-0.00197103;0.000667623;-0.00402741
0.0167165;-0.0019651;0.00311153;-0.00187189
0.016966;-0.0019651;-0.00327742;-0.00225005
0.0172155;-0.0019226;-0.0066479;-0.00391396
0.017465;-0.00190777;-0.00864672;-0.00287402
0.0177145;-0.00169525;-0.00918487;-0.00130465
0.017964;-0.00156477;0.0058589;-0.00268494
0.0182135;-0.00148371;0.0177992;-0.000586148
0.018463;-0.00162803;0.0194703;-0.00257149
0.0187125;-0.00161222;0.0131987;-0.0021177
0.018962;-0.00168437;0.00214853;-0.00255258
0.0192115;-0.0016735;-0.00522364;-0.00192862
0.019461;-0.00170316;-0.00344332;-0.00179626
0.0197105;-0.00166658;0.00354852;-0.0014181
0.01996;-0.00157169;0.00669241;-0.00243913
0.0202095;-0.00167548;0.0143842;-0.0018908
0.020459;-0.00161716;0.00796697;-0.00170172
0.0207085;-0.00182474;-0.00447105;-0.000813044
0.020958;-0.00187318;-0.0178154;-0.00028362
0.0212075;-0.00177532;-0.0143599;-0.0011912
0.021457;-0.0017081;-0.0157073;-0.00192862
0.0217065;-0.00163594;-0.00110057;-0.00219333
0.021956;-0.00168536;0.00649819;-0.00126684
0.0222055;-0.0016567;0.00608548;-0.00153155
0.022455;-0.00156576;0.00218495;-0.00247695
0.0227045;-0.00156675;-0.00613808;-0.00346017
0.022954;-0.00160233;-0.00566063;-0.00332781
0.0232035;-0.00148371;0.00311962;-0.00181517
0.023453;-0.00161617;0.0131218;-0.00395178
0.0237025;-0.00159343;0.0184223;-0.00440557
0.023952;-0.0015361;0.016642;-0.00480264
0.0242015;-0.0016053;0.0113334;-0.00385724
0.024451;-0.00152819;0.0063323;-0.00202316
0.0247005;-0.00162803;-0.000534099;-0.00281729
0.02495;-0.00170414;-0.00402192;-0.00521861
0.0251995;-0.00169327;0.00319245;-0.00555896
0.025449;-0.00180596;0.000594791;-0.00603166
0.0256985;-0.00191074;-0.00167917;-0.00485936
0.025948;-0.00191864;-0.00277569;-0.00468919
0.0261975;-0.00180991;-0.00416354;-0.00361143
0.026447;-0.00181881;-0.00727101;-0.00523752
0.0266965;-0.00182474;0.00178842;-0.00629637
0.026946;-0.0019908;0.00424851;-0.00744976
0.0271955;-0.00192458;0.00260575;-0.00595603
0.027445;-0.00191074;-0.00330979;-0.00633419
0.0276945;-0.0017506;-0.00763112;-0.00586149
0.027944;-0.00161716;-0.00137571;-0.00657999
0.0281935;-0.00164978;0.00796292;-0.00710942
0.028443;-0.00168932;0.0122681;-0.00593712
0.0286925;-0.00156675;0.016909;-0.00552114
0.028942;-0.00164978;0.020494;-0.00525643
0.0291915;-0.00171106;0.0100507;-0.00603166
0.029441;-0.0017941;0.0019179;-0.00334672
0.0296905;-0.00179508;-0.00214044;-0.00415976
0.02994;-0.00187219;-0.00109652;-0.00415976
0.0301895;-0.00178718;0.00128669;-0.00533206
0.030439;-0.00192556;0.0115519;-0.00451902
0.0306885;-0.00188207;0.00907156;-0.00243913
0.030938;-0.001974;-0.000157802;-0.00480264
0.0311875;-0.00193644;-0.00263812;-0.00453792
0.031437;-0.0019651;-0.00730743;-0.00313873
0.0316865;-0.0019394;-0.0106455;-0.00255258
0.031936;-0.00198092;0.00204333;-0.00209879
0.0321855;-0.00198191;0.00368609;-0.00550223
0.032435;-0.00188108;0.00498896;-0.00294965
0.0326845;-0.00194138;-0.0035121;-0.00434884
0.032934;-0.00185934;-0.00583462;-0.00238241
0.0331835;-0.00176642;-0.00632825;-0.00251477
0.033433;-0.00167844;0.00565658;-0.0028362
0.0336825;-0.00161617;0.0211211;-0.00313873
0.033932;-0.00163297;0.022598;-0.00230678
0.0341815;-0.00164088;0.013575;-0.0018908
0.034431;-0.00177235;0.00494041;-0.00204207
0.0346805;-0.00168339;-0.00816927;-0.00194753
0.03493;-0.00180991;-0.0116085;-0.00158827
0.0351795;-0.0017763;0.00130288;-0.00357362
0.035429;-0.00166658;0.00947214;-0.00402741
0.0356785;-0.00188405;0.0110056;-0.00238241
0.035928;-0.00188207;0.00631207;-0.00190971
0.0361775;-0.00183858;-0.00356875;-0.001645
0.036427;-0.00194929;-0.00967445;-0.00179626
0.0366765;-0.00186428;-0.0186691;-0.00155046
0.036926;-0.00177433;-0.0127779;-0.00138029
0.0371755;-0.00180003;0.00246414;-0.00156937
0.037425;-0.00169129;0.00791841;-0.00209879
0.0376745;-0.00158849;0.0159541;-0.0014181
0.037924;-0.00149656;0.00461267;-0.00251477
0.0381735;-0.00164681;-0.00276356;-0.000813044
0.038423;-0.00142737;-0.00328551;-0.00196643
0.0386725;-0.00131567;0.000178033;-0.00153155
0.038922;-0.00138388;0.0112808;-0.00102103
0.0391715;-0.00162012;0.016383;-0.00200425
0.039421;-0.00141056;0.0159744;-0.00257149
0.0396705;-0.00152918;0.0121993;-0.00217442
0.03992;-0.00163792;-0.00107224;-0.0035358
0.0401695;-0.00162507;-0.0098444;-0.00319546
0.040419;-0.00171205;-0.00393291;-0.00243913
0.0406685;-0.00173874;-0.00771205;-0.00363034
0.040918;-0.00183759;-0.00246414;-0.00419758
0.0411675;-0.00187416;0.00274737;-0.00381942
0.041417;-0.00189888;-0.00520341;-0.00603166
0.0416665;-0.00207878;-0.0102652;-0.00603166
0.041916;-0.00200365;-0.01226;-0.00383833
0.0421655;-0.00197697;-0.00988485;-0.0061262
0.042415;-0.00198982;-0.00875192;-0.00461356
0.0426645;-0.00193545;-8.0924e-05;-0.00334672
0.042914;-0.00174764;-0.00267049;-0.00506735
0.0431635;-0.00159047;-0.00708894;-0.00550223
0.043413;-0.0015875;0.0011208;-0.00276057
0.0436625;-0.00160134;-0.00231847;-0.00310092
0.043912;-0.00155785;0.0147484;-0.0040085
0.0441615;-0.00154203;0.0121952;-0.00334672
0.044411;-0.00173182;0.0179166;-0.00410304
0.0446605;-0.00153808;0.00797101;-0.00395178
0.04491;-0.001631;0.00466122;-0.00673126
0.0451595;-0.00192359;-0.003941;-0.00625855
0.045409;-0.00174171;-0.00139594;-0.00623965
0.0456585;-0.00204023;0.00211212;-0.00720396
0.045908;-0.00189986;-0.00204333;-0.00533206
0.0461575;-0.00210745;0.00471787;-0.00487827
0.046407;-0.00205209;-0.00935076;-0.00467028
0.0466565;-0.00201057;-0.0164923;-0.00616401
0.046906;-0.00220333;-0.00640918;-0.00504844
0.0471555;-0.0019572;-0.00844846;-0.00446229
0.047405;-0.00209459;-0.00312367;-0.00427321
0.0476545;-0.00187812;0.010686;-0.00387614
0.047904;-0.00175159;0.00949237;-0.00523752
0.0481535;-0.00182672;0.00232657;-0.00338454
0.048403;-0.00166164;-0.00765136;-0.00474591
0.0486525;-0.00183265;-0.00456816;-0.0033089
0.048902;-0.00160628;0.000728316;-0.00272275
0.0491515;-0.00158553;0.0169697;-0.00487827
0.049401;-0.00154203;0.0214651;-0.00228787
0.0496505;-0.00156378;0.0189241;-0.00170172
0.0499;-0.00163693;0.00853748;-0.00251477
0.0501495;-0.00184451;-0.00217281;-0.00315764
