t;vds;corrente;vg
0.0002495;-0.00149261;0.00826774;-0.0110218
0.000499;-0.00171403;0.00550688;-0.00903801
0.0007485;-0.00168734;0.00233061;-0.00786574
0.000998;-0.00172293;0.0016023;-0.00903801
0.0012475;-0.00177136;0.0095652;-0.00820608
0.001497;-0.00169129;0.0205668;-0.00794137
0.0017465;-0.00177828;0.0168403;-0.00890566
0.001996;-0.0017338;0.0132877;-0.00867877
0.0022455;-0.00180892;0.00225778;-0.00737413
0.002495;-0.00194336;-0.0051144;-0.0073174
0.0027445;-0.0018455;-0.00673288;-0.0077712
0.002994;-0.00174566;0.000878026;-0.0075443
0.0032435;-0.00168339;0.0103583;-0.00468919
0.003493;-0.00168141;0.00960567;-0.00546442
0.0037425;-0.00156773;0.00574155;-0.00572913
0.003992;-0.00173479;0.00638895;-0.00580476
0.0042415;-0.00152622;-0.000736408;-0.00686361
0.004491;-0.00163198;-0.0031439;-0.00752539
0.0047405;-0.00145999;-0.0018653;-0.00620183
0.00499;-0.00150842;0.00445892;-0.00667453
0.0052395;-0.00136114;0.0136842;-0.00758212
0.005489;-0.00143132;0.0148293;-0.00516189
0.0057385;-0.00148272;0.00422423;-0.0058993
0.005988;-0.00152128;0.000469359;-0.00546442
0.0062375;-0.0014333;-0.00306702;-0.00716614
0.006487;-0.00142737;0.00116935;-0.00693924
0.0067365;-0.00171106;0.0155131;-0.00739304
0.006986;-0.00161123;0.015331;-0.00597493
0.0072355;-0.00174467;0.00948833;-0.00620183
0.007485;-0.00184055;0.00585889;-0.00667453
0.0077345;-0.00178026;-0.00485949;-0.00646654
0.007984;-0.00161716;-0.00209189;-0.00432994
0.0082335;-0.00171304;-0.00104797;-0.00605057
0.008483;-0.00180991;0.00291327;-0.00646654
0.0087325;-0.00175752;0.00666409;-0.0058993
0.008982;-0.00163495;0.00530861;-0.00499172
0.0092315;-0.00171304;-0.00701206;-0.0061262
0.009481;-0.00173479;-0.0111108;-0.00502953
0.0097305;-0.00151139;0.000465313;-0.00750648
0.00998;-0.00152226;0.00324505;-0.00652327
0.0102295;-0.00162507;0.0120051;-0.00690143
0.010479;-0.00173083;0.0057982;-0.00697706
0.0107285;-0.00176049;-0.00243986;-0.00758212
0.010978;-0.00150842;-0.00918891;-0.00724177
0.0112275;-0.0015875;-0.00886926;-0.00860314
0.011477;-0.00146592;0.00596005;-0.00854641
0.0117265;-0.00164286;0.00914036;-0.00835734
0.011976;-0.00188306;0.0113374;-0.00928381
0.0122255;-0.00186032;0.0105282;-0.00843297
0.012475;-0.00190382;0.00822187;-0.0085086
0.0127245;-0.00211634;-0.00167108;-0.00813045
0.012974;-0.00187021;-0.00804788;-0.00811154
0.0132235;-0.00192754;-0.00197455;-0.0092649
0.013473;-0.00187416;-0.00249651;-0.00884893
0.0137225;-0.00188009;0.0104068;-0.00913255
0.013972;-0.00179212;0.00499706;-0.00763884
0.0142215;-0.00178026;-0.00196241;-0.00822498
0.014471;-0.00190678;-0.000643346;-0.00883003
0.0147205;-0.00180299;-0.00589936;-0.00881112
0.01497;-0.00158256;-0.00247223;-0.00816826
0.0152195;-0.00180003;-0.00750974;-0.00760102
0.015469;-0.00172688;0.00239131;-0.00886784
0.0157185;-0.00154006;0.00447915;-0.00854641
0.015968;-0.00174764;-0.00718605;-0.00796028
0.0162175;-0.00162605;-0.00948023;-0.00761993
0.016467;-0.00178817;-0.011208;-0.00640982
0.0167165;-0.00180003;0.00152542;-0.00763884
0.016966;-0.00188108;0.00856984;-0.00862204
0.0172155;-0.00182474;0.0155414;-0.00780901
0.017465;-0.00197301;0.00917677;-0.00786574
0.0177145;-0.00196807;0.00305893;-0.00828171
0.017964;-0.0019394;-0.0112525;-0.00862204
0.0182135;-0.00180596;-0.0105889;-0.00794137
0.018463;-0.00186329;-0.00240749;-0.00799809
0.0187125;-0.00167647;0.00453174;-0.00714723
0.018962;-0.00177927;0.00924554;-0.00720396
0.0192115;-0.00175555;0.00595196;-0.00533206
0.019461;-0.00190382;-0.00133525;-0.00571022
0.0197105;-0.00163792;-0.0016994;-0.00478373
0.01996;-0.00167647;-0.00605716;-0.00451902
0.0202095;-0.00173775;-0.00723055;-0.00588039
0.020459;-0.00148174;0.00162253;-0.00355471
0.0207085;-0.00153907;0.0088814;-0.00451902
0.020958;-0.00149854;0.00568491;-0.00661781
0.0212075;-0.00150941;0.00205142;-0.00588039
0.021457;-0.00156081;-0.0127051;-0.00451902
0.0217065;-0.00166757;-0.0105808;-0.00436775
0.021956;-0.00160826;-0.0068583;-0.00427321
0.0222055;-0.00172095;0.000922533;-0.0042354
0.022455;-0.00166955;0.00888949;-0.0049539
0.0227045;-0.00184352;0.00641727;-0.00544551
0.022954;-0.00168536;0.00483926;-0.00591821
0.0232035;-0.0018366;0.00216067;-0.00474591
0.023453;-0.00171996;-0.00509012;-0.0047081
0.0237025;-0.0015707;-0.00207166;-0.00572913
0.023952;-0.00153511;0.002978;-0.00404632
0.0242015;-0.00162704;0.0104918;-0.00535097
0.024451;-0.00165373;0.00576178;-0.00512407
0.0247005;-0.00175357;0.00644964;-0.00446229
0.02495;-0.00165274;-0.00640108;-0.00467028
0.0251995;-0.00169327;-0.0011734;-0.00427321
0.025449;-0.00158256;0.00271095;-0.00521861
0.0256985;-0.00160431;0.00568491;-0.00555896
0.025948;-0.00158157;0.0110178;-0.00606947
0.0261975;-0.00168833;0.00574964;-0.00722286
0.026447;-0.00156378;0.00028728;-0.00657999
0.0266965;-0.00160925;-0.00716581;-0.00852751
0.026946;-0.00164879;-0.00379534;-0.0077712
0.0271955;-0.00186527;0.00235894;-0.00833843
0.027445;-0.00177433;0.00748547;-0.00614511
0.0276945;-0.00192655;0.0104877;-0.0075443
0.027944;-0.00186131;0.00273928;-0.00873549
0.0281935;-0.00188998;0.00138785;-0.00898129
0.028443;-0.00189591;-0.00439822;-0.00886784
0.0286925;-0.00195818;-0.005956;-0.00843297
0.028942;-0.00199377;0.000105201;-0.00900019
0.0291915;-0.00200662;0.00553925;-0.00879221
0.029441;-0.00194435;0.00750164;-0.00894347
0.0296905;-0.00191074;0.00476237;-0.00765775
0.02994;-0.00187713;0.00571323;-0.00773338
0.0301895;-0.00180991;-0.00140403;-0.00928381
0.030439;-0.00181387;-0.000242772;-0.0092649
0.0306885;-0.00197202;0.00422828;-0.0087733
0.030938;-0.00176148;0.0086629;-0.00843297
0.0311875;-0.00168339;0.00757043;-0.00924599
0.031437;-0.0019226;0.00369013;-0.00822498
0.0316865;-0.00187515;-0.00374678;-0.00843297
0.031936;-0.00177037;-0.00834326;-0.00871658
0.0321855;-0.00178223;-0.00470168;-0.00909473
0.032435;-0.00177334;0.00887331;-0.00890566
0.0326845;-0.00182276;0.012171;-0.00900019
0.032934;-0.00185835;0.0151773;-0.00903801
0.0331835;-0.00194039;0.00652247;-0.00934053
0.033433;-0.00187021;-0.00807621;-0.00920818
0.0336825;-0.00205901;-0.0102247;-0.00865986
0.033932;-0.00199377;-0.00485949;-0.00881112
0.0341815;-0.00179311;0.00373464;-0.0090191
0.034431;-0.00183166;0.00747333;-0.00799809
0.0346805;-0.00161123;0.0101843;-0.00830061
0.03493;-0.0017081;0.00563636;-0.00765775
0.0351795;-0.00185835;-0.00610167;-0.00678798
0.035429;-0.00188899;-0.0114022;-0.00576695
0.0356785;-0.00178619;-0.00637276;-0.00814935
0.035928;-0.00175456;-0.00390054;-0.00813045
0.0361775;-0.00160727;0.0113213;-0.00839515
0.036427;-0.00165274;0.00990509;-0.00737413
0.0366765;-0.00172886;0.00587508;-0.0070716
0.036926;-0.0015964;-0.00565254;-0.0061262
0.0371755;-0.00171699;-0.00485139;-0.00799809
0.037425;-0.0016389;-0.00520746;-0.00671235
0.0376745;-0.00152622;0.00501324;-0.00705269
0.037924;-0.00172984;0.0110825;-0.00506735
0.0381735;-0.00161913;0.00660744;-0.00631528
0.038423;-0.00154895;0.00599242;-0.0056535
0.0386725;-0.00163495;-0.000720224;-0.00417867
0.038922;-0.00164187;-0.00713344;-0.00642873
0.0391715;-0.00165175;-0.0081369;-0.00714723
0.039421;-0.00154698;-0.00235084;-0.00580476
0.0396705;-0.00163989;0.00582653;-0.00380051
0.03992;-0.00162902;0.00627161;-0.00644764
0.0401695;-0.00191469;-0.000517913;-0.00533206
0.040419;-0.00175159;-0.00184102;-0.00727959
0.0406685;-0.00171601;-0.00570514;-0.00695815
0.040918;-0.0017941;-0.0010156;-0.00669344
0.0411675;-0.00181683;0.00118958;-0.00586149
0.041417;-0.0017249;0.0100346;-0.00588039
0.0416665;-0.00167054;0.000267049;-0.00724177
0.041916;-0.00167943;-0.00525601;-0.00616401
0.0421655;-0.00173676;-0.0065427;-0.00761993
0.042415;-0.00171601;-0.00203119;-0.00761993
0.0426645;-0.00173775;0.00424042;-0.00669344
0.042914;-0.00187318;0.0109247;-0.00669344
0.0431635;-0.00178026;0.0135871;-0.00848969
0.043413;-0.00177729;0.0088814;-0.00724177
0.0436625;-0.0017595;-0.00118149;-0.00854641
0.043912;-0.00169228;-0.00373464;-0.00678798
0.0441615;-0.00191074;-0.00245604;-0.00652327
0.044411;-0.00190777;0.00309534;-0.00767666
0.0446605;-0.00176247;0.00448319;-0.00822498
0.04491;-0.0018109;0.00588317;-0.00884893
0.0451595;-0.00195225;0.00116126;-0.00907582
0.045409;-0.00188998;-0.00231038;-0.00839515
0.0456585;-0.0019226;-0.00458435;-0.00856532
0.045908;-0.00192853;-0.00530861;-0.00879221
0.0461575;-0.00185143;0.00210807;-0.00935944
0.046407;-0.00192952;0.00237917;-0.00881112
0.0466565;-0.00197894;0.00554734;-0.0085086
0.046906;-0.00193743;0.00343927;-0.00900019
0.0471555;-0.00180695;-0.000307512;-0.00898129
0.047405;-0.00185538;-0.00848487;-0.00898129
0.0476545;-0.00172391;-0.00173987;-0.00862204
0.047904;-0.00172589;0.00920105;-0.00924599
0.0481535;-0.00169821;0.0149183;-0.00856532
0.048403;-0.00174269;0.0195795;-0.00907582
0.0486525;-0.00171502;0.0122923;-0.00743085
0.048902;-0.00175258;0.00184102;-0.00709051
0.0491515;-0.00178718;-0.00189362;-0.00828171
0.049401;-0.00171601;-0.00124623;-0.00601275
0.0496505;-0.00181189;0.0112201;-0.00743085
0.0499;-0.00167745;0.0103987;-0.00692034
0.0501495;-0.00167844;0.0129235;-0.00720396
0.050399;-0.00176741;0.00795887;-0.00722286
0.0506485;-0.00169031;0.00156183;-0.00841406
0.050898;-0.00187812;-0.00533289;-0.00761993
0.0511475;-0.00198191;-0.0098808;-0.00675016
0.051397;-0.00164582;-0.00559185;-0.00750648
0.0516465;-0.00176741;0.000578606;-0.00761993
0.051896;-0.00154006;0.00811668;-0.00761993
0.0521455;-0.00166065;0.000898257;-0.00733631
0.052395;-0.00168437;-0.00152137;-0.00828171
0.0526445;-0.00176246;-0.00579415;-0.00714723
0.052894;-0.00148371;-0.000635253;-0.00610729
0.0531435;-0.00145702;0.00517914;-0.00601275
0.053393;-0.00155983;0.0124987;-0.00576695
0.0536425;-0.00167548;0.0158651;-0.00650436
0.053892;-0.0016221;0.00733576;-0.00688252
0.0541415;-0.00156576;0.00115317;-0.00737413
0.054391;-0.0015964;-0.00222541;-0.00497281
0.0546405;-0.00158157;-0.001226;-0.00610729
0.05489;-0.00152819;0.00382366;-0.00563459
0.0551395;-0.00161815;0.00888545;-0.00478373
0.055389;-0.00165769;0.0158934;-0.00554005
0.0556385;-0.00168042;0.00177628;-0.00385724
0.055888;-0.00163792;0.00209189;-0.00673126
0.0561375;-0.00173973;-0.00791841;-0.00531315
0.056387;-0.0017249;-4.04621e-05;-0.00642873
0.0566365;-0.00162902;0.00604502;-0.00506735
0.056886;-0.00181881;0.0100184;-0.0056535
0.0571355;-0.00189986;0.00346355;-0.00497281
0.057385;-0.00188108;-0.00544618;-0.00410304
0.0576345;-0.00162803;-0.00890163;-0.00493499
0.057884;-0.000731479;0.0028202;0.0657621
0.0581335;-0.00164385;0.0022861;0.195092
0.058383;-0.00169426;0.00943976;0.176205
0.0586325;-0.0016132;0.0084525;0.161361
0.058882;-0.00167548;0.0120981;0.143304
0.0591315;-0.00161815;0.000445082;0.127894
0.059381;-0.00162902;0.00227801;0.118742
0.0596305;-0.00173775;-0.00296182;0.108569
0.05988;-0.00179113;-0.000376296;0.09696
0.0601295;-0.00193644;0.00189767;0.0875634
0.060379;-0.00188998;0.0117056;0.0801696
0.0606285;-0.00194533;0.00574965;0.0715288
0.060878;-0.00188603;0.00582248;0.0656295
0.0611275;-0.00180102;-0.00195836;0.0581423
0.061377;-0.00191963;-0.00752592;0.0546441
0.0616265;-0.00216577;-0.000246818;0.0471753
0.061876;-0.00189294;0.00490399;0.0427129
0.0621255;-0.00196906;0.00705657;0.0377403
0.062375;-0.00190777;0.00582653;0.0366815
0.0626245;-0.00188899;-0.00332598;0.0300071
0.062874;-0.00185439;-0.0131866;0.0283053
0.0631235;-0.00183759;-0.00877215;0.0259039
0.063373;-0.00181584;0.000562422;0.0206474
0.0636225;-0.00173775;0.013664;0.0188701
0.063872;-0.00173083;0.0170021;0.0188323
0.0641215;-0.00160826;0.0140565;0.0131977
0.064371;-0.00184649;0.00225778;0.00994557
0.0646205;-0.00168437;-0.0065427;0.00943507
0.06487;-0.00173973;-0.00856579;0.00943507
0.0651195;-0.00178223;0.000910395;0.00943507
0.065369;-0.00171601;0.00115317;0.00932162
0.0656185;-0.0016824;0.00341095;0.00765775
