t;vds;corrente;vg
0;0.0482347;0.0165343;-0.00798826
2e-05;0.0483107;0.0164722;-0.00797229
4e-05;0.0482791;0.0168738;-0.00797229
6e-05;0.0483571;0.0166916;-0.00797229
8e-05;0.0483877;0.016849;-0.00797229
0.0001;0.0483364;0.0165716;-0.00797229
0.00012;0.0483146;0.0165426;-0.00797229
0.00014;0.0483897;0.0165923;-0.00797229
0.00016;0.0483591;0.0165012;-0.00797229
0.00018;0.0483038;0.0156567;-0.00797229
0.0002;0.0483601;0.016526;-0.00797229
0.00022;0.0483294;0.0164722;-0.00797229
0.00024;0.048367;0.0165302;-0.00797229
0.00026;0.0483709;0.0164805;-0.00797229
0.00028;0.0483077;0.0165053;-0.00797229
0.0003;0.0483176;0.0166461;-0.00797229
0.00032;0.0483472;0.016526;-0.00797229
0.00034;0.0483275;0.016526;-0.00797229
0.00036;0.0483541;0.016526;-0.00797229
0.00038;0.0483373;0.016526;-0.00797229
0.0004;0.0483739;0.016526;-0.00797229
0.00042;0.0483887;0.0166088;-0.00797229
0.00044;0.0483136;0.0164681;-0.00797229
0.00046;0.048287;0.0160624;-0.00797229
0.00048;0.0483107;0.0163894;-0.00797229
0.0005;0.0482988;0.0164971;-0.00797229
0.00052;0.0483166;0.0165136;-0.00797229
0.00054;0.0483146;0.0165178;-0.00797229
0.00056;0.0482929;0.0163066;-0.00797229
0.00058;0.0483018;0.0164019;-0.00797229
0.0006;0.0483225;0.0164971;-0.00797229
0.00062;0.0483354;0.0164971;-0.00797229
0.00064;0.0483176;0.0165053;-0.00797229
0.00066;0.0483759;0.016642;-0.00797229
0.00068;0.0483117;0.0166213;-0.00797229
0.0007;0.0483472;0.016526;-0.00797229
0.00072;0.0482909;0.016526;-0.00797229
0.00074;0.0483215;0.0165633;-0.00797229
0.00076;0.0483245;0.016526;-0.00797229
0.00078;0.0483295;0.016526;-0.00797229
0.0008;0.0483008;0.0165385;-0.00797229
0.00082;0.0482899;0.0166337;-0.00797229
0.00084;0.0483205;0.0165674;-0.00797229
0.00086;0.0483482;0.016526;-0.00797229
0.00088;0.0483522;0.0165053;-0.00797229
0.0009;0.048285;0.0166337;-0.00797229
0.00092;0.0483136;0.0164681;-0.00797229
0.00094;0.0482791;0.016526;-0.00797229
0.00096;0.0483729;0.0169442;-0.00797229
0.00098;0.0483492;0.0167455;-0.00797229
0.001;-0.0394635;-0.028163;-0.00797229
0.00102;-0.0490745;-0.032071;-0.00797229
0.00104;-0.0490597;-0.0327913;-0.00797229
0.00106;-0.0490547;-0.0328368;-0.00797229
0.00108;-0.0490538;-0.0327871;-0.00797229
0.0011;-0.0489651;-0.032663;-0.00797229
0.00112;-0.0491445;-0.032692;-0.00797229
0.00114;-0.0490271;-0.0327499;-0.00797229
0.00116;-0.0490853;-0.0325802;-0.00797229
0.00118;-0.0491022;-0.0326381;-0.00797229
0.0012;-0.0490469;-0.0330521;-0.00797229
0.00122;-0.0491366;-0.0329279;-0.00797229
0.00124;-0.0490981;-0.0326754;-0.00797229
0.00126;-0.049116;-0.0328244;-0.00797229
0.00128;-0.0490647;-0.0326423;-0.00797229
0.0013;-0.0491346;-0.032783;-0.00797229
0.00132;-0.0490547;-0.0328492;-0.00797229
0.00134;-0.0491081;-0.0330521;-0.00797229
0.00136;-0.0490519;-0.0328161;-0.00797229
0.00138;-0.0491682;-0.0330521;-0.00797229
0.0014;-0.0491465;-0.033019;-0.00797229
0.00142;-0.0491178;-0.0330438;-0.00797229
0.00144;-0.0490687;-0.0328575;-0.00797229
0.00146;-0.0490844;-0.0330355;-0.00797229
0.00148;-0.0490971;-0.0329776;-0.00797229
0.0015;-0.0491001;-0.0329403;-0.00797229
0.00152;-0.0491001;-0.0330314;-0.00797229
0.00154;-0.0490705;-0.0329486;-0.00797229
0.00156;-0.0490509;-0.0329403;-0.00797229
0.00158;-0.049112;-0.0329486;-0.00797229
0.0016;-0.049042;-0.0330355;-0.00797229
0.00162;-0.0491011;-0.0329155;-0.00797229
0.00164;-0.0491445;-0.0330148;-0.00797229
0.00166;-0.0491308;-0.0329983;-0.00797229
0.00168;-0.049181;-0.0329486;-0.00797229
0.0017;-0.0491395;-0.0330521;-0.00797229
0.00172;-0.0491228;-0.0330438;-0.00797229
0.00174;-0.0491445;-0.0327789;-0.00797229
0.00176;-0.0491495;-0.0329279;-0.00797229
0.00178;-0.0491858;-0.0330272;-0.00797229
0.0018;-0.0490913;-0.0328699;-0.00797229
0.00182;-0.0490371;-0.0327582;-0.00797229
0.00184;-0.0490391;-0.0330107;-0.00797229
0.00186;-0.0491228;-0.0328368;-0.00797229
0.00188;-0.0491908;-0.0330521;-0.00797229
0.0019;-0.0492125;-0.0330521;-0.00797229
0.00192;-0.0491475;-0.0330521;-0.00797229
0.00194;-0.0491613;-0.0330521;-0.00797229
0.00196;-0.0491701;-0.0328699;-0.00797229
0.00198;-0.0490853;-0.0329734;-0.00797229
0.002;0.0290636;0.00671888;-0.00797229
0.00202;0.0482998;0.016526;-0.00797229
0.00204;0.0483295;0.0165716;-0.00797229
0.00206;0.0483354;0.0166047;-0.00797229
