t;vds;corrente;vg
0;0.00838551;-0.00393694;-0.310186
2e-05;0.0103879;-0.00340292;-0.310617
4e-05;0.0123873;-0.00216925;-0.309611
6e-05;0.0142703;-0.00134129;-0.309547
8e-05;0.0162332;-0.000103495;-0.310266
0.0001;0.0180895;0.00140339;-0.310042
0.00012;0.0199558;0.00207818;-0.309691
0.00014;0.0219167;0.00343189;-0.308604
0.00016;0.0238232;0.00408597;-0.310857
0.00018;0.02573;0.00437162;-0.310426
0.0002;0.0277441;0.00615586;-0.309723
0.00022;0.0296705;0.00678097;-0.309627
0.00024;0.0316404;0.00805189;-0.309036
0.00026;0.0336191;0.00826302;-0.310553
0.00028;0.0356184;0.00979887;-0.310186
0.0003;0.0375884;0.0104364;-0.310266
0.00032;0.039498;0.0118895;-0.308892
0.00034;0.0413691;0.0124856;-0.310537
0.00036;0.0434334;0.0142367;-0.310537
0.00038;0.04523;0.0145928;-0.310745
0.0004;0.0472043;0.0162404;-0.310234
0.00042;0.0477138;0.016435;-0.309228
0.00044;0.0458732;0.0150233;-0.309978
0.00046;0.0439773;0.0143858;-0.309419
0.00048;0.0420241;0.0135702;-0.310441
0.0005;0.0400741;0.0123159;-0.310681
0.00052;0.0381876;0.0117694;-0.309467
0.00054;0.0362304;0.0103039;-0.309659
0.00056;0.0342171;0.0097658;-0.306257
0.00058;0.0322898;0.00823818;-0.309195
0.0006;0.0302885;0.00790698;-0.307806
0.00062;0.02828;0.00636699;-0.307566
0.00064;0.026321;0.00565497;-0.307342
0.00066;0.0243681;0.00413151;-0.310537
0.00068;0.0224999;0.00410253;-0.309595
0.0007;0.0205093;0.00266604;-0.309834
0.00072;0.0186264;0.00159796;-0.310282
0.00074;0.0167128;-9.93552e-05;-0.310122
0.00076;0.0148408;-0.000877636;-0.309131
0.00078;0.0129241;-0.00206576;-0.309898
0.0008;0.0109494;-0.00322076;-0.309786
0.00082;0.00895788;-0.00413151;-0.309802
0.00084;0.0069871;-0.00459932;-0.309275
0.00086;0.00502322;-0.00575844;-0.30894
0.00088;0.00301195;-0.0064829;-0.309595
0.0009;0.0010757;-0.00788215;-0.309579
0.00092;-0.000769765;-0.00835823;-0.309994
0.00094;-0.00274057;-0.0100969;-0.310521
0.00096;-0.00467979;-0.0103495;-0.308701
0.00098;-0.00673155;-0.0112685;-0.309115
0.001;-0.0086865;-0.0123862;-0.31017
0.00102;-0.0107274;-0.0136737;-0.310569
0.00104;-0.012712;-0.0152965;-0.31025
0.00106;-0.014588;-0.0160707;-0.309036
0.00108;-0.0165579;-0.016526;-0.309244
0.0011;-0.0184201;-0.017027;-0.309387
0.00112;-0.0202834;-0.0185918;-0.309803
0.00114;-0.0221762;-0.0201814;-0.309914
0.00116;-0.0240818;-0.0208356;-0.309643
0.00118;-0.0260566;-0.0223136;-0.309387
0.0012;-0.0279248;-0.0227772;-0.309499
0.00122;-0.0299241;-0.023038;-0.309962
0.00124;-0.0318792;-0.0242426;-0.309531
0.00126;-0.0338609;-0.0254763;-0.310186
0.00128;-0.035804;-0.0265486;-0.310825
0.0013;-0.0377552;-0.0274262;-0.310921
0.00132;-0.0397042;-0.0287219;-0.310873
0.00134;-0.0417441;-0.0289744;-0.310553
0.00136;-0.0437245;-0.0305518;-0.310761
0.00138;-0.0456717;-0.0310486;-0.310521
0.0014;-0.0475992;-0.0321124;-0.310506
0.00142;-0.0484004;-0.0326009;-0.310697
0.00144;-0.0465275;-0.0312597;-0.310058
0.00146;-0.0446543;-0.0309865;-0.310665
0.00148;-0.0427399;-0.0304026;-0.309946
0.0015;-0.0406724;-0.0290903;-0.309851
0.00152;-0.0387873;-0.0288047;-0.310713
0.00154;-0.0367838;-0.0270868;-0.310058
0.00156;-0.0347945;-0.0261635;-0.309722
0.00158;-0.0328553;-0.0249919;-0.310601
0.0016;-0.0308735;-0.0247766;-0.310633
0.00162;-0.0289481;-0.0229884;-0.310889
0.00164;-0.0269813;-0.0226447;-0.310873
0.00166;-0.025113;-0.0212909;-0.310761
