t;vds;corrente;vg
0;0.0193985;0.0141267;0.0185009
2e-05;0.019362;0.0239488;0.0381682
4e-05;0.0193684;0.0337709;0.0581386
6e-05;0.0193636;0.0436712;0.077343
8e-05;0.0193644;0.0533366;0.09685
0.0001;0.0193692;0.063092;0.115382
0.00012;0.0193731;0.0727572;0.13505
0.00014;0.0193707;0.0825734;0.153903
0.00016;0.0193628;0.092447;0.172308
0.00018;0.0193731;0.102127;0.190713
0.0002;0.0193636;0.111964;0.209996
0.00022;0.0193596;0.121702;0.230349
0.00024;0.0193446;0.131324;0.249266
0.00026;0.0193676;0.141204;0.266424
0.00028;0.0193676;0.150665;0.285072
0.0003;0.0193581;0.160843;0.303204
0.00032;0.0193731;0.170514;0.324053
0.00034;0.0193723;0.180293;0.342939
0.00036;0.0193668;0.18987;0.361375
0.00038;0.0193707;0.192676;0.381427
0.0004;0.0193699;0.192676;0.401062
0.00042;0.0193715;0.192676;0.42044
0.00044;0.0193731;0.192676;0.438142
0.00046;0.0193731;0.192676;0.45573
0.00048;0.0193731;0.192676;0.477142
0.0005;0.0193731;0.192676;0.496218
0.00052;0.0193596;0.192676;0.51424
0.00054;0.0193723;0.192676;0.533059
0.00056;0.0193668;0.192676;0.552964
0.00058;0.0193731;0.192676;0.574537
0.0006;0.0193707;0.192676;0.593323
0.00062;0.0193684;0.192676;0.612061
0.00064;0.0193731;0.192676;0.629494
0.00066;0.0193731;0.192676;0.650374
0.00068;0.0193731;0.192676;0.668161
0.0007;0.0193731;0.192676;0.686067
0.00072;0.0193731;0.192676;0.704154
0.00074;0.0193739;0.192676;0.725064
0.00076;0.0193731;0.192676;0.745671
0.00078;0.0193715;0.192676;0.747243
0.0008;0.0193731;0.192676;0.726658
0.00082;0.0193731;0.192676;0.705303
0.00084;0.0193731;0.192676;0.686725
0.00086;0.0193731;0.192676;0.669036
0.00088;0.0193731;0.192676;0.651368
0.0009;0.0193739;0.192676;0.63021
0.00092;0.0193707;0.192676;0.612672
0.00094;0.0193652;0.192676;0.594906
0.00096;0.0193517;0.192676;0.576406
0.00098;0.0193676;0.192676;0.555984
0.001;0.0193692;0.192676;0.535024
0.00102;0.0193731;0.192676;0.515611
0.00104;0.0193612;0.192676;0.497095
0.00106;0.0193731;0.192676;0.478213
0.00108;0.0193731;0.192676;0.457378
0.0011;0.0193731;0.192676;0.439532
0.00112;0.0193525;0.192676;0.422085
0.00114;0.0193707;0.192676;0.404175
0.00116;0.0193739;0.192676;0.383276
0.00118;0.0193731;0.190383;0.363195
0.0012;0.0193731;0.180993;0.344185
0.00122;0.0193731;0.171352;0.32586
0.00124;0.0193731;0.161629;0.305409
0.00126;0.0193763;0.151488;0.28614
0.00128;0.0193731;0.141843;0.268246
0.0013;0.0193676;0.132097;0.251343
0.00132;0.019366;0.12232;0.231404
0.00134;0.0193731;0.112719;0.21145
0.00136;0.0193652;0.102917;0.191751
0.00138;0.0193517;0.0931711;0.17357
0.0014;0.0193731;0.0833818;0.155469
0.00142;0.0193517;0.0735779;0.136631
0.00144;0.0193676;0.0637708;0.116773
0.00146;0.0193684;0.0541268;0.0987832
0.00148;0.0193501;0.0443891;0.0792443
0.0015;0.0193541;0.0345099;0.059353
0.00152;0.0193636;0.0247543;0.0393186
0.00154;0.0193628;0.0149834;0.0196512
0.00156;0.0193731;0.0050136;0.00183731
0.00158;0.0193676;-0.00465764;-0.0166636
0.0016;0.01937;-0.0144465;-0.0354682
0.00162;0.019362;-0.0240724;-0.0556142
0.00164;0.0193604;-0.0337196;-0.0757294
0.00166;0.0193485;-0.0437677;-0.0939423
0.00168;0.0193612;-0.0532068;-0.112539
0.0017;0.0193533;-0.0630257;-0.133309
0.00172;0.0193375;-0.0727271;-0.151379
0.00174;0.0193454;-0.0824738;-0.16988
0.00176;0.0193692;-0.0925042;-0.18961
0.00178;0.0193557;-0.0949264;-0.194004
0.0018;0.01937;-0.0852161;-0.175727
0.00182;0.0193723;-0.0753665;-0.156092
0.00184;0.0193628;-0.0657288;-0.138261
0.00186;0.01937;-0.0560212;-0.117843
0.00188;0.0193596;-0.0464317;-0.0984477
0.0019;0.0193612;-0.0365459;-0.0793242
