t;vds;corrente;vg
0;0.0497101;0.00437216;0.0174784
2e-05;0.0495807;0.0132924;0.0374173
4e-05;0.0496066;0.0231957;0.0567965
6e-05;0.0496165;0.0336586;0.0771672
8e-05;0.0496344;0.0440336;0.0967861
0.0001;0.0496504;0.0537366;0.113689
0.00012;0.0496265;0.0636161;0.133436
0.00014;0.0496285;0.0724328;0.152098
0.00016;0.0495767;0.0826557;0.170471
0.00018;0.0496007;0.0919756;0.189051
0.0002;0.0495628;0.101943;0.208893
0.00022;0.0496245;0.11211;0.229343
0.00024;0.0496006;0.121621;0.248164
0.00026;0.0496464;0.131932;0.264987
0.00028;0.0495926;0.141812;0.284784
0.0003;0.0496046;0.151243;0.302661
0.00032;0.0496265;0.160955;0.323062
0.00034;0.0495787;0.170849;0.34206
0.00036;0.0496484;0.180154;0.361567
0.00038;0.0496444;0.190746;0.380324
0.0004;0.0496524;0.19992;0.400567
0.00042;0.0496245;0.209944;0.419786
0.00044;0.0496285;0.219806;0.437503
0.00046;0.0496444;0.22916;0.45482
0.00048;0.0496345;0.239224;0.475272
0.0005;0.0496444;0.248438;0.495036
0.00052;0.0496504;0.258718;0.513153
0.00054;0.0496285;0.267454;0.531893
0.00056;0.0495966;0.277836;0.55258
0.00058;0.0496524;0.288149;0.573467
0.0006;0.0496066;0.29786;0.591709
0.00062;0.0496026;0.306923;0.61045
0.00064;0.0496324;0.316666;0.628839
0.00066;0.0496524;0.326098;0.649255
0.00068;0.0496225;0.335922;0.667314
0.0007;0.0496344;0.345888;0.685076
0.00072;0.0496504;0.355344;0.70259
0.00074;0.0496524;0.36575;0.724281
0.00076;0.0496305;0.375152;0.743833
0.00078;0.0496225;0.376599;0.747547
0.0008;0.0496305;0.367588;0.726994
0.00082;0.0496504;0.35691;0.706198
0.00084;0.0496364;0.347609;0.68808
0.00086;0.0496384;0.337792;0.670011
0.00088;0.0496524;0.327721;0.652471
0.0009;0.0496444;0.318321;0.631041
0.00092;0.0496364;0.308531;0.61347
0.00094;0.0496464;0.299018;0.595593
0.00096;0.0495768;0.28922;0.576917
0.00098;0.0496365;0.279323;0.555634
0.001;0.0496524;0.270076;0.535359
0.00102;0.0496265;0.260036;0.517002
0.00104;0.0496524;0.250539;0.498565
0.00106;0.0496285;0.240454;0.479027
0.00108;0.0496524;0.231668;0.45888
0.0011;0.0496325;0.221335;0.440108
0.00112;0.0496364;0.211039;0.422373
0.00114;0.0496205;0.201127;0.404894
0.00116;0.0496285;0.191705;0.384123
0.00118;0.0496524;0.181592;0.363849
0.0012;0.0496245;0.171818;0.344616
0.00122;0.0496424;0.162625;0.326355
0.00124;0.0496464;0.152467;0.305808
0.00126;0.0496464;0.143402;0.287051
0.00128;0.0496265;0.133516;0.268389
0.0013;0.0496206;0.123684;0.251662
0.00132;0.0496006;0.114275;0.231484
0.00134;0.0496305;0.104052;0.212025
0.00136;0.0495966;0.0943012;0.192278
0.00138;0.0496384;0.0842304;0.173858
0.0014;0.0496424;0.0742551;0.155389
0.00142;0.0496006;0.0646075;0.135385
0.00144;0.0496265;0.054768;0.116517
0.00146;0.0496106;0.0453841;0.0992944
0.00148;0.0496285;0.035529;0.0795799
0.0015;0.0496046;0.0251301;0.0598323
0.00152;0.0496464;0.0157222;0.03975
0.00154;0.0496106;0.0058669;0.0209454
0.00156;0.0496165;-0.00408442;0.00167754
0.00158;0.0496444;-0.0128927;-0.0155612
0.0016;0.0495947;-0.0228999;-0.0343338
0.00162;0.0496146;-0.033227;-0.0548154
0.00164;0.0495767;-0.0436258;-0.0736045
0.00166;0.0495907;-0.0529772;-0.0931755
0.00168;0.0495907;-0.0621536;-0.112395
0.0017;0.0495707;-0.071202;-0.133436
0.00172;0.0496464;-0.0813368;-0.151091
0.00174;0.0496245;-0.0914079;-0.16964
0.00176;0.0496066;-0.101567;-0.189291
0.00178;0.0494812;-0.104812;-0.195074
0.0018;0.0495151;-0.094653;-0.176302
0.00182;0.0495489;-0.0844702;-0.157849
0.00184;0.0495728;-0.0750305;-0.139715
0.00186;0.0495906;-0.065231;-0.119521
0.00188;0.0496086;-0.0559988;-0.0999335
0.0019;0.0496165;-0.0463112;-0.0806024
0.00192;0.0495847;-0.0365522;-0.0621648
0.00194;0.0496404;-0.0268965;-0.0416512
0.00196;0.0496305;-0.0164017;-0.0226869
0.00198;0.0496404;-0.00716176;-0.00309946
0.002;0.0496185;0.00338103;0.0138517
0.00202;0.0496046;0.0123972;0.032864
0.00204;0.0496484;0.0213014;0.0525787
0.00206;0.0496166;0.0321639;0.0722625
0.00208;0.0496524;0.042283;0.0932074
0.0021;0.0496424;0.0520181;0.11011
0.00212;0.0496205;0.0615701;0.128835
