t;vds;corrente;vg
0.000499;-0.049236;0.00916256;-0.107089
0.000998;-0.0493999;0.0099005;-0.106613
0.001497;-0.0497399;0.010537;-0.107028
0.001996;-0.0494719;0.0110709;-0.10627
0.002495;-0.0495759;0.0120422;-0.106637
0.002994;-0.0495799;0.0122896;-0.106254
0.003493;-0.0496919;0.0134992;-0.106757
0.003992;-0.0496599;0.0135475;-0.106725
0.004491;-0.0496999;0.0142262;-0.106246
0.00499;-0.0495598;0.0150528;-0.106143
0.005489;-0.0497159;0.0154811;-0.106812
0.005988;-0.0497159;0.0165218;-0.106812
0.006487;-0.0497238;0.0167059;-0.106485
0.006986;-0.0497878;0.0179127;-0.106589
0.007485;-0.0494759;0.0180635;-0.10631
0.007984;-0.0495999;0.0187723;-0.106421
0.008483;-0.0495918;0.0195445;-0.106102
0.008982;-0.0497039;0.0195837;-0.106676
0.009481;-0.0493959;0.0205944;-0.106158
0.00998;-0.049512;0.021074;-0.105368
0.010479;-0.0493839;0.0214482;-0.104722
0.010978;-0.0493719;0.0225673;-0.104723
0.011477;-0.0494679;0.0226035;-0.106916
0.011976;-0.0494239;0.0237738;-0.10627
0.012475;-0.0494399;0.0240845;-0.105823
0.012974;-0.049152;0.0244013;-0.106421
0.013473;-0.0495599;0.0255145;-0.106677
0.013972;-0.0493799;0.0255899;-0.106047
0.014471;-0.0495919;0.0259247;-0.106413
0.01497;-0.0495479;0.0270889;-0.107283
0.015469;-0.0494679;0.0271674;-0.10694
0.015968;-0.0496599;0.028323;-0.10678
0.016467;-0.0496679;0.0286096;-0.107075
0.016966;-0.0496719;0.0294268;-0.106932
0.017465;-0.0493559;0.0301055;-0.107235
0.017964;-0.04944;0.0304375;-0.107227
0.018463;-0.0496679;0.0314753;-0.107115
0.018962;-0.0496678;0.031611;-0.106645
0.019461;-0.0495758;0.0321357;-0.107251
0.01996;-0.0496399;0.0330346;-0.107171
0.020459;-0.0496678;0.0334057;-0.107195
0.020958;-0.0497198;0.0345581;-0.106884
0.021457;-0.0496639;0.0346215;-0.107187
0.021956;-0.0494759;0.0357167;-0.106868
0.022455;-0.0496639;0.036127;-0.107043
0.022954;-0.0495759;0.0361632;-0.10702
0.023453;-0.0495679;0.0373365;-0.107267
0.023952;-0.0495639;0.0376351;-0.107131
0.024451;-0.0495399;0.038712;-0.106757
0.02495;-0.0495638;0.0391373;-0.107347
0.025449;-0.0494839;0.039454;-0.107131
0.025948;-0.0496879;0.0406335;-0.106501
0.026447;-0.0493919;0.0406998;-0.106669
0.026946;-0.0496679;0.0416684;-0.107211
0.027445;-0.0497758;0.042148;-0.107099
0.027944;-0.0496399;0.0427031;-0.107291
0.028443;-0.0494879;0.0436261;-0.107195
0.028942;-0.0496119;0.0436623;-0.106374
0.029441;-0.0496678;0.0447545;-0.106573
0.02994;-0.0495198;0.0451588;-0.106501
0.030439;-0.0494839;0.0455747;-0.106597
0.030938;-0.0496719;0.0466637;-0.106573
0.031437;-0.0494719;0.0466818;-0.106413
0.031936;-0.0496639;0.0474662;-0.106381
0.032435;-0.0496358;0.0481599;-0.107307
0.032934;-0.0495639;0.0485401;-0.107179
0.033433;-0.0495159;0.049581;-0.107434
0.033932;-0.0495679;0.0497982;-0.107067
0.034431;-0.0494759;0.051026;-0.107394
0.03493;-0.0494319;0.0511798;-0.107163
0.035429;-0.0497879;0.0518641;-0.107434
0.035928;-0.0494319;0.0526575;-0.107434
0.036427;-0.0495439;0.052736;-0.107426
0.036926;-0.0496239;0.0537194;-0.107434
0.037425;-0.0495839;0.0541899;-0.107434
0.037924;-0.0495918;0.0543438;-0.107434
0.038423;-0.0495198;0.0555507;-0.107291
0.038922;-0.0496559;0.0557317;-0.107283
0.039421;-0.0496559;0.0565072;-0.107187
0.03992;-0.0495958;0.0572011;-0.106996
0.040419;-0.0495399;0.0573489;-0.107203
0.040918;-0.0492559;0.0586521;-0.107339
0.041417;-0.0496598;0.0587064;-0.107203
0.041916;-0.0496358;0.0594721;-0.107195
0.042415;-0.0494039;0.0602111;-0.106956
0.042914;-0.0495478;0.0606274;-0.107386
0.043413;-0.0496319;0.0616592;-0.107426
0.043912;-0.0496999;0.0617165;-0.107363
0.044411;-0.0495439;0.0623441;-0.107251
0.04491;-0.0496638;0.063216;-0.107363
0.045409;-0.0494518;0.0633005;-0.10694
0.045908;-0.0495959;0.0644589;-0.107291
0.046407;-0.0496319;0.0647274;-0.106788
0.046906;-0.0496759;0.0656891;-0.1069
0.047405;-0.0495279;0.066232;-0.107147
0.047904;-0.0496399;0.0663226;-0.107331
0.048403;-0.0494719;0.067611;-0.106884
0.048902;-0.0495159;0.0677377;-0.106812
0.049401;-0.0494759;0.0684104;-0.106661
0.0499;-0.049248;0.0692399;-0.107139
0.050399;-0.0495319;0.0693605;-0.107347
0.050898;-0.0495119;0.0706941;-0.107323
0.051397;-0.0494399;0.0707484;-0.107434
0.051896;-0.049448;0.0717472;-0.107386
0.052395;-0.0494839;0.0722539;-0.106972
0.052894;-0.0496479;0.0723715;-0.107115
0.053393;-0.0496159;0.0736891;-0.107139
0.053892;-0.049352;0.0737585;-0.106629
0.054391;-0.0495319;0.0741118;-0.106884
0.05489;-0.0496519;0.0751406;-0.106828
0.055389;-0.0495399;0.0752642;-0.106429
0.055888;-0.0495959;0.0761782;-0.106717
0.056387;-0.0494919;0.0767695;-0.106756
0.056886;-0.0496159;0.0775265;-0.105113
0.057385;-0.0496039;0.0782746;-0.105951
0.057884;-0.049412;0.0785192;-0.106413
0.058383;-0.0495079;0.0796357;-0.106501
0.058882;-0.0495239;0.0797805;-0.106413
0.059381;-0.04926;0.0803682;-0.106709
0.05988;-0.0495279;0.0812518;-0.106405
0.060379;-0.0495638;0.0814027;-0.106812
0.060878;-0.0494239;0.0825737;-0.106182
0.061377;-0.0496479;0.0828089;-0.106549
0.061876;-0.0493279;0.0838978;-0.105879
0.062375;-0.0495559;0.0842961;-0.106972
0.062874;-0.0496959;0.0843985;-0.10635
0.063373;-0.0494799;0.0856924;-0.106063
0.063872;-0.0496879;0.0859007;-0.106126
0.064371;-0.0496919;0.0868902;-0.105655
0.06487;-0.0496078;0.0873064;-0.105911
0.065369;-0.0493559;0.0877074;-0.106278
0.065868;-0.0495239;0.0888114;-0.105967
0.066367;-0.0494119;0.0888778;-0.106445
0.066866;-0.0493879;0.0900038;-0.106653
0.067365;-0.049384;0.0903175;-0.106716
0.067864;-0.0496719;0.0908029;-0.106557
0.068363;-0.0495518;0.0918166;-0.105935
0.068862;-0.0492799;0.0918226;-0.106501
0.069361;-0.0491679;0.0927422;-0.106653
0.06986;-0.0496079;0.0933275;-0.107035
0.070359;-0.0496319;0.0933365;-0.107394
0.070858;-0.0494879;0.0946792;-0.106892
0.071357;-0.0494479;0.094833;-0.107434
0.071856;-0.0492119;0.0950954;-0.106844
0.072355;-0.049136;0.0963047;-0.106413
0.072854;-0.0493359;0.096365;-0.107091
