t;vds;corrente;vg
0.000499;0.14404;0.00829757;0.280351
0.000998;0.143712;0.010175;0.286466
0.001497;0.143736;0.010537;0.28649
0.001996;0.143712;0.0113424;0.286354
0.002495;0.143748;0.0120422;0.286266
0.002994;0.143784;0.0128024;0.286091
0.003493;0.143748;0.0134992;0.286402
0.003992;0.14376;0.0135837;0.286458
0.004491;0.143736;0.0144223;0.28649
0.00499;0.143752;0.0150528;0.28649
0.005489;0.143748;0.0153333;0.286354
0.005988;0.143716;0.016558;0.28649
0.006487;0.143764;0.016905;0.28649
0.006986;0.143796;0.017982;0.28649
0.007485;0.143796;0.0180725;0.286378
0.007984;0.14372;0.0187632;0.28633
0.008483;0.143756;0.0195686;0.28649
0.008982;0.14378;0.0196561;0.28649
0.009481;0.14376;0.0209292;0.28649
0.00998;0.14376;0.021074;0.28649
0.010479;0.143768;0.0217046;0.28649
0.010978;0.14374;0.0225794;0.28649
0.011477;0.143716;0.0226427;0.28649
0.011976;0.143736;0.0238311;0.286354
0.012475;0.143736;0.0240845;0.28649
0.012974;0.143772;0.0246396;0.28649
0.013473;0.143832;0.0255386;0.28649
0.013972;0.143848;0.0255899;0.286418
0.014471;0.14374;0.0262082;0.286226
0.01497;0.143836;0.0270799;0.28649
0.015469;0.143756;0.0274601;0.28649
0.015968;0.143764;0.0285915;0.28649
0.016467;0.14374;0.0286819;0.28649
0.016966;0.143768;0.0299336;0.28649
0.017465;0.143772;0.0301055;0.286378
0.017964;0.14372;0.0307332;0.286466
0.018463;0.143736;0.031611;0.28649
0.018962;0.143812;0.031611;0.28649
0.019461;0.143768;0.0326726;0.286474
0.01996;0.1438;0.033116;0.286482
0.020459;0.143768;0.0336682;0.286394
0.020958;0.143872;0.0346215;0.28645
0.021457;0.143776;0.0346517;0.28649
0.021956;0.14374;0.0359852;0.28649
0.022455;0.143792;0.036127;0.28649
0.022954;0.143784;0.0364196;0.28649
0.023453;0.143816;0.0375718;0.28649
0.023952;0.143752;0.0377376;0.286474
0.024451;0.14376;0.0390136;0.28649
0.02495;0.143812;0.0391373;0.28649
0.025449;0.1438;0.0396893;0.28649
0.025948;0.143732;0.0406425;0.28649
0.026447;0.143792;0.0407662;0.28649
0.026946;0.143848;0.0418614;0.28649
0.027445;0.143768;0.0421601;0.28649
0.027944;0.143816;0.0429776;0.28649
0.028443;0.143852;0.0436532;0.28649
0.028942;0.143884;0.0436894;0.28649
0.029441;0.143788;0.0448511;0.28649
0.02994;0.14394;0.0451588;0.28649
0.030439;0.143864;0.0454934;0.28649
0.030938;0.143888;0.0466486;0.28649
0.031437;0.143852;0.0466909;0.28649
0.031936;0.143864;0.0478613;0.28649
0.032435;0.143848;0.048169;0.28649
0.032934;0.143868;0.0485673;0.286482
0.033433;0.143772;0.0496655;0.286394
0.033932;0.143724;0.0498767;0.28649
0.034431;0.143744;0.051023;0.28633
0.03493;0.143732;0.0511798;0.28649
0.035429;0.143728;0.0516501;0.28649
0.035928;0.143732;0.0526847;0.28637
0.036427;0.143884;0.0528265;0.28649
0.036926;0.143848;0.053837;0.286426
0.037425;0.143732;0.0541899;0.28649
0.037924;0.143764;0.0545641;0.28649
0.038423;0.143896;0.055599;0.28649
0.038922;0.143868;0.0556985;0.286474
0.039421;0.143784;0.0567546;0.286218
0.03992;0.14372;0.0572011;0.286362
0.040419;0.143796;0.0574666;0.28649
0.040918;0.143856;0.0585767;0.286123
0.041417;0.143884;0.0587094;0.286306
0.041916;0.143796;0.0597043;0.286019
0.042415;0.143876;0.0602111;0.286434
0.042914;0.14384;0.0607241;0.28641
0.043413;0.143844;0.0617165;0.286434
0.043912;0.14378;0.0617165;0.286091
0.044411;0.143724;0.0623984;0.28649
0.04491;0.143796;0.063222;0.28637
0.045409;0.143736;0.0634785;0.28649
0.045908;0.14376;0.0646369;0.28641
0.046407;0.143736;0.0647274;0.28649
0.046906;0.143832;0.0658791;0.286418
0.047405;0.14376;0.066232;0.28649
0.047904;0.143792;0.0665821;0.286426
0.048403;0.1439;0.0676502;0.286418
0.048902;0.143784;0.0677558;0.28645
0.049401;0.143776;0.0685311;0.28649
0.0499;0.14374;0.069243;0.286474
0.050399;0.143816;0.0696321;0.286346
0.050898;0.14382;0.0705432;0.286418
0.051397;0.14376;0.0707605;0.286434
0.051896;0.143812;0.0718166;0.286426
0.052395;0.14392;0.0722539;0.286482
0.052894;0.143772;0.0725373;0.28649
0.053393;0.143888;0.0736801;0.28649
0.053892;0.143828;0.0737585;0.28649
0.054391;0.143808;0.0741057;0.286418
0.05489;0.143856;0.0752642;0.28649
0.055389;0.143904;0.0752943;0.28649
0.055888;0.1438;0.0765915;0.28649
0.056387;0.14378;0.0767786;0.28649
0.056886;0.143828;0.0775175;0.28649
0.057385;0.14386;0.0782746;0.28649
0.057884;0.14378;0.0784708;0.28649
0.058383;0.143844;0.0797232;0.28649
0.058882;0.14394;0.0797805;0.286394
0.059381;0.143908;0.0803652;0.28649
0.05988;0.144032;0.081285;0.28649
0.060379;0.143912;0.0814964;0.28649
0.060878;0.143884;0.0827185;0.28649
0.061377;0.143784;0.0827909;0.28649
0.061876;0.143824;0.08375;0.28649
0.062375;0.143828;0.0842961;0.28649
0.062874;0.143952;0.0844829;0.28649
0.063373;0.144032;0.085617;0.28649
0.063872;0.143836;0.085801;0.28649
0.064371;0.14388;0.0867725;0.28649
0.06487;0.143932;0.0873064;0.28649
0.065369;0.14376;0.0877074;0.28649
0.065868;0.143948;0.0888114;0.28649
0.066367;0.143936;0.0888265;0.28649
0.066866;0.14402;0.0900792;0.28649
0.067365;0.143788;0.0903175;0.28649
0.067864;0.143912;0.0909206;0.28649
0.068363;0.1438;0.0918105;0.28649
0.068862;0.14404;0.0918316;0.28649
0.069361;0.1438;0.0929354;0.28649
0.06986;0.143796;0.0933275;0.28649
0.070359;0.143868;0.0935237;0.28649
0.070858;0.14374;0.0947455;0.28649
0.071357;0.143812;0.094833;0.28649
0.071856;0.14394;0.0953967;0.28649
0.072355;0.143972;0.0963319;0.286442
0.072854;0.143896;0.096362;0.28649
0.073353;0.143848;0.0974235;0.28649
0.073852;0.143896;0.0978429;0.28649
0.074351;0.143996;0.0984439;0.28649
0.07485;0.143884;0.09934;0.28649
0.075349;0.143788;0.0994635;0.28649
0.075848;0.143876;0.100573;0.28649
0.076347;0.143856;0.100853;0.28649
0.076846;0.14386;0.101291;0.286434
0.077345;0.143908;0.102326;0.28649
0.077844;0.143888;0.10236;0.286482
0.078343;0.143856;0.103427;0.28637
0.078842;0.143964;0.103864;0.28641
0.079341;0.143828;0.104561;0.286346
0.07984;0.143784;0.105369;0.286482
0.080339;0.143824;0.105372;0.28649
0.080838;0.14386;0.106571;0.28649
0.081337;0.143812;0.106876;0.286482
0.081836;0.143872;0.107521;0.28649
0.082335;0.143804;0.10838;0.28649
0.082834;0.143796;0.10857;0.286282
0.083333;0.143804;0.109775;0.28649
0.083832;0.143784;0.109886;0.286218
0.084331;0.143736;0.110215;0.28625
0.08483;0.143752;0.111391;0.286386
0.085329;0.143804;0.11143;0.286434
0.085828;0.143776;0.112591;0.28649
0.086327;0.143816;0.112908;0.286442
0.086826;0.14372;0.113781;0.28621
0.087325;0.143856;0.114402;0.286394
0.087824;0.143916;0.114462;0.28649
