t;vds;corrente;vg
0.000499;0.001152;0.00837744;-0.00590814
0.000998;0.001168;0.0100393;-0.00397901
0.001497;0.000996001;0.010537;-0.00397901
0.001996;0.001336;0.0113454;-0.00397901
0.002495;0.001408;0.0120422;-0.00397901
0.002994;0.001468;0.0126395;-0.00397901
0.003493;0.000916001;0.0135294;-0.00397901
0.003992;0.001296;0.0135475;-0.00397901
0.004491;0.001216;0.014371;-0.00397901
0.00499;0.000948001;0.0150528;-0.00397901
0.005489;0.001;0.0156711;-0.00397901
0.005988;0.000944001;0.0165459;-0.00397901
0.006487;0.001308;0.0168235;-0.00397901
0.006986;0.001172;0.0178855;-0.00397901
0.007485;0.000996001;0.0180635;-0.00397901
0.007984;0.000928001;0.0188145;-0.00405875
0.008483;0.001228;0.0195686;-0.00397901
0.008982;0.000984001;0.0197074;-0.00397901
0.009481;0.000896001;0.0207512;-0.00397901
0.00998;0.00149599;0.021074;-0.00397901
0.010479;0.001112;0.0216201;-0.00397901
0.010978;0.00160399;0.0225462;-0.00397901
0.011477;0.001444;0.0227211;-0.00397901
0.011976;0.00126;0.0239276;-0.00397901
0.012475;0.001192;0.0240845;-0.00397901
0.012974;0.000976001;0.0244827;-0.00397901
0.013473;0.001088;0.0255899;-0.00397901
0.013972;0.001336;0.0255929;-0.00397901
0.014471;0.001484;0.0262383;-0.00397901
0.01497;0.001012;0.027095;-0.00397901
0.015469;0.000928001;0.0273846;-0.00397901
0.015968;0.001068;0.0285251;-0.00397901
0.016467;0.000904001;0.0286096;-0.00397901
0.016966;0.001192;0.0297315;-0.00397901
0.017465;0.001064;0.0301055;-0.00397901
0.017964;0.001132;0.0307844;-0.00401888
0.018463;0.001324;0.031611;-0.00397901
0.018962;0.001072;0.0316442;-0.00397901
0.019461;0.00128;0.0323861;-0.00397901
0.01996;0.00157599;0.033116;-0.00397901
0.020459;0.001224;0.033635;-0.00397901
0.020958;0.00149999;0.0345883;-0.00397901
0.021457;0.001396;0.0347482;-0.00397901
0.021956;0.00108;0.0357197;-0.00397901
0.022455;0.00118;0.036127;-0.00397901
0.022954;0.001252;0.0364226;-0.00397901
0.023453;0.001072;0.0374632;-0.00397901
0.023952;0.00157999;0.0379126;-0.00397901
0.024451;0.00152799;0.0388477;-0.00401091
0.02495;0.001488;0.0391373;-0.00397901
0.025449;0.001184;0.039822;-0.00397901
0.025948;0.001092;0.0406425;-0.00397901
0.026447;0.001452;0.040724;-0.00399496
0.026946;0.000948001;0.0421269;-0.00397901
0.027445;0.001308;0.042148;-0.00402685
