;TEMPO;VDS;VG
0;4.5e-07;-0.0082824;-0.00684428
1;9e-07;-0.00745416;-0.00684428
2;1.35e-06;-0.00745416;-0.00684428
3;1.8e-06;-0.0072471;-0.00684428
4;2.25e-06;-0.00745416;-0.00684428
5;2.7e-06;-0.00745416;-0.00684428
6;3.15e-06;-0.00745416;-0.00684428
7;3.6e-06;-0.00745416;-0.00684428
8;4.05e-06;-0.00745416;-0.00684428
9;4.5e-06;-0.00683298;-0.00684428
10;4.95e-06;-0.00745416;-0.00684428
11;5.4e-06;-0.00745416;-0.00684428
12;5.85e-06;-0.00745416;-0.00684428
13;6.3e-06;-0.00745416;-0.00684428
14;6.75e-06;-0.00745416;-0.00684428
15;7.2e-06;-0.00745416;-0.00684428
16;7.65e-06;-0.00745416;-0.00684428
17;8.1e-06;-0.00745416;-0.00684428
18;8.55e-06;-0.0072471;-0.00684428
19;9e-06;-0.00745416;-0.00684428
20;9.45e-06;-0.00745416;-0.00684428
21;9.9e-06;-0.00745416;-0.00684428
22;1.035e-05;-0.0072471;-0.00684428
23;1.08e-05;-0.0072471;-0.00684428
24;1.125e-05;-0.00745416;-0.00684428
25;1.17e-05;-0.00745416;-0.00684428
26;1.215e-05;-0.00745416;-0.00684428
27;1.26e-05;-0.00745416;-0.00684428
28;1.305e-05;-0.00745416;-0.00684428
29;1.35e-05;-0.00745416;-0.00684428
30;1.395e-05;-0.00745416;-0.00684428
31;1.44e-05;-0.0072471;-0.00684428
32;1.485e-05;-0.00745416;-0.00684428
33;1.53e-05;-0.00745416;-0.00684428
34;1.575e-05;-0.00745416;-0.00684428
35;1.62e-05;-0.00745416;-0.00684428
36;1.665e-05;-0.00745416;-0.00684428
37;1.71e-05;-0.00745416;-0.00684428
38;1.755e-05;-0.00745416;-0.00684428
39;1.8e-05;-0.00745416;-0.00684428
40;1.845e-05;-0.0072471;-0.00684428
41;1.89e-05;-0.00745416;-0.00684428
42;1.935e-05;-0.00745416;-0.00684428
43;1.98e-05;-0.00745416;-0.00684428
44;2.025e-05;-0.0072471;-0.00684428
45;2.07e-05;-0.00745416;-0.00684428
46;2.115e-05;-0.00745416;-0.00684428
47;2.16e-05;-0.00745416;-0.00684428
48;2.205e-05;-0.00745416;-0.00684428
49;2.25e-05;-0.00745416;-0.00684428
50;2.295e-05;-0.00745416;-0.00684428
51;2.34e-05;-0.00745416;-0.00684428
52;2.385e-05;-0.00745416;-0.00684428
53;2.43e-05;-0.0072471;-0.00684428
54;2.475e-05;-0.00745416;-0.00684428
55;2.52e-05;-0.00745416;-0.00684428
56;2.565e-05;-0.00745416;-0.00684428
57;2.61e-05;-0.00745416;-0.00684428
58;2.655e-05;-0.00745416;-0.00684428
59;2.7e-05;-0.00745416;-0.00684428
