t;vds;corrente;vg
0.02495;-0.191613;0.190378;-0.386334
0.0499;-0.192824;0.191449;-0.390646
0.07485;-0.19284;0.191449;-0.390646
0.0998;-0.192765;0.191449;-0.390646
0.12475;-0.192524;0.191449;-0.390646
0.1497;-0.192752;0.191449;-0.390534
0.17465;-0.19314;0.191449;-0.390646
0.1996;-0.193128;0.191449;-0.390646
0.22455;-0.192864;0.191449;-0.390646
0.2495;-0.193;0.191449;-0.390646
0.27445;-0.192996;0.191449;-0.390614
0.2994;-0.192872;0.191449;-0.390646
0.32435;-0.19318;0.191449;-0.390646
0.3493;-0.193216;0.191449;-0.390646
0.37425;-0.192804;0.191449;-0.39063
0.3992;-0.193164;0.191449;-0.390646
0.42415;-0.193128;0.191449;-0.390646
0.4491;-0.192896;0.191449;-0.390646
0.47405;-0.192892;0.191449;-0.390646
0.499;-0.192844;0.191449;-0.390646
0.52395;-0.193028;0.191449;-0.390646
0.5489;-0.19298;0.191449;-0.390646
0.57385;-0.193112;0.191449;-0.390646
0.5988;-0.192685;0.191449;-0.390646
0.62375;-0.192864;0.191449;-0.390614
0.6487;-0.192872;0.191449;-0.390646
0.67365;-0.193088;0.191449;-0.390518
0.6986;-0.192888;0.191449;-0.390646
0.72355;-0.192944;0.191449;-0.39055
0.7485;-0.193052;0.191449;-0.390646
0.77345;-0.192869;0.191449;-0.390646
0.7984;-0.193064;0.191449;-0.390646
0.82335;-0.1932;0.191449;-0.390646
0.8483;-0.193077;0.191449;-0.390646
0.87325;-0.193192;0.191449;-0.390646
0.8982;-0.19292;0.191449;-0.390646
0.92315;-0.192756;0.191449;-0.39063
0.9481;-0.193053;0.191449;-0.390646
0.97305;-0.193008;0.191449;-0.390646
0.998;-0.192872;0.191449;-0.390646
1.02295;-0.193004;0.191449;-0.390646
1.0479;-0.192944;0.191449;-0.390582
1.07285;-0.193168;0.191449;-0.390646
1.0978;-0.19316;0.191449;-0.390646
1.12275;-0.193012;0.191449;-0.390646
1.1477;-0.193024;0.191449;-0.390646
1.17265;-0.192845;0.191449;-0.390646
1.1976;-0.19298;0.191449;-0.390646
1.22255;-0.193036;0.191449;-0.390646
1.2475;-0.193112;0.191449;-0.390646
1.27245;-0.193312;0.191449;-0.390646
1.2974;-0.192972;0.191449;-0.390646
1.32235;-0.193456;0.191449;-0.390646
1.3473;-0.193112;0.191449;-0.390646
1.37225;-0.192888;0.191449;-0.390646
1.3972;-0.193312;0.191449;-0.390646
1.42215;-0.193308;0.191449;-0.390646
1.4471;-0.192693;0.191449;-0.390646
1.47205;-0.1933;0.191449;-0.390646
1.497;-0.193424;0.191449;-0.390598
1.52195;-0.192904;0.191449;-0.390646
1.5469;-0.193188;0.191449;-0.390646
1.57185;-0.193248;0.191449;-0.390646
1.5968;-0.193116;0.191449;-0.390646
1.62175;-0.193148;0.191449;-0.390646
1.6467;-0.193024;0.191449;-0.390646
1.67165;-0.193056;0.191449;-0.390646
1.6966;-0.193216;0.191449;-0.390646
1.72155;-0.192804;0.191449;-0.390646
1.7465;-0.192648;0.191449;-0.390646
1.77145;-0.19298;0.191449;-0.390646
1.7964;-0.193164;0.191449;-0.390646
1.82135;-0.19316;0.191449;-0.39063
1.8463;-0.19328;0.191449;-0.390646
1.87125;-0.192968;0.191449;-0.390646
1.8962;-0.193236;0.191449;-0.390646
1.92115;-0.193192;0.191449;-0.390646
1.9461;-0.193016;0.191449;-0.390646
1.97105;-0.192976;0.191449;-0.390646
1.996;-0.192976;0.191449;-0.390646
2.02095;-0.192976;0.191449;-0.390646
2.0459;-0.192992;0.191449;-0.390646
2.07085;-0.193028;0.191449;-0.390646
2.0958;-0.193228;0.191449;-0.390646
2.12075;-0.193228;0.191449;-0.390646
2.1457;-0.193324;0.191449;-0.390646
2.17065;-0.19314;0.191449;-0.390646
2.1956;-0.193168;0.191449;-0.390646
2.22055;-0.193188;0.191449;-0.390646
2.2455;-0.193128;0.191449;-0.390646
2.27045;-0.193044;0.191449;-0.390646
