t;vds;corrente;vg
0.0002495;-0.0020165;-0.0106543;-0.00898294
0.000499;-0.00186626;-0.00890568;-0.00784683
0.0007485;-0.00192952;-0.00900683;-0.00756321
0.000998;-0.00195621;0.00125432;-0.00746867
0.0012475;-0.00195522;0.00783344;-0.00809263
0.001497;-0.00196016;0.0136114;-0.00822498
0.0017465;-0.00194039;-0.00314794;-0.00907582
0.001996;-0.00171304;-0.00233466;-0.00780901
0.0022455;-0.00164187;-0.00389245;-0.00839515
0.002495;-0.00182573;-0.00517913;-0.00892456
0.0027445;-0.00160134;0.0137004;-0.00845187
0.002994;-0.00158553;0.0172489;-0.00813045
0.0032435;-0.00180102;0.0162171;-0.00831952
0.003493;-0.00171502;0.00282829;-0.00625855
0.0037425;-0.00156477;-0.00843227;-0.00769556
0.003992;-0.00164385;-0.0135467;-0.00765775
0.0042415;-0.00185736;-0.0143316;-0.00622074
0.004491;-0.0016478;-0.00201905;-0.00633419
0.0047405;-0.00173676;0.00111271;-0.00805482
0.00499;-0.0016389;0.00152137;-0.00750648
0.0052395;-0.0017763;0.00140403;-0.008017
0.005489;-0.00156872;-0.0038884;-0.00780901
0.0057385;-0.00185242;-0.00748546;-0.00820608
0.005988;-0.00190085;-0.00950046;-0.00712832
0.0062375;-0.00192458;-0.0100265;-0.00695815
0.006487;-0.00167746;0.00889353;-0.0068258
0.0067365;-0.00171996;0.0179206;-0.00737413
0.006986;-0.00160925;0.0168322;-0.00797919
0.0072355;-0.00164978;0.00903111;-0.00867877
0.007485;-0.00172194;-0.00589531;-0.0065989
0.0077345;-0.00144318;-0.00371441;-0.00767666
0.007984;-0.00147086;0.00716986;-0.00627746
0.0082335;-0.00141452;0.0167432;-0.00675016
0.008483;-0.00154302;0.0185559;-0.00533206
0.0087325;-0.00156279;0.0173501;-0.00644764
0.008982;-0.00173182;0.00438203;-0.00693924
0.0092315;-0.00166362;-0.00657507;-0.00622074
0.009481;-0.00162408;-0.0102369;-0.00656108
0.0097305;-0.00163495;-0.000477452;-0.0061262
0.00998;-0.00159343;-0.00307107;-0.00722286
0.0102295;-0.00177532;0.0132513;-0.00595603
0.010479;-0.00211733;-0.00176819;-0.00569131
0.0107285;-0.00180497;-0.0103461;-0.00748758
0.010978;-0.00204221;-0.0149992;-0.00688252
0.0112275;-0.00190579;-0.0110299;-0.00775229
0.011477;-0.00176741;-0.00154565;-0.00771447
0.0117265;-0.00181683;0.00850511;-0.00841406
0.011976;-0.00187812;0.0138623;-0.00818717
0.0122255;-0.0017684;0.00566468;-0.00767666
0.012475;-0.00170316;0.00147686;-0.00784683
0.0127245;-0.00167943;-0.00258552;-0.00750648
0.012974;-0.00180596;0.00694327;-0.00830061
0.0132235;-0.0017852;0.0152622;-0.00854641
0.013473;-0.00178718;0.0176657;-0.00898129
0.0137225;-0.00193644;0.0197535;-0.00924599
0.013972;-0.0018277;0.0122721;-0.0087544
0.0142215;-0.00198191;-0.000598838;-0.00883003
0.014471;-0.0019315;-0.00692709;-0.0090191
0.0147205;-0.00162803;0.00262194;-0.00924599
0.01497;-0.00176049;-0.000113293;-0.00939725
0.0152195;-0.00169722;0.00810858;-0.00935944
0.015469;-0.00189887;0.00111675;-0.00943507
0.0157185;-0.00187317;-0.00956116;-0.00869767
0.015968;-0.00174072;-0.00389649;-0.00667453
0.0162175;-0.00204715;-0.00583057;-0.00746867
0.016467;-0.00196214;0.00362135;-0.00890566
0.0167165;-0.00197005;0.0101762;-0.00835734
0.016966;-0.00177037;0.00415949;-0.00780901
0.0172155;-0.00152622;0.00336644;-0.00166391
0.017465;-0.00124055;0.00103583;0.192898
0.0177145;-0.00182079;-0.00689472;0.177925
0.017964;-0.00173874;-0.00548664;0.162155
0.0182135;-0.00167054;0.0103583;0.146499
0.018463;-0.00161617;0.0166015;0.133868
0.0187125;-0.00176938;0.0268829;0.121635
0.018962;-0.00164088;0.0118513;0.109231
0.0192115;-0.00190085;-0.00243581;0.0971113
0.019461;-0.00182672;-0.0116733;0.0911366
0.0197105;-0.00193347;-0.00874788;0.0807558
0.01996;-0.00188009;-0.00229419;0.0748755
0.0202095;-0.00188405;0.00709298;0.0659509
0.020459;-0.0016221;0.0126646;0.0597873
0.0207085;-0.00147778;0.0134415;0.0557219
0.020958;-0.00156477;0.00337858;0.0490661
0.0212075;-0.00175456;-0.00570109;0.0459841
0.021457;-0.00178817;-0.0159541;0.0377403
0.0217065;-0.00185143;-0.0083918;0.0377403
0.021956;-0.00166065;-0.0019705;0.0315576
0.0222055;-0.00137794;0.0119282;0.0283053
0.022455;-0.00150645;0.0155333;0.0279082
0.0227045;-0.00147284;0.0122155;0.0203071
0.022954;-0.00160826;-0.00369418;0.0188701
0.0232035;-0.00167152;-0.00424447;0.0188701
0.023453;-0.00141353;0.00192195;0.0178302
0.0237025;-0.00154302;0.00562421;0.0107964
0.023952;-0.00172293;0.0153998;0.00964305
0.0242015;-0.00173775;0.0116733;0.00943507
0.024451;-0.00177037;0.0044225;0.00943507
0.0247005;-0.00169821;-0.00555543;0.00943507
0.02495;-0.00168536;-0.0119889;0.00790355
0.0251995;-0.00170414;-0.00829875;0.00693924
0.025449;-0.00172293;-0.00155779;0.00253367
0.0256985;-0.00174764;0.00256125;0.000453792
0.025948;-0.00200168;0.00248437;0.000264712
0.0261975;-0.00196313;-0.00694327;0
0.026447;-0.00194435;-0.00860221;0
0.0266965;-0.00168042;-0.0113819;0
0.026946;-0.00159937;0.00129074;0
0.0271955;-0.00152622;0.00657911;0
0.027445;-0.00179706;0.0153432;0
0.0276945;-0.0016735;0.00863052;0
0.027944;-0.00151633;0.00231847;0
0.0281935;-0.00148668;-0.00398956;0
0.028443;-0.00163693;-0.00220518;0
0.0286925;-0.00156279;0.00756234;-0.000207988
0.028942;-0.00175653;0.0144368;-0.000548332
0.0291915;-0.00194929;0.00810453;-0.000245804
0.029441;-0.00176938;0.00932648;-0.00145592
0.0296905;-0.00177729;0.00483521;-0.00143701
0.02994;-0.00206988;-0.00787794;-0.00213661
0.0301895;-0.00196807;-0.00632421;-0.00329
0.030439;-0.00205209;-0.00433752;-0.00134247
0.0306885;-0.00204715;-0.0075502;-0.00206097
0.030938;-0.00199377;0.00182484;-0.00340344
0.0311875;-0.00194039;0.00749356;-0.00351689
0.031437;-0.00197697;-0.00249651;-0.00504844
0.0316865;-0.00200365;-0.0062797;-0.00368706
0.031936;-0.00186428;0.00667218;-0.00315764
0.0321855;-0.00174171;0.0160472;-0.00525643
0.032435;-0.00172293;0.0138097;-0.00640982
0.0326845;-0.00199278;0.018661;-0.00419758
0.032934;-0.00186823;0.00358493;-0.00363034
0.0331835;-0.00185242;-0.00285257;-0.00525643
0.033433;-0.00170711;-0.00193004;-0.00455683
0.0336825;-0.00164582;0.0051144;-0.00627746
0.033932;-0.00163297;0.0165732;-0.00673126
0.0341815;-0.00180991;0.0332638;-0.00652327
0.034431;-0.0017338;0.0192801;-0.00854641
0.0346805;-0.00213908;0.00636467;-0.00692034
0.03493;-0.0018198;-0.0108923;-0.00862204
0.0351795;-0.00188899;-0.0151287;-0.00813045
0.035429;-0.00190382;-0.0099415;-0.00881112
0.0356785;-0.00182672;-0.000728316;-0.00905692
0.035928;-0.00178619;0.00376701;-0.0087733
0.0361775;-0.00183858;0.00499706;-0.00871658
0.036427;-0.00161123;0.00689877;-0.00894347
0.0366765;-0.00170316;-0.000105201;-0.00888675
0.036926;-0.0018277;-0.0113658;-0.00763884
0.0371755;-0.00173578;-0.00557971;-0.00864095
0.037425;-0.00164088;-0.000311557;-0.00871658
0.0376745;-0.00172589;0.0103057;-0.00809263
0.037924;-0.00140562;0.0225211;-0.00890566
0.0381735;-0.00150645;0.0144651;-0.00843297
0.038423;-0.00142045;0.00882475;-0.00886784
0.0386725;-0.00151436;0.00589531;-0.00913255
0.038922;-0.001545;0.00682998;-0.00814935
0.0391715;-0.00156378;0.0187582;-0.00881112
0.039421;-0.00156477;0.0197252;-0.00907582
0.0396705;-0.00150744;0.0226061;-0.00809263
0.03992;-0.00166955;0.00771609;-0.0087733
0.0401695;-0.00161913;-0.00343118;-0.00752539
0.040419;-0.00150546;-0.00562826;-0.00854641
0.0406685;-0.00155291;-0.0103825;-0.00841406
0.040918;-0.00150447;-0.000586699;-0.00905692
0.0411675;-0.00151831;0.00853748;-0.00894347
0.041417;-0.00168932;0.0105606;-0.00865986
0.0416665;-0.00166955;0.00292135;-0.00892456
0.041916;-0.00170711;-0.00717796;-0.00907582
0.0421655;-0.00170217;-0.0179044;-0.00900019
0.042415;-0.00163594;-0.00270691;-0.00903801
0.0426645;-0.0017595;0.00866695;-0.0087544
0.042914;-0.00181189;0.0126444;-0.00845187
0.0431635;-0.00174467;0.0154605;-0.00913255
0.043413;-0.0017941;0.00570919;-0.00892456
0.0436625;-0.00171304;-0.0084606;-0.00871658
0.043912;-0.00167449;-0.0075502;-0.00881112
0.0441615;-0.0016735;0.0010601;-0.00881112
0.044411;-0.00175258;0.0167148;-0.00835734
0.0446605;-0.00183364;0.0169697;-0.00816826
0.04491;-0.00177235;0.0168605;-0.00835734
0.0451595;-0.00178421;0.00705252;-0.00796028
0.045409;-0.00173676;-0.00031965;-0.00748758
0.0456585;-0.00184451;-0.00937908;-0.00865986
0.045908;-0.00169722;-0.00410284;-0.00871658
0.0461575;-0.00168042;0.00120172;-0.00930271
0.046407;-0.00170513;0.00680166;-0.00918927
0.0466565;-0.00176741;0.00244391;-0.0087544
0.046906;-0.00176148;0.00113294;-0.00845187
0.0471555;-0.00201453;-0.00341499;-0.0087544
0.047405;-0.00177433;-0.00171154;-0.00848969
0.0476545;-0.0018277;0.005167;-0.00833843
0.047904;-0.00196016;0.00589531;-0.00900019
0.0481535;-0.00177235;0.00923746;-0.00905692
0.048403;-0.00191469;0.00625137;-0.00780901
0.0486525;-0.00194237;-0.0112039;-0.00890566
0.048902;-0.0019572;-0.0079791;-0.00796028
0.0491515;-0.00192359;-0.00255315;-0.00865986
0.049401;-0.00184747;0.00951261;-0.00797919
0.0496505;-0.00194138;0.0175483;-0.00862204
0.0499;-0.00191271;0.0205951;-0.00865986
0.0501495;-0.00198586;0.00864267;-0.00930271
0.050399;-0.00174764;-0.00656697;-0.00845187
0.0506485;-0.00189097;-0.0154848;-0.00788464
0.050898;-0.00187416;-0.0135993;-0.00673126
0.0511475;-0.00171897;-0.00277165;-0.0075443
0.051397;-0.0015875;0.00798719;-0.00869767
0.0516465;-0.00170316;0.00599241;-0.00879221
0.051896;-0.00145307;0.00754615;-0.0090191
0.0521455;-0.00163199;0.000267049;-0.00852751
0.052395;-0.00175555;-0.00212426;-0.00918927
0.0526445;-0.00191963;-0.00397337;-0.00833843
0.052894;-0.00169624;-0.000942765;-0.00741194
0.0531435;-0.00179014;0.00546641;-0.00905692
0.053393;-0.00177037;0.0145987;-0.00879221
0.0536425;-0.00167548;0.0077687;-0.00816826
0.053892;-0.00167054;-0.00651843;-0.00881112
0.0541415;-0.00174072;-0.00646987;-0.00865986
0.054391;-0.0015964;-0.00116935;-0.00907582
0.0546405;-0.00175357;0.00182079;-0.00900019
0.05489;-0.00170019;0.0199963;-0.00903801
0.0551395;-0.00175258;0.0159137;-0.00905692
0.055389;-0.0019137;0.00384794;-0.00913255
0.0556385;-0.00168734;-0.005956;-0.00890566
0.055888;-0.00145406;-0.0083999;0.0129709
0.0561375;-0.00137597;-0.00977156;0.0563647
0.056387;-0.00131864;0.00464099;0.0897938
0.0566365;-0.00117827;0.011738;0.118364
0.056886;-0.00129491;0.0155495;0.152248
0.0571355;-0.00133445;0.00550688;0.179626
0.057385;-0.00143627;-0.00438204;0.199063
0.0576345;-0.00135521;-0.0011208;0.223096
0.057884;-0.0014333;-0.00563231;0.242514
0.0581335;-0.00127415;0.00984034;0.263917
0.058383;-0.00132556;0.0210807;0.278175
0.0586325;-0.00153314;0.0149709;0.291902
0.058882;-0.00150842;0.00461671;0.304797
0.0591315;-0.001545;-0.00466122;0.316822
0.059381;-0.00152029;-0.00471787;0.329811
0.0596305;-0.00161222;0.00283639;0.340855
0.05988;-0.00159937;0.00998196;0.347661
0.0601295;-0.00183561;0.0143519;0.357778
0.060379;-0.00165274;0.0127779;0.36574
0.0606285;-0.00173874;0.00307107;0.371674
0.060878;-0.00162704;-0.00523983;0.378954
0.0611275;-0.00180991;-0.0125877;0.386291
0.061377;-0.00171699;-0.00267049;0.388068
0.0616265;-0.0018455;0.00305488;0.395988
0.061876;-0.00165077;0.0025572;0.39629
0.0621255;-0.00183166;0.00635253;0.401738
0.062375;-0.00183561;0.00448319;0.405711
0.0626245;-0.00162309;0.000267049;0.406731
0.062874;-0.00168536;0.00180056;0.414254
0.0631235;-0.00177334;0.00499706;0.415142
0.063373;-0.00179805;0.0137733;0.415294
0.0636225;-0.00188998;0.00690686;0.41832
0.063872;-0.00169031;0.00951665;0.423653
0.0641215;-0.00171699;0.000469359;0.424579
0.064371;-0.00195127;-0.00182888;0.424579
0.0646205;-0.00198191;-0.00123005;0.424579
0.06487;-0.00192161;0.0136559;0.424958
0.0651195;-0.00200168;0.0190899;0.427738
0.065369;-0.00187812;0.0176819;0.430064
0.0656185;-0.00175357;0.0123287;0.433373
0.065868;-0.00198388;-0.00338262;0.433771
0.0661175;-0.00189492;-0.0154888;0.433998
0.066367;-0.00205308;-0.012349;0.434017
0.0666165;-0.00192952;-0.00523982;0.434017
0.066866;-0.00155983;0.00481093;0.434017
0.0671155;-0.00150744;0.011564;0.434017
0.067365;-0.00161419;0.00815308;0.434017
0.0676145;-0.00166263;0.00127051;0.434017
0.067864;-0.00184846;-0.00726697;0.434017
0.0681135;-0.00190975;-0.0061138;0.434017
0.068363;-0.00186626;-0.00393695;0.434035
0.0686125;-0.00163594;2.02311e-05;0.434054
0.068862;-0.00183364;0.0108721;0.434017
0.0691115;-0.00174665;0.0154403;0.434206
0.069361;-0.00184253;0.00802765;0.435434
0.0696105;-0.00197795;-0.00313985;0.435226
0.06986;-0.0016478;-0.00114912;0.434716
0.0701095;-0.00186922;0.00215662;0.437437
0.070359;-0.00157762;0.0148779;0.436757
0.0706085;-0.00175555;0.020235;0.436285
0.070858;-0.00178718;0.0167634;0.437135
0.0711075;-0.00179904;0.00337048;0.438062
0.071357;-0.00172391;-0.00781725;0.439762
0.0716065;-0.00183364;-0.00617855;0.439725
0.071856;-0.00149854;-0.00188553;0.440103
0.0721055;-0.00160035;0.0060086;0.441521
0.072355;-0.0017338;0.0112646;0.441746
0.0726045;-0.00165077;0.00687044;0.441313
0.072854;-0.00168042;-0.00685021;0.441596
0.0731035;-0.00157762;-0.0142305;0.441936
0.073353;-0.00152029;-0.00783343;0.443051
0.0736025;-0.0014165;0.000772824;0.441312
0.073852;-0.00159343;0.0109773;0.442427
0.0741015;-0.00177532;0.00757448;0.443165
0.074351;-0.00162902;0.00372655;0.443108
0.0746005;-0.00160826;-0.0103583;0.441351
0.07485;-0.00151139;-0.00871955;0.442938
0.0750995;-0.00149063;-0.00388031;0.442484
0.075349;-0.00164483;0.00638085;0.442068
0.0755985;-0.00179014;0.0175443;0.442711
0.075848;-0.00164187;0.0191142;0.44324
0.0760975;-0.0017338;0.00951664;0.443089
0.076347;-0.00153907;-0.0015497;0.442843
0.0765965;-0.00160233;-0.00719009;0.442144
0.076846;-0.00178915;-0.00938312;0.44341
0.0770955;-0.00173775;0.00072427;0.442957
0.077345;-0.00177433;0.00826638;0.442673
0.0775945;-0.00190678;0.00634444;0.443183
0.077844;-0.00182276;0.000639299;0.443164
0.0780935;-0.00190382;-0.00400169;0.443221
0.078343;-0.0018366;-0.00430516;0.44307
0.0785925;-0.00190283;-0.00750165;0.443429
0.078842;-0.00177828;0.00237917;0.44256
0.0790915;-0.00177531;0.00441845;0.44307
0.079341;-0.00176345;-0.0006919;0.442957
0.0795905;-0.00167647;0.00887735;0.442881
0.07984;-0.00181288;-0.000465313;0.443032
0.0800895;-0.00171106;0.00143236;0.441653
0.080339;-0.00164484;0.00772418;0.44222
0.0805885;-0.00190481;0.0141172;0.442919
0.080838;-0.00169228;0.0159987;0.443108
0.0810875;-0.00177927;0.0104675;0.442938
0.081337;-0.00190184;0.00224969;0.441822
0.0815865;-0.00176247;-0.00711726;0.442371
0.081836;-0.00206099;-0.00875192;0.441123
0.0820855;-0.00190382;0.000853749;0.442125
0.082335;-0.00181387;0.0101033;0.442447
0.0825845;-0.00188306;0.00784153;0.443335
0.082834;-0.00171699;0.0068057;0.442314
0.0830835;-0.00190085;0.012001;0.441803
0.083333;-0.00181387;-0.00199073;0.442881
0.0835825;-0.00192062;-0.0121629;0.441539
