t;vds;corrente;vg
0.000499;-0.0497719;0.00904669;-0.107282
0.000998;-0.0496039;0.0101117;-0.107434
0.001497;-0.0492919;0.0105611;-0.107434
0.001996;-0.0496078;0.0113243;-0.107434
0.002495;-0.0496199;0.0120422;-0.107299
0.002994;-0.0497998;0.0124645;-0.107379
0.003493;-0.0496998;0.0135445;-0.10741
0.003992;-0.0496398;0.0135716;-0.107315
0.004491;-0.0496319;0.0143589;-0.107434
0.00499;-0.0497199;0.0150528;-0.107299
0.005489;-0.0498278;0.0156199;-0.107434
0.005988;-0.0498078;0.0165459;-0.107434
0.006487;-0.0497838;0.0169231;-0.107434
0.006986;-0.0497478;0.0180032;-0.107434
0.007485;-0.0497839;0.0180635;-0.107434
0.007984;-0.0496039;0.018893;-0.107434
0.008483;-0.0496278;0.0195686;-0.107434
0.008982;-0.0495799;0.0197557;-0.107291
0.009481;-0.0496398;0.0208779;-0.107434
0.00998;-0.0497278;0.021074;-0.107227
0.010479;-0.0497318;0.0217136;-0.107434
0.010978;-0.0496519;0.0225794;-0.107123
0.011477;-0.0496838;0.0227392;-0.107386
0.011976;-0.0497639;0.0238432;-0.107434
0.012475;-0.0497399;0.0240845;-0.107434
0.012974;-0.0497998;0.0246215;-0.107379
0.013473;-0.0497519;0.0255899;-0.107155
0.013972;-0.0496079;0.0256171;-0.107251
0.014471;-0.0498478;0.0263288;-0.107163
0.01497;-0.0498238;0.027092;-0.107434
0.015469;-0.0497678;0.0272639;-0.107434
0.015968;-0.0495719;0.0285523;-0.107434
0.016467;-0.0498558;0.0286608;-0.107426
0.016966;-0.0498878;0.0298371;-0.107099
0.017465;-0.0497998;0.0301055;-0.107434
0.017964;-0.0498238;0.0305974;-0.107418
0.018463;-0.0497399;0.031611;-0.107251
0.018962;-0.0497918;0.0316351;-0.107307
0.019461;-0.0494279;0.0326092;-0.107402
0.01996;-0.0494159;0.033116;-0.107259
0.020459;-0.0496519;0.0337436;-0.107307
0.020958;-0.0496399;0.0346215;-0.107195
0.021457;-0.0496279;0.034887;-0.107434
0.021956;-0.0495639;0.0358555;-0.107434
0.022455;-0.0498238;0.036127;-0.107291
0.022954;-0.0494319;0.0367362;-0.107283
0.023453;-0.0497079;0.0375838;-0.106916
0.023952;-0.0495359;0.0378673;-0.10741
0.024451;-0.0495519;0.0389141;-0.106876
