t;vds;corrente;vg
0.000499;0.144;0.0089139;0.280643
0.000998;0.14372;0.0100755;0.286394
0.001497;0.143732;0.010537;0.28649
0.001996;0.143716;0.0112851;0.286458
0.002495;0.143716;0.0120422;0.286458
0.002994;0.143732;0.0125038;0.28649
0.003493;0.143712;0.0135384;0.28649
0.003992;0.143728;0.0135626;0.28649
0.004491;0.143748;0.0146485;0.28649
0.00499;0.143732;0.0150528;0.286426
0.005489;0.143776;0.0154479;0.286418
0.005988;0.143732;0.016552;0.286354
0.006487;0.143796;0.0167089;0.28649
0.006986;0.143772;0.0178463;0.286474
0.007485;0.143768;0.0180635;0.28649
0.007984;0.143836;0.0188296;0.28649
0.008483;0.143752;0.0195475;0.286474
0.008982;0.143712;0.0195686;0.28649
0.009481;0.143764;0.0207392;0.28649
0.00998;0.143784;0.021074;0.28649
0.010479;0.143764;0.0213244;0.28649
0.010978;0.143764;0.0225281;0.28649
0.011477;0.143768;0.0226095;0.28649
0.011976;0.143716;0.0238462;0.28649
0.012475;0.143748;0.0240845;0.28649
0.012974;0.143748;0.0244194;0.28649
0.013473;0.143756;0.0255809;0.28649
0.013972;0.143724;0.0255899;0.28649
0.014471;0.143764;0.0261629;0.28649
0.01497;0.143744;0.027092;0.28649
0.015469;0.143756;0.0272971;0.28649
0.015968;0.143748;0.0285643;0.28649
0.016467;0.143712;0.0286066;0.28649
0.016966;0.14376;0.0298341;0.28649
0.017465;0.143736;0.0301055;0.28649
0.017964;0.143712;0.0306758;0.28649
0.018463;0.143776;0.031602;0.286505
0.018962;0.143716;0.0316351;0.286497
0.019461;0.143788;0.032564;0.286498
0.01996;0.143712;0.033116;0.28649
0.020459;0.143784;0.0336018;0.28649
0.020958;0.143792;0.0345913;0.28649
0.021457;0.14372;0.0346517;0.286386
0.021956;0.143824;0.0358434;0.28649
0.022455;0.143924;0.036127;0.28649
0.022954;0.143788;0.0363743;0.28649
0.023453;0.143724;0.037614;0.286482
0.023952;0.143764;0.0376954;0.28649
0.024451;0.14376;0.0390377;0.28649
0.02495;0.1438;0.0391373;0.286482
0.025449;0.143752;0.0397949;0.28649
0.025948;0.143772;0.0406335;0.28649
0.026447;0.143752;0.0406878;0.286474
0.026946;0.143772;0.0418765;0.28645
0.027445;0.143784;0.042148;0.28649
0.027944;0.143756;0.0429142;0.28649
0.028443;0.143716;0.0436532;0.28649
0.028942;0.143728;0.0437136;0.28649
0.029441;0.143768;0.0448299;0.28649
0.02994;0.143764;0.0451588;0.28649
0.030439;0.14378;0.0455747;0.286474
0.030938;0.143712;0.0466275;0.286426
0.031437;0.143712;0.0466637;0.286466
0.031936;0.143796;0.0478583;0.286442
0.032435;0.143772;0.048169;0.286394
0.032934;0.143712;0.048528;0.28649
0.033433;0.143756;0.0496715;0.286466
0.033932;0.143712;0.0498344;0.28649
0.034431;0.143768;0.0511105;0.286482
0.03493;0.143792;0.0511859;0.28649
0.035429;0.143724;0.0517767;0.28649
0.035928;0.143732;0.0526666;0.28649
0.036427;0.14376;0.0527782;0.28649
0.036926;0.143732;0.054021;0.28649
0.037425;0.143784;0.0541899;0.28649
0.037924;0.143712;0.054555;0.28649
0.038423;0.14376;0.0556834;0.28649
0.038922;0.143712;0.0557589;0.28649
0.039421;0.143716;0.0566912;0.286474
0.03992;0.143768;0.0572011;0.28649
0.040419;0.143748;0.0572644;0.28649
0.040918;0.143724;0.0586762;0.28649
0.041417;0.143716;0.0587064;0.28649
0.041916;0.14376;0.0594871;0.28649
0.042415;0.14374;0.0602111;0.28649
0.042914;0.143716;0.060552;0.28649
0.043413;0.143712;0.0617135;0.28649
0.043912;0.143752;0.0617165;0.28649
0.044411;0.143712;0.062332;0.28649
0.04491;0.143796;0.063216;0.28649
0.045409;0.143756;0.0633578;0.28649
0.045908;0.143808;0.0645977;0.28649
0.046407;0.14386;0.0647274;0.28649
0.046906;0.143896;0.0657705;0.28649
0.047405;0.14376;0.066232;0.28649
0.047904;0.143768;0.066395;0.28649
0.048403;0.143772;0.0676231;0.28649
0.048902;0.143736;0.0677377;0.28649
0.049401;0.143716;0.0682174;0.28649
0.0499;0.143756;0.0692399;0.28649
0.050399;0.143712;0.0693907;0.28649
0.050898;0.143716;0.0706337;0.286529
0.051397;0.143732;0.0707544;0.286585
0.051896;0.143732;0.0717653;0.28649
0.052395;0.143776;0.0722539;0.28649
0.052894;0.143828;0.0724197;0.28649
0.053393;0.14372;0.0736499;0.286753
0.053892;0.143756;0.0737615;0.286824
0.054391;0.143856;0.0741358;0.286577
0.05489;0.143732;0.0752642;0.28649
0.055389;0.14378;0.0752642;0.28649
0.055888;0.143728;0.0764407;0.28649
0.056387;0.14378;0.0767695;0.28649
0.056886;0.143764;0.0775507;0.28649
0.057385;0.143712;0.0782746;0.28649
0.057884;0.143772;0.0785433;0.28649
0.058383;0.143732;0.0797504;0.28649
0.058882;0.14372;0.0797926;0.28649
0.059381;0.143804;0.0803953;0.28649
0.05988;0.143812;0.081285;0.286537
0.060379;0.143832;0.0816384;0.286521
0.060878;0.14374;0.0827909;0.286498
0.061377;0.143772;0.082818;0.28649
0.061876;0.143808;0.083753;0.28649
0.062375;0.143712;0.0842961;0.28649
0.062874;0.143756;0.0843111;0.286498
0.063373;0.143712;0.0856623;0.28649
0.063872;0.14378;0.085801;0.28649
0.064371;0.143768;0.0866912;0.28649
0.06487;0.143716;0.0873064;0.28649
0.065369;0.14374;0.0877436;0.28649
0.065868;0.143776;0.0887239;0.28649
0.066367;0.14376;0.0888325;0.286482
0.066866;0.143748;0.0899947;0.286482
0.067365;0.143756;0.0903175;0.28649
0.067864;0.14374;0.0906341;0.28649
0.068363;0.143752;0.0918105;0.28649
0.068862;0.14392;0.0918226;0.28649
0.069361;0.143764;0.0925553;0.28649
0.06986;0.143832;0.0932913;0.28649
0.070359;0.143736;0.0934423;0.28649
0.070858;0.143912;0.0947697;0.28649
0.071357;0.143768;0.094833;0.286442
0.071856;0.143756;0.0951737;0.28649
0.072355;0.143872;0.0963379;0.28649
0.072854;0.14376;0.0963379;0.286434
0.073353;0.143736;0.0973421;0.28649
0.073852;0.143744;0.0978429;0.28649
0.074351;0.143712;0.0985645;0.286418
0.07485;0.14378;0.099343;0.286466
0.075349;0.14374;0.0994002;0.28649
0.075848;0.143716;0.100724;0.28649
0.076347;0.14376;0.100853;0.286314
0.076846;0.143804;0.101551;0.28649
0.077345;0.143752;0.102345;0.28649
0.077844;0.143768;0.10236;0.28649
0.078343;0.143756;0.103276;0.28649
0.078842;0.143724;0.103864;0.28649
0.079341;0.143716;0.104283;0.28649
0.07984;0.143732;0.105321;0.28649
0.080339;0.14382;0.105369;0.28649
0.080838;0.143828;0.106444;0.28649
0.081337;0.143868;0.106876;0.28649
0.081836;0.143764;0.10749;0.28649
0.082335;0.143848;0.10838;0.28649
0.082834;0.143928;0.108483;0.28649
0.083333;0.14374;0.109814;0.28649
0.083832;0.143776;0.109886;0.28649
0.084331;0.143812;0.110323;0.28649
0.08483;0.14376;0.111267;0.28649
0.085329;0.143896;0.111439;0.286442
0.085828;0.143752;0.112513;0.28649
0.086327;0.14374;0.112896;0.28649
0.086826;0.143796;0.113603;0.28649
0.087325;0.143784;0.114333;0.28649
0.087824;0.143752;0.11452;0.28649
0.088323;0.143796;0.115608;0.28649
0.088822;0.143752;0.115906;0.28649
0.089321;0.143724;0.116257;0.28649
0.08982;0.143828;0.117404;0.28649
0.090319;0.143848;0.117419;0.28649
0.090818;0.143756;0.11864;0.28649
0.091317;0.143808;0.118918;0.28649
0.091816;0.143848;0.119388;0.28649
0.092315;0.14382;0.120422;0.28649
0.092814;0.143784;0.120516;0.28645
0.093313;0.143792;0.121515;0.28649
0.093812;0.143868;0.121928;0.286466
0.094311;0.143724;0.122004;0.28649
0.09481;0.143736;0.122989;0.28649
0.095309;0.143744;0.123433;0.28649
0.095808;0.143736;0.124119;0.28649
0.096307;0.1438;0.124915;0.286513
0.096806;0.143836;0.125171;0.28649
0.097305;0.143888;0.126308;0.28649
0.097804;0.143764;0.126483;0.28649
0.098303;0.143828;0.12762;0.28649
0.098802;0.143728;0.127949;0.28649
0.099301;0.143812;0.128296;0.28649
0.0998;0.1438;0.129319;0.286434
0.100299;0.143732;0.129455;0.286434
0.100798;0.143744;0.130507;0.28649
0.101297;0.14372;0.130959;0.28649
0.101796;0.143732;0.131324;0.286458
0.102295;0.14374;0.132374;0.28649
0.102794;0.143804;0.132464;0.28649
0.103293;0.143776;0.133126;0.28649
0.103792;0.14378;0.133955;0.28649
0.104291;0.143772;0.134233;0.28649
0.10479;0.143764;0.135394;0.28649
0.105289;0.14386;0.135481;0.286482
0.105788;0.143792;0.136616;0.28649
0.106287;0.143744;0.136981;0.28649
0.106786;0.143792;0.137464;0.28649
0.107285;0.143872;0.138368;0.28649
0.107784;0.143792;0.13851;0.28649
0.108283;0.14384;0.13965;0.28649
0.108782;0.143896;0.139991;0.28649
0.109281;0.143796;0.140145;0.28649
0.10978;0.143872;0.141436;0.28649
0.110279;0.143764;0.141497;0.28649
0.110778;0.143756;0.142293;0.28649
0.111277;0.14386;0.143001;0.28649
0.111776;0.143836;0.143038;0.28649
0.112275;0.143848;0.144137;0.28649
0.112774;0.143912;0.144508;0.28649
0.113273;0.144004;0.144951;0.286426
0.113772;0.143904;0.14601;0.28645
0.114271;0.143784;0.146217;0.28649
0.11477;0.143804;0.147282;0.28649
0.115269;0.1439;0.147523;0.28649
0.115768;0.14378;0.148248;0.286362
0.116267;0.143776;0.149;0.28649
0.116766;0.1438;0.149148;0.28649
0.117265;0.143848;0.150257;0.28649
0.117764;0.143768;0.149437;0.28649
0.118263;0.143804;0.149024;0.28649
0.118762;0.14384;0.148812;0.286458
0.119261;0.14394;0.147583;0.28649
0.11976;0.143928;0.147517;0.28649
0.120259;0.143724;0.146417;0.28649
0.120758;0.143772;0.146013;0.286482
0.121257;0.143772;0.145461;0.286402
0.121756;0.143912;0.144508;0.28649
0.122255;0.143928;0.144505;0.28649
0.122754;0.14378;0.143321;0.28649
0.123253;0.143908;0.143001;0.28645
0.123752;0.143788;0.142724;0.28649
0.124251;0.143836;0.141584;0.28649
0.12475;0.143764;0.141476;0.28649
0.125249;0.143812;0.140791;0.286474
0.125748;0.143824;0.139994;0.28645
0.126247;0.143928;0.139982;0.28649
0.126746;0.143808;0.139047;0.28649
0.127245;0.143812;0.138486;0.28649
0.127744;0.143724;0.138227;0.28649
