t;vds;corrente;vg
0.00998;0.0186189;0.1063;-0.0102843
0.01996;0.0186365;0.109163;0.0159428
0.02994;0.0185902;0.10946;0.0348308
0.03992;0.0186117;0.107345;0.0551276
0.0499;0.0186062;0.106979;0.0747837
0.05988;0.0186134;0.103006;0.0933682
0.06986;0.0185998;0.108017;0.11208
0.07984;0.0187091;0.105991;0.133113
0.08982;0.0187904;0.106564;0.152961
0.0998;0.0187489;0.110932;0.172312
0.10978;0.0187258;0.107019;0.191426
0.11976;0.0187817;0.104696;0.210859
0.12974;0.0188902;0.10858;0.231379
0.13972;0.0187649;0.107681;0.251996
0.1497;0.0188942;0.10609;0.270532
0.15968;0.0189005;0.107473;0.289084
0.16966;0.0188383;0.113601;0.309667
0.17964;0.019025;0.109845;0.328779
0.18962;0.0189947;0.112266;0.347603
0.1996;0.0189548;0.11783;0.367339
0.20958;0.0190697;0.114144;0.387989
0.21956;0.0190769;0.111387;0.407615
0.22954;0.019238;0.115389;0.425543
0.23952;0.0191056;0.126636;0.44659
0.2495;0.0191862;0.126122;0.466133
0.25948;0.0192787;0.128671;0.486895
0.26946;0.0193928;0.133722;0.507321
0.27944;0.0192667;0.143565;0.527215
0.28942;0.0192372;0.14564;0.548376
0.2994;0.0193258;0.157193;0.568049
0.30938;0.0193744;0.163211;0.588507
0.31936;0.0195037;0.173084;0.607572
0.32934;0.0195116;0.186465;0.625592
0.33932;0.0193872;0.195715;0.647458
0.3493;0.0192994;0.215569;0.666538
0.35928;0.0193281;0.218771;0.685266
0.36926;0.0195492;0.233892;0.704861
0.37924;0.0195125;0.248508;0.725438
0.38922;0.0194247;0.272661;0.744382
0.3992;0.0194128;0.288266;0.763497
0.40918;0.0193952;0.304276;0.780523
0.41916;0.0194933;0.294541;0.769209
0.42914;0.0194845;0.276011;0.751633
0.43912;0.0193561;0.255258;0.732532
0.4491;0.0192412;0.239159;0.7114
0.45908;0.0194646;0.218751;0.692374
0.46906;0.0194805;0.210905;0.67326
0.47904;0.0194789;0.199816;0.653512
0.48902;0.0193569;0.193857;0.633132
0.499;0.0191821;0.178589;0.615026
0.50898;0.0193417;0.163024;0.594976
0.51896;0.0195651;0.147587;0.575301
0.52894;0.0194622;0.149613;0.554636
0.53892;0.0192843;0.136854;0.534035
0.5489;0.0195021;0.125509;0.514395
0.55888;0.0193338;0.129808;0.494609
0.56886;0.0192699;0.121101;0.475465
0.57884;0.0194933;0.107286;0.453139
0.58882;0.0190226;0.126893;0.433529
0.5988;0.0188112;0.112909;0.414736
0.60878;0.0193793;0.0909595;0.395688
0.61876;0.019368;0.11786;0.374236
0.62874;0.0189372;0.12541;0.356182
0.63872;0.0191104;0.0950707;0.335343
0.6487;0.0192101;0.101524;0.315734
0.65868;0.0189787;0.120795;0.297166
0.66866;0.0186804;0.104074;0.278055
0.67864;0.0188926;0.0888644;0.257054
0.68862;0.0188032;0.112425;0.238791
0.6986;0.0189069;0.106534;0.219662
0.70858;0.0188279;0.0949521;0.198854
0.71856;0.0188878;0.106693;0.179115
0.72854;0.0188208;0.106278;0.16034
0.73852;0.0186493;0.111664;0.140892
0.7485;0.0186764;0.10611;0.119619
0.75848;0.0187609;0.0996858;0.101916
0.76846;0.0188184;0.0975314;0.0817945
0.77844;0.0186445;0.106752;0.0631311
0.78842;0.0185121;0.109746;0.0421457
0.7984;0.0186564;0.101425;0.0230817
0.80838;0.0188495;0.105843;0.00313733
0.81836;0.0187418;0.109954;-0.0159427
0.82834;0.0185488;0.107384;-0.0365276
0.83832;0.0184459;0.102334;-0.0565842
