t;vds;corrente;vg
0.00998;0.0186684;0.0957068;-0.00679365
0.01996;0.0187705;0.0937859;0.0178636
0.02994;0.0187402;0.0950411;0.0386726
0.03992;0.0187202;0.0959008;0.0588732
0.0499;0.01867;0.0892894;0.078017
0.05988;0.0186668;0.0864135;0.0967456
0.06986;0.0187984;0.0853166;0.11573
0.07984;0.0188064;0.0843086;0.136058
0.08982;0.0187418;0.0791992;0.156146
0.0998;0.0188806;0.0762839;0.174169
0.10978;0.0188032;0.0782703;0.194035
0.11976;0.0189963;0.0746532;0.21486
0.12974;0.0188296;0.0706903;0.234725
0.13972;0.0188495;0.0671523;0.254045
0.1497;0.0189747;0.0627545;0.272404
0.15968;0.0190202;0.0613018;0.293405
0.16966;0.0191462;0.0570621;0.31202
0.17964;0.0190074;0.0552833;0.3315
0.18962;0.0192261;0.0488596;0.351622
0.1996;0.0191822;0.0454699;0.370254
0.20958;0.0191407;0.0420208;0.391288
0.21956;0.019258;0.0347769;0.411264
0.22954;0.0192069;0.029885;0.430375
0.23952;0.0193585;0.0270784;0.449726
0.2495;0.0194526;0.0239357;0.470857
0.25948;0.0195197;0.0160296;0.490593
0.26946;0.0195427;0.017344;0.510825
0.27944;0.0194263;0.0185299;0.531023
0.28942;0.0194462;0.0150117;0.551386
0.2994;0.0194814;0.0183224;0.572742
0.30938;0.0193625;0.0208721;0.591659
0.31936;0.0194455;0.0245583;0.611987
0.32934;0.0193745;0.0298257;0.630472
0.33932;0.0193593;0.0338973;0.651285
0.3493;0.0193082;0.0406175;0.671071
0.35928;0.0191463;0.0464186;0.689074
0.36926;0.0190154;0.0470412;0.7091
0.37924;0.0190569;0.0489683;0.728768
0.38922;0.0190753;0.0528423;0.749181
0.3992;0.0190569;0.054137;0.767961
0.40918;0.0190194;0.0645532;0.784318
0.41916;0.018962;0.0632289;0.769498
0.42914;0.0190378;0.0599677;0.751697
0.43912;0.0191391;0.0534155;0.731892
0.4491;0.0191311;0.0488991;0.71068
0.45908;0.0190218;0.0422482;0.691446
0.46906;0.0191407;0.0395798;0.671533
0.47904;0.0191391;0.0345496;0.652839
0.48902;0.0193497;0.0312686;0.6327
0.499;0.0194127;0.0261099;0.61405
0.50898;0.0193928;0.0250821;0.594079
0.51896;0.0193393;0.0209907;0.573939
0.52894;0.0192891;0.0149128;0.553786
0.53892;0.0195499;0.0100901;0.532916
0.5489;0.0195084;0.0160395;0.512906
0.55888;0.0194127;0.0178085;0.493168
0.56886;0.0193657;0.0254675;0.472937
0.57884;0.019309;0.0248844;0.450785
0.58882;0.0194055;0.0286596;0.431591
0.5988;0.0193098;0.0334625;0.414191
0.60878;0.0191359;0.0395897;0.393528
0.61876;0.0190681;0.0420703;0.37302
0.62874;0.0192635;0.0450152;0.353302
0.63872;0.0191351;0.0502333;0.333662
0.6487;0.0191391;0.061035;0.313893
0.65868;0.0188495;0.0671325;0.294557
0.66866;0.0186812;0.0696822;0.274422
0.67864;0.0189037;0.0597898;0.255325
0.68862;0.0189779;0.0595427;0.235541
0.6986;0.0189588;0.0690992;0.216317
0.70858;0.018788;0.0709572;0.195715
0.71856;0.0188024;0.0745543;0.175514
0.72854;0.0188248;0.0852968;0.157667
0.73852;0.0188064;0.0797229;0.137803
0.7485;0.0188072;0.0825988;0.117138
0.75848;0.0183924;0.0977587;0.0978336
0.76846;0.0184498;0.0790708;0.0788814
0.77844;0.0190418;0.0650276;0.0587133
0.78842;0.018954;0.109173;0.0398568
0.7984;0.0185894;0.105467;0.0201205
0.80838;0.0187186;0.0789917;0.000688292
0.81836;0.0187577;0.0939342;-0.0197524
0.82834;0.0185687;0.114302;-0.0392809
0.83832;0.0184387;0.0900503;-0.0595134
0.8483;0.0186437;0.087718;-0.0807221
0.85828;0.0183908;0.109489;-0.0980742
0.86826;0.0187107;0.0999033;-0.118083
0.87824;0.0186357;0.0932523;-0.139067
0.88822;0.0187721;0.106663;-0.159043
0.8982;0.0185839;0.112227;-0.177546
0.90818;0.0184618;0.113205;-0.195172
0.91816;0.0184483;0.109875;-0.182893
0.92814;0.0185894;0.101959;-0.164245
0.93812;0.0186939;0.0956933;-0.145502
0.9481;0.0186253;0.105655;-0.124565
0.95808;0.0183517;0.11028;-0.104333
0.96806;0.0186692;0.0978477;-0.0860362
0.97804;0.0188008;0.0990335;-0.0649239
0.98802;0.0186588;0.101544;-0.0446107
0.998;0.0185025;0.0976599;-0.0248906
1.00798;0.0184084;0.0975809;-0.00577847
1.01796;0.0185152;0.10358;0.0139099
1.02794;0.0187354;0.0934598;0.0343667
1.03792;0.0189564;0.0857317;0.0539911
1.0479;0.0188981;0.0946062;0.0735673
1.05788;0.0184762;0.0986382;0.092968
1.06786;0.0186078;0.0842492;0.111488
1.07784;0.0189779;0.0768866;0.132537
1.08782;0.019171;0.0817093;0.151904
1.0978;0.0187601;0.083676;0.17044
1.10778;0.0187083;0.0732697;0.190178
1.11776;0.0185615;0.0783592;0.210682
1.12774;0.0190561;0.0692178;0.230131
1.13772;0.0192053;0.0665593;0.250731
1.1477;0.0189692;0.0648793;0.269251
1.15768;0.0187697;0.0649682;0.288524
1.16766;0.0187841;0.05809;0.308051
1.17764;0.0191519;0.0574476;0.328202
1.18762;0.0193657;0.0492648;0.34613
1.1976;0.0192164;0.0506286;0.366299
1.20758;0.0190896;0.03704;0.387765
1.21756;0.0191287;0.0360518;0.407135
1.22754;0.0193553;0.0328004;0.426551
1.23752;0.0195492;0.0275823;0.446414
1.2475;0.0194191;0.0303297;0.466309
1.25748;0.0193106;0.0237281;0.486719
1.26746;0.0193903;0.0101198;0.506968
1.27744;0.019427;0.0143298;0.526303
1.28742;0.0194798;0.0161185;0.548056
1.2974;0.0194686;0.0137566;0.567905
1.30738;0.0194351;0.0182137;0.588091
1.31736;0.0194;0.0226707;0.607588
1.32734;0.0193657;0.0295095;0.62644
1.33732;0.0193098;0.0335613;0.647266
1.3473;0.0191215;0.0353896;0.667451
1.35728;0.0192492;0.042594;0.685778
1.36726;0.0191933;0.0449362;0.704701
1.37724;0.0190641;0.0493636;0.726078
1.38722;0.0190569;0.050846;0.746094
1.3972;0.0191215;0.0540084;0.764905
1.40718;0.0189867;0.0628139;0.782522
1.41716;0.0190505;0.0606891;0.77384
1.42714;0.0189931;0.0553228;0.754883
1.43712;0.0191095;0.0532969;0.734981
1.4471;0.019167;0.0477231;0.715054
1.45708;0.0191662;0.0456972;0.695318
1.46706;0.0193082;0.0418528;0.676283
1.47704;0.0192971;0.0365459;0.656154
1.48702;0.0194558;0.0276911;0.635885
1.497;0.0193824;0.0242717;0.616162
1.50698;0.0194023;0.021386;0.597359
1.51696;0.0194207;0.0187176;0.578374
1.52694;0.0195132;0.0133119;0.557982
1.53692;0.0195157;0.0157726;0.537075
1.5469;0.0195228;0.015318;0.516813
1.55688;0.0194854;0.0172056;0.496499
1.56686;0.0193872;0.0207535;0.476217
1.57684;0.0193656;0.0226015;0.455075
1.58682;0.0192691;0.0285607;0.43569
1.5968;0.0192404;0.0339369;0.417138
1.60678;0.0192827;0.0384928;0.39692
1.61676;0.0193329;0.0414773;0.376414
1.62674;0.0190696;0.0536922;0.356966
1.63672;0.0190003;0.0528818;0.337535
1.6467;0.0190968;0.0568744;0.31828
1.65668;0.0190234;0.0574377;0.297951
1.66666;0.0190553;0.0637231;0.278791
1.67664;0.0190242;0.0659071;0.259375
