t;vds;corrente;vg
0.00998;-0.000362773;-0.00500822;-0.203417
0.01996;0.00137004;-0.00150114;-0.203693
0.02994;0.00328077;0.0121467;-0.203693
0.03992;0.00505016;0.0271661;-0.203693
0.0499;0.00686897;0.0352464;-0.203693
0.05988;0.00872137;0.050885;-0.203693
0.06986;0.0106459;0.066038;-0.203693
0.07984;0.012611;0.0710755;-0.203693
0.08982;0.014419;0.0859089;-0.203693
0.0998;0.0159926;0.096607;-0.203693
0.10978;0.0181821;0.0810818;-0.203693
0.11976;0.0205743;0.109664;-0.203693
0.12974;0.0218938;0.141657;-0.203693
0.13972;0.0237669;0.130069;-0.203693
0.1497;0.0257598;0.136276;-0.203693
0.15968;0.0276043;0.167173;-0.203693
0.16966;0.0291216;0.173655;-0.203629
0.17964;0.0311411;0.16343;-0.203693
0.18962;0.0329481;0.189322;-0.203693
0.1996;0.0349399;0.199765;-0.203693
0.20958;0.0369267;0.198118;-0.203693
0.21956;0.0387386;0.213753;-0.203693
0.22954;0.0407341;0.225519;-0.203693
0.23952;0.0425106;0.236784;-0.203693
0.2495;0.0442125;0.242715;-0.203693
0.25948;0.0458042;0.242254;-0.203661
0.26946;0.0445764;0.233519;-0.203693
0.27944;0.0427549;0.230949;-0.203693
0.28942;0.040577;0.229666;-0.203693
0.2994;0.0386625;0.215048;-0.203693
0.30938;0.0370976;0.206199;-0.203693
0.31936;0.0352444;0.200433;-0.203693
0.32934;0.0331229;0.189981;-0.203693
0.33932;0.0312488;0.175775;-0.203685
0.3493;0.0292263;0.168091;-0.203693
0.35928;0.0275421;0.155953;-0.203693
0.36926;0.0258854;0.138813;-0.203693
0.37924;0.0240685;0.133703;-0.203693
0.38922;0.0220975;0.13119;-0.203693
0.3992;0.0200118;0.11876;-0.203693
0.40918;0.0182918;0.0975093;-0.203693
0.41916;0.0166598;0.0866817;-0.203717
0.42914;0.0147175;0.0872805;-0.203693
0.43912;0.0125418;0.073483;-0.203613
0.4491;0.0104739;0.0659773;-0.203693
0.45908;0.00867688;0.0540005;-0.203693
0.46906;0.00714772;0.0376336;-0.203693
0.47904;0.00541491;0.0280482;-0.203693
0.48902;0.00322048;0.0193489;-0.203693
0.499;0.00126625;0.005167;-0.203693
0.50898;-0.000547619;-0.00158206;-0.203693
0.51896;-0.00223101;-0.0118837;-0.203685
0.52894;-0.00396777;-0.0224928;-0.203709
0.53892;-0.00611574;-0.0320054;-0.203693
0.5489;-0.00806503;-0.0516254;-0.203693
