t;vds;corrente;vg
0.00998;0.000872831;-0.00171214;-0.00587615
0.01996;0.00267187;0.00736003;-0.00352975
0.02994;0.00439183;0.021894;-0.00384991
0.03992;0.00624029;0.0303991;-0.00356977
0.0499;0.00820638;0.0362499;-0.00391394
0.05988;0.0103405;0.0486151;-0.00399398
0.06986;0.0119685;0.0572901;-0.00393795
0.07984;0.0138565;0.063412;-0.00360979
0.08982;0.0156565;0.0790222;-0.0034257
0.0998;0.0177353;0.0811626;-0.0038419
0.10978;0.0197943;0.0888828;-0.00377787
0.11976;0.0217169;0.098432;-0.00294546
0.12974;0.0232639;0.116332;-0.00338568
0.13972;0.0249433;0.12799;-0.00199299
0.1497;0.0271298;0.123632;-0.00348973
0.15968;0.0291967;0.133589;-0.00372184
0.16966;0.030892;0.154973;-0.00290544
0.17964;0.0325921;0.156717;-0.00318558
0.18962;0.0343181;0.169912;-0.00320159
0.1996;0.0365291;0.175536;-0.0028174
0.20958;0.0385468;0.18265;-0.00257728
0.21956;0.0404474;0.193687;-0.00268133
0.22954;0.0420727;0.198774;-0.00364981
0.23952;0.0440267;0.2105;-0.00378588
0.2495;0.0458587;0.224629;-0.00327362
0.25948;0.0457556;0.218649;-0.00365781
0.26946;0.0438036;0.20776;-0.00393795
0.27944;0.0417889;0.199207;-0.00366582
0.28942;0.0399248;0.185741;-0.00351374
0.2994;0.0380109;0.185644;-0.00312955
0.30938;0.0362831;0.176851;-0.00354576
0.31936;0.0342844;0.167836;-0.00380188
0.32934;0.0322739;0.158822;-0.00313756
0.33932;0.0304817;0.140565;-0.00365781
0.3493;0.0284751;0.138226;-0.00357777
0.35928;0.0266365;0.131064;-0.00341769
0.36926;0.0248869;0.117716;-0.0024172
0.37924;0.0231748;0.105768;-0.00308153
0.38922;0.0212048;0.102822;-0.00350574
0.3992;0.0191755;0.0908574;-0.00347372
0.40918;0.017328;0.0848487;-0.00357777
0.41916;0.0154569;0.07445;-0.00381789
0.42914;0.0135619;0.0674946;-0.00329763
0.43912;0.0117066;0.0559953;-0.00396196
0.4491;0.00975433;0.0478341;-0.00399398
0.45908;0.00789402;0.035562;-0.00394595
0.46906;0.00605742;0.0269922;-0.00399398
0.47904;0.0041536;0.0228084;-0.00385791
0.48902;0.00220333;0.0115883;-0.00276937
0.499;0.000429001;-0.000477452;-0.00283341
0.50898;-0.00149162;-0.00829874;-0.0036418
0.51896;-0.00332723;-0.0190535;-0.00336967
0.52894;-0.00523401;-0.0265147;-0.0036418
0.53892;-0.00720011;-0.0356834;-0.00348973
0.5489;-0.00905152;-0.0449209;-0.0028174
0.55888;-0.0109277;-0.0576138;-0.00356176
0.56886;-0.0129619;-0.0644276;-0.00376186
0.57884;-0.0147955;-0.0772379;-0.00392995
0.58882;-0.0167122;-0.085658;-0.00312955
0.5988;-0.0186012;-0.0848731;-0.00314556
0.60878;-0.02051;-0.0960891;-0.00364981
0.61876;-0.0222616;-0.103745;-0.0032256
0.62874;-0.024359;-0.113824;-0.00341769
0.63872;-0.0261077;-0.131417;-0.00276137
0.6487;-0.0279502;-0.131445;-0.00311354
0.65868;-0.0300635;-0.145756;-0.00351374
0.66866;-0.0318132;-0.157636;-0.00320959
0.67864;-0.0334847;-0.165927;-0.00396196
0.68862;-0.035604;-0.167266;-0.00352975
