t;vds;corrente;vg
0.00998;0.000245143;-0.002098;0.385345
0.01996;0.00206296;0.0119484;0.392128
0.02994;0.00369495;0.0149709;0.391626
0.03992;0.0055098;0.0160917;0.392128
0.0499;0.00757079;0.0217483;0.392896
0.05988;0.00976914;0.0229824;0.392034
0.06986;0.0116937;0.0308927;0.394652
0.07984;0.0133919;0.0340973;0.39564
0.08982;0.0153551;0.0354892;0.39401
0.0998;0.0172262;0.0394788;0.39495
0.10978;0.0195966;0.0431608;0.393523
0.11976;0.0213936;0.0534584;0.392332
0.12974;0.0231077;0.0546682;0.392457
0.13972;0.0250155;0.0492624;0.39252
0.1497;0.0270093;0.0613282;0.394903
0.15968;0.0289922;0.0640109;0.392833
0.16966;0.0309711;0.0760603;0.392128
0.17964;0.0327603;0.0800135;0.393665
0.18962;0.0346077;0.0769627;0.393069
0.1996;0.0367279;0.0768251;0.392034
0.20958;0.0386338;0.0925284;0.392661
0.21956;0.0406156;0.0944868;0.391861
0.22954;0.0426748;0.0960042;0.392144
0.23952;0.0444874;0.101908;0.392489
0.2495;0.0464241;0.106241;0.392693
0.25948;0.0475509;0.110708;0.392677
0.26946;0.0457813;0.111364;0.391705
0.27944;0.0438362;0.103886;0.39241
0.28942;0.042031;0.0990469;0.391971
0.2994;0.0400404;0.0916179;0.392363
0.30938;0.0381236;0.08864;0.393758
0.31936;0.0363345;0.0826436;0.392771
0.32934;0.0341865;0.0830683;0.392316
0.33932;0.0322215;0.0771772;0.391266
0.3493;0.0303137;0.0709946;0.391956
0.35928;0.0282804;0.0680652;0.392128
0.36926;0.0264863;0.0631086;0.392614
0.37924;0.0245983;0.0575168;0.392473
0.38922;0.0226372;0.0552954;0.391799
0.3992;0.0207373;0.0512208;0.39321
0.40918;0.0187336;0.042299;0.392002
0.41916;0.016819;0.0421897;0.392269
0.42914;0.0149567;0.0373181;0.392787
0.43912;0.0127702;0.0288575;0.393163
0.4491;0.010985;0.025665;0.393147
0.45908;0.0090693;0.0261708;0.39354
0.46906;0.0070983;0.0253251;0.393444
0.47904;0.00522215;0.0118675;0.392191
0.48902;0.00324914;0.0137692;0.393523
0.499;0.00122572;0.00849295;0.391532
0.50898;-0.000500172;0.00480688;0.393586
0.51896;-0.00252953;-0.00178033;0.392974
0.52894;-0.00441259;-0.00493636;0.392943
0.53892;-0.00642217;-0.00405025;0.392175
0.5489;-0.00841693;-0.00682592;0.393273
0.55888;-0.0103533;-0.0108843;0.3923
0.56886;-0.0123817;-0.0212425;0.391626
0.57884;-0.0142826;-0.0231766;0.391297
0.58882;-0.016134;-0.0261101;0.391438
0.5988;-0.0182226;-0.0289829;0.392269
0.60878;-0.0200364;-0.0370146;0.391313
0.61876;-0.0220776;-0.0353921;0.391705
0.62874;-0.023931;-0.0426752;0.392316
0.63872;-0.0258695;-0.0423151;0.392583
0.6487;-0.0280491;-0.0473891;0.393069
0.65868;-0.0299993;-0.0479717;0.391438
0.66866;-0.0318072;-0.0581802;0.392002
0.67864;-0.033805;-0.054389;0.391454
0.68862;-0.0357582;-0.0581803;0.391595
0.6986;-0.0376977;-0.0643912;0.391752
0.70858;-0.0397328;-0.064464;0.391768
0.71856;-0.0415539;-0.0673409;0.39183
0.72854;-0.0435534;-0.072783;0.39147
0.73852;-0.0455178;-0.0761373;0.393053
0.7485;-0.0473571;-0.0814135;0.391564
0.75848;-0.0486757;-0.0839747;0.391438
0.76846;-0.0471547;-0.0792933;0.391485
0.77844;-0.0452526;-0.0703593;0.393869
0.78842;-0.0433332;-0.0691496;0.393508
0.7984;-0.0412937;-0.0694004;0.391752
0.80838;-0.0395186;-0.0652247;0.391893
0.81836;-0.0375158;-0.0657427;0.392112
0.82834;-0.0355182;-0.0654068;0.391626
0.83832;-0.0335837;-0.0556514;0.392097
0.8483;-0.0316038;-0.0543;0.391908
0.85828;-0.0297652;-0.0507959;0.393053
0.86826;-0.0277585;-0.045807;0.392692
0.87824;-0.0258953;-0.0408342;0.39426
0.88822;-0.0238185;-0.0411053;0.391955
0.8982;-0.0218464;-0.042914;0.391909
0.90818;-0.019826;-0.0345626;0.3931
0.91816;-0.018018;-0.0280361;0.392599
0.92814;-0.0161557;-0.0241193;0.394041
0.93812;-0.0140502;-0.0188188;0.393303
0.9481;-0.01218;-0.0167189;0.392316
0.95808;-0.0102288;-0.0187905;0.392708
0.96806;-0.00835465;-0.0121669;0.392081
0.97804;-0.00634112;-0.0088814;0.39263
0.98802;-0.00426234;-0.000412712;0.39288
0.998;-0.00230712;0.000744501;0.391814
1.00798;-0.000411209;0.00778892;0.392332
1.01796;0.0013987;0.0120576;0.392708
1.02794;0.0033045;0.0145258;0.392222
1.03792;0.00546235;0.0105282;0.392065
1.0479;0.007295;0.0210726;0.393555
1.05788;0.0092423;0.0230673;0.39401
1.06786;0.0110997;0.0316008;0.392457
1.07784;0.0131221;0.0375325;0.392912
1.08782;0.0150654;0.0408787;0.393147
1.0978;0.0169949;0.0453579;0.3931
1.10778;0.0188701;0.0481821;0.393319
1.11776;0.0208065;0.0504075;0.392567
1.12774;0.0227104;0.055534;0.392974
1.13772;0.0247585;0.0601184;0.392034
1.1477;0.026783;0.0711241;0.39194
1.15768;0.0285038;0.0787066;0.391673
1.16766;0.0302287;0.0869972;0.392865
1.17764;0.0322917;0.0782453;0.393304
1.18762;0.0342597;0.0803049;0.39288
1.1976;0.0363216;0.0936371;0.392599
1.20758;0.0381929;0.0985735;0.392708
1.21756;0.0401439;0.101268;0.393194
1.22754;0.0420935;0.118347;0.392928
1.23752;0.0439763;0.115305;0.392818
1.2475;0.0460712;0.112323;0.392316
1.25748;0.0472722;0.137389;0.392285
1.26746;0.0458089;0.124566;0.394339
1.27744;0.0445794;0.0908088;0.391987
1.28742;0.0426965;0.118432;0.39205
1.2974;0.0401629;0.125521;0.393994
1.30738;0.0385795;0.088029;0.392739
1.31736;0.0367031;0.092743;0.391344
1.32734;0.0344732;0.108908;0.393822
1.33732;0.0322818;0.0809644;0.39564
1.3473;0.0306833;0.0672154;0.39194
1.35728;0.0285789;0.0854962;0.394214
1.36726;0.0269963;0.0632542;0.391799
1.37724;0.0249264;0.0602479;0.392175
1.38722;0.0231857;0.0595681;0.392363
1.3972;0.0211446;0.0600941;0.394166
1.40718;0.0190806;0.0535029;0.394385
1.41716;0.0171847;0.0471423;0.393366
1.42714;0.0152592;0.0389649;0.392771
1.43712;0.0134878;0.0307592;0.392818
1.4471;0.0113309;0.0328147;0.393915
1.45708;0.00917507;0.0336077;0.393711
1.46706;0.00733257;0.0201055;0.394166
1.47704;0.0057935;0.017783;0.39346
1.48702;0.00370088;0.0168807;0.393884
1.497;0.00170019;0.00565253;0.392802
1.50698;-0.000291602;0.00434966;0.392097
1.51696;-0.00220036;0.00421209;0.391579
1.52694;-0.004034;-0.00048959;0.392818
1.53692;-0.00586664;-0.0112606;0.392567
1.5469;-0.00798398;-0.0101074;0.394887
1.55688;-0.0102535;-0.00789008;0.394433
1.56686;-0.0120585;-0.0215945;0.393225
1.57684;-0.0136647;-0.0283234;0.393006
1.58682;-0.0156111;-0.02295;0.392065
1.5968;-0.0178875;-0.0267858;0.393272
1.60678;-0.0199485;-0.0355256;0.392316
1.61676;-0.0218434;-0.0376701;0.392018
1.62674;-0.0233716;-0.0469845;0.393022
1.63672;-0.0252675;-0.0467255;0.392097
1.6467;-0.0276062;-0.0478665;0.392582
1.65668;-0.0296464;-0.0564849;0.392018
1.66666;-0.0315226;-0.0555138;0.391767
1.67664;-0.033126;-0.0618341;0.392912
1.68662;-0.0351514;-0.062975;0.392708
1.6966;-0.0372727;-0.0674663;0.392912
1.70658;-0.0392881;-0.0782899;0.391721
1.71656;-0.0412148;-0.0754171;0.393257
1.72654;-0.0427756;-0.0790222;0.393523
1.73652;-0.0449067;-0.0847071;0.39274
1.7465;-0.04686;-0.0776181;0.392661
1.75648;-0.0487182;-0.0907238;0.392222
1.76646;-0.0475174;-0.0921926;0.392034
1.77644;-0.0456379;-0.0806407;0.392802
1.78642;-0.0436395;-0.0800054;0.39241
1.7964;-0.0416347;-0.0799326;0.392332
1.80638;-0.0397429;-0.0731148;0.392238
1.81636;-0.0378953;-0.0688501;0.392473
1.82634;-0.0359718;-0.0682391;0.391877
1.83632;-0.0340116;-0.0598311;0.392144
1.8463;-0.0319952;-0.0583786;0.391673
1.85628;-0.0300281;-0.0564849;0.39125
1.86626;-0.0282221;-0.0511035;0.391548
1.87624;-0.0262106;-0.0508243;0.391658
1.88622;-0.0240646;-0.0498127;0.391517
1.8962;-0.0223001;-0.0382041;0.392379
1.90618;-0.0204171;-0.0349632;0.392112
1.91616;-0.0184372;-0.0312124;0.391736
1.92614;-0.0165056;-0.0299418;0.391517
1.93612;-0.0144743;-0.0289586;0.392755
1.9461;-0.012526;-0.0228205;0.393884
1.95608;-0.0106133;-0.00987272;0.392708
1.96606;-0.00861066;-0.0110056;0.393649
1.97604;-0.00671081;-0.00923746;0.391611
1.98602;-0.00463401;-0.00777679;0.392786
1.996;-0.00279148;-0.00169131;0.3939
2.00598;-0.000919289;0.00543404;0.392865
2.01596;0.00114862;0.005693;0.395577
2.02594;0.00293975;0.0148778;0.393178
2.03592;0.00497701;0.0172004;0.394605
2.0459;0.00678791;0.0245645;0.393383
2.05588;0.00881132;0.0235408;0.392034
2.06586;0.0106291;0.0297476;0.391532
2.07584;0.0126308;0.0374597;0.392645
2.08582;0.0146819;0.0392967;0.392583
2.0958;0.0165956;0.0465879;0.39357
2.10578;0.0184599;0.0537173;0.392504
2.11576;0.020425;0.0581399;0.392567
2.12574;0.0223367;0.0632057;0.394543
2.13572;0.0242751;0.0660542;0.393037
2.1457;0.026164;0.0694449;0.392771
2.15568;0.028049;0.0814054;0.393037
2.16566;0.0298926;0.0824493;0.39288
2.17564;0.0319911;0.0815713;0.391814
2.18562;0.0338574;0.0929534;0.392645
2.1956;0.0359282;0.0970562;0.39263
2.20558;0.0378351;0.105416;0.392645
2.21556;0.0395638;0.103356;0.392394
2.22554;0.0415973;0.113176;0.393383
2.23552;0.0435721;0.120633;0.393037
2.2455;0.0454901;0.125266;0.392112
2.25548;0.0473581;0.129527;0.392536
2.26546;0.046515;0.128629;0.394229
2.27544;0.0445992;0.124663;0.392332
2.28542;0.0427024;0.11825;0.392237
2.2954;0.040669;0.114989;0.391469
2.30538;0.0387613;0.103562;0.393272
2.31536;0.0368781;0.0993099;0.393288
2.32534;0.0348438;0.092856;0.393853
2.33532;0.0329588;0.0871105;0.392708
2.3453;0.0309927;0.0870094;0.392583
2.35528;0.0290929;0.0816644;0.392238
2.36526;0.0271486;0.0709015;0.39368
2.37524;0.0252122;0.0699992;0.392661
2.38522;0.0232866;0.0655484;0.393853
2.3952;0.0214965;0.0556716;0.392536
2.40518;0.019476;0.0521191;0.392943
2.41516;0.0175623;0.0529728;0.393743
2.42514;0.0156674;0.0472879;0.392332
2.43512;0.0136074;0.0421654;0.392222
2.4451;0.0116522;0.033721;0.393931
2.45508;0.0096456;0.0308199;0.392755
2.46506;0.00788315;0.0230512;0.392818
2.47504;0.00597834;0.0182281;0.392159
2.48502;0.00402905;0.016909;0.393037
2.495;0.00202738;0.0137773;0.393116
2.50498;0.000235259;0.0064294;0.392034
2.51496;-0.00173182;0.00317222;0.391642
2.52494;-0.00369297;-0.00460862;0.392253
2.53492;-0.0056472;-0.00648605;0.394292
2.5449;-0.00758759;-0.0152986;0.394778
2.55488;-0.00950522;-0.0159096;0.393241
2.56486;-0.0114327;-0.0197252;0.391846
2.57484;-0.0134987;-0.0191992;0.391767
2.58482;-0.0154885;-0.0267251;0.392959
2.5948;-0.0174971;-0.0326933;0.39252
2.60478;-0.0192674;-0.0369175;0.392771
2.61476;-0.0211129;-0.0413805;0.392598
2.62474;-0.0231166;-0.0430717;0.392144
2.63472;-0.0250955;-0.0477613;0.393194
2.6447;-0.0270498;-0.0497561;0.392348
2.65468;-0.0291197;-0.0548948;0.391862
2.66466;-0.0308357;-0.0618624;0.391846
2.67464;-0.0329244;-0.0664103;0.391642
2.68462;-0.0350022;-0.0685102;0.391485
2.6946;-0.0367537;-0.0784234;0.391611
2.70458;-0.0386556;-0.079706;0.39183
2.71456;-0.0405701;-0.0758581;0.39172
2.72454;-0.0425145;-0.078472;0.392332
2.73452;-0.0447168;-0.0798557;0.391422
2.7445;-0.0465061;-0.0908088;0.392645
2.75448;-0.0482851;-0.101871;0.392191
2.76446;-0.0476616;-0.0950614;0.39136
2.77444;-0.0459374;-0.0947013;0.392755
2.78442;-0.0439943;-0.0908573;0.391752
2.7944;-0.0419055;-0.0756356;0.391971
2.80438;-0.0401698;-0.0715327;0.393461
2.81436;-0.0380831;-0.0782616;0.39136
2.82434;-0.0364916;-0.0643062;0.392269
2.83432;-0.0347717;-0.0672842;0.394951
2.8443;-0.0321385;-0.0866453;0.391987
2.85428;-0.0300488;-0.0566549;0.39252
2.86426;-0.0286461;-0.0371845;0.394574
2.87424;-0.0264686;-0.0620565;0.391924
2.88422;-0.0243077;-0.0541179;0.391971
2.8942;-0.0226006;-0.0261546;0.392912
2.90418;-0.0211;-0.0378319;0.393758
2.91416;-0.0188068;-0.0495821;0.39183
2.92414;-0.0168803;-0.0258349;0.393461
2.93412;-0.0148618;-0.0271581;0.392457
2.9441;-0.0129362;-0.0296465;0.391564
2.95408;-0.0107389;-0.0181027;0.39241
2.96406;-0.00907029;-0.0105363;0.392206
2.97404;-0.00716947;-0.00514676;0.391485
2.98402;-0.00512726;-0.00301847;0.392238
2.994;-0.0031414;-0.00358898;0.392551
3.00398;-0.00106262;8.0924e-05;0.391908
3.01396;0.000709731;0.0114345;0.392348
3.02394;0.00243463;0.0175443;0.392677
3.03392;0.00446102;0.0136073;0.392505
3.0439;0.00659516;0.0227275;0.392473
3.05388;0.00837937;0.0302534;0.393492
3.06386;0.0102753;0.0317788;0.393539
3.07384;0.0120772;0.0335349;0.391815
3.08382;0.0141807;0.0430839;0.393398
3.0938;0.0162239;0.0458029;0.392128
3.10378;0.0182364;0.0468388;0.391689
3.11376;0.0201293;0.0619311;0.391783
3.12374;0.021791;0.0705859;0.392206
3.13372;0.0237304;0.063938;0.39205
3.1437;0.025904;0.0648242;0.392536
3.15368;0.0278444;0.0812396;0.392175
3.16366;0.0294468;0.0868112;0.392598
3.17364;0.0312577;0.0893643;0.392285
3.18362;0.0332258;0.0964533;0.393586
3.1936;0.0355981;0.0995689;0.394151
3.20358;0.0376098;0.105719;0.393335
3.21356;0.0391992;0.11036;0.392802
3.22354;0.0411861;0.111983;0.391705
3.23352;0.0430306;0.124672;0.392206
3.2435;0.0451837;0.131595;0.394072
3.25348;0.0470013;0.13772;0.393257
3.26346;0.0466475;0.13526;0.393743
3.27344;0.0448355;0.119905;0.392786
3.28342;0.0429477;0.12099;0.393414
3.2934;0.0410743;0.116604;0.392316
3.30338;0.0392735;0.110049;0.39299
3.31336;0.0371559;0.113686;0.391752
3.32334;0.0350406;0.100095;0.39172
3.33332;0.0331862;0.0892996;0.392771
3.3433;0.031404;0.0924353;0.393225
3.35328;0.0294181;0.0816037;0.392818
3.36326;0.0275519;0.0754211;0.392865
3.37324;0.0256728;0.0734668;0.391971
3.38322;0.0236969;0.0673652;0.392159
3.3932;0.0217891;0.063667;0.392692
3.40318;0.0198526;0.0597705;0.392881
3.41316;0.0177847;0.0523578;0.391799
3.42314;0.0160499;0.044492;0.391673
3.43312;0.014154;0.0417486;0.393414
3.4431;0.0120822;0.0363793;0.392865
3.45308;0.0101922;0.0314187;0.393272
3.46306;0.00814113;0.0296991;0.392677
3.47304;0.00619878;0.0234922;0.392473
3.48302;0.00430682;0.0196847;0.393915
3.493;0.00252162;0.0104796;0.393178
3.50298;0.000625709;0.0071294;0.394072
3.51296;-0.00133742;0.00425256;0.392787
3.52294;-0.00328176;-0.00102369;0.39205
3.53292;-0.00523006;-0.00346759;0.392473
3.5429;-0.00723273;-0.0102328;0.391971
3.55288;-0.00919288;-0.0147888;0.393461
3.56286;-0.0110898;-0.0200327;0.396785
3.57284;-0.0131438;-0.0264095;0.393383
3.58282;-0.0149715;-0.0298164;0.392191
3.5928;-0.0168378;-0.0361285;0.391908
3.60278;-0.0187584;-0.0357198;0.392583
3.61276;-0.020847;-0.0434319;0.392881
3.62274;-0.0227904;-0.0438082;0.393712
3.63272;-0.0246666;-0.0506503;0.392473
3.6427;-0.0266425;-0.0581843;0.392175
3.65268;-0.0285899;-0.0574439;0.392348
3.66266;-0.0304027;-0.0652045;0.392379
3.67264;-0.0323599;-0.0658559;0.393931
3.68262;-0.0344327;-0.0658155;0.392849
3.6926;-0.0363146;-0.0711078;0.39437
3.70258;-0.0382858;-0.0781847;0.391877
3.71256;-0.0403061;-0.0818586;0.39161
3.72254;-0.0421854;-0.0877215;0.391313
3.73252;-0.0442036;-0.0886319;0.391454
3.7425;-0.0460633;-0.0956601;0.391626
3.75248;-0.0478393;-0.0965909;0.391407
3.76246;-0.0480549;-0.0968011;0.391971
3.77244;-0.0462766;-0.0885874;0.392599
3.78242;-0.0445072;-0.0875759;0.392003
3.7924;-0.0423809;-0.0889759;0.392504
3.80238;-0.040415;-0.0823481;0.391862
3.81236;-0.0384013;-0.0807944;0.392724
3.82234;-0.0365944;-0.0736085;0.393116
3.83232;-0.0345749;-0.0716218;0.394496
3.8423;-0.0326919;-0.0647392;0.392599
3.85228;-0.0308119;-0.0600901;0.394119
3.86226;-0.0289129;-0.0573266;0.393241
3.87224;-0.0269004;-0.0574762;0.392269
3.88222;-0.0249551;-0.0503145;0.391422
3.8922;-0.0230691;-0.0486474;0.391344
3.90218;-0.0210833;-0.0424608;0.392363
3.91216;-0.0191053;-0.0358897;0.391767
3.92214;-0.0172262;-0.0311355;0.392253
3.93212;-0.015357;-0.0280644;0.392724
3.9421;-0.0132703;-0.0250783;0.391783
3.95208;-0.0113547;-0.0217361;0.391642
3.96206;-0.00939155;-0.0165408;0.392363
3.97204;-0.00745909;-0.0124582;0.392536
3.98202;-0.00554242;-0.00618258;0.39252
3.992;-0.003519;-0.00186934;0.391971
4.00198;-0.00152819;0.00201501;0.392332
4.01196;0.000359807;0.00753805;0.393241
4.02194;0.00220135;0.0112767;0.392646
4.03192;0.00421193;0.0126808;0.391548
4.0419;0.00603073;0.0217119;0.391391
4.05188;0.0080334;0.0262477;0.391391
4.06186;0.00981661;0.0338626;0.391234
4.07184;0.0118202;0.0379856;0.391485
4.08182;0.0137932;0.0431446;0.39332
4.0918;0.0157643;0.0460093;0.392426
4.10178;0.0175761;0.049137;0.393006
4.11176;0.0195452;0.05973;0.392504
4.12174;0.021621;0.0635132;0.392708
4.13172;0.02351;0.0654472;0.393445
4.1417;0.0253209;0.0774401;0.391799
4.15168;0.0271575;0.0798031;0.391924
4.16166;0.02901;0.0866372;0.39343
4.17164;0.0310818;0.0872846;0.392222
