t;vds;corrente;vg
0.00998;0.000758166;0.00917024;0.187862
0.01996;0.00249493;0.0154322;0.19394
0.02994;0.00411802;0.0207367;0.193877
0.03992;0.00596154;0.0316615;0.193093
0.0499;0.00804131;0.0393695;0.194598
0.05988;0.010123;0.0466041;0.193877
0.06986;0.0120545;0.0519289;0.194253
0.07984;0.0136805;0.054567;0.195194
0.08982;0.0157544;0.0598959;0.193705
0.0998;0.0175455;0.0721477;0.194802
0.10978;0.0197962;0.0776586;0.194896
0.11976;0.0217613;0.0866129;0.194426
0.12974;0.0233508;0.0964937;0.193908
0.13972;0.0251825;0.0935198;0.195225
0.1497;0.0270676;0.107055;0.193407
0.15968;0.0289625;0.117575;0.19394
0.16966;0.0309879;0.120027;0.194144
0.17964;0.0329037;0.129126;0.192623
0.18962;0.0347076;0.137458;0.19419
0.1996;0.0368111;0.145238;0.194833
0.20958;0.0386793;0.152352;0.194332
0.21956;0.0405008;0.159829;0.194363
0.22954;0.042562;0.163228;0.194206
0.23952;0.0443559;0.174436;0.19383
0.2495;0.0461749;0.180444;0.193579
0.25948;0.046439;0.182532;0.1943
0.26946;0.0447515;0.174395;0.19394
0.27944;0.0426422;0.172935;0.192639
0.28942;0.0407332;0.157535;0.193391
0.2994;0.0388613;0.152999;0.195115
0.30938;0.0370245;0.147796;0.193862
0.31936;0.0350031;0.14101;0.194473
0.32934;0.0330963;0.12958;0.193783
0.33932;0.0311509;0.127779;0.193971
0.3493;0.0292076;0.121342;0.193266
0.35928;0.0274323;0.112849;0.19405
0.36926;0.0254642;0.105302;0.193626
0.37924;0.0236514;0.0933903;0.194253
0.38922;0.0216536;0.0863499;0.191933
0.3992;0.0198032;0.0811222;0.192638
0.40918;0.017934;0.0753928;0.192388
0.41916;0.0159491;0.0702703;0.193893
0.42914;0.0140898;0.0607092;0.194394
0.43912;0.0121277;0.0524913;0.193423
0.4491;0.0101023;0.0436342;0.192027
0.45908;0.00827556;0.0353476;0.193015
0.46906;0.00634606;0.0290436;0.192262
0.47904;0.00458162;0.0245321;0.194567
0.48902;0.00257994;0.0235246;0.193956
0.499;0.000785843;0.0132189;0.191948
0.50898;-0.00120101;0.00780106;0.19441
0.51896;-0.00307813;-0.00156993;0.193689
0.52894;-0.00499777;-0.0138218;0.194629
0.53892;-0.00693223;-0.0153027;0.19383
0.5489;-0.00892501;-0.0233101;0.192451
0.55888;-0.0106291;-0.0320944;0.193893
0.56886;-0.0128087;-0.0345707;0.193704
0.57884;-0.0146443;-0.0408301;0.192137
0.58882;-0.0165649;-0.0484289;0.192764
0.5988;-0.0185241;-0.0597097;0.194347
0.60878;-0.0203687;-0.0663779;0.190883
0.61876;-0.0223159;-0.0709744;0.193375
0.62874;-0.0243383;-0.0716986;0.192294
0.63872;-0.0261294;-0.0790991;0.193078
0.6487;-0.0281153;-0.0894695;0.192231
0.65868;-0.0298807;-0.0968336;0.191494
0.66866;-0.0318656;-0.101386;0.193235
0.67864;-0.0338881;-0.109899;0.1914
0.68862;-0.0357295;-0.114232;0.192952
0.6986;-0.0376523;-0.125189;0.19267
0.70858;-0.0396014;-0.126788;0.192984
0.71856;-0.0414975;-0.133783;0.192748
0.72854;-0.0434298;-0.135418;0.192027
0.73852;-0.0453646;-0.143676;0.191839
0.7485;-0.0471822;-0.150935;0.194002
0.75848;-0.0477021;-0.151809;0.194316
0.76846;-0.0459207;-0.150021;0.192874
0.77844;-0.0441663;-0.141103;0.191839
0.78842;-0.0420636;-0.137271;0.1922
0.7984;-0.0402044;-0.125072;0.191588
0.80838;-0.0382995;-0.121467;0.190021
0.81836;-0.0364333;-0.116094;0.190601
0.82834;-0.0345927;-0.115321;0.190302
0.83832;-0.0325654;-0.108701;0.191604
0.8483;-0.0305865;-0.0986301;0.191541
0.85828;-0.0287143;-0.0904203;0.19093
0.86826;-0.0267996;-0.0797181;0.19209
0.87824;-0.0248582;-0.0753078;0.191589
0.88822;-0.0229148;-0.0735923;0.189424
0.8982;-0.0210654;-0.0639906;0.190694
0.90818;-0.0191804;-0.0557404;0.191479
0.91816;-0.0172401;-0.0564364;0.192498
0.92814;-0.0152681;-0.0452041;0.193203
0.93812;-0.0133682;-0.040551;0.192749
0.9481;-0.011329;-0.032236;0.194551
0.95808;-0.00942616;-0.0237431;0.194394
0.96806;-0.0076123;-0.0155333;0.194598
0.97804;-0.00580931;-0.012442;0.193987
0.98802;-0.00372065;-0.00881665;0.19361
0.998;-0.00175851;9.30626e-05;0.193611
