t;vds;corrente;vg
1.8e-08;0.0168189;0;0.268506
3.6e-08;0.0175155;0;0.297905
5.4e-08;0.0188093;0;0.310056
7.2e-08;0.0203021;0;0.315544
9e-08;0.020103;0;0.32064
1.08e-07;0.019705;0;0.323775
1.26e-07;0.0209987;0;0.324559
1.44e-07;0.0224915;0;0.324559
1.62e-07;0.0247805;0;0.324559
1.8e-07;0.0264723;0;0.324559
1.98e-07;0.0278656;0;0.327303
2.16e-07;0.029657;0;0.328087
2.34e-07;0.0305526;0;0.328087
2.52e-07;0.0317469;0;0.328087
2.7e-07;0.0322445;0;0.328087
2.88e-07;0.0319459;0;0.328087
3.06e-07;0.0313488;0;0.331615
3.24e-07;0.0313488;0;0.331615
3.42e-07;0.0318464;0;0.331615
3.6e-07;0.0313488;0;0.332791
3.78e-07;0.0313488;0;0.335143
3.96e-07;0.0319459;0;0.333967
4.14e-07;0.0336378;0;0.331615
4.32e-07;0.0361258;0;0.331615
4.5e-07;0.0382157;0;0.332007
4.68e-07;0.0392109;0;0.335143
4.86e-07;0.0394099;0;0.335143
5.04e-07;0.0401066;0;0.332399
5.22e-07;0.0410022;0;0.331615
5.4e-07;0.0408032;0;0.334359
5.58e-07;0.0386138;0;0.337103
5.76e-07;0.0364243;0;0.338671
5.94e-07;0.0354291;0;0.338671
6.12e-07;0.0357277;0;0.335927
6.3e-07;0.0377181;0;0.335143
6.48e-07;0.0391114;0;0.336711
6.66e-07;0.0385142;0;0.337887
6.84e-07;0.037519;0;0.340239
7.02e-07;0.039609;0;0.338279
7.2e-07;0.0423955;0;0.334359
7.38e-07;0.0438883;0;0.333183
7.56e-07;0.0453811;0;0.335927
7.74e-07;0.0442864;0;0.339063
7.92e-07;0.0429926;0;0.339847
8.1e-07;0.0433907;0;0.338671
8.28e-07;0.044784;0;0.335143
8.46e-07;0.0439878;0;0.337103
8.64e-07;0.0415994;0;0.340631
8.82e-07;0.0399075;0;0.342199
9e-07;0.0388128;0;0.342199
9.18e-07;0.039609;0;0.339063
9.36e-07;0.0413008;0;0.338671
9.54e-07;0.0418979;0;0.338671
9.72e-07;0.042296;0;0.340631
9.9e-07;0.0423955;0;0.342199
1.008e-06;0.0432912;0;0.340239
1.026e-06;0.0457792;0;0.338279
1.044e-06;0.0471725;0;0.335535
1.062e-06;0.0468739;0;0.338671
1.08e-06;0.0457792;0;0.341807
1.098e-06;0.0442864;0;0.342199
1.116e-06;0.0429926;0;0.342199
1.134e-06;0.0429926;0;0.342199
1.152e-06;0.042097;0;0.342199
1.17e-06;0.0412013;0;0.342199
1.188e-06;0.0413008;0;0.342199
1.206e-06;0.042495;0;0.342199
1.224e-06;0.044784;0;0.339847
1.242e-06;0.0468739;0;0.338671
1.26e-06;0.0481677;0;0.338671
1.278e-06;0.0478691;0;0.341023
1.296e-06;0.0466749;0;0.342199
1.314e-06;0.0456797;0;0.342199
1.332e-06;0.044784;0;0.342199
1.35e-06;0.0443859;0;0.342199
1.368e-06;0.0423955;0;0.344942
1.386e-06;0.0407037;0;0.34651
1.404e-06;0.0403056;0;0.345334
1.422e-06;0.0416989;0;0.341807
1.44e-06;0.0441869;0;0.338671
1.458e-06;0.0465754;0;0.340631
1.476e-06;0.0479686;0;0.342199
1.494e-06;0.0483667;0;0.342983
1.512e-06;0.0483667;0;0.342199
1.53e-06;0.0492624;0;0.342199
1.548e-06;0.0486653;0;0.342199
1.566e-06;0.0467744;0;0.344158
1.584e-06;0.0440874;0;0.346902
1.602e-06;0.0414998;0;0.349254
1.62e-06;0.0403056;0;0.347294
1.638e-06;0.0404051;0;0.345726
1.656e-06;0.0412013;0;0.34455
1.674e-06;0.0418979;0;0.342199
1.692e-06;0.0426941;0;0.345726
1.71e-06;0.0440874;0;0.342983
1.728e-06;0.0457792;0;0.342199
1.746e-06;0.047471;0;0.342199
1.764e-06;0.0483667;0;0.342199
1.782e-06;0.0481677;0;0.342591
1.8e-06;0.0467744;0;0.345726
1.818e-06;0.0451821;0;0.345726
1.836e-06;0.044784;0;0.345726
1.854e-06;0.0440874;0;0.345726
1.872e-06;0.0438883;0;0.345726
1.89e-06;0.0431917;0;0.34651
1.908e-06;0.042097;0;0.34847
1.926e-06;0.042097;0;0.345726
1.944e-06;0.0426941;0;0.345726
1.962e-06;0.0434902;0;0.345726
1.98e-06;0.0440874;0;0.345726
1.998e-06;0.044784;0;0.345726
2.016e-06;0.0451821;0;0.345726
2.034e-06;0.0462768;0;0.342983
2.052e-06;0.0465754;0;0.345334
2.07e-06;0.0453811;0;0.345726
2.088e-06;0.0441869;0;0.345726
2.106e-06;0.0425946;0;0.345726
2.124e-06;0.0414003;0;0.345726
2.142e-06;0.0405046;0;0.345726
2.16e-06;0.0402061;0;0.346902
2.178e-06;0.0395094;0;0.345726
2.196e-06;0.0406042;0;0.345726
2.214e-06;0.042097;0;0.345726
2.232e-06;0.0440874;0;0.344158
2.25e-06;0.0466749;0;0.342199
2.268e-06;0.0482672;0;0.342199
2.286e-06;0.0483667;0;0.342199
2.304e-06;0.0482672;0;0.34455
2.322e-06;0.0464758;0;0.345726
2.34e-06;0.0438883;0;0.345726
2.358e-06;0.0419974;0;0.345726
2.376e-06;0.0397085;0;0.347686
2.394e-06;0.0368224;0;0.349646
