t;vds;corrente;vg
0;-0.000620767;0.0165125;-0.396697
2e-05;0.000277763;0.0190819;-0.396522
4e-05;0.00222705;0.018479;-0.397178
6e-05;0.00421884;0.017253;-0.396634
8e-05;0.00624721;0.0172853;-0.395945
0.0001;0.00806701;0.0183738;-0.397034
0.00012;0.0101497;0.0181229;-0.398235
0.00014;0.0121316;0.019272;-0.397194
0.00016;0.01425;0.0191263;-0.397418
0.00018;0.0161251;0.0173177;-0.396121
0.0002;0.0181099;0.0185801;-0.397995
0.00022;0.0200681;0.0212749;-0.398411
0.00024;0.0222052;0.0152501;-0.397947
0.00026;0.0240308;0.020324;-0.398635
0.00028;0.025998;0.0175928;-0.398699
0.0003;0.0280065;0.0191587;-0.397979
0.00032;0.0299449;0.0210523;-0.398091
0.00034;0.0318853;0.0170142;-0.397899
0.00036;0.0338861;0.0178437;-0.397179
0.00038;0.0359015;0.0171154;-0.398715
0.0004;0.038013;0.0165246;-0.398475
0.00042;0.0399018;0.0187136;-0.397995
0.00044;0.0419225;0.0206558;-0.398395
0.00046;0.0438479;0.0162414;-0.399052
0.00048;0.0458063;0.0168848;-0.398619
0.0005;0.0478265;0.0159541;-0.398587
0.00052;0.0482289;0.0192477;-0.398651
0.00054;0.0462191;0.0171275;-0.398171
0.00056;0.0443076;0.0182321;-0.398059
0.00058;0.0423275;0.0178599;-0.398091
0.0006;0.0403181;0.0145016;-0.398379
0.00062;0.0383242;0.0196847;-0.396858
0.00064;0.0363938;0.0177628;-0.398043
0.00066;0.0342666;0.0202836;-0.397371
0.00068;0.0323292;0.0188876;-0.396889
0.0007;0.0303187;0.0159218;-0.397867
0.00072;0.0283328;0.0178639;-0.397642
0.00074;0.0264913;0.0178032;-0.398155
0.00076;0.024453;0.0170628;-0.399019
0.00078;0.0226026;0.0171073;-0.398475
0.0008;0.0205673;0.0186206;-0.398331
0.00082;0.018537;0.0169414;-0.398779
0.00084;0.0165798;0.0212749;-0.398011
0.00086;0.0146463;0.0186489;-0.396586
0.00088;0.0125487;0.0188391;-0.397739
0.0009;0.0105886;0.0196038;-0.397818
0.00092;0.00854839;0.0195633;-0.397114
0.00094;0.00656946;0.0176131;-0.395881
0.00096;0.00467058;0.0181188;-0.39665
0.00098;0.00269065;0.0153432;-0.398283
0.001;0.000720603;0.0198263;-0.397963
0.00102;-0.00115356;0.0195067;-0.395897
0.00104;-0.00322542;0.0188876;-0.397915
0.00106;-0.00517866;0.0160958;-0.398379
0.00108;-0.00725744;0.0214205;-0.398331
0.0011;-0.00924526;0.0180703;-0.395561
0.00112;-0.011245;0.0175969;-0.398955
0.00114;-0.0133049;0.0184951;-0.397658
0.00116;-0.0152433;0.0195876;-0.397611
0.00118;-0.0172025;0.0190657;-0.397819
0.0012;-0.0191933;0.018309;-0.398011
0.00122;-0.0212058;0.0165166;-0.398635
0.00124;-0.0231196;0.0180258;-0.396313
0.00126;-0.0251133;0.0185316;-0.397386
0.00128;-0.0270844;0.0181512;-0.39761
0.0013;-0.0291523;0.0186691;-0.398507
0.00132;-0.0310828;0.0180581;-0.398059
0.00134;-0.0330588;0.0198749;-0.397786
0.00136;-0.035097;0.0195107;-0.397163
0.00138;-0.0370187;0.0193934;-0.399004
0.0014;-0.0390263;0.0199032;-0.399052
0.00142;-0.0409834;0.0170749;-0.398026
0.00144;-0.0430029;0.0192315;-0.398058
0.00146;-0.0450363;0.0175038;-0.397627
0.00148;-0.0469075;0.0180541;-0.398555
0.0015;-0.0488092;0.0188552;-0.396938
0.00152;-0.049577;0.0175888;-0.397675
0.00154;-0.0476093;0.019798;-0.398955
0.00156;-0.0458178;0.0169293;-0.398876
0.00158;-0.043771;0.018835;-0.399196
0.0016;-0.0416554;0.0167148;-0.398075
0.00162;-0.0398437;0.0199477;-0.398171
0.00164;-0.0378706;0.0159541;-0.398235
0.00166;-0.0358789;0.0177992;-0.399116
