t;vds;corrente;vg
0;-0.00221816;0.0188148;0
2e-05;-0.00237236;0.0205708;0
4e-05;-0.00218949;0.0153108;0
6e-05;-0.00180398;0.0189686;0
8e-05;-0.0021885;0.0167148;0
0.0001;-0.00226956;0.0199801;0
0.00012;-0.0020254;0.0189928;0
0.00014;-0.00188998;0.0189645;0
0.00016;-0.00203232;0.0170466;0
0.00018;-0.0021885;0.0174634;0
0.0002;-0.00205308;0.0207529;0
0.00022;-0.00224781;0.0196402;0
0.00024;-0.00174072;0.0172408;0
0.00026;-0.000536746;0.0254991;0
0.00028;-0.000419116;0.0267373;0
0.0003;-0.000389462;0.0221812;0
0.00032;0.00130282;0.028028;0
0.00034;0.00308604;0.0344736;0
0.00036;0.0052093;0.0432457;0
0.00038;0.00673157;0.0498977;0
0.0004;0.00874707;0.0583542;0
0.00042;0.0108031;0.0659652;0
0.00044;0.0126011;0.073398;0
0.00046;0.0144219;0.0781199;0
0.00048;0.0164592;0.0843713;0
0.0005;0.0183541;0.0926054;0
0.00052;0.0205505;0.100127;0
0.00054;0.0220382;0.105464;0
0.00056;0.0244777;0.10826;0
0.00058;0.0261176;0.118351;0
0.0006;0.0278603;0.129058;0
0.00062;0.0294823;0.137073;0
0.00064;0.0317361;0.142216;0
0.00066;0.0334798;0.147176;0
0.00068;0.0356317;0.153464;0
0.0007;0.0374298;0.163232;0
0.00072;0.0393692;0.169038;0
0.00074;0.0412978;0.178045;0
0.00076;0.0432539;0.184434;0
0.00078;0.0449156;0.193032;0
0.0008;0.0465398;0.195043;0
0.00082;0.0453425;0.190321;0
0.00084;0.0434625;0.182423;0
0.00086;0.0414776;0.176706;0
0.00088;0.0395452;0.167517;0
0.0009;0.0378389;0.163151;0
0.00092;0.0359589;0.153497;0
0.00094;0.0336874;0.148305;0
0.00096;0.031918;0.142224;0
0.00098;0.0301397;0.13488;0
0.001;0.0282765;0.125311;0
0.00102;0.026265;0.122555;0
0.00104;0.0242781;0.114439;0
0.00106;0.0224662;0.105549;0
0.00108;0.0206553;0.0989781;0
0.0011;0.0185844;0.0935359;0
0.00112;0.0167389;0.0883042;0
0.00114;0.0146601;0.0806447;0
0.00116;0.0129135;0.0737258;0
0.00118;0.0109267;0.0669889;0
0.0012;0.00889139;0.0594994;0
0.00122;0.00718429;0.0521595;0
0.00124;0.0051322;0.0471463;0
0.00126;0.00321356;0.0363834;0
0.00128;0.0014847;0.0326649;0
0.0013;-0.000258982;0.024698;0
0.00132;-0.00233875;0.0170992;0
0.00134;-0.00439479;0.0145865;0
0.00136;-0.00623831;0.00414331;0
0.00138;-0.00818464;-0.00241963;0
0.0014;-0.00984724;-0.00996577;0
0.00142;-0.0120338;-0.0142304;0
0.00144;-0.0141076;-0.0214651;0
0.00146;-0.0156358;-0.0291124;0
0.00148;-0.0178252;-0.0366707;0
0.0015;-0.0195788;-0.0425457;0
0.00152;-0.0214233;-0.050707;0
0.00154;-0.0235782;-0.0547208;0
0.00156;-0.0252902;-0.0636953;0
0.00158;-0.0272949;-0.0698698;0
0.0016;-0.0292452;-0.0773552;0
0.00162;-0.031237;-0.0822389;0
0.00164;-0.03321;-0.0871673;0
0.00166;-0.0351286;-0.0940295;0
0.00168;-0.0369425;-0.100548;0
0.0017;-0.0388799;-0.106456;0
0.00172;-0.040835;-0.115098;0
0.00174;-0.0426777;-0.118922;0
0.00176;-0.0447396;-0.122689;0
0.00178;-0.0464823;-0.129462;0
0.0018;-0.0478681;-0.137712;0
0.00182;-0.0469075;-0.135163;0
0.00184;-0.045213;-0.129049;0
0.00186;-0.0433836;-0.118598;0
0.00188;-0.0411563;-0.11666;0
0.0019;-0.0395858;-0.108208;0
0.00192;-0.037412;-0.10385;0
0.00194;-0.0356308;-0.0930544;0
0.00196;-0.0335193;-0.0900279;0
0.00198;-0.0318142;-0.0832101;0
0.002;-0.0300696;-0.0731391;0
0.00202;-0.0279434;-0.0693033;0
0.00204;-0.0258033;-0.0625421;0
0.00206;-0.0239657;-0.0587144;0
0.00208;-0.0220135;-0.0529121;0
0.0021;-0.0203202;-0.0456573;0
0.00212;-0.0181821;-0.0373747;0
0.00214;-0.016304;-0.0308765;0
0.00216;-0.0145445;-0.0242205;0
0.00218;-0.0126298;-0.0191951;0
0.0022;-0.0106825;-0.00888544;0
0.00222;-0.00877277;-0.00417568;0
0.00224;-0.00679879;0.0010075;0
0.00226;-0.00501358;0.0101883;0
0.00228;-0.00312163;0.0129842;0
0.0023;-0.00107843;0.0212385;0
0.00232;0.000726535;0.0274211;0
0.00234;0.00281421;0.0352869;0
0.00236;0.00481391;0.0400695;0
0.00238;0.00659713;0.0502416;0
0.0024;0.0085731;0.056493;0
0.00242;0.0105313;0.0622225;0
0.00244;0.0122384;0.0714194;0
0.00246;0.0141105;0.0803089;0
0.00248;0.0162358;0.085836;0
0.0025;0.0179449;0.0870337;0
0.00252;0.0200137;0.096162;0
0.00254;0.0218661;0.104109;0
0.00256;0.0237492;0.108657;0
0.00258;0.025657;0.119262;0
0.0026;0.0274965;0.124364;0
0.00262;0.0294389;0.133294;0
0.00264;0.0312834;0.139468;0
0.00266;0.0332159;0.14536;0
0.00268;0.0352087;0.155062;0
0.0027;0.0372569;0.159663;0
0.00272;0.039214;0.165927;0
0.00274;0.0410824;0.174452;0
0.00276;0.0430296;0.17953;0
0.00278;0.0447712;0.1881;0
0.0028;0.0465625;0.196726;0
0.00282;0.0458298;0.18886;0
0.00284;0.0438936;0.185235;0
0.00286;0.0420636;0.177216;0
0.00288;0.0400908;0.171134;0
0.0029;0.0380811;0.164931;0
0.00292;0.0363879;0.155835;0
0.00294;0.0341915;0.150106;0
0.00296;0.0322403;0.14156;0
0.00298;0.0303681;0.134637;0
0.003;0.0283111;0.130065;0
0.00302;0.0269005;0.12082;0
0.00304;0.0245548;0.114091;0
0.00306;0.0226451;0.108034;0
0.00308;0.0211248;0.0972868;0
0.0031;0.0191488;0.092318;0
0.00312;0.0172114;0.0860019;0
0.00314;0.0152671;0.0789495;0
0.00316;0.0132516;0.0713952;0
0.00318;0.0113132;0.0651115;0
0.0032;0.00918497;0.0599687;0
0.00322;0.00759254;0.0512937;0
0.00324;0.00566697;0.0455075;0
0.00326;0.00401126;0.0395637;0
0.00328;0.00198191;0.0321632;0
0.0033;1.28503e-05;0.0249772;0
0.00332;-0.00176148;0.0179327;0
0.00334;-0.00377996;0.0115802;0
0.00336;-0.00570256;0.00723055;0
0.00338;-0.00773686;-0.00195027;0
0.0034;-0.00971677;-0.00890972;0
0.00342;-0.0111303;-0.0148253;0
0.00344;-0.013471;-0.0170911;0
0.00346;-0.0154124;-0.0256326;0
0.00348;-0.0172302;-0.033814;0
0.0035;-0.0193504;-0.0418538;0
0.00352;-0.0213136;-0.0460255;0
0.00354;-0.0231512;-0.0523538;0
0.00356;-0.0252478;-0.0567884;0
0.00358;-0.026774;-0.0679276;0
0.0036;-0.0290139;-0.0710714;0
0.00362;-0.0309355;-0.0771083;0
0.00364;-0.0327583;-0.0857308;0
0.00366;-0.03475;-0.0931233;0
0.00368;-0.036205;-0.0982822;0
0.0037;-0.0386753;-0.102806;0
0.00372;-0.0404119;-0.110753;0
0.00374;-0.0422042;-0.112379;0
0.00376;-0.0443471;-0.126286;0
0.00378;-0.0461384;-0.128738;0
0.0038;-0.048038;-0.136592;0
0.00382;-0.0475144;-0.135875;0
0.00384;-0.0456005;-0.126966;0
0.00386;-0.0437492;-0.122365;0
0.00388;-0.0417009;-0.116571;0
0.0039;-0.0397271;-0.110906;0
0.00392;-0.0379466;-0.100572;0
0.00394;-0.0360173;-0.0984076;0
0.00396;-0.0341846;-0.0888464;0
0.00398;-0.0320159;-0.0837198;0
0.004;-0.0302248;-0.0808673;0
0.00402;-0.0285009;-0.0716379;-0.000112048
0.00404;-0.0262945;-0.0637924;0
0.00406;-0.0246981;-0.0566144;0
0.00408;-0.0225324;-0.0509983;0
0.0041;-0.0206474;-0.0459001;0
0.00412;-0.0188789;-0.0386128;0
0.00414;-0.0169672;-0.0309251;0
0.00416;-0.014927;-0.0243905;0
0.00418;-0.0128018;-0.0175726;0
0.0042;-0.0109771;-0.0128183;0
0.00422;-0.00918002;-0.00502537;0
0.00424;-0.00732169;0.00161848;0
0.00426;-0.00522907;0.0066479;0
0.00428;-0.00329955;0.0128709;0
0.0043;-0.00145603;0.0205223;0
0.00432;0.000339049;0.0268182;0
0.00434;0.00216379;0.0311274;0
0.00436;0.00433054;0.0410568;0
0.00438;0.00613947;0.0467497;0
0.0044;0.00797211;0.0544659;0
0.00442;0.010212;0.0604744;0
0.00444;0.0118805;0.0692143;0
0.00446;0.0139899;0.072172;0
0.00448;0.0157099;0.0815025;0
0.0045;0.0177254;0.0851037;0
0.00452;0.0194394;0.0948267;0
0.00454;0.0215241;0.101467;0
0.00456;0.0234625;0.10928;0
0.00458;0.0254207;0.113002;0
0.0046;0.0272109;0.12311;0
0.00462;0.0290416;0.131279;0
0.00464;0.0310008;0.137344;0
0.00466;0.03313;0.142851;0
0.00468;0.0348281;0.150154;0
0.0047;0.0365144;0.158623;0
0.00472;0.0386022;0.166117;0
0.00474;0.0405286;0.17062;0
0.00476;0.0424879;0.17864;0
0.00478;0.0444222;0.186056;0
0.0048;0.0462135;0.194675;0
0.00482;0.0460028;0.193574;0
0.00484;0.0443146;0.185243;0
0.00486;0.0425156;0.176394;0
0.00488;0.0403646;0.171377;0
0.0049;0.0383599;0.162649;0
0.00492;0.0364531;0.155269;0
0.00494;0.0345315;0.151777;0
0.00496;0.0324913;0.141807;0
0.00498;0.0308702;0.138902;0
0.005;0.0287697;0.127779;0
0.00502;0.0270082;0.125436;0
0.00504;0.0251034;0.112472;-6.40272e-05
0.00506;0.0231828;0.110182;0
0.00508;0.0213906;0.101078;0
0.0051;0.0194414;0.095381;0
0.00512;0.0174565;0.0871267;0
0.00514;0.0154687;0.0792084;0
0.00516;0.0136143;0.0715489;0
0.00518;0.0119171;0.0649657;0
0.0052;0.00987394;0.0607092;0
0.00522;0.00800473;0.0545266;0
0.00524;0.00579251;0.0482145;0
0.00526;0.00411604;0.0415463;0
0.00528;0.00232985;0.0345909;0
0.0053;0.000444817;0.0277043;0
0.00532;-0.00154203;0.0202188;0
0.00534;-0.00361884;0.0114103;0
0.00536;-0.00523995;0.00918081;0
0.00538;-0.007467;-0.000481498;0
0.0054;-0.00926899;-0.00596004;0
0.00542;-0.0112855;-0.00920509;0
0.00544;-0.0131666;-0.0215662;0
0.00546;-0.0150397;-0.0259442;0
0.00548;-0.0169089;-0.0316696;0
0.0055;-0.0188918;-0.0416515;0
0.00552;-0.0208886;-0.0499624;0
0.00554;-0.0227746;-0.0562786;0
0.00556;-0.0246636;-0.0559994;0
0.00558;-0.0264626;-0.068223;0
