t;vds;corrente;vg
0;-0.00209064;0.0199194;0
2e-05;-0.00201947;0.0187339;0
4e-05;-0.0022053;0.0153877;0
6e-05;-0.00205506;0.0215298;0.0484205
8e-05;-0.00198388;0.0190009;0.00102444
0.0001;-0.00216972;0.0177142;0.138411
0.00012;-0.00231503;0.0192397;0.379025
0.00014;-0.00214303;0.0188027;0.391382
0.00016;-0.00234171;0.022161;0.391382
0.00018;-0.00245242;0.0155091;0.391382
0.0002;-0.00196411;0.0198264;0.391382
0.00022;-0.000451737;0.0228044;0.391382
0.00024;-0.000702811;0.0192396;0.391382
0.00026;-0.000630652;0.0209431;0.391382
0.00028;0.000503137;0.0214327;0.391382
0.0003;0.00211634;0.0256569;0.391382
0.00032;0.00433054;0.0301927;0.391382
0.00034;0.00616714;0.0328875;0.391382
0.00036;0.00801264;0.0340285;0.391382
0.00038;0.010126;0.0390256;0.391382
0.0004;0.012015;0.0449047;0.391382
0.00042;0.0140324;0.0470896;0.391382
0.00044;0.0158384;0.0541745;0.391382
0.00046;0.0178361;0.052107;0.391382
0.00048;0.0198348;0.0571647;0.391382
0.0005;0.0217979;0.0615589;0.391382
0.00052;0.0236751;0.0618461;0.391382
0.00054;0.0258457;0.0655039;0.391382
0.00056;0.0274955;0.0690848;0.391382
0.00058;0.0295832;0.0722853;0.391382
0.0006;0.0314475;0.076113;0.391382
0.00062;0.033297;0.0794713;0.391382
0.00064;0.0351138;0.0850591;0.391382
0.00066;0.037336;0.0868273;0.391382
0.00068;0.0393178;0.0912741;0.391382
0.0007;0.041368;0.0915169;0.391382
0.00072;0.0432094;0.0977481;0.391382
0.00074;0.045144;0.0975822;0.391382
0.00076;0.0470249;0.0994879;0.391382
0.00078;0.047294;0.104696;0.391382
0.0008;0.0453227;0.0985251;0.391382
0.00082;0.0431374;0.0930058;0.391382
0.00084;0.041357;0.0948186;0.391382
0.00086;0.0393386;0.0903394;0.391382
0.00088;0.0373784;0.0861881;0.391382
0.0009;0.0354419;0.0825019;0.391382
0.00092;0.0335332;0.0787551;0.391382
0.00094;0.0316047;0.0773107;0.391382
0.00096;0.0295912;0.0732604;0.391382
0.00098;0.0277081;0.0679924;0.391382
0.001;0.0256283;0.0652733;0.391382
0.00102;0.0238085;0.0647311;0.391382
0.00104;0.0217594;0.0618704;0.391382
0.00106;0.0201205;0.0553965;0.391382
0.00108;0.0180575;0.0517064;0.391382
0.0011;0.0160519;0.0522971;0.391382
0.00112;0.0138802;0.0470694;0.391382
0.00114;0.0119566;0.0458919;0.391382
0.00116;0.00990457;0.0389123;0.391382
0.00118;0.00811445;0.0365655;0.391382
0.0012;0.00626698;0.0339921;0.391382
0.00122;0.00434141;0.0317667;0.391382
0.00124;0.00236643;0.0242043;0.391382
0.00126;0.000622743;0.0207934;0.391382
0.00128;-0.00134038;0.0179044;0.391382
0.0013;-0.00325112;0.0172813;0.391382
0.00132;-0.00529926;0.00800337;0.391382
0.00134;-0.00741856;0.0129276;0.391382
0.00136;-0.00929468;0.00328552;0.391382
0.00138;-0.0111105;0.00279997;0.391382
0.0014;-0.0132921;-0.00486758;0.391382
0.00142;-0.0152325;-0.00767968;0.391382
0.00144;-0.0171501;-0.0134495;0.391382
0.00146;-0.0192002;-0.0162536;0.391382
0.00148;-0.0212078;-0.0172934;0.391382
0.0015;-0.0228714;-0.0217119;0.391382
0.00152;-0.0249957;-0.0266037;0.391382
0.00154;-0.0267829;-0.0295898;0.391382
0.00156;-0.0288152;-0.0327418;0.391382
0.00158;-0.0308169;-0.0366383;0.391382
0.0016;-0.0327197;-0.0384591;0.391382
0.00162;-0.0345404;-0.0476197;0.391382
0.00164;-0.0366844;-0.0484128;0.391382
0.00166;-0.038275;-0.0546115;0.391382
0.00168;-0.0404515;-0.0580994;0.391382
0.0017;-0.0423327;-0.0625502;0.391366
0.00172;-0.0443915;-0.0656212;0.391382
0.00174;-0.0461937;-0.0727506;0.391382
0.00176;-0.0479521;-0.072172;0.391382
0.00178;-0.0482744;-0.0750529;0.391382
0.0018;-0.0466396;-0.0722691;0.391382
0.00182;-0.0447248;-0.0697646;0.391382
0.00184;-0.0429258;-0.0641808;0.391382
0.00186;-0.040932;-0.0606809;0.391382
