t;vds;corrente;vg
0.000499;-0.00829207;-0.000827435;-0.00500597
0.000998;-0.00796486;-0.00249499;-0.00399398
0.001497;-0.00796486;-0.00298561;-0.00399398
0.001996;-0.00738222;-0.00326083;-0.00386592
0.002495;-0.00598956;-0.00375744;-0.00398597
0.002994;-0.0059736;-0.00361683;-0.00394595
0.003493;-0.00551074;-0.00355999;-0.00399398
0.003992;-0.00410214;-0.00405062;-0.0038339
0.004491;-0.00398243;-0.00431987;-0.00377787
0.00499;-0.00397844;-0.00387411;-0.00357777
0.005489;-0.00260973;-0.00299458;-0.0036258
0.005988;-0.00199121;-0.00272236;-0.00388993
0.006487;-0.0019154;-0.00171418;-0.00390593
0.006986;-0.000474858;-0.00147785;-0.00399398
0.007485;0;-0.000903465;-0.00386592
0.007984;0;0;-0.00399398
0.008483;0.000774139;0.00100518;-0.00385791
0.008982;0.00195131;0.00172017;-0.00385791
0.009481;0.00199121;0.00283603;-0.00349773
0.00998;0.00199121;0.00299159;-0.00360979
0.010479;0.00302074;0.00404464;-0.0038419
0.010978;0.00398243;0.00435877;-0.00372184
0.011477;0.00398243;0.00447843;-0.00398597
0.011976;0.00459295;0.00447544;-0.0038339
0.012475;0.00592572;0.00454425;-0.00376186
0.012974;0.0059736;0.004634;-0.00360178
0.013473;0.00649636;0.00451733;-0.00368182
0.013972;0.00786111;0.00407754;-0.0038339
0.014471;0.00796486;0.00300655;-0.00399398
0.01497;0.00796486;0.00280911;-0.00396997
0.015469;0.00818033;0.00171418;-0.00392194
0.015968;0.00966072;0.00131929;-0.0038419
0.016467;0.009956;2.9916e-05;-0.00328963
0.016966;0.009956;-0.000792775;-0.00371384
0.017465;0.01077;-0.00178;-0.00367382
0.017964;0.0119472;-0.00297065;-0.0034257
0.018463;0.0119592;-0.00313519;-0.00384991
0.018962;0.0128132;-0.00375445;-0.00380989
0.019461;0.0139026;-0.00337152;-0.00397797
0.01996;0.0139385;-0.00327579;-0.00396997
0.020459;0.0144772;-0.00389206;-0.00387392
0.020958;0.0159297;-0.00430791;-0.00392995
0.021457;0.0159297;-0.00421516;-0.00399398
0.021956;0.0165801;-0.00364076;-0.00396997
0.022455;0.0178929;-0.00283304;-0.00393795
0.022954;0.0179248;-0.00181589;-0.00386592
0.023453;0.0187388;-0.00148383;-0.00364981
0.023952;0.0198921;-0.00130134;-0.00399398
0.024451;0.019912;-0.000182488;-0.00396196
0.02495;0.019912;0.000356;-0.00375386
0.025449;0.0209017;0.0014958;-0.00374586
0.025948;0.0218993;0.00239926;-0.00392194
0.026447;0.0219033;0.00298561;-0.00392194
0.026946;0.0223462;0.00348222;-0.00394595
0.027445;0.0237548;0.00428696;-0.00395396
0.027944;0.0238944;0.00438569;-0.00394595
0.028443;0.0239503;0.00447843;-0.00396997
0.028942;0.0256544;0.00456519;-0.00392995
0.029441;0.0258859;0.00488529;-0.00399398
0.02994;0.0258859;0.00461306;-0.00393795
0.030439;0.0263048;0.00443655;-0.00399398
0.030938;0.0276935;0.0030574;-0.00399398
0.031437;0.027877;0.00287492;-0.00379388
0.031936;0.0279608;0.00224071;-0.0034337
0.032435;0.0294453;0.00154665;-0.00388192
0.032934;0.0298683;0.000385916;-0.00378588
0.033433;0.0298683;-0.000415832;-0.00388993
0.033932;0.0308778;-0.00152272;-0.00392995
0.034431;0.0318594;-0.0028091;-0.00390593
0.03493;0.0318594;-0.00302749;-0.00399398
0.035429;0.0327093;-0.00339246;-0.00396997
0.035928;0.0338266;-0.00331169;-0.00390593
0.036427;0.0338505;-0.0033805;-0.00368983
0.036926;0.0341658;-0.00354205;-0.00374586
0.037425;0.0356741;-0.00408652;-0.00340969
0.037924;0.0358417;-0.00422114;-0.0034257
0.038423;0.0358417;-0.0038053;-0.00393795
0.038922;0.0369071;-0.00298561;-0.00365781
0.039421;0.0378249;-0.00219583;-0.00333765
0.03992;0.0378329;-0.0014928;-0.00358578
0.040419;0.0379606;-0.00148084;-0.00384991
0.040918;0.0395567;-0.000720976;-0.0032176
0.041417;0.039824;5.9832e-05;-0.00376186
0.041916;0.040227;0.00139707;-0.00370584
0.042415;0.0417433;0.00192659;-0.00372184
0.042914;0.0418151;0.00297065;-0.00381789
0.043413;0.0422461;0.00317707;-0.00399398
0.043912;0.0437188;0.0041314;-0.00391394
0.044411;0.0438066;0.00436774;-0.00392995
0.04491;0.0438066;0.00445749;-0.00384991
0.045409;0.0447722;0.00447843;-0.00399398
0.045908;0.0457977;0.00461006;-0.0036258
0.046407;0.0458336;0.00457118;-0.00374586
0.046906;0.0465638;0.00447843;-0.00399398
0.047405;0.0477888;0.00372452;-0.00399398
0.047904;0.0477888;0.00293774;-0.00390593
0.048403;0.0478646;0.00274329;-0.00397797
0.048902;0.0495166;0.00158554;-0.00394595
0.049401;0.0497799;0.000999196;-0.00392194
0.0499;0.0497799;-3.58992e-05;-0.00373785
0.050399;0.0505985;-0.00122356;-0.00392995
0.050898;0.0517638;-0.00218387;-0.00380989
0.051397;0.0517717;-0.00295569;-0.00397797
0.051896;0.0526815;-0.00332067;-0.00399398
0.052395;0.0537629;-0.0035929;-0.00364981
0.052894;0.0537629;-0.0034493;-0.00320159
0.053393;0.0550238;-0.00315613;-0.00336167
0.053892;0.0557541;-0.00383223;-0.00364981
0.054391;0.0557541;-0.00428397;-0.00392995
0.05489;0.0560733;-0.00392497;-0.00344971
0.055389;0.0575377;-0.0032369;-0.00381789
0.055888;0.0577452;-0.00280313;-0.00336167
0.056387;0.058248;-0.00172016;-0.00348173
0.056886;0.0597206;-0.0014928;-0.00379388
0.057385;0.0597366;-0.000909448;-0.00395396
0.057884;0.0598084;-2.9916e-06;-0.00380188
0.058383;0.061189;0.000873548;-0.00361779
0.058882;0.0617277;0.00159153;-0.00379388
0.059381;0.0618155;0.00274329;-0.00327362
0.05988;0.0628529;0.00303347;-0.00372184
0.060379;0.0637189;0.00400874;-0.0036338
0.060878;0.0637189;0.00446048;-0.00304951
0.061377;0.0641179;0.00446647;-0.00332165
0.061876;0.0655504;0.00447843;-0.00389793
0.062375;0.06571;0.00450835;-0.00344171
0.062874;0.06571;0.00460408;-0.00352975
0.063373;0.0663364;0.00455023;-0.00190495
0.063872;0.0676772;0.00439466;-0.00309754
0.064371;0.0677011;0.00307535;-0.00253726
0.06487;0.0681679;0.00283603;-0.00232115
0.065369;0.0696922;0.00189367;-0.00244922
0.065868;0.0696922;0.00142101;-0.00310554
0.066367;0.0703945;0.000137614;-0.00274536
0.066866;0.0716594;-0.000526521;-0.00114457
0.067365;0.0716834;-0.00166034;-0.00185692
0.067864;0.0716834;-0.00288988;-0.00173686
0.068363;0.0719467;-0.00302749;-0.00312955
0.068862;0.0735947;-0.00337751;-0.0034257
0.069361;0.0736745;-0.0034164;-0.00384991
0.06986;0.0736745;-0.0033087;-0.00360979
0.070359;0.0743688;-0.0035211;-0.00396196
0.070858;0.0756538;-0.00432287;-0.00334566
0.071357;0.0756658;-0.00429295;-0.00374586
0.071856;0.0768548;-0.00357793;-0.00359378
0.072355;0.0776569;-0.00298262;-0.00360979
0.072854;0.0776569;-0.00189367;-0.00360979
0.073353;0.0784749;-0.0014928;-0.00380188
0.073852;0.079648;-0.00129835;-0.00370584
0.074351;0.079656;-0.00029916;-0.00388192
0.07485;0.0806137;0.000341042;-0.00364981
0.075349;0.0816391;0.00148084;-0.00399398
0.075848;0.0816391;0.00247704;-0.00399398
0.076347;0.0826726;0.00298561;-0.00372184
0.076846;0.0836023;0.0034164;-0.0036418
0.077345;0.0836302;0.00421217;-0.00396997
0.077844;0.0838457;0.00444852;-0.00389793
0.078343;0.0854943;0.00446647;-0.00398597
0.078842;0.085622;0.00453827;-0.00387392
