t;vds;corrente;vg
0.000499;-0.0513723;-0.00270822;0.191985
0.000998;-0.0498158;-0.00382924;0.195722
0.001497;-0.0497799;-0.004275;0.19581
0.001996;-0.0489979;-0.00409251;0.195706
0.002495;-0.0478168;-0.00345827;0.195738
0.002994;-0.0477888;-0.00296467;0.195706
0.003493;-0.0471584;-0.00169623;0.195706
0.003992;-0.0457977;-0.0014928;0.195706
0.004491;-0.0457977;-0.0012475;0.195746
0.00499;-0.045267;-0.000460706;0.195706
0.005489;-0.0438944;0.000427798;0.195706
0.005988;-0.0438066;0.0015676;0.195706
0.006487;-0.0437347;0.00256679;0.195714
0.006986;-0.0424257;0.00298561;0.195706
0.007485;-0.0418151;0.00326682;0.195706
0.007984;-0.0417553;0.00415832;0.195706
0.008483;-0.0404944;0.00436475;0.195706
0.008982;-0.039824;0.00447843;0.195706
0.009481;-0.039824;0.00459809;0.195706
0.00998;-0.0389542;0.00471178;0.195706
0.010479;-0.0378608;0.00460109;0.195706
0.010978;-0.0378329;0.00432885;0.195706
0.011477;-0.0377291;0.00321895;0.19593
0.011976;-0.0364682;0.00295569;0.195754
0.012475;-0.0358417;0.00226763;0.195842
0.012974;-0.0358417;0.00156161;0.196042
0.013473;-0.035287;0.000517546;0.195714
0.013972;-0.0338505;-0.000272236;0.195818
0.014471;-0.0338505;-0.00148981;0.19573
0.01497;-0.0337109;-0.00266252;0.195706
0.015469;-0.0323542;-0.00298561;0.195706
0.015968;-0.0318594;-0.00322194;0.195706
0.016467;-0.0318515;-0.00329374;0.195706
0.016966;-0.0300319;-0.00350016;0.195738
0.017465;-0.0298882;-0.00385318;0.195786
0.017964;-0.0298683;-0.00422713;0.195914
0.018463;-0.028723;-0.00402669;0.195714
0.018962;-0.027877;-0.00356896;0.195706
0.019461;-0.027877;-0.00298561;0.195706
0.01996;-0.0275818;-0.00251893;0.19573
0.020459;-0.0259856;-0.0016005;0.196362
0.020958;-0.0258859;-0.00148682;0.195794
0.021457;-0.0258859;-0.000529512;0.195778
0.021956;-0.0246446;0.000188471;0.195746
0.022455;-0.0238944;0.0012116;0.19577
0.022954;-0.0238665;0.0021001;0.195802
0.023453;-0.0223462;0.00298561;0.195794
0.023952;-0.0219033;0.00303946;0.195874
0.024451;-0.0217836;0.00424508;0.195794
0.02495;-0.0205106;0.00437971;0.195706
0.025449;-0.019912;0.00447843;0.19573
0.025948;-0.019912;0.00447843;0.195842
0.026447;-0.0191259;0.0045981;0.195754
0.026946;-0.0180046;0.00450536;0.195842
0.027445;-0.0179208;0.00447843;0.195858
0.027944;-0.0177014;0.00385017;0.195826
0.028443;-0.0161173;0.00298561;0.195706
0.028942;-0.0159297;0.00270441;0.195706
0.029441;-0.0158499;0.00163341;0.195706
0.02994;-0.0146209;0.00104706;0.195706
0.030439;-0.0139385;0;0.19593
0.030938;-0.0139385;-0.00115177;0.19597
0.031437;-0.0138427;-0.00198642;0.195762
0.031936;-0.0120709;-0.00298261;0.19573
0.032435;-0.0119472;-0.00321596;0.195914
0.032934;-0.0114604;-0.00323989;0.196106
0.033433;-0.0100717;-0.00326981;0.195954
0.033932;-0.009956;-0.00317407;0.196403
0.034431;-0.00990812;-0.0037036;0.195866
0.03493;-0.00816837;-0.00410148;0.196299
0.035429;-0.00796486;-0.00406558;0.19577
0.035928;-0.00796087;-0.00318604;0.19605
0.036427;-0.00698716;-0.00291381;0.19605
0.036926;-0.0059736;-0.0016005;0.195842
0.037425;-0.0059736;-0.00143596;0.196947
0.037924;-0.00498801;-0.00107399;0.196739
0.038423;-0.00401834;0;0.196883
0.038922;-0.00398243;0.000798758;0.19609
0.039421;-0.00380286;0.00158255;0.195882
0.03992;-0.00218674;0.00290483;0.195826
0.040419;-0.00199121;0.00301851;0.195826
0.040918;-0.00188746;0.00389805;0.196162
0.041417;-0.000175578;0.00430492;0.19617
0.041916;0;0.00441262;0.195706
0.042415;0;0.00447843;0.195746
0.042914;0.00120909;0.00450835;0.195738
0.043413;0.00199121;0.00492718;0.195794
0.043912;0.00199121;0.00456818;0.195706
0.044411;0.00209896;0.00430491;0.195842
0.04491;0.00309656;0.00307535;0.195906
0.045409;0.00398243;0.00289885;0.195722
0.045908;0.00398243;0.00185777;0.195786
0.046407;0.00539501;0.00151075;0.195706
0.046906;0.0059736;0.000344034;0.195746
0.047405;0.0059736;-0.000574387;0.195794
0.047904;0.00675176;-0.00156461;0.195706
0.048403;0.00796486;-0.00285697;0.195706
0.048902;0.00796486;-0.00298561;0.195706
0.049401;0.00796486;-0.0031292;0.195706
0.0499;0.00828009;-0.00311125;0.195706
0.050399;0.00988817;-0.00317108;0.195706
0.050898;0.009956;-0.0035929;0.195706
0.051397;0.009956;-0.00427201;0.195706
0.051896;0.0114085;-0.00415533;0.195706
0.052395;0.0119352;-0.0034822;0.195706
0.052894;0.0119592;-0.00298561;0.195738
0.053393;0.0134357;-0.00192957;0.19577
0.053892;0.0139385;-0.00147785;0.195714
0.054391;0.0140103;-0.00141801;0.195706
0.05489;0.0152833;-0.000158555;0.195706
0.055389;0.0159297;0.000356;0.195706
0.055888;0.0159297;0.00145092;0.195706
0.056387;0.0171028;0.00248901;0.19573
0.056886;0.0179208;0.0029886;0.195706
0.057385;0.0179328;0.00318605;0.195722
0.057884;0.0188067;0.00418525;0.195706
0.058383;0.0198841;0.0044186;0.195706
0.058882;0.019912;0.0044904;0.195706
0.059381;0.019912;0.00459211;0.195706
0.05988;0.0209974;0.00472674;0.195706
0.060379;0.0219033;0.00453827;0.195706
0.060878;0.0219033;0.00442757;0.195762
0.061377;0.0226814;0.00347024;0.195714
0.061876;0.0238944;0.00298561;0.195706
0.062375;0.0238944;0.00265056;0.195706
0.062874;0.0240341;0.00150776;0.195706
0.063373;0.0257223;0.000744909;0.195706
0.063872;0.0258859;-9.87228e-05;0.195706
0.064371;0.0258859;-0.00144793;0.195706
0.06487;0.0262849;-0.00230054;0.195706
0.065369;0.0277254;-0.00298561;0.19577
0.065868;0.027877;-0.00315015;0.19597
0.066367;0.0281444;-0.00321895;0.19573
0.066866;0.0295171;-0.00326981;0.195706
0.067365;0.0298683;-0.00335058;0.195706
0.067864;0.0298683;-0.00404763;0.195706
0.068363;0.0307302;-0.00417029;0.195706
0.068862;0.0318195;-0.00368265;0.195706
0.069361;0.0318594;-0.00300356;0.19585
0.06986;0.0328051;-0.00253389;0.195706
0.070359;0.0338346;-0.00161247;0.195738
0.070858;0.0338505;-0.00142998;0.19581
0.071357;0.0346486;-0.000714993;0.195978
0.071856;0.0358417;6.28236e-05;0.195794
0.072355;0.0358417;0.00119963;0.195714
0.072854;0.0358816;0.00165435;0.19585
0.073353;0.0371266;0.00289885;0.196026
0.073852;0.0378329;0.00310827;0.195874
0.074351;0.0378329;0.0041314;0.195762
0.07485;0.0382718;0.00439466;0.195706
0.075349;0.0394968;0.0044545;0.196058
0.075848;0.0398759;0.00447843;0.195946
0.076347;0.0407138;0.00455023;0.195834
0.076846;0.0417313;0.00454425;0.195882
0.077345;0.0418151;0.00448442;0.195706
0.077844;0.0423818;0.00408651;0.195706
0.078343;0.0437627;0.00300655;0.195818
0.078842;0.0438066;0.00276125;0.195794
0.079341;0.0438385;0.00176504;0.19573
0.07984;0.045231;0.00137314;0.195906
0.080339;0.0457977;6.28236e-05;0.19573
0.080838;0.0457977;-0.000834657;0.19573
0.081337;0.0466835;-0.00182787;0.19573
0.081836;0.0477888;-0.00298561;0.19577
0.082335;0.0477888;-0.00312921;0.19585
0.082834;0.0484193;-0.00340143;0.19589
0.083333;0.0495605;-0.00317109;0.19589
0.083832;0.0497799;-0.00317408;0.195706
0.084331;0.0499037;-0.00378736;0.195706
