t;vds;corrente;vg
0;0.00983622;0.00916;-0.000453172
2e-05;0.011876;0.0111717;-0.000471523
4e-05;0.0139003;0.0131933;-0.000419663
6e-05;0.015796;0.015217;-0.00041328
8e-05;0.017752;0.017206;-0.000455566
0.0001;0.0196952;0.0192109;-0.00041328
0.00012;0.0217301;0.0211999;-0.000439609
0.00014;0.0236949;0.0232098;-0.00042445
0.00016;0.0256402;0.025186;-0.000434822
0.00018;0.0276711;0.0272441;-0.000430035
0.0002;0.0296853;0.0293209;-0.000455566
0.00022;0.0318397;0.0312892;-0.000439609
0.00024;0.0337622;0.03323;-0.000438013
0.00026;0.0358099;0.0352762;-0.000414078
0.00028;0.0378529;0.0373365;-0.000421259
0.0003;0.0398187;0.0392694;-0.000479501
0.00032;0.0417718;0.0412634;-0.00045397
0.00034;0.0437906;0.0433224;-0.00049466
0.00036;0.0456944;0.0452533;-0.000437215
0.00038;0.047618;0.0473043;-0.000415674
0.0004;0.0491652;0.0488456;-0.000404504
0.00042;0.0478135;0.0474228;-0.000430035
0.00044;0.0458218;0.0454464;-0.000402908
0.00046;0.0439032;0.0433756;-0.000475512
0.00048;0.0418238;0.0413621;-0.000501043
0.0005;0.0399005;0.0393808;-0.000560084
0.00052;0.0378499;0.0373768;-0.000434822
0.00054;0.0358938;0.0353503;-0.000496256
0.00056;0.0338085;0.0332922;-0.000601572
0.00058;0.0317439;0.0312944;-0.000588807
0.0006;0.0297486;0.0293495;-0.000507426
0.00062;0.027762;0.0273901;-0.000491468
0.00064;0.0257289;0.0252776;-0.000465938
0.00066;0.0237324;0.0233074;-0.000561681
0.00068;0.021818;0.021272;-0.000521787
0.0007;0.0197752;0.0192553;-0.000539339
0.00072;0.0178576;0.0173461;-0.000492266
0.00074;0.0159864;0.0153117;-0.000501043
0.00076;0.0139969;0.0132733;-0.000455566
0.00078;0.0119571;0.0112427;-0.000468331
0.0008;0.0099251;0.00921227;-0.000434024
0.00082;0.00790295;0.00728931;-0.000552903
0.00084;0.00595186;0.00527654;-0.000507425
0.00086;0.00387351;0.00312962;-0.000513011
0.00088;0.0017379;0.00111293;-0.000532159
0.0009;-0.000177638;-0.00089192;-0.000515404
0.00092;-0.00217706;-0.00294117;-0.000520191
0.00094;-0.00413699;-0.00495689;-0.000545722
0.00096;-0.0062144;-0.00694792;-0.000614339
0.00098;-0.00823254;-0.00878407;-0.000564072
0.001;-0.01023;-0.0108185;-0.000438013
0.00102;-0.0122965;-0.0128855;-0.000485884
0.00104;-0.0143246;-0.01492;-0.00045397
0.00106;-0.0162835;-0.0169613;-0.000502638
0.00108;-0.0182069;-0.0188478;-0.000493064
0.0011;-0.0201581;-0.0209038;-0.000443598
0.00112;-0.0221446;-0.0229188;-0.000548115
0.00114;-0.0240886;-0.0249186;-0.000502638
0.00116;-0.0260359;-0.0269225;-0.00047631
0.00118;-0.0280847;-0.029019;-0.000487479
0.0012;-0.030084;-0.0310021;-0.000457161
0.00122;-0.0320952;-0.0330643;-0.000465938
0.00124;-0.0341313;-0.0350503;-0.000508224
0.00126;-0.0360892;-0.037156;-0.000464342
0.00128;-0.0380966;-0.0392112;-0.000465938
0.0013;-0.0400544;-0.0412023;-0.000532957
0.00132;-0.0421299;-0.0432089;-0.00050583
0.00134;-0.0442082;-0.0452188;-0.000576839
0.00136;-0.0461603;-0.0472866;-0.000508223
0.00138;-0.0481814;-0.0492411;-0.000505032
0.0014;-0.0498878;-0.0510162;-0.000553702
0.00142;-0.0487035;-0.049777;-0.000550509
0.00144;-0.0466559;-0.0477673;-0.000463544
0.00146;-0.0447195;-0.0457128;-0.000490671
0.00148;-0.0426866;-0.043722;-0.000473118
0.0015;-0.0405431;-0.0417516;-0.000544126
0.00152;-0.0386177;-0.0396819;-0.000520989
0.00154;-0.0366191;-0.0376947;-0.000467533
0.00156;-0.0346089;-0.0355722;-0.000447587
0.00158;-0.0325484;-0.0335092;-0.000509021
0.0016;-0.0306328;-0.0315873;-0.000441205
0.00162;-0.0285365;-0.0295223;-0.00050583
0.00164;-0.0265362;-0.0274109;-0.000523382
0.00166;-0.0245635;-0.0254522;-0.000475512
0.00168;-0.0226459;-0.0234297;-0.000537743
0.0017;-0.0206494;-0.0214328;-0.000539339
0.00172;-0.0186707;-0.0194191;-0.000469927
0.00174;-0.0167918;-0.0173757;-0.000512212
0.00176;-0.0148082;-0.015436;-0.000487479
0.00178;-0.0127663;-0.0134479;-0.000582423
0.0018;-0.0106977;-0.011367;-0.00046514
0.00182;-0.0087171;-0.00929812;-0.00046514
0.00184;-0.00674238;-0.00738008;-0.000499447
0.00186;-0.0046472;-0.00542551;-0.000547318
0.00188;-0.00261918;-0.00338813;-0.000491468
0.0019;-0.000593113;-0.00141287;-0.000493064
0.00192;0.00134117;0.000642301;-0.000467533
0.00194;0.00333071;0.0025771;-0.00046514
0.00196;0.00542192;0.00472108;-0.000452374
0.00198;0.00741147;0.00676933;-0.000427641
0.002;0.00944739;0.00870612;-0.000434822
0.00202;0.0114636;0.0107139;-0.000441205
0.00204;0.0134719;0.0127868;-0.000448385
0.00206;0.0154595;0.0148026;-0.00047631
0.00208;0.0174065;0.0168311;-0.000522585
0.0021;0.0192758;0.0187698;-0.00045397
0.00212;0.0212919;0.0207499;-0.000493064
0.00214;0.023237;0.022751;-0.000517
0.00216;0.0252523;0.0247676;-0.000455566
0.00218;0.0272595;0.0268229;-0.00045397
0.0022;0.0292679;0.0288484;-0.000455566
0.00222;0.0313059;0.0308453;-0.000448385
0.00224;0.0333654;0.0328402;-0.000401313
0.00226;0.0353736;0.0348757;-0.000409291
0.00228;0.0374916;0.0368954;-0.000426844
0.0023;0.0393845;0.0388765;-0.000425248
0.00232;0.0413523;0.0408205;-0.000411685
0.00234;0.0433821;0.0428023;-0.000414078
0.00236;0.0453385;0.0449416;-0.000418067
0.00238;0.047303;0.046892;-0.000439609
0.0024;0.0490655;0.0487094;-0.000421259
0.00242;0.0481459;0.0477406;-0.000432428
0.00244;0.0461732;0.0458529;-0.000451577
0.00246;0.0442972;0.0438373;-0.00041328
0.00248;0.0423144;0.0418572;-0.000449981
0.0025;0.0402597;0.0397903;-0.000423652
0.00252;0.0383464;0.0377992;-0.000436418
0.00254;0.0362945;0.0357607;-0.000462746
