t;vds;corrente;vg
0;-0.00162104;0.0225899;0.000576245
2e-05;-0.0018173;0.0133484;0.0104044
4e-05;-0.00174311;0.0153067;0
6e-05;-0.00166013;0.0179206;0.0553034
8e-05;-0.00168327;0.0186165;0.129495
0.0001;-0.00170162;0.0166137;0.158579
0.00012;-0.00182208;0.0199477;0.184784
0.00014;-0.00159313;0.0189969;0.212763
0.00016;0.000652566;0.0234679;0.240871
0.00018;0.000454723;0.0218939;0.267218
0.0002;4.14835e-05;0.0247465;0.29507
0.00022;0.00100039;0.022339;0.322696
0.00024;0.0169397;0.0542676;0.349189
0.00026;0.019301;0.0512896;0.377249
0.00028;0.019443;0.0579901;0.406094
0.0003;0.0192739;0.0545549;0.432792
0.00032;0.0194925;0.0548057;0.459827
0.00034;0.0191734;0.0608305;0.488832
0.00036;0.0193433;0.0653704;0.516811
0.00038;0.0192779;0.0692952;0.545943
0.0004;0.0191;0.0704403;0.574437
0.00042;0.0190649;0.0743651;0.601458
0.00044;0.0190793;0.0761292;0.62804
0.00046;0.0189795;0.0843227;0.656836
0.00048;0.0189931;0.0860667;0.684225
0.0005;0.0191383;0.0924516;0.711275
0.00052;0.01895;0.0923829;0.739308
0.00054;0.0188854;0.0966515;0.766423
0.00056;0.0188184;0.101556;0.780382
0.00058;0.0188622;0.099488;0.756388
0.0006;0.019025;0.10033;0.729156
0.00062;0.0190282;0.0977925;0.7006
0.00064;0.0189389;0.092933;0.674189
0.00066;0.0191359;0.085225;0.64696
0.00068;0.0190633;0.0807216;0.619188
0.0007;0.0190904;0.0796332;0.591629
0.00072;0.0192205;0.07655;0.564194
0.00074;0.0192141;0.0732847;0.534851
0.00076;0.019289;0.0676039;0.507047
0.00078;0.0192915;0.0653461;0.477483
0.0008;0.0193481;0.0556311;0.449615
0.00082;0.0193505;0.0553075;0.42242
0.00084;0.0193641;0.0513502;0.395705
0.00086;0.0194757;0.0498572;0.366988
0.00088;0.0194039;0.0455764;0.33928
0.0009;0.0194175;0.052208;0.312692
0.00092;0.0193378;0.0574439;0.284249
0.00094;0.0191183;0.0671709;0.257822
0.00096;0.0190745;0.0643346;0.230771
0.00098;0.0192061;0.0776748;0.202391
0.001;0.019084;0.0773026;0.174889
0.00102;0.0191463;0.0788644;0.148031
0.00104;0.0190457;0.0923868;0.120308
0.00106;0.0189787;0.0951665;0.0924546
0.00108;0.0188726;0.0956197;0.0663005
0.0011;0.0189205;0.106245;0.0384163
0.00112;0.0189373;0.107496;0.0109486
0.00114;0.0187785;0.106504;-0.0164229
0.00116;0.0187354;0.111307;-0.0444191
0.00118;0.0186947;0.114346;-0.0733271
0.0012;0.018741;0.116721;-0.0999309
0.00122;0.0187147;0.119383;-0.127815
0.00124;0.0188263;0.117619;-0.155234
0.00126;0.0186963;0.121366;-0.182687
0.00128;0.0185352;0.121111;-0.209434
0.0013;0.0186413;0.122576;-0.236998
0.00132;0.0186748;0.126278;-0.264657
0.00134;0.0185416;0.124231;-0.29174
0.00136;0.0185567;0.125728;-0.3218
0.00138;0.0185607;0.12559;-0.348452
0.0014;0.0185081;0.128435;-0.374545
0.00142;0.0184427;0.132222;-0.402828
0.00144;0.0185185;0.134366;-0.429382
0.00146;0.01854;0.136187;-0.457075
0.00148;0.0185161;0.134508;-0.48499
0.0015;0.0184586;0.136438;-0.513145
0.00152;0.0184028;0.139529;-0.540854
0.00154;0.0183581;0.1377;-0.570229
0.00156;0.0184227;0.138607;-0.58822
0.00158;0.0184116;0.140011;-0.564706
0.0016;0.0184427;0.136968;-0.535747
0.00162;0.0184945;0.137029;-0.507991
0.00164;0.018339;0.139525;-0.480076
0.00166;0.0184131;0.139707;-0.452257
0.00168;0.0184634;0.136292;-0.424565
0.0017;0.0184179;0.13314;-0.398009
0.00172;0.01852;0.134059;-0.370413
0.00174;0.0186572;0.130211;-0.343233
0.00176;0.018473;0.134132;-0.315606
0.00178;0.01841;0.135443;-0.287611
0.0018;0.0185017;0.129256;-0.260047
0.00182;0.0187386;0.12678;-0.232564
0.00184;0.0185288;0.12648;-0.203592
0.00186;0.0185376;0.126747;-0.177899
0.00188;0.0186254;0.119788;-0.150896
0.0019;0.0186915;0.120439;-0.122629
0.00192;0.0185855;0.118857;-0.0953678
0.00194;0.0186924;0.116215;-0.0680772
0.00196;0.0187155;0.111748;-0.0396487
0.00198;0.018725;0.116377;-0.0112527
0.002;0.0186269;0.108017;0.0160068
0.00202;0.0187554;0.108827;0.0436988
0.00204;0.0187641;0.109142;0.0701418
0.00206;0.0187633;0.102996;0.0975619
0.00208;0.0188407;0.0988972;0.124373
0.0021;0.0189412;0.0989336;0.152289
0.00212;0.0188519;0.0937908;0.178876
0.00214;0.0189716;0.0871349;0.206921
0.00216;0.0190673;0.0813853;0.235221
0.00218;0.0189181;0.0779702;0.261488
0.0022;0.0190801;0.0706507;0.289515
0.00222;0.0192604;0.0663698;0.316391
0.00224;0.0192325;0.0603166;0.343953
0.00226;0.0192675;0.056582;0.3716
0.00228;0.0195125;0.0547005;0.400058
0.0023;0.0193289;0.0521393;0.426838
0.00232;0.0192923;0.0604623;0.453521
0.00234;0.0192333;0.058249;0.483021
0.00236;0.019151;0.0654513;0.511913
0.00238;0.0192149;0.066649;0.540245
0.0024;0.0192524;0.0714922;0.568772
0.00242;0.019171;0.0754575;0.595787
0.00244;0.0190593;0.0809806;0.62284
0.00246;0.0191;0.0802442;0.651284
0.00248;0.0189596;0.0853869;0.678655
0.0025;0.0189301;0.0920267;0.70558
0.00252;0.0189819;0.0963521;0.733786
0.00254;0.0189397;0.0972423;0.760633
