t;vds;corrente;vg
0.000499;-0.0002783;-0.00805823;-0.0156567
0.000998;-9.9675e-05;-0.00811398;-0.0114262
0.001497;-2.66458e-05;-0.00810985;-0.0146409
0.001996;-0.000217114;-0.00760064;-0.0150546
0.002495;-0.000188494;-0.00794838;-0.0147045
0.002994;8.98061e-05;-0.00755096;-0.0120628
0.003493;-2.96059e-06;-0.00767931;-0.0140679
0.003992;-0.000256588;-0.00748473;-0.0143862
0.004491;-0.000276326;-0.00770001;-0.0137178
0.00499;-6.31604e-05;-0.00761306;-0.0149591
0.005489;4.9344e-05;-0.00794839;-0.0155639
0.005988;-0.000115465;-0.00795667;-0.0156275
0.006487;-0.000261523;-0.00763377;-0.0153729
0.006986;-3.84884e-05;-0.00782419;-0.0157867
0.007485;-3.94752e-05;-0.00775797;-0.0155639
0.007984;-0.00034442;-0.00737709;-0.0130176
0.008483;-0.00036021;-0.00757995;-0.0158503
0.008982;-2.96064e-05;-0.00813054;-0.0157867
0.009481;0.000100662;-0.00792769;-0.0152138
0.00998;-0.000149019;-0.00816367;-0.0157867
0.010479;-0.000303959;-0.00807673;-0.0150228
0.010978;-7.20422e-05;-0.00815538;-0.0155639
0.011477;1.08557e-05;-0.00793184;-0.0142589
0.011976;-0.000228956;-0.00789043;-0.014991
0.012475;-0.000306919;-0.00784075;-0.0155639
0.012974;-6.90817e-05;-0.00725289;-0.0156275
0.013473;9.8688e-06;-0.00764204;-0.0152456
0.013972;-0.000243759;-0.00694241;-0.0141316
0.014471;-0.000255602;-0.0077828;-0.0148636
0.01497;-0.00012336;-0.00819264;-0.0156275
0.015469;6.11866e-05;-0.0081057;-0.022375
0.015968;-0.000130268;-0.00808501;-0.0511794
0.016467;-0.000259549;-0.0076379;-0.0719953
0.016966;-6.41472e-05;-0.008085;-0.0926197
0.017465;8.78324e-05;-0.0080643;-0.110857
0.017964;-0.00018652;-0.0082092;-0.126675
0.018463;-0.00040758;-0.00803119;-0.135365
0.018962;-0.000134216;-0.00770414;-0.143258
0.019461;0.000101649;-0.00821334;-0.157931
0.01996;-8.88193e-06;-0.00800636;-0.158823
0.020459;-0.000151979;-0.00821748;-0.164902
0.020958;-0.000109544;-0.00806844;-0.17324
0.021457;5.42784e-05;-0.00798979;-0.174704
0.021956;-0.000101649;-0.00758823;-0.174704
0.022455;-0.000248694;-0.00685548;-0.174704
0.022954;-0.00016777;-0.00703349;-0.180179
0.023453;1.87507e-05;-0.00719908;-0.181484
0.023952;8.88194e-06;-0.00712457;-0.187149
0.024451;-0.000223035;-0.00691758;-0.189314
0.02495;-0.00019935;-0.00723633;-0.187595
0.025449;-1.87507e-05;-0.00704592;-0.189473
0.025948;-6.01997e-05;-0.00660295;-0.190491
