t;vds;corrente;vg
0.000499;-0.000318762;-0.00824753;-0.0180273
0.000998;-0.000372053;-0.00812227;-0.0156912
0.001497;-0.000108557;-0.00821748;-0.0152138
0.001996;9.67143e-05;-0.00822576;-0.0155957
0.002495;-0.000110531;-0.0081264;-0.0158185
0.002994;-0.000256589;-0.00791527;-0.0152456
0.003493;-0.000146058;-0.00765033;-0.0158821
0.003992;9.47405e-05;-0.00752613;-0.0156275
0.004491;-0.000120399;-0.00760478;-0.0151819
0.00499;-0.000197376;-0.00810157;-0.0158185
0.005489;-3.45408e-05;-0.00785318;-0.0154047
0.005988;7.50029e-05;-0.00804775;-0.0158185
0.006487;-0.000103622;-0.0082299;-0.0155002
0.006986;-0.000322709;-0.00815538;-0.0158821
0.007485;-0.000216126;-0.00818436;-0.0158821
0.007984;-7.89504e-06;-0.00818436;-0.0158821
0.008483;-5.03309e-05;-0.00826302;-0.0158821
0.008982;-0.000214153;-0.00830028;-0.0158821
0.009481;-0.000116452;-0.00817194;-0.0151819
0.00998;7.89504e-06;-0.00826302;-0.0158821
0.010479;-0.000239812;-0.00792354;-0.0158821
0.010978;-0.000213166;-0.00815952;-0.0158821
0.011477;-0.000159875;-0.0081885;-0.0158821
0.011976;2.4672e-05;-0.00811398;-0.0158821
0.012475;-4.1449e-05;-0.00819678;-0.0158821
0.012974;-0.000379948;-0.0082092;-0.0158821
0.013473;-0.000303958;-0.00825474;-0.0158821
0.013972;-0.000126321;-0.00796908;-0.0158821
0.014471;-0.00018356;-0.0081471;-0.0158821
0.01497;-0.000324683;-0.00810157;-0.0155957
0.015469;-0.000239812;-0.00805188;-0.0158185
0.015968;-6.90814e-06;-0.00819678;-0.0158503
0.016467;-2.86195e-05;-0.0081885;-0.0158821
0.016966;-0.000177638;-0.00820506;-0.0158821
0.017465;-0.000166783;-0.00803947;-0.0158821
0.017964;7.69767e-05;-0.00820092;-0.0157548
0.018463;-6.90816e-06;-0.00770827;-0.0158185
0.018962;-0.000254615;-0.00758822;-0.0158821
0.019461;-0.000345407;-0.00722393;-0.0158821
0.01996;-8.09242e-05;-0.00764618;-0.0158821
0.020459;-9.77012e-05;-0.0073564;-0.0158185
0.020958;-0.000241785;-0.00764618;-0.0158821
0.021457;-0.000150006;-0.0078863;-0.0158821
0.021956;-2.76326e-05;-0.00738951;-0.015723
0.022455;-4.34227e-05;-0.0078863;-0.0153092
0.022954;-0.000196389;-0.00820092;-0.0158821
0.023453;-0.000401659;-0.0081678;-0.0158185
0.023952;-0.000119413;-0.00820093;-0.0158821
0.024451;0.000148032;-0.00826302;-0.0158821
0.02495;-9.86881e-06;-0.00822162;-0.0158821
0.025449;-0.000277313;-0.00827544;-0.0152138
0.025948;-0.000125334;-0.00826302;-0.0158503
0.026447;-3.15802e-05;-0.00826302;-0.0157548
0.026946;-0.000174678;-0.00826302;-0.0158821
0.027445;-0.000216127;-0.00815539;-0.0155639
0.027944;-3.45408e-05;-0.0081678;-0.0157867
0.028443;4.24359e-05;-0.00820506;-0.0156275
0.028942;-0.000148032;-0.00826716;-0.0135269
0.029441;-0.000346394;-0.00818436;-0.0145772
0.02994;-0.000161848;-0.00824646;-0.0152456
0.030439;-3.55277e-05;-0.0082713;-0.0158821
0.030938;-0.00010757;-0.00809742;-0.0149591
0.031437;-0.000355276;-0.00821748;-0.0144181
0.031936;-0.000189481;-0.00797322;-0.013877
0.032435;-3.94752e-05;-0.00821334;-0.0158821
0.032934;-7.69767e-05;-0.0079608;-0.0152774
0.033433;-0.000254615;-0.00825888;-0.0155957
0.033932;-0.00015494;-0.00819264;-0.0155957
0.034431;7.00685e-05;-0.00803946;-0.0158503
0.03493;9.869e-07;-0.00796909;-0.015723
