t;vds;corrente;vg
0.000499;-0.000374027;-0.00818129;-0.017709
0.000998;-0.000113491;-0.00807259;-0.0152456
0.001497;9.8688e-06;-0.00758408;-0.0154366
0.001996;-0.000136189;-0.00803532;-0.0151819
0.002495;-0.000289156;-0.00808087;-0.0152138
0.002994;-0.000225995;-0.0080643;-0.0133359
0.003493;-5.62522e-05;-0.00811813;-0.0131131
0.003992;-6.31604e-05;-0.00815124;-0.0131768
0.004491;-0.00028126;-0.00798979;-0.0122856
0.00499;-0.000161848;-0.00801462;-0.0117127
0.005489;-3.75015e-05;-0.00801462;-0.0158185
0.005988;-0.000128295;-0.00815538;-0.0147682
0.006487;-0.000283234;-0.00834581;-0.0150864
0.006986;-0.000248694;-0.00817195;-0.0139088
0.007485;-5.82259e-05;-0.00823404;-0.0127312
0.007984;-0.000164809;-0.00820092;-0.0116172
0.008483;-0.000344421;-0.00789458;-0.0105987
0.008982;-0.000219087;-0.00799392;-0.0106305
0.009481;-3.65145e-05;-0.00824232;-0.012763
0.00998;-7.59898e-05;-0.00826302;-0.013686
0.010479;-0.000247706;-0.00826302;-0.0157867
0.010978;-0.000300011;-0.00824646;-0.0122219
0.011477;-9.86881e-05;-0.00824646;-0.014609
0.011976;-0.000185534;-0.0082299;-0.0146409
0.012475;-0.000376987;-0.00826302;-0.0147682
0.012974;-0.000342447;-0.0082299;-0.0158821
0.013473;-0.000126321;-0.00776623;-0.0134314
0.013972;-4.9344e-05;-0.00784903;-0.0155002
0.014471;-0.000289155;-0.00813468;-0.0155639
0.01497;-0.000315801;-0.00802291;-0.0158821
0.015469;-0.000110531;-0.00814296;-0.0158821
0.015968;-6.51341e-05;-0.00793183;-0.0140998
0.016467;-0.00018652;-0.00817608;-0.015532
0.016966;-0.000257575;-0.00791942;-0.0145454
0.017465;-4.53965e-05;-0.00798564;-0.0145772
0.017964;2.76326e-05;-0.0080022;-0.0154684
0.018463;-0.00016777;-0.00689689;-0.0144499
0.018962;-0.000219087;-0.00687204;-0.0152138
0.019461;-4.53965e-05;-0.00668988;-0.0131768
0.01996;4.53965e-05;-0.00693828;-0.014991
0.020459;-0.000130268;-0.00677682;-0.0144181
0.020958;-0.000370079;-0.00719909;-0.0141316
0.021457;-0.000184546;-0.00684306;-0.012954
0.021956;-7.10554e-05;-0.00762134;-0.013686
0.022455;-0.000231917;-0.00808915;-0.0141316
0.022954;-0.000353302;-0.00754682;-0.0155002
0.023453;-0.00023093;-0.00740608;-0.0151819
0.023952;-4.73703e-05;-0.00788629;-0.0150228
0.024451;-0.000237838;-0.00793596;-0.0151501
0.02495;-0.000287182;-0.00779521;-0.0147045
0.025449;-0.000129281;-0.0081885;-0.0154366
0.025948;-4.34227e-05;-0.00811398;-0.0153092
0.026447;-6.71079e-05;-0.00819678;-0.0147682
0.026946;-0.000244746;-0.00815124;-0.0155639
0.027445;-0.000223035;-0.00806845;-0.0148636
0.027944;-7.79636e-05;-0.00802705;-0.0158185
0.028443;-0.000112504;-0.00824646;-0.0158821
0.028942;-0.000295077;-0.00828786;-0.0150546
0.029441;-0.000157901;-0.00804361;-0.0153411
0.02994;-3.94752e-05;-0.00780763;-0.0158821
0.030439;-0.000158888;-0.00814711;-0.0158821
0.030938;-0.000292116;-0.00754268;-0.0158503
0.031437;-0.0002181;-0.00784489;-0.0158821
0.031936;-3.05933e-05;-0.00811813;-0.0155002
0.032435;-9.0793e-05;-0.00796909;-0.0156912
0.032934;-0.000242772;-0.00774968;-0.0155002
0.033433;-0.000219087;-0.00801049;-0.0150546
0.033932;-7.30292e-05;-0.00808501;-0.0156275
0.034431;-3.15802e-05;-0.00777865;-0.0155957
0.03493;-0.000271392;-0.00772485;-0.015723
0.035429;-0.00010757;-0.00786973;-0.0158503
0.035928;4.04621e-05;-0.00739365;-0.0150546
0.036427;-5.32916e-05;-0.00772484;-0.0152456
0.036926;-0.000296063;-0.00799806;-0.0158503
0.037425;-0.000313827;-0.00802704;-0.0123492
0.037924;-3.55277e-05;-0.00794426;-0.0155002
0.038423;-2.36851e-05;-0.00815538;-0.0158821
0.038922;-0.000259549;-0.00786559;-0.00757505
0.039421;-0.000323696;-0.00821334;0
0.03992;-0.000109544;-0.00823818;0
0.040419;-5.72391e-05;-0.00823818;0
0.040918;-0.000242772;-0.00818022;-0.000286452
0.041417;-0.000296064;-0.00813054;-0.00276904
0.041916;-7.99373e-05;-0.00813468;-0.00900731
0.042415;-5.23047e-05;-0.00813882;-0.00894365
0.042914;-0.000156914;-0.00818022;-0.0139725
0.043413;-0.000392777;-0.00826302;-0.0135269
0.043912;-0.000121386;-0.00825888;-0.01184
0.044411;9.8689e-07;-0.00824646;-0.0132404
0.04491;-7.79635e-05;-0.00787801;-0.0121583
0.045409;-0.000267444;-0.00779935;-0.012031
0.045908;-0.000158888;-0.00772069;-0.0148955
0.046407;-1.18426e-05;-0.00773311;-0.0145135
0.046906;-0.00017073;-0.00784902;-0.0149273
0.047405;-0.00032863;-0.00784076;-0.0158821
0.047904;-0.000150993;-0.00792355;-0.0158821
0.048403;4.24359e-05;-0.00789457;-0.0158821
0.048902;-9.77012e-05;-0.0081678;-0.0158821
0.049401;-0.000349355;-0.00818022;-0.0158503
0.0499;-0.000270404;-0.00826302;-0.0158821
0.050399;-8.19111e-05;-0.00817608;-0.0158821
0.050898;-1.48032e-05;-0.0081057;-0.0157548
0.051397;-0.0002181;-0.00818436;-0.0158821
0.051896;-0.000160861;-0.00811398;-0.0158821
0.052395;1.87507e-05;-0.00784489;-0.0158821
0.052894;-8.88192e-05;-0.00785316;-0.0158821
0.053393;-0.000362184;-0.00779523;-0.0158821
0.053892;-0.000211192;-0.00816367;-0.0158821
0.054391;1.57901e-05;-0.00746816;-0.0158821
0.05489;-8.58586e-05;-0.00765032;-0.0158821
0.055389;-0.00029409;-0.00757167;-0.0158821
0.055888;-0.000198363;-0.00751785;-0.0158821
0.056387;-7.4016e-05;-0.00775382;-0.0158821
0.056886;-2.76326e-05;-0.00803533;-0.0158821
0.057385;-0.000217113;-0.00807672;-0.0158821
0.057884;-0.00026251;-0.00747645;-0.0158821
0.058383;-4.63834e-05;-0.00787801;-0.0158821
0.058882;-6.01997e-05;-0.00766687;-0.0158821
0.059381;-0.00036021;-0.00764618;-0.0158821
0.05988;-0.000413501;-0.00781177;-0.0158821
0.060379;-0.000176651;-0.00789457;-0.0158503
0.060878;-3.2567e-05;-0.00818436;-0.0158821
0.061377;-0.00032863;-0.0081885;-0.0158821
0.061876;-0.000293103;-0.00818023;-0.0158821
0.062375;-6.51341e-05;-0.0081678;-0.0158821
0.062874;5.13178e-05;-0.00826302;-0.0158821
0.063373;-0.000152966;-0.00823818;-0.0158821
0.063872;-0.000259549;-0.00820506;-0.0158821
0.064371;-5.42784e-05;-0.00824232;-0.0158821
0.06487;-3.84883e-05;-0.00803946;-0.0158821
0.065369;-0.000227969;-0.00826302;-0.0158821
0.065868;-0.000336525;-0.00826302;-0.0158821
0.066367;-0.000165796;-0.0082506;-0.0158821
0.066866;-6.80948e-05;-0.00856524;-0.0158821
0.067365;-0.000204284;-0.00830028;-0.0158821
0.067864;-0.000289155;-0.0082713;-0.0158821
0.068363;-0.000235864;-0.00825888;-0.0092301
0.068862;-9.86883e-07;-0.00816366;0
0.069361;-0.000225995;-0.00821748;0
0.06986;-0.000302971;-0.00816781;0.00296
0.070359;-9.86881e-05;-0.0082713;0.00324645
0.070858;-1.28294e-05;-0.00825888;0.0121901
0.071357;-0.000106583;-0.00822576;0.0158821
0.071856;-0.000202311;-0.00815952;0.0158821
0.072355;-0.000164809;-0.00825888;0.0158821
0.072854;1.6777e-05;-0.00823818;0.0158821
0.073353;-8.28979e-05;-0.00813883;0.0158821
0.073852;-0.000318762;-0.00807258;0.0158821
0.074351;-0.000251654;-0.0077621;0.0158821
0.07485;-0.000122373;-0.00822162;0.0158821
0.075349;-0.000180599;-0.00786559;0.0166778
0.075848;-0.000272378;-0.00825474;0.015914
0.076347;-0.000204284;-0.00819678;0.016455
0.076846;-8.88192e-06;-0.00826302;0.0172826
0.077345;-0.000106583;-0.00821334;0.0164869
0.077844;-0.000340473;-0.00808915;0.0165824
0.078343;-0.000305932;-0.00826302;0.0166142
0.078842;-5.72391e-05;-0.00829614;0.0170916
0.079341;-2.4672e-05;-0.00813469;0.0170916
0.07984;-0.000216126;-0.00820093;0.0183011
0.080339;-0.000227969;-0.00820092;0.0174735
0.080838;-2.76326e-05;-0.00819264;0.0187467
