t;vds;corrente;vg
0;-0.00178026;0.0157923;-0.00697896
2e-05;-0.00184945;0.0167108;-0.325099
4e-05;-0.00176246;0.0151854;-0.396394
6e-05;-0.0018534;0.0164801;-0.399292
8e-05;-0.00185143;0.0154767;-0.399356
0.0001;-0.00185439;0.0169981;-0.399196
0.00012;-0.000865911;0.021113;-0.399067
0.00014;-0.000379577;0.0240384;-0.399276
0.00016;-0.000480403;0.0246292;-0.399372
0.00018;0.000574308;0.0333649;-0.399372
0.0002;0.00254831;0.0429382;-0.399292
0.00022;0.00436811;0.0480041;-0.399372
0.00024;0.00620372;0.0614537;-0.399212
0.00026;0.00813917;0.068842;-0.399292
0.00028;0.0100548;0.0768291;-0.399372
0.0003;0.0118341;0.0860141;-0.399372
0.00032;0.0137478;0.0960891;-0.399372
0.00034;0.0156832;0.108976;-0.399372
0.00036;0.0174555;0.11696;-0.399372
0.00038;0.0194117;0.12767;-0.399372
0.0004;0.0213828;0.135936;-0.399292
0.00042;0.0231206;0.144024;-0.399228
0.00044;0.0249848;0.155629;-0.399372
0.00046;0.0268986;0.165619;-0.399372
0.00048;0.0287431;0.174136;-0.399356
0.0005;0.0306727;0.183742;-0.39934
0.00052;0.0325606;0.194128;-0.399372
0.00054;0.0343764;0.201804;-0.399308
0.00056;0.0363562;0.213008;-0.399372
0.00058;0.0381019;0.218851;-0.399372
0.0006;0.0400906;0.223937;-0.399372
0.00062;0.0420688;0.23141;-0.399356
0.00064;0.0440458;0.229246;-0.397722
0.00066;0.0455195;0.239191;-0.396922
0.00068;0.0458685;0.244277;-0.397147
0.0007;0.0436602;0.236852;-0.39934
0.00072;0.0419451;0.235614;-0.399292
0.00074;0.0399693;0.229994;-0.399372
0.00076;0.0380919;0.219065;-0.399372
0.00078;0.0362011;0.210208;-0.399372
0.0008;0.0341698;0.208056;-0.399244
0.00082;0.0324301;0.194383;-0.399292
0.00084;0.0304867;0.186352;-0.399324
0.00086;0.0286471;0.177224;-0.399356
0.00088;0.0268174;0.167278;-0.399372
0.0009;0.0249838;0.157875;-0.399372
0.00092;0.0229959;0.149604;-0.399372
0.00094;0.0212493;0.135236;-0.399164
0.00096;0.0193504;0.124227;-0.399372
0.00098;0.0174625;0.1156;-0.399372
0.001;0.0155755;0.10752;-0.399372
0.00102;0.0135847;0.0990429;-0.399372
0.00104;0.0116829;0.0850753;-0.399372
0.00106;0.00979386;0.0779864;-0.399372
0.00108;0.00805514;0.0689068;-0.399372
0.0011;0.00616813;0.0611219;-0.399324
0.00112;0.00427914;0.0505977;-0.399372
0.00114;0.00234666;0.0408463;-0.399372
0.00116;0.00052093;0.0274373;-0.399308
0.00118;-0.0013305;0.0186084;-0.399372
0.0012;-0.00328275;0.0109085;-0.399356
0.00122;-0.00523797;-0.00116935;-0.399372
0.00124;-0.00709632;-0.016642;-0.399372
0.00126;-0.00887064;-0.0203928;-0.399372
0.00128;-0.0109336;-0.0323574;-0.399372
0.0013;-0.0128749;-0.0399643;-0.399276
0.00132;-0.014757;-0.0502255;-0.399372
0.00134;-0.0164661;-0.0587508;-0.399372
0.00136;-0.0183027;-0.0701125;-0.399372
0.00138;-0.0203172;-0.0814418;-0.399372
0.0014;-0.0222635;-0.090821;-0.399372
0.00142;-0.0242375;-0.0982215;-0.399308
0.00144;-0.025998;-0.10898;-0.399372
0.00146;-0.0279987;-0.121896;-0.399372
0.00148;-0.0297354;-0.127119;-0.399356
0.0015;-0.0316926;-0.140529;-0.399372
0.00152;-0.0334966;-0.149187;-0.399372
0.00154;-0.0354676;-0.156572;-0.399372
0.00156;-0.0373716;-0.168488;-0.399356
0.00158;-0.0391784;-0.177329;-0.399372
0.0016;-0.0409439;-0.188715;-0.399372
0.00162;-0.0429139;-0.195403;-0.399372
0.00164;-0.0449491;-0.202606;-0.399308
0.00166;-0.0467236;-0.211515;-0.399372
0.00168;-0.0468829;-0.214392;-0.399372
0.0017;-0.045135;-0.206247;-0.399372
0.00172;-0.0431128;-0.201974;-0.399372
0.00174;-0.0413155;-0.190786;-0.399372
0.00176;-0.0394722;-0.175423;-0.399372
0.00178;-0.0375019;-0.166894;-0.399372
0.0018;-0.0356516;-0.158036;-0.399372
0.00182;-0.0337744;-0.14998;-0.399372
0.00184;-0.0318479;-0.138975;-0.399372
0.00186;-0.0300478;-0.125416;-0.399372
0.00188;-0.0282784;-0.119047;-0.399372
0.0019;-0.0262511;-0.112731;-0.399372
0.00192;-0.0243463;-0.0987273;-0.399372
0.00194;-0.0224109;-0.0901654;-0.399372
0.00196;-0.0206306;-0.079528;-0.399372
0.00198;-0.01871;-0.0714154;-0.399372
0.002;-0.0168318;-0.061482;-0.399372
0.00202;-0.0148756;-0.049926;-0.399372
0.00204;-0.0130054;-0.0446336;-0.399372
0.00206;-0.0111678;-0.0308765;-0.399372
0.00208;-0.00924129;-0.0176252;-0.399372
0.0021;-0.00743636;-0.0111877;-0.399372
